#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	exuT//psd//
Ada-Methylated_pos	soxR//asr//safA//cyoC//
AlaS-L-alanine_neg	cspD//
AllS-allantoin_pos	ilvH//ogt//tsgA//
AraC-L-arabinose_neg	narK//ynfK//rybA//csgB//lsrG//fixA//preA//frc//
AraC-L-arabinose_pos	nanA//ptsG//argO//truB//umpH//cytR//entS//entB//eda//pflB//
ArcA-Phosphorylated_neg	uxaA//crl//gspJ//paaC//ascB//cynX//tnaA//hemL//rpmC//ompX//fadD//dkgB//gpmA//glnG//cynX//glnG//ysgA//gutM//dadA//nlpE//fimE//ssuE//allD//bcsA//aroG//uvrA//cynS//hypF//astB//hha//rplV//uidB//baeS//lpd//mscM//narH//aroF//ndh//rplT//hyaA//betB//dgcZ//oppB//fimC//livM//nanT//fur//yeiP//nikB//acnA//rrlD//cysJ//preT//yfaE//nuoK//purE//creA//hyfD//rbsK//casA//sdhB//hcr//hypE//cydC//lacY//katE//pstA//fadE//alkA//appC//dadA//lpxD//yqaE//nrfB//dmsC//ugpB//idnD//entB//ilvM//bioC//acrA//treB//bcsA//aldA//manZ//nanC//yhjC//livJ//hyfF//mhpC//norV//lacY//oppF//ftnA//ilvH//hybF//pheM//ivbL//ybfN//phnL//melB//lsrB//nupG//comR//hlyE//mhpR//zwf//fepB//uxuR//motA//tyrP//bioA//yeiL//fepC//zwf//rutG//ascB//fliA//fucP//hyaD//putP//tdcD//sufB//dnaN//alaA//galK//csgG//
ArcA-Phosphorylated_pos	nrdA//ccmF//yjeV//cvpA//gltV//fis//moaC//frdC//ulaA//oppA//citF//araE//hyfH//lhgO//cusF//ilvD//aroP//glpE//gltF//ulaE//xylA//iscR//feoA//acrB//aroL//ndh//glcG//ubiG//yggX//rcnB//ilvN//bdcA//rhaR//modB//prpD//nrdB//nrdE//dppC//paaC//ompT//nrfB//sdaA//rpsI//modA//ebgC//gntT//ugpA//fecD//motB//ndh//caiE//rybB//aroA//malZ//galE//ynfH//atoD//uxuR//
ArgP-L-arginine_neg	fepB//
ArgP-L-arginine_pos	ytfE//rrfB//prpD//phnF//yneM//pdhR//purC//rplP//hyaE//uraA//allC//micF//cysC//nuoE//galT//
ArgR-L-arginine_neg	ilvM//zraP//umpH//malK//ascB//yhjC//mntP//moaD//ldtC//yfdV//trpA//rimM//ytfE//argD//focB//acrE//ulaB//znuB//hyfC//hyfA//cusS//puuE//cydB//gapA//tsx//hcr//trpL//preT//yggX//araG//argF//lsrA//paaK//cpxA//
