#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	ugpB//dgcZ//
Ada-Methylated_pos	hybE//qseC//slt//rbsK//
AlaS-L-alanine_neg	katE//
AllS-allantoin_pos	srlB//narK//appY//
AraC-L-arabinose_neg	casD//fbaA//aceA//rprA//uhpT//nrfD//avtA//mtr//
AraC-L-arabinose_pos	erpA//napC//ydbD//abgA//rpsO//mhpA//nupC//yrbL//baeS//phnI//
ArcA-Phosphorylated_neg	yidQ//cysC//rhaT//mdh//ynfK//citD//mipA//glpG//crp//metI//modC//ilvB//ampD//cusS//xapB//tsaE//ydeP//glnK//tauC//pdeF//xylF//rrlH//ycjF//rpoS//purB//hofO//fepD//fliA//rpmC//fes//yjiY//malI//fepD//appY//yfbR//araE//yfeW//udp//fucO//pncB//metR//bcsZ//hfq//gatA//gntT//aaeA//metJ//rutG//gspH//rpsJ//nac//moaC//hydN//ssuE//oppF//yegH//tdcD//araH//puuP//ybdZ//alaV//prpC//aaeX//dadX//fecA//iscU//katG//aroH//rimP//hybF//iraM//baeS//tsx//rutE//pck//ugpC//rstA//atoB//cyaR//ulaC//atoE//nadC//tdcG//rpsQ//cbl//rhaT//ydhV//dppA//nanT//fucO//rybB//mepH//ackA//artJ//caiE//livK//ebgA//malK//uhpB//allC//hflK//gabP//sufA//hycE//fadE//galE//rplT//udp//aroA//aldA//cysI//sbmC//uxaA//csgA//glgC//gadB//fdnG//phoP//acrF//nikD//alaV//yfdV//glcB//malG//ydfN//cyaR//metC//
ArcA-Phosphorylated_pos	nohA//sufA//ihfA//narQ//yhfA//yjcH//ydhW//artQ//cydB//grcA//paaA//puuD//cynS//comR//infB//rrfE//dusB//galT//tomB//ydhX//frdB//fumA//dnaA//lldR//hyfH//lsrB//csgA//evgA//phoR//nuoH//feaR//torR//ampE//metE//pdhR//fucI//rdoA//cheB//ryhB//ydeM//aer//rcnA//moaA//proP//fadA//nrfC//rutD//appY//casE//nanA//rpoE//speB//phnF//sufA//carB//betT//asr//mltC//
ArgP-L-arginine_neg	caiA//
ArgP-L-arginine_pos	metI//rseC//gspL//mscM//fecA//argF//ansB//yfdE//rhaD//rutC//fdnG//oppF//sohB//hyfC//pck//
ArgR-L-arginine_neg	ybjG//pgaD//caiA//metL//phnK//hybG//hyfH//uxaB//yiaJ//hycH//cytR//acnB//acs//rbsA//hyaF//zntA//gutM//frdC//oppA//yaeQ//hyfR//entB//hybF//hdeA//citD//fadE//nupC//caiF//mutY//kbl//nanC//degP//ompW//miaA//
ArgR-L-arginine_pos	pncB//fhuD//yoaG//fecA//araE//
AtoC-phosphorylated_pos	phnK//ydhV//purK//entD//
BaeR-Phosphorylated_pos	entA//oxyR//ilvB//prpD//oxc//torC//nikE//ilvL//
BirA-bio-5'-AMP_neg	psiF//rutE//grpE//ilvL//mgrR//
