#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	hyfI//ydhV//
Ada-Methylated_pos	hydN//metN//yjjZ//rcnB//
AlaS-L-alanine_neg	cusC//
AllS-allantoin_pos	sbcC//casB//gltW//
AraC-L-arabinose_neg	cdd//yhhY//hofN//lhgO//nrfD//fadI//ydhT//ccmH//
AraC-L-arabinose_pos	ompC//focA//thrV//rrfE//tauB//gutQ//trpE//ysgA//cusS//cynX//
ArcA-Phosphorylated_neg	mcaS//serC//carB//focB//ulaE//rrsE//tehA//ilvX//rprA//dsdX//sdhD//mlc//ydiU//yaeQ//gspO//gltD//folA//xylF//rrfA//hslJ//comR//csgD//paaH//glnD//moaE//grxC//nrfB//sufE//ftnB//uhpC//yojI//aceF//deoB//ilvC//entA//glnK//rrsC//raiA//malY//xylA//glpE//aroA//cysP//mtlD//ldtB//tdcD//ccmA//tauD//bioF//nikC//mgrR//rseB//malF//yedX//lacA//acrB//hha//hybO//fhuA//fis//pgaB//zinT//acrA//ompA//acrA//ascF//fixB//xylH//glpD//frc//napB//evgA//yaeQ//pepT//ptsI//ygiA//gntU//ebgA//spy//rplM//agaW//fecD//fur//map//phoQ//phnJ//fldA//envY//galP//cpxR//frdA//chiP//pheM//arcA//yfaE//ompF//lacA//hybA//napB//ygaC//rbsR//allC//gatB//cyoE//yhfA//mhpB//mhpB//pepT//nikR//cytR//gspO//atoB//cydB//pyrC//cadB//purK//frdC//iscR//alaT//bcsC//hdeA//ilvI//cyoC//rybB//serA//entS//cusC//
ArcA-Phosphorylated_pos	rpsS//hcr//rpsQ//map//deoA//norW//sdaA//ccmB//rpsQ//nupG//metY//tar//yeiB//yqjI//galM//ccmA//emrY//trxA//ilvE//degP//fixC//mltC//ydfH//ilvX//tdcD//dppF//rprA//ybjG//nfuA//nikR//aaeB//hyfG//ykgR//metN//hyfF//rhaS//paaB//gnd//nagB//gntT//araA//dcuS//azuC//ldtC//ssuE//gspH//rhaT//ilvA//cysU//ykgR//fadL//phnC//nlpD//metH//nrdA//trg//trxA//feoC//
ArgP-L-arginine_neg	malP//
ArgP-L-arginine_pos	fumB//nuoK//malE//ilvL//acrE//trpD//moaA//metJ//entS//cysN//sufA//atoB//rutD//baeS//slt//
ArgR-L-arginine_neg	rrlC//glyA//bacA//nrfD//fepD//yeiW//nrfG//gntR//crp//sdhA//ccmB//dadA//artJ//aldA//bglB//cyoA//hypF//baeS//fliZ//acs//fau//pgaC//ansB//abgT//manY//modA//metQ//dcuB//pncB//metQ//metE//grpE//folE//envY//
ArgR-L-arginine_pos	nrdE//yfaE//ygiB//ccmF//dsbA//
AtoC-phosphorylated_pos	nrdF//soxR//malQ//araC//
BaeR-Phosphorylated_pos	frc//hypC//srlD//glpE//phnL//appY//fimE//gyrA//
BirA-bio-5'-AMP_neg	mpl//pheS//tpx//rnlB//norV//
CRP-cAMP_neg	rplI//nrdE//cyoC//nuoF//fhuA//hyfG//gutM//trmD//metY//nrfG//araF//soxS//uof//xseA//uxuA//astA//bioF//cadC//actP//xdhB//uidA//ahpF//pheT//ogt//uvrA//katE//srlD//nuoC//uhpT//gspE//aldB//paaA//dnaN//ada//ilvI//tyrA//artJ//cpxR//lsrF//dsdC//dgcZ//fucI//feoB//fadD//serA//grxC//motA//pgk//glpE//nrdF//epd//entS//ilvH//rpsF//livG//ygaC//puuR//malT//ydeM//soxS//fixB//ccmC//gntU//ybdZ//cynT//yegH//modC//malG//ycdZ//glpX//nfuA//ydeM//tsr//pgk//purR//rutB//dcuC//focB//betB//ampD//micF//livK//fucA//deoC//mutY//sdaA//dnaA//soxS//lpxD//idnO//amiB//allD//lsrG//pflB//gntP//malF//entF//pstB//lpxB//rbsR//lsrC//nikR//rrlD//fucI//serA//galP//napH//caiB//pdhR//ssuA//rutB//frdC//idnD//sufA//citX//nrdE//dcuR//fucI//ubiA//hyaA//phnC//phnN//hybC//fadJ//purL//phoA//baeR//tdh//dmsC//nuoE//ompR//paaJ//dapB//
