#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	gspJ//oppF//
Ada-Methylated_pos	uidB//ubiC//paaF//csgF//
AlaS-L-alanine_neg	slt//
AllS-allantoin_pos	torC//kbl//codA//
AraC-L-arabinose_neg	paaE//gutM//hofC//argH//glpA//rrlD//ychO//moaB//
AraC-L-arabinose_pos	nrfD//nrfG//artP//phoR//phnN//torA//entE//cysH//chbG//purE//
ArcA-Phosphorylated_neg	fadE//paaJ//rseB//dnaN//pdeF//ada//flhD//sodB//csgA//casD//uxuB//cpxR//xapB//dsdX//hyfR//tadA//infC//oppF//rplI//fimE//kbl//yoaG//polA//icd//hisP//emrY//pck//appX//phnE_2//nrfA//ompF//marA//ebgC//rpsP//nrdG//ydhU//gspD//prpR//pheM//adiC//tonB//hyaD//paaC//uidB//sufE//ftnB//galE//cheW//trg//aceF//phnD//galS//yhjA//cydC//ydfH//tonB//fau//iraD//yegR//metQ//skp//ydfN//aceK//hemL//edd//dnaE//bglG//fimA//fepB//fepA//phoR//gspC//gspI//argR//alaA//glcC//aspA//dnaE//feoB//yhjC//emrY//fhuB//argE//dppA//fepD//hflX//nrdE//umpH//pstS//malF//tdcE//fimH//grxC//rdoA//ubiG//ulaD//cysD//purD//napG//gltV//yhhY//aaeB//guaB//mdtA//hslJ//livJ//rrfE//acrF//torA//znuC//trpA//gspF//rhaA//uvrA//yjcH//nac//yhhY//lsrD//modA//glpA//dpiB//cusS//torD//tyrP//rnlB//pitB//tdcA//
ArcA-Phosphorylated_pos	gcvH//livM//rnpB//acs//phoR//fucO//cvpA//phnL//rplD//hflC//pepT//mgtL//ycdZ//asr//bcsA//cydD//chbG//dadA//chiP//hybC//csgF//ilvG_2//rpmI//dmsB//caiC//hdeB//bioC//pheM//fucP//sufS//ilvH//soxR//cadB//yhcH//ptsH//yaeP//nuoE//slyB//hyfI//fepE//phnH//xapB//ytfE//dadA//nirB//focB//iraM//aaeB//ssuB//idnT//bioC//malE//dsdA//yeiL//gspK//atoB//yjeF//sufD//
ArgP-L-arginine_neg	phnI//
ArgP-L-arginine_pos	modB//ftnB//mntH//mepH//thrV//gntT//ccmB//nuoI//ccmG//norR//malX//alaA//ygaC//efeU_1//trpA//
ArgR-L-arginine_neg	acrE//ycjF//lamB//yeiP//ccmD//gcvP//hypC//gltA//nuoM//fucO//aceB//fadL//fecE//motB//cyaA//safA//gcvH//livM//rplM//pstA//fepB//ykgM//gspC//recF//adhE//hyfF//iscR//phnI//fimD//aroG//torC//ygeH//sohB//srlA//
ArgR-L-arginine_pos	sodB//yggX//rrfA//ybiT//trmD//
AtoC-phosphorylated_pos	manA//nuoM//yfiP//focB//
BaeR-Phosphorylated_pos	ilvB//rplV//mhpA//bcsB//yqjH//gltB//rpsP//ompR//
BirA-bio-5'-AMP_neg	thrV//galT//phnC//sodB//norW//
CRP-cAMP_neg	hflC//ydeP//norV//cynS//nikA//ubiG//ygiC//fabZ//cyoC//fecE//entE//citE//sdhA//sucA//rrfB//mglB//dcuD//hyfB//gatB//bioB//fucK//hflX//fimD//nohA//trpB//rseB//gspL//aroF//cheW//ompF//livK//sucA//fucP//grxC//yiaJ//frc//yfdE//metI//tdcF//rrsC//xapA//malF//hyaD//dppF//phoA//hyaD//caiC//ccmF//tyrB//adiC//psiF//hybA//purB//metA//ugpQ//lsrG//astA//acnB//cusS//tdcB//nfuA//sbmA//ndh//cysW//fimF//ahpC//rplM//hlyE//atoB//zraS//gutM//cyaA//mzrA//ftnA//ilvL//gspJ//argH//focA//paaJ//glcA//phnI//ptsH//cysA//dppF//hybO//aaeB//infC//mntS//argG//appC//xdhC//marB//argF//rutD//araG//rrfE//hdeB//napA//sbmA//betT//cysU//fucA//cydA//csgE//gcvP//xapB//acnB//mhpA//mscM//zraP//rprA//rrsB//casA//qseB//aldB//nuoC//folE//baeS//lysC//hybC//sdhB//ptsH//dppB//dnaN//ydeO//glgB//gspF//arcA//gcvH//rplI//cpxA//aceF//mpl//
