#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:14 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/regulons_by_conformation_effect.txt
Ada-Methylated_neg	yqjI//metC//
Ada-Methylated_pos	malT//puuD//exuT//lacA//
AlaS-L-alanine_neg	srlR//
AllS-allantoin_pos	fucA//hisQ//tpx//
AraC-L-arabinose_neg	livJ//erpA//rplP//znuB//rpsJ//rbsB//adhE//glpE//
AraC-L-arabinose_pos	nfuA//tehB//phnK//gltW//betI//glpK//fepD//hycB//acrD//citG//
ArcA-Phosphorylated_neg	fnrS//chbR//metI//dsdX//gltW//amiB//mgrR//acs//tsaE//livM//hycI//dsdC//malX//ilvX//dadX//ynfK//qseB//pta//codB//hycC//fhuE//trmD//preA//gcvT//cysI//rimM//astB//fucK//galP//aroP//rprA//nuoG//evgA//norW//dkgB//glpQ//ssrS//feaR//cas1//araJ//cydA//aroF//feoC//ada//moaD//mntS//ulaD//mhpE//phnC//hypB//arfB//tehB//polA//hycF//tsaE//guaB//tcyJ//aroG//metE//yfdV//cheA//ygiA//aldB//hyfJ//gyrA//glnA//narJ//psd//preT//acrB//creD//glnD//aroH//dgcZ//glpB//hycH//alaT//katG//fimI//glpX//uxaA//rhaB//tyrP//cbl//fdnG//bioD//araC//argA//livH//uhpB//lsrD//hyfB//malG//paaE//sxy//argD//tadA//rutF//hofP//hyfE//fadL//soxR//appC//phnM//cysK//mepH//napC//gatD//xylA//hycG//ykgM//hyfH//cusS//ldtC//csgF//secB//tnaB//araC//tdcF//pagP//hypA//hybF//galK//araJ//paaG//mltC//xdhC//
ArcA-Phosphorylated_pos	artI//fbaA//spf//agp//hflC//cadC//hflK//glpA//tyrP//cynR//ydiU//manZ//mzrA//gspF//ilvG_1//uxuA//trpA//uhpT//ldtC//bcsC//nuoG//prpC//ilvA//recF//csgA//rplB//ccmC//rpsP//hycE//malI//mglB//katE//bcsA//ebgA//phnD//trg//argO//hycE//ppiA//cysN//lrp//rhaD//livG//cas1//nrdB//mltC//iscU//efeU_1//fadB//yjeV//phoB//kbl//skp//sucA//mtlR//ssuB//kbaZ//yibN//
ArgP-L-arginine_neg	cspD//
ArgP-L-arginine_pos	gspM//dsdA//bglB//trpL//ascF//cbl//metC//feoB//fhuF//pyrC//glcA//ccmG//garK//nrfB//ccmE//
ArgR-L-arginine_neg	ssuA//ugpC//trpC//fimA//yaiA//feoC//osmC//ompW//ubiG//rplT//ydeP//hdeA//fadL//acrD//moaE//ugpA//qseB//artI//trmD//hycD//phnI//norR//hycB//gyrA//ansB//lsrA//nikD//lsrD//cusF//dppD//pagP//ydhY//dgcZ//ptsG//
ArgR-L-arginine_pos	lldR//mntS//phnM//bioF//paaD//
AtoC-phosphorylated_pos	fecB//puuP//marA//rplP//
BaeR-Phosphorylated_pos	hyaB//ulaC//aroG//torD//yjiY//dcuS//phoQ//araA//
BirA-bio-5'-AMP_neg	ssuB//hyfH//citD//appX//pgaD//
