#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	glnP//gatZ//
AcrR	cyoB//nikA//deoC//yebG//ruvB//gcvA//dcuA//flgF//casE//rsmH//yfaE//
Ada	serA//fumC//lacA//glpC//
AdiY	ybiT//ybaS//lyxK//leuO//yqjI//tdcD//glnK//moeB//
AgaR	sgbH//yhbT//ppdC//acnB//yoaG//lon//dsdX//cydB//ycjY//garR//ftsZ//
AidB	rstA//
AlaS	gntP//
AllR	mcbA//waaZ//chbA//paaG//nmpC//yciF//amn//thrS//yiaO//
AllS	astC//nikC//metB//
AlsR	napF//gnd//ulaE//ygeH//astB//sroA//
AppY	mzrA//hyfF//flhA//ydfX//fabZ//ydhT//ybbY//gpmA//ynfG//rpiR//
AraC	sgbE//cysN//lgoR//polA//iscS//tauA//gltJ//fliI//yfdV//ymjC//mprA//csrB//yhcH//fepE//
ArgP	hyaF//gntX//tynA//yhdX//uspA//ytfE//sgrR//fucK//tcyP//thiQ//puuD//ycjY//carA//cspD//
ArgR	tbpA//yhdW//nfsB//pgaC//mngR//paaF//infC//lacZ//fimB//gspG//mglB//garL//fadI//acrZ//yneM//evgA//wcaA//gadA//nrdG//dsbG//rhaS//tdcG//ycgZ//ymgC//hha//rhaB//mgtL//cho//fhlA//yhjC//chbR//creB//lsrC//galP//fecD//tdcB//cusB//agaS//
ArsR	folA//nemR//dinQ//
AscG	fabI//sroA//marA//rybB//gadE//
AsnC	murQ//accC//pspA//hcaB//
AtoC	puuA//oppA//ppsA//pdeL//
BaeR	gntT//ecnB//modA//osmY//purC//yoaC//fadM//uidC//
BasR	aceE//ydcU//rbsK//paaC//yebG//dsdC//ydfW//lysP//kbp//hyfI//yiaL//nrfB//safA//
BetI	gadY//fabI//araB//citD//
BirA	tomB//fruA//fixC//ttdR//mqsR//
BluR	ariR//napG//agaI//feoC//
BolA	guaA//mdtB//
CadC	rpmA//fliK//psiF//
CaiF	dhaL//psd//pgpC//srlD//flgF//putA//fliK//narJ//puuD//hdeB//
Cbl	trpB//gcvB//motB//fnr//tyrB//entB//purH//srlR//sufA//
CdaR	ubiC//rpoS//potF//yiaK//creC//flgH//rtcA//aceE//metJ//ynbC//
CecR	nrdA//sufC//mipA//kdpF//ygdB//
ChbR	ydfE//ygeH//asnA//sutR//treR//hycC//
ComR	astE//
CpxR	dmsA//acrD//caiD//feoC//aceA//dps//fliQ//ymjD//hdeD//entB//rfe//zwf//pitB//fepB//hyi//yhdZ//iraM//fliL//glgB//csgG//lacA//sucD//acrZ//chbG//hyfE//chbA//gcvH//lexA//mazF//hemH//dctA//alsC//feaB//nrfD//wrbA//kdpF//nrdB//kdpC//sucA//ygiB//ulaB//ybiT//yaiW//tdcC//nanM//dctA//yecT//rstB//cydC//mdtA//phnJ//ulaC//yfaE//yaiA//dmsB//ynfH//gadB//dctA//sgrT//seqA//gadA//pgpC//deoD//uspD//nrdG//lolA//flgN//glpB//fepA//rbsK//
Cra	tnaA//potI//fucI//fepG//fliI//metH//iraM//chbG//fadB//mdtD//hcaC//puuR//ibaG//moaB//tsgA//gapA//hypB//tdcC//phoR//lpxD//pheT//ygiZ//cysB//hcaC//leuD//xylA//hyfF//deoB//sucC//arsR//paaJ//tehA//cyoE//pepD//deoA//higB//phnO//hokE//fadB//lrhA//ecpR//cadB//nrfA//iscA//osmY//ybbW//glcD//entS//kdpA//aidB//hycC//rtcB//stpA//nikA//gadX//ccmH//gspL//dcuS//norR//pdeH//dhaK//gadA//rbsK//trpA//hyaC//casC//flhA//moaB//wzb//rpmI//dsrA//fliC//mdtE//zwf//acrA//lolA//yhdZ//yeiL//mdtD//
CreB	bacA//tcyP//hycE//isrC//lsrD//
CsgD	wzxE//glpB//polA//omrB//appY//alaS//mtlR//glnK//ugpQ//hokE//bglF//wecE//entD//flhD//nemA//gloA//rpoD//melR//gspH//murR//dcuR//kbaY//metK//hyaE//pgpC//hisJ//ydfH//sroC//
CsiR	phoR//focB//yciX//mpaA//appA//
CspA	marB//galT//
CueR	csgF//appB//rhaD//cysJ//hisP//gspH//glxR//
CusR	glpK//ptsI//ccmB//metY//ftsQ//lhgO//sroD//ldtB//agaS//kbaY//borD//rbfA//
CynR	ugpQ//fecD//lysP//gltJ//
CysB	cydB//bhsA//uvrD//alkA//hcaR//marR//atoA//rtcA//amn//rffH//ulaA//gcvB//eno//uvrC//csgC//marR//hemH//rbsA//hyaF//uxaB//yeaH//pqiA//mqsA//citG//ydcT//nanC//nikD//nrdB//nuoK//glyA//luxS//cynT//
CytR	yhbS//glnQ//narI//pspC//mntS//rbsD//codA//mtlR//phnJ//nrfA//deoB//ruvB//mgrR//
Dan	garK//uxaA//hyaE//galM//
DcuR	tdcE//flgB//ecpR//ddpC//emrY//dcuA//ldtD//appY//cusF//
DeoR	rhaB//yhbT//ccmH//gapA//murG//gudX//
DhaR	yqaE//malQ//yeaH//rbsR//
DicA	gspL//ahpC//malG//ydeP//mdtF//csgC//uxaA//rdoA//
DinJ-YafQ	fixC//fliP//degP//
DnaA	rnpB//agaS//fepG//slp//recA//qseB//metL//glnL//astD//nrfF//glpQ//flgD//
DpiA	nrdE//cadC//bioA//metE//lsrD//trpA//trpD//lrhA//phoH//malP//ykiA//
DsdC	ygaC//pheS//galE//
EbgR	yhjC//bglG//
EnvR	rclC//fimB//
EnvY	tsx//glcG//
EvgA	rtcA//hha//dsdC//lsrF//yidL//hyfH//purR//ytfE//mdtC//mgtA//tolC//ppdC//tktB//paaH//caiE//umuC//sucA//caiD//cysN//
ExuR	dacC//fadD//moaE//ycjG//fbaB//citE//pyrD//metH//yncE//
FabR	chbR//ddpC//
FadR	fepG//nfsA//hybO//yciF//fucR//sdhC//zraS//glnA//mhpA//oppA//ddpX//ompF//artM//pspC//sgrR//garK//yhdZ//pck//betB//modA//mngB//tdcA//lrhA//
FeaR	epd//accC//
FhlA	asnB//pspG//phnM//nanE//marR//aslB//insK//patA//ascB//nanK//ynbC//citX//yfdE//ycgR//tpiA//astC//paaE//hcaB//entE//seqA//hisM//yjiY//fliE//ppc//rcnA//cspI//treC//isrC//fliM//ybaS//
FlhDC	norV//atoE//norW//hyaD//tehB//fau//glpK//gudD//citF//mqsR//wzzE//glcC//cdaR//dsdC//fhuD//gspD//cysD//malP//ssuC//rffT//aroM//tehB//mhpF//ogt//hslJ//cdaR//appY//garL//chbR//galP//glpT//ppdC//torD//yhdY//yncE//aslB//rffH//puuD//metN//sodA//cytR//alkA//ynfF//rpiB//casB//tauA//phoR//csgA//yegZ//gabD//fadJ//nfsB//phnM//nrdE//ihfA//truB//moaD//nohA//lrp//dnaN//ldtD//cyoA//rhaT//ybfE//atoD//ompC//artP//dapD//recD//arsC//yeaH//cysN//citG//csgD//pdeH//fliI//nirB//ugpB//rpmI//narX//hybD//dsdC//
FliZ	nrdA//hycG//atoE//hemH//edd//allA//ymjD//casD//mntH//metK//aspC//nrdG//asr//norW//citG//ymgC//ydhV//astD//agaV//yrbL//aceB//
FucR	nupG//ybfN//ppiA//lacY//dacC//rbfA//tdcA//
Fur	entB//ugpC//pgk//rpiR//oppC//idnR//mgtL//agaW//xapA//agaR//ddpC//nrfG//pgi//fadM//treB//argB//trpR//rybA//gatD//yciW//ada//bioF//chbC//hcaC//hyfF//rhaA//zwf//umuD//acrD//mdtC//hisJ//pck//ydbK//ygiB//prpD//cusC//idnO//putP//allE//ydiU//nuoC//xapB//bluF//sfsB//acrZ//yeaD//inaA//cvpA//glgP//yqjH//cadA//yidL//yoeB//modC//acrA//hyfA//murE//dcuR//puuB//ybbY//cynX//degP//pheT//ydcV//dinD//malE//flgJ//mlrA//sra//ybiT//aceK//rffC//acnB//mdtF//hyfG//glnL//pgaC//ybdZ//lacY//gspD//dinF//zraS//carB//hyfC//ybfN//yiaJ//metJ//mdtA//yiiS//ydhY//ccmA//lyxK//ftsQ//uidB//sodA//dinI//ygiZ//nanM//ulaG//pgaA//ppdC//glnB//argB//nagB//ahpF//leuB//yqaE//ycjY//mioC//dinB//glmS//phnH//ygiB//gcl//cadA//ubiA//narX//xylF//tam//mgtL//purN//glcB//glxR//oxyS//entD//cirA//dapB//fixB//bluF//mhpD//
GadE	yfdV//aspC//torD//potH//cysP//kdpF//nirB//cyoA//evgS//copA//gspE//yidQ//glcB//dnaA//acrZ//bglB//exuT//lysR//cynT//yqjI//astA//bioB//yhdZ//focA//fliH//gadC//fepD//hisP//cysJ//
GadE-RcsB	sucB//pfkA//ddpB//cyaR//wzxE//gatC//glpF//fucA//fecC//
GadW	flu//mraY//yfdV//fhuA//argA//ttdA//yfdX//nupC//potI//phr//rpoE//glpB//oppF//tauC//fliJ//
GadX	lsrK//cyoB//sbcD//ybfE//mazG//osmB//mhpT//ybdN//dcuD//rsmH//rob//mntH//torC//htpG//mglC//mtr//lsrK//hemL//frc//appY//sucC//ptsH//ycdZ//nrfE//yegR//ppdC//ydiV//garK//ampC//
GalR	hybF//flgA//xylA//hyfF//yhiM//mdtE//relA//bglG//grcA//csgC//
GalS	rbsK//aceE//aceF//ymgC//hybG//flgI//nuoF//nirC//glcA//emrY//
GatR	yjbE//bioA//cysB//fixC//metK//aceK//
GcvA	deoB//htpG//torC//wzb//asnC//
GlcC	ydfE//poxB//ulaE//lldP//infC//tcyP//nfsB//
GlpR	metL//uxaB//betI//deoC//dacC//hokD//gapA//pyrC//rhaA//
GlrR	rutA//dctR//mngA//flgI//ccmA//
GntR	malM//lysO//ymjD//melB//sbcD//hycH//feaR//citF//nikD//hlyE//ompT//sutR//
GutM	flhB//waaZ//metN//tbpA//mdtF//dsdC//betB//
GutR	cysU//moaA//rutG//pepA//recD//yoaC//hyfR//
HU	dinI//sfsB//fhuD//iclR//cyoB//rhaD//yegZ//cpxA//tfaQ//
HcaR	ydeP//leuL//yhbS//narK//rseC//caiB//
HdfR	sbcC//modB//wzb//dmsA//potH//
HigA	dicB//hokE//
HigB-HigA	tehB//hypE//
HipAB	fbaB//dhaK//fliA//fau//ynjI//
HipB	cusS//yafP//csgG//tdcE//paaB//nrfF//
HyfR	cysM//gcvH//rutB//rclB//nuoG//cas1//yeaH//yegZ//mngB//pqiB//ftnA//napC//
HypT	ribA//lsrF//cirA//efeU_1//murI//nikA//phnO//lysP//gntX//cpxR//agaR//nemR//cysP//
IclR	sgrT//luxS//codB//lsrG//
IdnR	flgA//iraP//ydbD//mqsR//yidL//tdcC//ppdA//
