#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	yhjX//osmY//
AcrR	ccmG//hlyE//fliE//ppdC//tnaB//fdhF//uxuB//modA//moaB//mhpT//ftsI//
Ada	xapB//frc//cysI//mzrA//
AdiY	ddpB//cysU//flhA//cysE//glnB//yafQ//hemH//wzb//
AgaR	hipA//hha//ulaC//astC//artM//tauA//purM//pspF//fadE//fliJ//aroM//
AidB	caiE//
AlaS	phnL//
AllR	creB//decR//argE//dinJ//glpT//speB//wcaB//lacY//guaB//
AllS	mtlD//efeU_2//torC//
AlsR	pck//pgaA//ssuE//asr//trpD//glcA//
AppY	prpD//pspA//ugpB//pgi//allS//ydhU//fimB//nac//yqjA//yhcH//
AraC	sbcC//gatY//fepA//ybdZ//ydeP//yjhB//ptrA//sdhD//argI//ribA//allC//ymjD//hipA//metH//
ArgP	metC//cusC//cadB//exuT//leuD//leuO//yqhD//yfiR//alsC//nupC//puuP//nrdD//argG//aceE//
ArgR	chbB//glnP//psiF//cho//glpB//adiC//baeR//glnK//pitB//gudP//yiaL//fadH//oxc//ygiA//allS//putA//chbR//paaG//alkA//cysD//puuD//trpR//argG//fldA//ssuA//manX//glnD//cysK//yegR//frdC//purA//bdm//narJ//yafP//sucD//eno//yebE//fes//
ArsR	pykF//yhjA//nadA//
AscG	lysP//gntU//yhcH//yeaG//fliF//
AsnC	gloA//fruK//galK//gspG//
AtoC	paaZ//torD//nikD//caiF//
BaeR	xapB//mhpA//feoB//paaI//borD//casD//nirD//nupC//
BasR	hflD//mnmG//lgoR//trpE//uxaA//gspD//nagE//treC//phnF//metC//dsbA//flgD//mhpT//
BetI	ompF//idnR//rseB//fhuA//
BirA	rbsB//mdtA//cynX//feoA//gpmA//
BluR	dcuB//xapB//glnD//melA//
BolA	sufA//hcaR//
CadC	ynbB//ecnB//rpoH//
CaiF	lolA//caiT//bacA//lsrK//ybdN//fepA//asnA//sdhB//yhhY//cra//
Cbl	pqiA//fecD//fecB//araF//araD//nrdA//ynfK//narH//ada//
CdaR	uxuB//dinQ//hflD//hybC//ycjY//hybB//torC//nanA//sufB//gudD//
CecR	phoP//gcvA//artM//ccmE//yciX//
ChbR	ddpD//ydcS//ulaC//hycE//phoR//creB//
ComR	gntU//
CpxR	aceK//recX//mdtE//fumC//moaB//pitB//cpxP//ydeN//yhhY//ptsH//crr//gadC//hyfG//fadA//cspI//cpxQ//torR//higA//tfaQ//chbB//puuA//exuR//yoaC//torD//tynA//rclA//glpB//sroD//srlE//atoE//mdtD//glcE//napF//prpR//flgF//srlB//iscR//ydfX//nohA//chbB//treB//gspM//intQ//yeaH//pgk//serA//yaiW//hybG//yiaM//cysA//cydB//lrp//hyfA//bglJ//rnpB//flgB//alsC//manZ//glnB//malS//pspG//dsdC//fdnG//yafQ//guaA//uvrB//mdh//glnL//oxc//dgcN//
Cra	trpR//ssuB//ddpC//rimK//psd//yccA//hdeA//umuD//lolA//ddpA//fliE//cusB//pstA//fixC//ihfA//hisQ//ddpB//ybhL//asnA//pspD//accB//gatA//cynR//ldtC//mazG//yhdW//glpA//hemH//yjbF//glmY//hycD//nfuA//crl//appX//hypC//sgbH//murP//dmsB//nhaA//narK//focA//rtcA//glgB//napF//glgX//yeaE//glgA//lhgO//mazF//sroD//ompW//aceF//oppB//insD//yeaD//mqsA//mglA//uidB//tktB//uxuR//patA//bolA//isrC//nanM//hypB//rcnA//mqsR//nanE//cydA//rbsA//ibaG//aceB//fabZ//araC//bglG//gltB//mipA//rybA//fabH//
CreB	ccmH//ascB//cpxP//yegH//ygaC//
CsgD	yjbF//uvrD//gpmA//dps//cynS//rtcA//gadX//soxS//galT//bioD//purK//argG//focB//fecI//citF//cyaR//cpxA//putP//katE//fabG//alsA//astC//thrS//dgcN//nimT//phoE//lsrK//hyfA//
CsiR	hyaD//citC//phoR//yhdX//mzrA//
CspA	idnK//alkA//
CueR	yjhB//puuR//ecnB//ugpB//crr//marA//nuoA//
CusR	cynS//focA//betB//gspF//fliT//ftnB//yrbL//araD//phnF//insD//wzxE//ompC//
CynR	dkgA//casB//hyfF//tsr//
CysB	bioA//srlD//sucD//dnaG//csgE//atoD//hyaE//grxA//recF//grxA//argB//zraR//ccmF//fumC//ydeM//nfuA//recX//leuO//alkA//modA//purD//bglB//oxc//torC//uxaA//tam//gatA//nuoL//casD//mpl//hyfF//potF//
CytR	marR//casC//uvrC//pstS//ssb//waaY//paaH//citE//ftsZ//gspK//cadA//marB//ompW//
Dan	frdA//tdcC//lsrK//flgG//
DcuR	ptrA//lrhA//guaB//yafN//uof//rybB//soxR//gabP//phoH//
DeoR	torD//agaW//ccmG//gutQ//mltF//ftnB//
DhaR	caiA//aceB//feoC//hybC//
DicA	adiA//ychF//dps//gcvT//uspD//kbaZ//hyfI//glcF//
DinJ-YafQ	ymiA//emrK//murP//
DnaA	gadF//idnR//glnK//copA//malY//gspF//rhaA//pfkA//mglC//ugpB//lsrK//relA//
DpiA	glnD//hybB//pgi//luxS//yjbG//mqsA//ydfW//malY//ssuE//ddpA//udp//
DsdC	fucI//rsmH//pspD//
EbgR	dcuA//zraP//
EnvR	bluF//iscR//
EnvY	ompN//ydeN//
EvgA	fucO//flgH//ppiD//nirD//thiP//fliJ//fliF//eno//baeR//wcaA//dnaA//exbB//yfbR//gudP//deoA//moaE//ilvC//sroC//puuD//
ExuR	degP//tdcA//wecE//ydfN//gloA//galM//yhjA//rffG//yfdX//
FabR	hybO//phnC//
FadR	purR//ebgA//cusF//chbB//entF//rcnR//ydbD//murQ//oppA//rybB//deoD//argE//guaA//glgB//hybD//entH//mraY//argA//symE//sufA//lldD//yhdZ//lsrC//
FeaR	hyfI//mioC//
FhlA	flgD//mgtL//nagB//mazF//fdnG//uxuR//fliT//nrdB//fimB//ynfF//recN//fixA//fumB//yagK//ccmD//yhdX//araJ//rseA//tdcB//cho//creC//sucA//hyfD//arsR//glpK//tam//mzrA//nuoG//nfsA//galT//
FlhDC	omrA//rseC//csgB//dnaA//focA//ydiU//gcl//gloA//rffG//tyrP//sbcD//fucP//zntA//gltL//rutG//marA//fhuD//phnE_1//bioC//gspJ//purR//mqsA//glcG//ybfN//folA//dmsC//cusF//rhaS//ytfE//sdhB//fabI//cheW//kbp//safA//recA//mhpT//rarA//speB//cynX//tdcG//artQ//yiiS//hypE//sbcD//gfcA//serA//ribA//ubiA//araF//malF//mglB//asnC//fliT//mdtD//pspE//sbmC//glpF//nimR//pgpC//psiF//mhpT//hyfH//pspF//nupC//tauA//agaD//mraZ//soxS//ygbA//fepA//nemA//rbsK//hcaD//srlB//gspE//ftsW//yjhB//nrfB//motB//yhhY//ascF//ycjG//
FliZ	hycA//exbB//mgtL//pgk//lsrR//chbC//mntS//lsrR//rnlA//glnK//ilvC//napD//yoeB//yjjZ//dinJ//trpA//hycH//hyi//ascB//rutG//citG//
FucR	leuL//sra//ddpD//ynbB//nohA//oppD//ompT//
