#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	napF//gspJ//
AcrR	wzc//yciE//yeaD//flgI//yagK//manZ//accD//tyrP//pepA//decR//fruB//
Ada	torC//hypA//hycE//glpC//
AdiY	dsbA//cyoD//fruA//rpmI//csgC//fepG//kdpB//ulaB//
AgaR	fabZ//hcaB//argR//nuoL//idnD//dinG//mglA//uspA//omrA//ykiA//hydN//
AidB	murQ//
AlaS	nfsA//
AllR	garP//srlE//yecR//ftsZ//adiC//sra//gapA//uspE//potF//
AllS	fepG//deoA//yafQ//
AlsR	fdnI//astE//ccmC//glpB//ykgM//hokD//
AppY	argT//mscM//mtlR//glnD//metE//yhiD//mdtF//potG//hyfF//cydD//
AraC	grcA//zwf//glpC//fecE//phnK//grxD//ftsL//gadC//grxA//ptsI//allE//hyfI//moaC//rdoA//
ArgP	mazG//wecE//spy//fixX//dcuS//yfaE//ydiU//yfiB//cydC//hyfR//rob//ldtD//ndh//yefM//
ArgR	idnR//relE//betT//sra//cydD//nanS//agaD//hybA//lamB//gadA//dtpA//hisJ//focB//ompN//lsrD//rhaS//ssuA//phnG//prpD//astC//cadA//wcaB//gpmM//prpR//flgH//hyfJ//iscR//dnaA//erpA//ynfF//speB//dcuS//cadA//hybC//ynbC//puuD//fliI//ychF//
ArsR	glnG//rhaS//cadB//
AscG	ybbY//hycE//dinJ//ydeP//ccmG//
AsnC	dmsC//wza//cysB//tdcG//
AtoC	leuB//recF//yhbE//decR//
BaeR	fucO//nrfB//hipA//ascB//mntS//napH//rpoD//gcl//
BasR	rsmH//xylR//nikA//ulaC//tam//guaB//pnuC//acrA//gcvH//ung//hyfB//agaD//rhaS//
BetI	gpmA//emrY//ddpD//cysD//
BirA	cytR//ydeP//pheT//creB//purK//
BluR	ascB//malT//decR//galT//
BolA	fecR//ftsL//
CadC	tyrA//metJ//phoU//
CaiF	speB//pheT//hisM//galE//pspA//ydhV//alsA//cpxA//moeA//glnQ//
Cbl	nirC//yeaD//fumC//stpA//mlrA//hcr//fepD//gspE//yhbT//
CdaR	carA//yafN//yebE//ompN//glpA//norV//phoU//gadY//fumB//hypB//
CecR	creB//dcuS//csgF//ptsI//tdcF//
ChbR	ariR//astC//malK//glnH//cynX//sdhA//
ComR	ada//
CpxR	nrdG//relA//uidC//uxaC//rclA//treC//fliS//flhE//yjjZ//fucR//phnL//dhaK//yqaE//cytR//higB//argF//gnd//ppdC//rutR//ydfX//yrbL//ebgA//flhC//ompF//yfdV//cusR//rimP//evgS//feaB//cydD//uxaB//iscR//cynT//ybfE//bglG//feoA//appA//mazF//mazG//ssuB//modA//yhhY//hyfI//paaE//moeB//trpE//dinF//srlE//gabD//gcvA//cydD//fliK//pgaA//exuR//pyrD//gfcA//gatC//ybhS//spy//pstS//argG//znuC//fliO//mngA//gntU//glpC//nuoL//agaD//gspO//rpsU//
Cra	phnJ//dcuA//rbsR//nrdF//feoC//gltK//eno//moaA//acrB//nfsB//fruB//ydcU//cysG//ssrS//yjhC//prpC//gatY//ssuC//araF//yjhC//mdtC//uidR//insD//malZ//rob//glnB//fimB//uof//wcaB//tynA//ynbB//ydbD//dhaK//katG//mgrR//metJ//mraY//cysK//mpl//nirC//kbp//mioC//insD//nikC//ascB//ydeN//argP//wecC//ygeA//aceF//recF//gltK//evgA//acrA//pdeH//motA//iscU//fepG//tcyP//citX//rbsK//recF//rseA//mcbA//obgE//hypC//chbR//ssuB//nanM//pyrD//ftsQ//casA//dkgA//ydiU//qseC//nikC//glnB//pqiA//trpC//
CreB	uhpT//oppC//yfdV//alsA//tsgA//
CsgD	rutC//pheT//lysP//putP//edd//asnB//ubiA//puuE//fhuA//paaG//wzb//fliG//ydjM//tolC//dnaN//sodB//fruA//polB//yjbF//cheA//tdcE//cbl//nrdA//tsr//add//rhaR//ftsA//nirD//
CsiR	oppC//sgrR//ppdB//pnuC//thrS//
CspA	ubiC//phnI//
CueR	puuD//lhgO//hybE//agaA//murR//nhaR//mngA//
CusR	baeS//pspE//yeaR//yoaC//rutA//yoaC//cysN//accD//lgoR//nupC//ybjC//higA//
CynR	ygiB//nrdH//uvrA//fixC//
CysB	glpA//galR//ybhR//lsrF//cpxQ//znuA//dmsD//epd//ydcS//flgJ//tadA//napF//creB//tcyP//katG//ung//melB//hybG//nrfF//pitB//argG//iscR//malX//dcuS//araD//hyaE//ftsZ//ydhW//ybaT//yfiR//gatC//pgk//
CytR	pyrC//pgk//bacA//ydhT//yagK//tynA//lpd//sroC//gatY//creD//gspC//ppiA//yjjQ//
Dan	ulaC//dinQ//ppdC//talA//
DcuR	ecpA//phoA//accC//nanT//tomB//citE//ybbW//yccA//chbG//
DeoR	mdtD//glpK//acrZ//yeaH//purD//cysN//
DhaR	malK//bhsA//fes//codB//
DicA	dgcZ//srlD//xylH//dnaG//yhiD//bioD//pstC//rhaR//
DinJ-YafQ	glnK//amtB//mqsR//
DnaA	yjbF//gadY//lsrC//ynfG//yefM//fliR//rnpB//pspD//recX//lsrD//ydeO//ybdN//
DpiA	lysA//ulaD//ccmA//sdhB//dhaR//nhaR//rplU//crl//ygiA//thrS//acrB//
DsdC	fdnG//dgcC//hypD//
EbgR	entE//aroM//
EnvR	araJ//phnM//
EnvY	ygbK//wrbA//
EvgA	ydfX//dapB//yncE//paaH//treR//narH//pck//dsrA//ddpX//nfo//ybhG//rnlA//deoD//fucU//mqsA//pnuC//ompT//murR//dps//
ExuR	ydeO//phnF//agaV//ftsA//hyfA//mglA//nirD//leuO//dacC//
FabR	ybhS//dgkA//
FadR	recA//uvrA//argC//mdtC//hyfE//lon//cpxQ//yncE//melR//paaI//wecE//hokD//flu//puuD//tyrB//atoD//xapA//yhjC//hyfA//purM//yiaO//hybE//mhpC//
FeaR	nuoG//pheM//
FhlA	ygiB//rhaA//dnaG//ribA//ada//ulaD//cas1//narJ//metF//ydfH//recB//glcA//yciE//rclA//caiC//caiC//srlE//phnG//tauD//hybA//lldD//nadB//relA//nrdD//alkA//cdd//uvrC//baeR//pgaD//mpaA//
FlhDC	flhE//znuA//ecnB//cadB//glyA//tehA//yiaM//inaA//ydfX//pyrD//gltL//paaA//mzrA//rpoE//hybC//ynbC//gspO//stpA//fau//mtlA//dacC//mtlD//asnC//glcC//ulaA//rhaB//pstB//ynfE//hcaE//aspA//qseC//fixX//argI//lysP//ftsI//flgN//nagB//fadM//glcB//mlc//dgcC//hybC//nadB//tsgA//malF//hemH//moaD//tyrP//mntH//dinQ//yqjA//nanC//edd//borD//ulaE//metE//motB//rbsA//fliG//pflB//dnaA//cydA//hyaE//lpxD//lacA//malS//nrdA//gspD//ulaA//ubiC//rplU//ttdB//pdeL//galT//ybaS//icd//tdcG//xapA//pnp//btuB//murR//higA//
FliZ	mazE//dacC//oxyR//aceE//tynA//galM//htpG//pspB//deoD//sgbH//fumC//tsx//isrC//glmS//dsdA//yidL//narH//crl//gspE//bluF//agaR//
FucR	potH//dcuB//waaY//hybF//creA//ebgA//nikC//
Fur	moaB//flgB//dsdX//sdhC//glcG//nikE//oppF//purM//ugpB//emrK//yfiB//ptrA//fucI//hdeB//creC//patD//nrfF//ubiX//fliS//serA//flhA//rseA//acrA//hcr//pstB//manX//galT//gudP//dsbG//cysD//ppsA//nrdE//sufS//yhdW//efeU_2//uvrA//araG//flgL//mipA//pgaB//cysH//dapD//agaD//yaiA//fliO//sucC//acnA//nadB//molR_1//ygeA//fimB//yjeV//nrfB//pheS//ynfG//tdcB//mhpT//mqsA//nikD//cdd//iraM//hcaB//leuD//pgaA//sroD//oppB//fecI//argG//yfdE//rpoD//gcvT//fecA//tsr//tadA//rutG//gudX//argP//fliF//nrfA//rffT//ybaT//infB//uxuR//rutB//ynfK//cirA//malY//seqA//nuoE//asnA//ompW//glpK//yjjZ//lpxD//glpX//cydC//lacZ//fbaA//nrfC//yjeV//cpxA//yhjC//cysA//atoA//fimE//recD//pgaD//yeaE//yciG//agaC//emrB//pdhR//csgB//xapB//yhiM//lacY//murG//leuD//glnK//tsgA//agaD//entE//trpD//fes//slyB//deoB//bioF//hyaC//pgk//srlD//
GadE	glpT//dcuA//frdC//purA//murI//murE//yagK//yciW//gudD//nagC//pnuC//nuoM//hybO//chbR//zinT//ubiA//frdB//cyoB//setA//manZ//ydhX//gspG//phnN//hycF//yciE//galS//flgM//glcB//nikE//
GadE-RcsB	kdpF//hycA//treR//tyrP//mnmG//bioB//lysR//baeR//cytR//
GadW	gcvH//zraS//yeaE//gadY//yneM//cpxQ//rpiR//ygdB//agaS//acnA//sfsB//pgaC//lacY//metY//uspE//
GadX	moaD//glpC//ung//hcp//fimB//kbaZ//trpL//dcuD//sgrS//csgC//slyB//hyfC//fau//degP//hyaD//uvrB//argB//manY//ulaC//hcaD//malM//hybA//ycgZ//ssuE//relA//tadA//mazG//galS//nuoB//
GalR	nrdE//ftsK//amtB//acrZ//hmp//yrbL//xapA//gadC//efeU_1//rdoA//
GalS	hns//kbp//hipB//astE//glcB//sodB//yfdV//fbaA//yjjQ//flgN//
GatR	rutR//purD//paaG//hha//flgM//gatY//
GcvA	murG//nikA//casA//ftnA//nirB//
GlcC	fixB//speB//araC//ydeM//galP//mraY//katG//
GlpR	phnH//murD//yhdX//ymgC//phnN//galS//pgaA//gspO//kbp//
GlrR	phnD//artQ//ampC//rtcB//hisJ//
GntR	metY//dctR//metI//gcvT//paaG//citX//ydcS//pncB//marB//ybdZ//relB//yjbG//
GutM	wzyE//hcaF//fixB//mgtL//ydeP//ydbD//mhpE//
GutR	bglB//fliK//phoH//ydiU//dnaA//allB//hisP//
HU	dpiA//dpiA//galM//ccmC//nimT//asnA//lysP//psiF//glpK//
HcaR	mpl//mdtD//sdhB//cadA//agaV//aroP//
HdfR	nikC//glcD//metN//ycdZ//sufE//
HigA	envC//mntP//
HigB-HigA	murI//tehB//
HipAB	gspC//dps//ccmE//xylA//araD//
HipB	rnlB//fadM//cas1//thrS//glpK//tauA//
HyfR	chbF//lysP//uvrB//flgF//hdeB//nanC//nrdF//wcaB//dtpA//yeaR//glk//moaD//
HypT	ydcS//cusA//rpoE//napC//hycC//nmpC//infC//phnL//torR//slt//glcB//gudX//trpL//
IclR	lsrB//moaC//hyfH//grcA//
IdnR	phnM//oppB//feoB//borD//glcG//ssuB//yegZ//
IlvY	gnd//ccmC//
IscR	mgtL//yhdW//alsE//fdhF//ompW//gpmM//ftsL//srlD//fhuE//tdcG//feoA//cysM//hemL//pepD//mgrR//flgJ//flgI//sroC//paaY//lolA//ygiB//gutM//rpiB//hypF//chbG//araJ//metJ//fepG//narJ//ydfE//ygeH//sgbE//
KdgR	ugpE//flgF//
KdpE	fliZ//phr//ruvB//sbmA//
LacI	paaJ//sufE//phnN//
LeuO	pgk//agaV//glnH//mdtE//glyA//moaC//katG//potG//nrdG//ydbK//degP//fliO//moeA//betB//exuT//dmsB//fldB//fabG//hlyE//leuO//
LexA	yqhG//hyfA//flhD//nanT//argO//nimT//crr//frdD//fhuF//tehB//phnJ//leuA//nirB//glnK//modA//fhuF//recB//dsdC//napC//ppdC//narI//rpoE//exbD//fepG//fadA//ssb//fhuD//ryhB//asnC//molR_1//galS//ariR//lysO//ompW//nagA//sutR//nfsA//ydiU//lamB//argG//ahpC//cysA//flgC//tauC//ydhX//csgB//gadX//chbG//cyoE//metH//cydC//gloA//rplU//citD//pepA//emrA//tfaQ//lsrA//fucU//
LldR	lacA//araC//bamE//
