#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	gspC//nanS//
AcrR	caiC//mhpA//metK//moaC//lsrC//lpxC//guaB//ybdN//yfaE//gspO//ccmD//
Ada	glpC//appY//fliP//hcp//
AdiY	rbsC//crp//moaA//cysU//luxS//fixC//narK//fiu//
AgaR	lpxC//mgrR//gltF//gspG//polA//patA//oxyR//treC//accB//srlE//aroM//
AidB	rseB//
AlaS	ydbK//
AllR	mhpB//sgrT//ynfF//agaI//ymjD//ulaE//ydeM//malQ//lysA//
AllS	ydbD//dinJ//napA//
AlsR	argI//fepA//yiiS//nagE//gspH//uspE//
AppY	wza//araB//entB//tadA//ycdZ//uspA//edd//yebG//potH//ttdB//
AraC	citC//entC//ompF//hycC//ydiV//iscU//pdeR//malI//oxyR//rtcA//putA//gatC//atoA//pitB//
ArgP	fadI//nanK//setA//acrR//uidR//decR//ydcT//guaA//fucA//dsbA//artI//murI//casA//yqaE//
ArgR	ttdA//sgrT//fecD//napB//gyrA//relB//purM//nrdD//uvrY//fhuE//argF//rbsK//rarA//yfiB//dinJ//symE//fepA//dhaM//mngR//ytfE//osmC//gdhA//gspD//fliF//ftsI//chbC//idnT//amtB//rplT//cusB//dkgA//dcuS//marB//znuB//cdaR//yhhY//glnG//garR//
ArsR	fliL//recX//yqjH//
AscG	pyrD//argA//marA//dcuA//insD//
AsnC	arsR//lpxA//ycjY//fixA//
AtoC	ydfX//lolA//slt//ccmH//
BaeR	napC//ynfG//allB//glyA//cusR//yiaL//hflD//mngB//
BasR	aroF//ccmH//rffC//yebG//yafO//feaB//hisQ//appY//rutD//yhbE//nrdD//fucU//ybdN//
BetI	mdtB//nirC//lpxD//carA//
BirA	nikR//ulaG//gadB//carB//mdtC//
BluR	gpmM//caiA//frdB//pykF//
BolA	feoA//rbsA//
CadC	metN//fldA//yjjQ//
CaiF	metH//umuD//yebG//uof//metC//yhiD//ynfF//fadA//hybE//uidR//
Cbl	asnB//nupC//hyfA//nrdG//appA//aroP//ycdZ//hybF//ugpQ//
CdaR	focA//nrfF//dgcZ//mgtL//gspK//icd//hyaA//puuB//thiP//ybaT//
CecR	yaiA//nrfF//caiT//galE//pstA//
ChbR	lldP//rbsK//rclA//ruvB//ebgA//fliM//
ComR	fixC//
CpxR	hyfI//glnA//norW//isrC//recD//hokE//argI//galR//garP//htpG//rhaS//motA//prpD//yibQ//fepA//bglJ//ynbB//glcF//dmsB//xapB//yeaG//recN//hipB//luxS//yiaN//wcaA//nanS//pncB//hybF//eno//recB//araD//efeU_2//purD//sgbH//yiaK//mqsR//fliH//aidB//ftsI//mglA//lsrB//hybC//amn//argF//cynS//araF//ecnB//cysN//cbl//bluF//mgrR//rutF//ybaS//gcvP//nrfG//fhuB//cusC//ymjC//feoC//fhuA//glcB//hipA//fumB//yrbL//ybhG//artP//hyaF//torD//dsdA//
Cra	gnd//sutR//hisM//ppdA//katE//nanM//gltF//ydfX//gudD//paaX//narH//dmsB//ccmC//cas2//ybhG//ygiB//fucK//entD//caiE//appX//idnT//iscA//deoC//flgI//putA//malI//dmsA//yfdV//znuA//psd//hyfC//rdoA//yciE//rnlA//moaA//gadC//gadF//cusA//ddpF//argI//garR//napH//lldD//pqiB//acrZ//tsgA//ulaG//yiaN//mlc//fabH//agaA//pheM//chbR//yidQ//ydeN//ecnB//rtcA//puuC//cynS//bglF//hypD//glnB//mtlD//csgG//ccmB//mdtC//metC//frdA//rhaT//yiaO//idnO//fecB//gltD//malT//ulaE//adhE//atoB//dps//dmsD//
CreB	allB//hybB//csgG//malZ//rhaB//
CsgD	yrbL//rpmI//hybD//tnaB//polB//srlR//rnpB//ppdA//dapB//wzb//tnaA//cysA//yfiB//cysA//malQ//yhdX//dkgB//bdm//nuoK//paaH//manX//rtcA//paaE//tfaQ//rseB//mgrR//pstA//hybD//
CsiR	yedX//malZ//glmY//mhpB//appB//
CspA	aroF//lldP//
CueR	fucA//creB//acrZ//waaH//pheS//hmp//prpC//
CusR	fixX//rpoH//zntA//carA//malG//argF//nfsA//csgB//pstS//rffH//entE//dapD//
CynR	dicB//rutE//lacZ//murF//
CysB	lgoR//ynbA//narL//yhdX//motA//garP//ompW//ybiT//yebE//tdcC//rpiR//aroG//gspO//narH//paaH//polA//ascB//rhaD//sgbU//fau//mhpF//relB//casE//pnp//yncE//acrR//rclB//astC//nuoK//fliG//relA//ycjX//
CytR	znuB//putP//astB//fabD//norR//malK//dnaA//torC//malF//higB//mtr//yebE//mgrB//
Dan	gspE//ptsI//dinD//fadI//
DcuR	pstB//rstA//yjbE//chbA//rhaA//ydfN//tcyP//yqhD//hlyE//
DeoR	lsrG//ftsZ//baeS//caiE//srlD//osmB//
DhaR	nupC//argG//paaK//rseB//
DicA	purC//fdnG//agaA//feaR//citD//cyoB//galT//dnaG//
DinJ-YafQ	sucC//pdhR//murE//
DnaA	ftnB//mtlD//flhC//obgE//hokD//moaE//yciW//ddpX//wzyE//modB//flgF//lsrF//
