#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	galS//purD//
AcrR	mdtA//gltJ//hyfB//hyfG//nuoK//ftsZ//paaH//hypA//appY//ubiC//hcaF//
Ada	hypA//ftnA//mtlD//rhaB//
AdiY	ddpX//mdtE//chiP//rhaT//kdpF//yhbT//ppsA//ppiA//
AgaR	cytR//hycE//umuD//aroP//fabB//glnA//gntK//flhD//tauB//leuB//yciG//
AidB	flgN//
AlaS	ftsZ//
AllR	lon//dcuB//efeU_2//carA//hyfI//pqiB//rutR//dinJ//insK//
AllS	ruvA//ptsH//gyrA//
AlsR	hypE//melR//mntP//nemR//artP//omrB//
AppY	yeaG//araJ//nuoA//poxB//nac//thrS//argD//hdeA//tnaB//dcuA//
AraC	yebE//leuL//hyfH//rybA//phnD//gltB//grxA//ybhL//ykgO//waaY//rpiR//accB//entF//fliG//
ArgP	ygiA//paaI//ubiA//araF//ydfD//nuoF//lldP//edd//rhaA//ulaG//rutD//mglC//setA//glpC//
ArgR	napC//lpxD//ccmE//fixA//rpmI//gloA//fdnI//hyfB//fixB//glnD//nupG//yneM//hyfI//argF//hisQ//ybbY//ugpQ//znuB//gltL//pyrD//argC//bolA//gltB//ppiA//malF//ygaC//znuC//nrdF//cusR//cusF//fadM//pheT//moaD//mprA//ecpR//cyoE//iraM//nlpA//
ArsR	yiaN//gatC//rstB//
AscG	slp//melA//uvrA//fabD//lon//
AsnC	cyoE//leuD//rclC//cusS//
AtoC	nanT//yeaH//cas2//dapD//
BaeR	mhpE//gatY//flgF//trxC//lamB//metK//tauB//entS//
BasR	cdd//argA//puuE//csiD//umpH//mgtA//chbB//yiaO//dsrA//nanA//yfdE//zntA//argI//
BetI	yeaE//poxB//pnp//nadB//
BirA	aldA//potF//nuoF//hyi//tdcB//
BluR	nemR//adhE//mpaA//phnM//
BolA	uxaA//iscU//
CadC	yegH//lsrA//caiB//
CaiF	gor//nuoN//fnr//grxA//cusA//flgN//mpl//fadA//fliF//hycI//
Cbl	gnd//skp//purC//aceB//nupG//slp//pgm//rclC//moeB//
CdaR	gspJ//alkA//cadC//wzyE//tsr//mgtA//patD//dgcN//rcsA//arsR//
CecR	nimT//lgoR//grcA//degP//erpA//
ChbR	ykgO//alsB//fliR//tsr//poxB//garP//
ComR	gntK//
CpxR	ydfH//znuB//pncB//caiT//infC//mqsA//umuD//ydeM//metL//creD//alsA//pdhR//ydeN//rdoA//pagP//xapA//ygiB//fur//truB//wrbA//gor//sucC//pspB//yhbT//fixA//dmsA//ynfG//ssuC//slyB//malF//murQ//yjjQ//cspE//fadR//narG//iscR//purC//rtcB//ydeN//phnP//ruvA//fliD//fliE//insD//cyoC//rdoA//ydeO//argC//ttdR//araD//agaS//tnaA//puuP//csiD//yecR//marB//rseB//ynbD//ecpR//lpd//metC//ydhX//hyfB//moaD//fucA//flgE//cyoB//glnB//cusB//amtB//
Cra	yidL//yhdW//fruB//aceE//rseA//phnG//dicB//mglA//frdB//ulaB//araB//ppiA//rfe//folA//umuD//dkgB//dgcN//exuT//cysC//ccmA//frdC//yjeV//glnP//nuoG//ruvB//cdaR//mlc//narL//glcG//sgrS//citD//bglF//nrdD//lldD//cysG//rprA//tsgA//xapA//ybiT//pnuC//ebgA//hybB//lyxK//glcB//hns//yegH//uspA//hyfB//hisQ//fliK//narL//hyaF//cysH//ulaF//artI//symE//uvrD//hyaA//cysG//agaD//tcyP//tktB//glgC//nuoB//cyoE//decR//nhaA//tauC//ynfH//artP//pyrD//pyrC//trxC//tdcC//yoeB//bacA//glmU//ecpR//hyfE//
CreB	kdpB//flgA//phnE_2//nadA//glxK//
CsgD	bamE//ykgO//argT//pstS//fepA//yhdY//cusF//murQ//motA//trpR//ychF//dinQ//argE//garP//araJ//paaG//patD//rcnB//dsbG//nanK//gltJ//mhpE//pheT//nirC//fliQ//narL//rffT//glcA//
CsiR	gntP//oppA//ihfA//murD//rdoA//
CspA	nfsA//modC//
CueR	nanS//srlB//dkgA//rtcA//nrfG//cpxP//cadC//
CusR	trpL//entS//pgaD//ycjF//bglJ//rsmH//araD//oxc//tadA//yfiR//yhdZ//aldA//
CynR	fadR//ydhT//hypE//yiaN//
CysB	flgB//araJ//paaG//gloA//cdaR//glnL//gadX//yafO//uof//tolC//fabA//astA//yiaM//hdeD//manY//yqhD//arsR//mhpF//nhaA//dicB//paaF//mngR//dinG//mhpB//yeaD//casC//nikE//flhD//gloA//ftsW//betB//paaA//
CytR	lpxA//tonB//paaD//copA//yiiS//alkA//norW//cusS//ldtB//dicB//yiaO//cysG//idnO//
Dan	lsrK//pdhR//hybD//ybjG//
DcuR	atoD//csgG//ssb//yegR//wzxE//mscM//cyoB//flgI//fepE//
DeoR	rbsD//yjbH//cysG//yhiD//atoB//manX//
DhaR	fhuD//ykiA//iscA//tehB//
DicA	argI//dcuS//ccmD//glnK//aldA//ftsI//cpxA//setA//
DinJ-YafQ	paaJ//mprA//nuoI//
DnaA	puuC//hycD//artI//yoaC//lrp//yccT//hycF//ttdA//ahpC//tynA//nadB//uhpT//
DpiA	ycjF//rhaA//ydeP//copA//umpH//nrfG//yibQ//pheM//dsdC//wcaB//sucA//
DsdC	tynA//wrbA//purR//
EbgR	aspC//prpB//
EnvR	qseB//pheT//
EnvY	efeU_2//btuB//
EvgA	tcyJ//agaR//fadD//fadI//flhD//atoD//tolC//ynbA//tadA//idnK//araJ//uidR//qseC//sgrT//ulaD//bluF//fliJ//metB//umpH//
ExuR	zraS//chbF//efeU_1//caiD//dsbC//tomB//wcaA//ttdR//cysW//
FabR	slt//ygiA//
FadR	hisJ//tyrA//slt//lhgO//sufE//leuB//fliR//mhpC//ydfE//uspA//yhjC//gutQ//rbsD//araB//flhC//ydeI//thrS//tauA//soxS//tpiA//hyfI//rbsB//rplT//
FeaR	dkgA//pdeR//
FhlA	gadC//ygaC//cyoB//idnT//araH//murG//glpB//sdhD//wecB//dhaR//glpD//fecA//rdoA//asnA//wzb//fiu//uidB//prpD//fucP//lldD//fliD//truB//dmsD//garL//gcl//bglG//yafO//yhbE//rhaR//ulaD//
FlhDC	pheM//add//nikA//gcvB//cyoD//oppF//mazF//yhbS//gspK//hcaB//ybhR//sgrR//erpA//narJ//dsrA//torD//galT//iscA//sgrR//aslB//napC//paaA//cydA//csgG//araH//hns//mepH//folA//yccJ//tbpA//aceE//lpd//cecR//add//phnF//mdtA//lpxC//psiE//atoD//yiaM//recX//yebG//paaZ//fepB//wzxE//ccmE//ybbW//betA//aceE//agaD//asnA//mscM//purB//casA//agaC//nagA//ycgR//flgM//ccmG//phnC//soxR//yiaJ//ascB//yoaC//ugpQ//nlpA//fliZ//mhpA//rbsR//lsrA//mpl//amtB//rclB//glpK//rclA//tbpA//flgA//pfkA//flgM//ndh//flhB//fhuA//
FliZ	oppD//fumB//torA//nfsA//yafQ//oxc//pnp//uvrY//puuA//ybdN//ptsI//mtlD//ygiA//yjhB//melR//glgA//hyaC//fhuC//omrA//recN//fruA//
FucR	leuA//sufE//mgrR//iscR//puuE//appY//ydhX//
Fur	napD//relB//ccmF//fes//argH//caiF//mipA//lldP//ryhB//rpmA//yiaO//argD//ynbB//deoA//rhaS//araG//nanC//araC//murR//hipA//fhuB//malY//cadB//dhaL//malP//aroF//lysR//nanM//gspL//yafQ//yiaJ//glxR//flgL//metH//ugpC//wecB//exuT//alsE//arsB//dmsB//hns//csgB//ynbC//yefM//skp//tauA//tnaC//hdeD//moaA//rutD//aspC//lpd//metY//sufS//mgrB//leuO//umuD//pstS//pyrD//cadB//flgC//narG//moaA//creB//ftsZ//ribA//flgG//nikR//ybhF//carA//rseA//fucU//thiQ//mcbA//argR//cydD//artJ//ulaB//flgB//narL//mraZ//paaG//nuoE//rpoH//zraP//betA//xylR//focA//artJ//flgE//grxD//artJ//dinI//metB//dsdA//malT//thrS//gcvA//ybdN//treC//gnd//cydA//bglG//htpG//evgS//glpA//malY//casC//bacA//lldP//yciE//flgB//ptsG//cysD//iraP//ybdN//atoA//argD//mcbA//iraM//purL//casB//katE//caiF//metH//gpmM//nrdD//fepE//sbmC//ynbA//
GadE	fliP//bioD//mglA//malK//yedX//paaG//yjbE//efeU_1//mhpF//glpB//hyfA//umuD//fruB//narH//exuR//hypC//gspH//kbp//rplT//hycC//nikR//sodA//idnT//fdhF//mcbA//phnK//fucO//astB//yegR//
GadE-RcsB	flgA//tdcD//dinF//frc//pheM//ygiC//yrbL//acrB//gadE//
GadW	cysM//glnG//ybjN//exuT//purM//lrp//nirD//nrdH//cysC//atoE//hyfH//narK//nuoG//cspE//fliK//
GadX	pyrC//fecA//dkgB//fabB//argI//gltB//yfdV//mgtA//tbpA//lolA//sgbU//citE//pheT//lysA//ppdA//flgG//ubiX//rcnA//mepH//phnH//pdeH//cydA//lpxC//ddpC//yiaJ//rpsU//yidQ//ldtD//ddpX//
GalR	nagC//recA//yagK//ulaE//ung//flgL//araB//fliT//artI//mscM//
GalS	bioC//gadB//sucA//mprA//fpr//cadB//cysW//znuC//hybB//fur//
GatR	ulaD//narH//ygiZ//ulaC//yccA//pgk//
GcvA	sbcD//lldR//tam//cueO//nagA//
GlcC	ttdB//ydeM//mhpE//alaC//dnaG//ynfH//treB//
GlpR	nemR//ppiD//efeU_1//hyaD//cusR//lldP//fixA//hflD//waaH//
GlrR	glpX//fadH//glpB//gpmA//cysP//
GntR	allC//rbsC//rimP//flgJ//nuoK//flgN//xylR//metC//lexA//yegH//dhaM//yebG//
GutM	cysH//nikR//psiE//mntP//rffC//narG//argP//
GutR	folA//glgC//fdnI//ssuA//tfaQ//dnaN//folE//
HU	xylG//luxS//soxS//yiaL//glpT//gltI//aroG//dhaK//phoQ//
HcaR	creB//ryhB//kbp//hyfJ//fliE//dcuS//
HdfR	yhdW//torD//nrdH//phnG//rpiB//
HigA	phnM//yafN//
HigB-HigA	yecR//mhpB//
HipAB	dnaG//dsdA//mdtE//accB//ompW//
HipB	ydeM//nusA//nadB//ompC//prpR//purM//
HyfR	nagA//mqsA//caiF//melB//zraP//puuB//relE//ydeO//csgF//flgC//gatD//glnQ//
HypT	nagE//nirD//purR//dgkA//stpA//dgcN//exuT//treR//intQ//ibaG//lsrR//entS//uidR//
IclR	yhdZ//fliS//ssuD//yeiB//
IdnR	tktB//cpxR//fixB//xylG//gltI//hyfA//gspH//
IlvY	mdh//nanK//
IscR	nrdE//fliZ//ascB//fliI//ccmE//yrbL//phoR//hyfD//narJ//sra//argF//waaZ//nac//paaF//zraS//yhbS//recD//sufC//pdeL//puuA//yebE//umuD//potF//yfdV//gcvT//xylF//nrdF//purN//nanC//oxyR//yeaR//tyrP//
KdgR	argO//uspE//
KdpE	ybdN//nuoJ//waaY//tomB//
LacI	aspC//rprA//treB//
LeuO	glpT//adiA//asnC//folE//pdeH//yibQ//sdhB//dnaN//hemL//dhaM//sroD//cysE//gntX//fucP//exbB//cytR//uvrC//artI//add//yhjC//
