#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	oppC//cysG//
AcrR	talA//rdoA//csgF//wzxE//mpl//nanA//melR//yeiL//chbG//chiP//soxS//
Ada	betA//ndh//ssuA//appA//
AdiY	nrfD//rpoH//mpaA//yhjA//dhaL//bioD//hyfD//mntH//
AgaR	fliP//ftsI//dgcC//flgI//hyaD//rprA//yhdX//grxD//xylG//narI//glgA//
AidB	pyrC//
AlaS	gutM//
AllR	gatA//dhaK//gcl//tynA//gspI//nfo//gspL//fadH//nikC//
AllS	rstA//agaB//rimK//
AlsR	fepB//mgrB//fadJ//csiD//yjjQ//thiP//
AppY	oppD//allB//hyfH//cusA//gabD//aceK//fixX//fucP//mdtC//emrK//
AraC	pheT//metL//yoaC//mtlA//citF//bhsA//ebgA//rutD//ycjG//hisM//yegZ//tyrA//torD//puuD//
ArgP	ydcT//wrbA//rhaA//ymiA//xylR//fecB//yebG//nanA//deoC//aceA//fliK//cpxQ//acrZ//tam//
ArgR	gspF//hyfI//emrA//yeiL//fiu//crp//xylF//rimP//hycI//gadB//fliS//flgH//gpmA//rcnA//malZ//agaV//fdnH//galM//ilvY//pdeR//aroM//pspA//uidC//glgC//pgaD//evgA//fucR//rbsR//hflD//mglB//arsR//metY//fliN//rpoD//cyoC//hycE//skp//hypD//
ArsR	yjbG//csrC//glpA//
AscG	wrbA//glpT//ydcV//cpxP//copA//
AsnC	ybbW//rhaA//galE//lyxK//
AtoC	yeaD//ygiA//speA//argP//
BaeR	dgkA//feoA//napC//hybO//nrfB//ttdA//yiaK//ynfK//
BasR	fepA//bhsA//pdeH//hcaB//ykgO//phr//uvrB//ttdT//ykiA//tdcG//aceB//fhuA//gabT//
BetI	xapA//potG//trpR//yhdW//
BirA	hyfC//dinF//rnpB//fliL//mhpC//
BluR	dnaA//sucC//dinG//ugpC//
BolA	ygiZ//gpmA//
CadC	ompW//relE//atoE//
CaiF	gadA//hha//sgbE//paaJ//xylR//gspM//rffG//fliQ//hcaD//yagK//
Cbl	hycG//fadD//rplT//wcaB//sdhA//uvrB//ccmB//hyfA//astD//
CdaR	yciF//entC//malX//mraZ//ubiC//marA//garD//fliD//yfdX//fabD//
