#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	glpK//ruvA//
AcrR	ftsK//nupG//fucO//ccmG//mhpF//phoR//glcF//carA//pspG//zraR//ulaB//
Ada	nrfD//tauB//emrA//ykgM//
AdiY	pgaC//cyoD//rutE//micF//cusF//ilvY//ebgC//fliF//
AgaR	ssrS//mtlD//glnQ//recB//dinD//melA//pqiB//tbpA//sfsB//hybB//malM//
AidB	hyfI//
AlaS	yciF//
AllR	cyoC//rhaB//uidR//yiaL//gntK//isrC//tauB//ymgC//puuR//
AllS	inaA//aspC//gapA//
AlsR	mngB//ynfG//alaS//phnD//deoB//purL//
AppY	moaD//gatY//prpE//wecE//cysC//purF//fadB//wzzE//ccmH//ttdB//
AraC	nrfB//csrC//ddpX//galP//hcaE//ulaA//narJ//hmp//glk//flgA//csgA//allS//motB//hycG//
ArgP	ppdB//pheT//mqsA//ybaS//hycE//metF//fliO//accC//fadD//pgaD//htpG//hcaB//fruK//wecB//
ArgR	ilvC//galS//ada//paaJ//fadB//ldtC//cynT//paaG//paaB//aroG//ydeP//pdeL//gabD//frc//appB//obgE//phnG//puuC//recF//dsbC//atoA//phoE//ygiZ//accB//lysC//nikR//caiB//fliF//asnC//tehB//cpxR//putP//ryhB//asr//glpK//ydfD//exuT//asnC//
ArsR	mngR//ibaG//lysR//
AscG	ssuD//entB//rutF//mngA//crr//
AsnC	metF//mltF//hyfE//evgA//
AtoC	agaS//ppdA//gspD//fucO//
BaeR	fliZ//chbG//slt//lacA//ychF//hybA//nfo//entD//
BasR	ssb//qseC//aroL//pitB//fucO//dapD//cyoE//ycjX//idnD//bglF//metL//fadM//yoaC//
BetI	potH//cas1//ygbA//rffG//
BirA	ulaD//tehB//putA//gutQ//paaA//
BluR	znuC//fadE//csrC//zwf//
BolA	rseB//hokE//
CadC	fecC//ddpD//mtlA//
CaiF	hycF//agaW//feoB//phnM//tauB//yjbH//allS//mglA//hypA//flhA//
Cbl	tsgA//ssb//csgG//exbB//hcaF//carB//adiC//degP//modB//
CdaR	yhiM//sufE//melR//uidB//purK//trpD//glgA//stpA//ebgA//pagP//
CecR	metF//yidQ//moaB//fepC//kbaY//
ChbR	galK//dicB//psiE//rbsA//copA//mdtA//
ComR	pstC//
CpxR	aslB//caiB//dgcN//adhE//crl//znuB//metI//recB//ulaA//hyaA//yhjA//codB//pspC//yhjX//gabD//gpmM//fadL//dsdC//alaC//pdhR//gadC//lysC//ulaG//gspO//purM//fliE//ftsI//gutM//ompN//safA//omrB//poxB//ubiC//gatA//hybE//feoB//polA//lldD//acrD//fecD//uidB//rutD//tbpA//nrfE//glgP//dgcN//tnaC//yegZ//alsB//yqhG//umuD//spy//napD//gspM//fucO//hybG//fucP//pstA//nhaA//fhuB//recX//hybC//oppB//entD//nupG//torR//cpxQ//hcaE//trpC//glnA//
Cra	entF//murQ//frdA//dps//ada//insK//glpF//gspH//fecI//rbsB//agaR//cra//nirC//marR//higA//umuD//sodA//arsB//fhuC//marB//paaD//mhpA//rcnR//rffC//argH//tcyJ//crr//ecpR//rffG//fdnG//cusS//hcaR//glpF//sodA//insD//mtlR//yeaH//dapB//agaD//setA//aldA//tdcC//tcyP//fliM//dsdC//htpG//speA//leuO//hycG//flgJ//dcuR//yebE//gadW//yecT//yccA//entF//treR//tauB//artI//creA//fliP//fliQ//mglC//ccmC//hybO//yebG//gatD//cas1//galM//hyfH//yhdW//metA//ccmH//dkgB//ccmC//fecE//aslB//patA//rnlB//
CreB	ybdN//ydeP//grxD//soxR//gntP//
CsgD	codB//rplU//casD//ruvB//ydbD//torA//pstC//dhaL//flhA//lpxD//ybhR//ygaC//napC//evgS//fhuB//zraS//argP//metC//iscR//ppiA//uxuA//mcbA//hyfH//ydbD//mhpA//rstA//lsrR//ybjG//
CsiR	ybhG//tdcB//norR//bioA//phoB//
CspA	rhaR//rstA//
CueR	mgtL//sulA//mtlA//yjbH//tfaQ//glnP//murP//
CusR	cysJ//ydhW//acnB//recF//mltF//flhB//casE//hyaE//cysG//mdtA//paaY//ompN//
CynR	nanE//citF//gltI//yiaO//
CysB	glcF//aroH//acrD//hyfD//eda//entD//hydN//potI//ybjC//lexA//flgB//pspC//gfcA//glpB//phoH//fhuA//mcbA//fecE//bacA//tisB//osmC//deoB//betA//entS//ybbY//idnD//ychF//nagB//hflD//mqsR//entE//metN//
CytR	zntA//caiA//rnpB//glk//kdpA//prpB//glcC//rpoD//tyrR//katG//hyaB//yciE//mazF//
Dan	fliH//yjhB//fixC//alkB//
DcuR	aidB//cysD//pgaC//mhpB//rpiR//lsrR//tauD//manX//ykgM//
DeoR	hypF//yhdY//baeS//exbD//ygiA//ompC//
DhaR	yrbL//yfdE//trpR//ynjI//
DicA	fliL//acrZ//mdtC//potI//yhcH//gspH//mntP//mngA//
DinJ-YafQ	phnH//fhuD//agaW//
DnaA	pstB//narJ//uvrC//yaiW//hyaF//ugpQ//yccA//cusS//allD//araE//pheS//ppsA//
