#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	luxS//alkA//
AcrR	yjhC//malG//ygdB//obgE//frdC//recC//ulaG//wcaA//glpT//wzzE//gltJ//
Ada	flhE//cyaR//xapB//puuD//
AdiY	casA//nusA//ugpA//ybhR//prpD//hyaE//eno//paaK//
AgaR	efeU_1//fumC//xylB//asnC//fepG//argD//ftsZ//nuoB//lsrG//gntT//gspL//
AidB	mgrR//
AlaS	ubiX//
AllR	csgA//bolA//yjbH//ampC//citX//paaD//leuD//yqjH//feoB//
AllS	tonB//rpoS//cysH//
AlsR	nuoA//casC//dinI//gdhA//recC//yiaO//
AppY	hlyE//artI//pheS//ecpA//ydhX//wzxE//pspA//dctA//nanS//omrB//
AraC	mngR//yefM//ompC//astC//ahpF//ssuB//cadB//cysA//rffM//fliO//yhhY//cheW//exbB//fecC//
ArgP	phoR//oxyR//hyaA//oppB//yhbE//nimT//ydhT//hyfA//appX//glnH//epd//yiaN//tbpA//wcaA//
ArgR	cusB//wzzE//nupC//pqiB//paaD//glnG//mzrA//entE//yeaD//napB//trxC//araF//sgrR//cyoE//dsrA//ydeN//ascF//rutB//gspH//flhB//rseA//ecpA//flgM//dinJ//aceE//carB//entB//yhcH//kbp//yhdZ//hmp//fabB//bioC//cynX//ybdN//gabD//tonB//gspE//
ArsR	paaJ//tyrR//yccA//
AscG	nuoC//wzyE//lacY//pstS//yhjX//
AsnC	ddpA//nuoB//mdtE//ssrS//
AtoC	glmS//emrB//gspO//glcA//
BaeR	phnJ//rffC//nrdI//yidL//phnE_1//flgA//tdcB//argE//
BasR	phnN//ftsW//sgbE//yiaK//nagA//glmU//efeU_1//wzxE//gspG//rimK//torC//ykgO//flu//
BetI	folA//ftsW//argC//ybhF//
BirA	add//puuD//ecpR//nuoN//pgaB//
BluR	wcaA//lacA//mdtF//csgF//
BolA	codB//cysB//
CadC	adiA//puuC//garP//
CaiF	aceA//lsrD//dcuR//rutD//lhgO//uspA//yhdZ//codB//dmsD//uvrC//
Cbl	ung//pspB//cdd//frdC//hyaF//narX//dsbG//glcB//ygaC//
CdaR	waaZ//rybA//yhdW//csgA//xylB//yhbE//cysD//dacC//cdd//nanK//
CecR	glpC//xylB//recC//melR//trxC//
ChbR	gabT//polA//mlc//citG//tomB//hycD//
ComR	baeR//
CpxR	gltB//tehA//araG//uvrB//gltB//wcaB//ydhV//metL//mhpD//purN//phnD//wecE//aroM//paaF//flgG//ygiC//metJ//pspE//nlpA//gspF//modA//malT//hcp//malX//paaK//cpxR//fecA//malF//ybfE//murE//ynbC//lamB//paaX//pdeL//fadR//rhaR//cusR//rnpB//yeiL//malT//alsC//infC//gpmA//ftnB//evgA//lacY//marR//bdcA//ulaD//caiF//iraM//kdpA//chbR//pgk//phoB//yiaN//narG//nmpC//cpxQ//fliQ//lpxA//gltD//symE//treC//dpiA//appB//kdpB//flhE//creA//yfiB//
Cra	hdeD//hemL//napF//obgE//entB//iscS//metA//omrA//ccmA//gatD//nagA//pepD//yqjI//gspL//osmY//metI//ada//asnB//ssb//agaC//argR//zraR//ugpQ//csgG//ydfE//glcG//atoE//fliT//sdhD//iclR//artI//gltK//evgA//glmS//arsR//uxaC//phnI//fepE//gspF//narK//asnA//crr//araG//napB//bacA//ftsI//metL//gatC//flgE//uxuR//cpxQ//gudX//malQ//uvrY//nrdH//sucB//astB//csgD//mntS//rdoA//cpxR//napB//grxD//fliS//allB//chbA//oppB//fepC//sgbE//sgrR//gltF//slyB//phnN//ddpX//cysU//casB//ndh//ftsI//recX//
CreB	rstB//tomB//uidR//metF//tonB//
CsgD	ftsW//tbpA//rplT//fumC//ldtB//idnK//ydhX//hcaE//mtlR//malG//ygiC//rob//modA//yciE//mdtE//eda//phnH//fucA//intQ//prpR//pstS//nikB//rprA//uof//dinQ//atoD//sgbE//sufS//
CsiR	yjiY//cpxP//narK//sufD//ilvY//
CspA	ppdA//amn//
CueR	gatB//uspA//murI//aroH//hdeD//purK//fadR//
CusR	cadC//ybhG//rcsA//glpD//sfsB//yjhC//asnC//srlR//nuoG//ygdB//cusB//glcC//
CynR	asnC//ebgC//aroL//rpsU//
CysB	argG//acrR//sdhB//gcvH//sufB//gltB//puuC//dsdC//yhiD//nanE//gcvH//cra//ycjY//caiA//metH//acrR//hycG//kdpA//nrfA//alkA//asr//lhgO//lhgO//fixX//paaK//cyoB//asnB//napC//ung//gabT//degP//phoQ//
CytR	fldB//hisJ//phoP//yncE//dkgA//hdeD//ydhT//cysK//marA//rpsO//isrC//ttdR//znuC//
Dan	codB//cadA//exuT//glcD//
DcuR	fliC//idnT//ruvB//rnlA//rob//yhjC//glpT//yiaO//mtlD//
DeoR	ykgO//rutE//phoE//malK//fecE//rffC//
DhaR	osmC//tynA//gabT//polB//
DicA	yjjZ//ydcS//znuA//trxC//hyaC//gcvB//nrfG//fabA//
DinJ-YafQ	lysA//amn//paaG//
DnaA	creC//yiiS//casC//pgi//dmsA//gcvT//caiC//lpxA//hyaC//ulaE//sgrT//nuoJ//
DpiA	lpd//fhuB//ybhF//argA//ptsH//ulaA//rtcB//arsR//yecT//hypD//nikB//
DsdC	fliH//fabA//cyoB//
EbgR	fhuA//tdcG//
EnvR	agaR//sroA//
EnvY	aroL//hyaE//
EvgA	nupG//trpR//gltL//ulaE//lldR//fliO//symE//puuB//mngB//yegR//flgE//leuL//ddpF//ssuC//yeaD//fixC//mdtB//tnaC//ddpD//
ExuR	gspG//ascB//lysC//dsbG//mtlR//pfkA//cysD//dnaN//prpB//
FabR	uvrD//ttdB//
FadR	ldtB//gadX//csgC//pgm//garD//fimE//argB//yjjZ//phnL//manZ//dgcZ//nanT//uidA//deoC//fucR//accB//putA//fucP//ebgC//yeaG//glyA//mhpT//dcuS//
FeaR	rseA//accB//
FhlA	fliO//emrY//fruB//pgaA//glgA//acrR//ssuC//casA//fadD//phnK//rpoH//hyfF//fdhF//yecR//potF//cysD//feoB//entF//xylG//yhdW//tktB//leuA//dinI//phnF//fliM//wzyE//tolC//murC//ynfH//lolA//
FlhDC	dicB//srlD//ugpQ//ymjC//fepG//paaX//lpxA//motA//glpF//yoaC//ynbD//torD//cpxA//yoaG//csgE//dhaR//higA//rpmA//lysR//agaC//ydbD//lon//uspD//rhaR//kbaZ//paaK//slt//rimK//uxuB//luxS//csgE//rutG//yhbS//yeaG//fucO//dsrA//rbsR//casA//ydbK//pstC//fiu//dkgA//yegH//nanS//paaE//ydcU//hypC//galS//oppC//flgN//phnN//flgB//flgN//alaS//nrdI//hipB//mgtL//fliK//narK//fldB//ftsQ//rpoH//glcA//rpsO//sufA//hcaD//mntH//metC//rcnA//higB//ddlB//sra//ymgC//icd//tbpA//ftsZ//mqsR//norV//purL//deoC//gntP//hypB//
FliZ	mnmG//glpB//pflB//phnJ//prpD//uof//rnlB//ptsG//nuoJ//micF//gntK//rpiB//argD//glpB//hycB//hyfJ//ddpX//dinF//araE//pheT//ulaG//
FucR	mzrA//narK//ydeN//cysB//acrA//fabH//waaZ//
Fur	motA//caiT//yhiD//pspD//purC//fepA//ribA//glcE//leuC//sgbH//fliJ//galS//iraM//potG//recN//bioD//lpxA//pykF//paaD//copA//ydhT//ydhW//argB//uvrY//fhuA//agaA//atoB//osmC//metN//malG//frdC//fadI//yiaN//qseB//aroP//flhE//yafO//paaH//ymgA//thrS//hcr//ddpF//recX//yebG//fabI//yciF//rarA//marR//mazE//rffM//phoE//purN//uxuA//nrdD//csgF//fhuD//ybhR//betI//dapD//leuB//ddpA//yjbE//sgbH//mhpT//yeaH//yncE//sbmA//bioF//glnK//lpxD//cynS//iraM//mqsA//hyaD//ccmG//fbaA//nuoG//fadL//dicC//mazG//dsdC//ogt//phoH//tdcA//cusB//yaiW//speA//iscU//ygeH//ahpC//fliQ//mraZ//ahpF//ydfX//fabD//caiB//cusR//asnB//cytR//phnI//fliQ//ada//rpsU//uxaB//recN//glnQ//gltK//ydfE//fruB//caiF//rpoD//yfiR//dinG//fpr//prs//dkgA//csgG//lsrK//paaZ//phnJ//ftsQ//lyxK//feaB//uxaC//fhuD//pepA//metA//cyoD//gspF//yfiB//
GadE	melR//fadR//hyfA//psiF//bdcA//ogt//gcl//flgN//dctA//focA//accB//pspE//fecA//entS//norR//ymgA//ascB//bhsA//isrC//cysC//hybB//metB//asnB//ldtD//wzc//fliQ//pspG//galK//flhC//
GadE-RcsB	osmC//oxyR//lgoR//malE//dcuD//slt//fepD//hcaR//mdh//
