#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:36:48 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/general_regulons.txt
AccB	torR//ybhF//
AcrR	dnaN//lrp//umuC//flgN//marB//glnP//gltF//fhuA//paaE//ilvC//napD//
Ada	ubiA//garD//kdpC//metK//
AdiY	aceA//efeU_1//dinJ//gltK//ydhU//tolC//casC//puuP//
AgaR	yciG//codB//cdaR//alsA//hypD//appY//trpE//chbB//nanC//lysA//creA//
AidB	ptsI//
AlaS	soxS//
AllR	gor//lolA//lpxD//pspF//mtlR//cydC//bioB//xylR//yafP//
AllS	cdaR//gatC//lsrG//
AlsR	nlpA//accB//pepD//rpoE//hybA//htpG//
AppY	guaB//glcA//cysJ//talA//higB//flhD//dmsB//murE//dmsD//hyfH//
AraC	yccA//hokD//waaZ//tsgA//mqsR//exuR//ydbK//dcuD//fixX//tdcB//fepE//asr//gntK//nirB//
ArgP	dgcC//fiu//pdhR//adiC//amtB//rutF//hybO//arsC//flgM//sufS//cspI//fdnH//fumC//tbpA//
ArgR	ftnB//leuD//fhuB//marR//narG//fruK//gntK//rclC//paaK//dsdA//asnB//thiQ//fadI//mtr//gltL//metB//feaR//mtr//cusF//hyfA//astD//emrK//acrR//ftsL//sbcD//caiE//entB//thiP//rfe//aroF//sufS//yiaO//rutG//srlE//phnJ//cysE//insK//intQ//
ArsR	ompF//adiA//fliF//
AscG	frdD//dinJ//galE//appC//artM//
AsnC	hcaF//cysU//gspG//lsrC//
AtoC	nuoE//cynR//ybaS//hypF//
BaeR	hyfG//fadA//lacY//lrhA//hyfC//nrfB//pheT//yiaJ//
BasR	lpxC//oppF//sufE//gspG//lsrR//tauD//emrB//ybhL//citC//ydfE//lacA//sgrS//murG//
BetI	malG//glmY//fimE//accC//
BirA	trpB//ybaS//dhaK//rcnR//lsrR//
BluR	mcbA//hdeB//csrC//yedX//
BolA	fadH//gatB//
CadC	ung//rcnR//mqsR//
CaiF	alkA//cusA//mdtB//gltF//lexA//thiP//gadB//gloA//gadW//potF//
Cbl	oppB//bdm//cpxR//malX//accC//dcuR//appY//metY//treB//
CdaR	ccmA//sufE//cadB//kdpF//gspH//ybhF//sbmA//tnaB//torR//hisJ//
CecR	srlE//hokE//mntH//slyB//baeR//
ChbR	ppiA//araJ//galE//rtcA//nagA//norW//
ComR	argO//
CpxR	alaC//fliE//yeaR//lsrD//ompC//melR//fdhF//csgD//cyaR//garL//nrfE//lyxK//sbcD//fdnH//yhjC//fabB//iscR//entC//flhB//hokE//hyfD//gltF//flgK//putP//aidB//yjbF//alsA//cadC//yecT//rnlB//fabG//purR//phnK//argD//yaiA//ppiA//potF//artQ//paaI//gspJ//hisQ//recF//rprA//gatY//inaA//galS//hypD//nagE//glpB//cpxQ//yiaO//eda//manY//malF//dkgA//spy//potF//rbsC//mprA//malX//ssuD//arsR//allB//nrfG//betA//flhD//glnL//betA//lsrD//yhjA//
Cra	pheT//flhA//tfaQ//melR//focA//bamE//ulaD//recN//hybD//ompT//gcvA//hipA//paaF//pspB//exbB//caiB//paaC//phr//hipB//csrC//betT//leuA//aroF//gatY//glnD//artI//oppD//idnT//efeU_2//wzyE//metJ//relE//gspO//pqiB//flgI//gltI//galS//safA//phnL//ynfK//argH//ldtB//gatB//btuB//metE//yeaH//rbsD//cirA//flgC//nuoH//flgD//puuD//tauC//dgcC//lpxD//intQ//cysK//flhE//yqjH//rffT//flu//sucD//tauD//flu//puuE//yjiY//fabZ//umpH//ompN//ycjF//glcD//purA//gutQ//artQ//paaD//grxD//yncE//fepA//mtlD//
CreB	znuB//ygiZ//yegZ//appB//aroF//
CsgD	aceK//hybO//fliQ//melA//gspD//acnA//treC//glmU//ydeP//yibQ//sodA//caiE//ssuE//glnK//ydeM//dinQ//treB//yiaM//malM//potH//putA//gadX//ompC//cydD//yciE//cpxP//tyrA//ubiA//
CsiR	paaX//metQ//gudD//lsrK//ygiZ//
CspA	evgA//glnB//
CueR	aidB//ygeH//mhpD//phnN//dmsD//hcaB//tauC//
