#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:41 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/rcomplex_bnum.txt
AccB_FadR	b0754//b2679//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b3759//b1210//b0593//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b2755//b2196//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b1008//b3222//
AcrR_FNR_Fur_SoxR	b3366//
AcrR_FNR_Fur_SoxR_SoxS	b2215//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b2676//
Ada_AidB_Lrp	b0980//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b3906//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b1907//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b3544//b0564//b1615//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b2077//b2486//
AdiY_H-NS_IHF	b1818//
AgaR_CRP	b0675//b2756//b2486//b1493//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b4357//b3025//b1620//b2805//b3722//b4471//
AppY_ArcA_YdeO	b0094//b0729//b0977//b0587//
AraC_CRP	b0880//b1817//b2784//b1905//b1535//b3335//b0197//b0826//b3314//
AraC_CRP_XylR	b3571//b3330//b2276//
AraC_NagC	b0366//b3132//
ArcA_BetI_Cra	b1597//b3907//b2276//b2368//
ArcA_CRP_CaiF_FNR_H-NS	b4075//b2199//b1301//b1275//b2758//b1244//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b3312//b2764//b0039//b2942//b0389//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b3723//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b4669//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b0199//b3766//
ArcA_CRP_Cra_Fis	b3569//
ArcA_CRP_Cra_IHF_IclR	b4000//b3213//b2307//
