#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:41 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/rcomplex_bnum.txt
AccB_FadR	b2675//b4233//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b2422//b3940//b4209//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b3599//b3321//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b0450//b1246//
AcrR_FNR_Fur_SoxR	b3766//
AcrR_FNR_Fur_SoxR_SoxS	b0681//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b2507//
Ada_AidB_Lrp	b1761//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b2669//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b0728//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b0618//b3405//b2711//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b1259//b1334//
AdiY_H-NS_IHF	b0974//
AgaR_CRP	b2679//b1244//b0951//b3571//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b4009//b2837//b1389//b1497//b3312//b2800//
AppY_ArcA_YdeO	b4139//b2925//gadF//b4131//
AraC_CRP	b0225//b3480//b0980//b0756//b4115//b1650//b1480//b4457//b3317//
AraC_CRP_XylR	b0019//b2223//b0086//
AraC_NagC	b0683//b2675//
ArcA_BetI_Cra	b3506//b3905//b1594//b2489//
ArcA_CRP_CaiF_FNR_H-NS	b2483//b1797//b0998//b4310//b2660//b3094//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b4289//b3115//b3855//b1221//b1006//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b0727//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b3926//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b3325//b2721//
ArcA_CRP_Cra_Fis	b3615//
ArcA_CRP_Cra_IHF_IclR	b2306//b2368//b0933//
ArcA_CRP_DcuR	b2500//
ArcA_CRP_DcuR_DpiA_FNR_NarL	b4040//b3091//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	b4119//
ArcA_CRP_DnaA_FNR	b3113//
ArcA_CRP_DpiA_FNR_NarL	b3327//b0950//b3927//b1062//b3225//b1852//
ArcA_CRP_DpiA_FlhDC	b0178//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	b1305//b1241//
ArcA_CRP_FNR	b3759//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	b2241//b1222//b3037//
ArcA_CRP_FNR_Fis_Fur_PdhR	b1591//
ArcA_CRP_FNR_Fis_IHF_NarL	b2277//
ArcA_CRP_FNR_Fur	b3852//b0344//b0827//b3165//
ArcA_CRP_FNR_Fur_IHF	b3073//b4323//b3359//b3224//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	b1160//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	b0198//
ArcA_CRP_FNR_IHF_NarL	b1674//
ArcA_CRP_FNR_NarL	b4120//
ArcA_CRP_FadR	b2009//b1021//
ArcA_CRP_FadR_HipB	b1474//
ArcA_CRP_FadR_OmpR_PhoP	b4033//
ArcA_CRP_Fis_Mlc_SoxS	b0435//
ArcA_CRP_Fis_XylR	b1389//
ArcA_CRP_Fur_GadX_MqsA	b2393//
ArcA_CRP_GatR	b3278//b4197//b2727//b3093//b0085//b2281//
ArcA_CRP_GlpR	b1597//
ArcA_CRP_IHF	b2704//
