#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:41 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/rcomplex_bnum.txt
AccB_FadR	b3408//b3082//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b0812//b2716//b1226//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b3870//b3274//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b3579//b3430//
AcrR_FNR_Fur_SoxR	b3707//
AcrR_FNR_Fur_SoxR_SoxS	b0908//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b1669//
Ada_AidB_Lrp	b4076//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b1024//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b1656//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b1552//b3509//b3222//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b1591//b3904//
AdiY_H-NS_IHF	b0764//
AgaR_CRP	b0081//b4009//b1302//b4316//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b2573//b1671//b1734//b0977//b0462//b0973//
AppY_ArcA_YdeO	b4138//b2074//b1650//b0907//
AraC_CRP	b2706//b0931//b1499//ilvG_2//b2200//b3025//b0759//b4323//b0041//
AraC_CRP_XylR	b0040//b0682//b0039//
AraC_NagC	b2425//b4120//
ArcA_BetI_Cra	b2215//b3115//b0342//b2679//
ArcA_CRP_CaiF_FNR_H-NS	b2202//b0872//b1940//b2943//b3512//b2993//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b3327//b4511//b0781//b3172//b1136//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b0587//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b3476//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b3329//b1738//
ArcA_CRP_Cra_Fis	b0112//
ArcA_CRP_Cra_IHF_IclR	b2721//b4076//b3418//
ArcA_CRP_DcuR	b0201//
ArcA_CRP_DcuR_DpiA_FNR_NarL	b3365//b2344//
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	b2093//
ArcA_CRP_DnaA_FNR	sroD//
ArcA_CRP_DpiA_FNR_NarL	b2669//b2078//b3213//b2783//b1712//b3312//
ArcA_CRP_DpiA_FlhDC	b2723//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	b1227//b4003//
ArcA_CRP_FNR	b3726//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	b4238//b2706//b2713//
ArcA_CRP_FNR_Fis_Fur_PdhR	b0034//
ArcA_CRP_FNR_Fis_IHF_NarL	b1388//
ArcA_CRP_FNR_Fur	b3082//b2923//b3114//b2709//
ArcA_CRP_FNR_Fur_IHF	b1224//b3924//b2799//b0896//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	b2926//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	b0343//
ArcA_CRP_FNR_IHF_NarL	b3708//
ArcA_CRP_FNR_NarL	b4069//
ArcA_CRP_FadR	b4396//b0805//
ArcA_CRP_FadR_HipB	b0827//
ArcA_CRP_FadR_OmpR_PhoP	b3518//
ArcA_CRP_Fis_Mlc_SoxS	b0820//
ArcA_CRP_Fis_XylR	b0820//
ArcA_CRP_Fur_GadX_MqsA	b2713//
ArcA_CRP_GatR	b1656//b2722//b4120//b4050//b2422//b1211//
ArcA_CRP_GlpR	b0721//
ArcA_CRP_IHF	b3576//
ArcA_CRP_PuuR	b4198//b1612//b1532//b0616//b3480//
ArcA_CRP_RhaS	b2723//
ArcA_CRP_TreR	b0429//b3408//
ArcA_CadC_GadE-RcsB_GadX_H-NS_Lrp	b0722//b0682//
ArcA_Cra	b1211//
ArcA_Cra_FNR_H-NS_HypT	b2911//b0605//
ArcA_CysB_FNR	b2369//
ArcA_FNR	b4468//b3403//b1222//b2237//b4007//b3083//b3709//b1475//b3328//b3511//b0203//b1739//b2280//b0082//
ArcA_FNR_Fis_Fur_IHF_NsrR_PdhR	b1040//
ArcA_FNR_Fis_IHF_NarL	b0347//b1738//b0933//b1515//b3753//b2903//b0758//b3758//b1258//b2489//b2728//b2927//b1189//
ArcA_FNR_Fur_IHF	b0115//
ArcA_FNR_IHF	b0936//ilvG_2//b0064//
ArcA_FNR_IHF_NarL	b3742//b1499//
ArcA_FNR_NarL	b0785//b2552//b3970//b4131//
ArcA_FNR_PhoP	b1307//
ArcA_FNR_PuuR	b2702//b1043//
ArcA_FadR	b3320//b2200//b1109//
ArcA_FadR_Fis	b1674//b0757//
ArcA_Fur_Lrp_ModE	b0085//b4291//b3168//b3363//b2076//
ArcA_GlcC_IHF_PdhR	b0618//b2155//b3753//b2239//b0615//b0722//
ArcA_LexA	b0064//b1241//
ArcA_LldR	b1564//b2781//b3571//
ArcA_NarL	b0042//b1475//b0089//b3752//b1779//b0587//b3853//b2925//
ArcA_NtrC_PhoP_RutR	b3357//b1275//b2368//b2707//b4288//gadF//b0161//
ArgP_CRP_DnaA_Fis_H-NS_NrdR	b4070//b1221//b2204//
ArgP_CRP_FNR_Fur_Nac	b3567//
ArgP_DnaA	b4312//b1681//b0903//
ArgP_Lrp	b0081//b2369//
ArgP_LysR	b3272//
ArgP_PhoB	b1415//
ArgR_CRP	b4073//
ArgR_CRP_Fis	b1671//b2707//b4266//b3724//b3276//b2286//b1299//b2366//
ArgR_Fis_IHF_PepA_PurR_RutR	b3168//b3169//
ArgR_H-NS_NtrC	ilvG_2//b0621//b4319//b3528//
ArgR_NtrC	b1597//b2280//b4115//b2804//b3940//
ArgR_PhoP	b0978//
AscG_CRP	b3515//b1891//b3081//
AscG_CRP_PhoB_PrpR	b4238//
AsnC_MraZ_Nac	b0429//
AsnC_Nac	b1395//b3766//
AtoC_IHF	b4382//b0116//b3172//b1499//
BaeR_CpxR	b2804//b3742//b3410//b3404//b4267//b2205//b3476//
BaeR_CpxR_EvgA	b0429//
BasR_CRP_CpxR_Cra_CsgD_FliZ_IHF_MlrA_MqsA_OmpR_RcdA_RcsAB_RstA	b3870//b1276//b3726//b0853//
BasR_CpxR_PdhR	b3766//b3625//
BasR_Fis	b3418//
BasR_H-NS_IHF_NagC_NanR	b0205//
BasR_MarA_PutA	b2163//
BasR_PhoP	b3940//
BasR_QseB	b0851//b4291//
CRP_CaiF_FNR	b4400//b2980//b3123//b0929//
CRP_ChbR_NagC	b4122//b4357//b0595//b1617//b3125//b4072//
CRP_ComR	b3319//
CRP_CpxR	b2705//
CRP_CpxR_CytR	b1589//
CRP_CpxR_CytR_DnaA_IHF	b2710//
CRP_CpxR_EnvY_Fur_IHF_OmpR_PhoB_RstA	b1476//
CRP_CpxR_GlrR_IHF_NtrC_RcsB	b0720//b3908//b4475//b3757//
CRP_Cra	b1243//b1023//b1507//b1308//b1515//b0178//
CRP_Cra_FNR_Fis_H-NS_IHF_NarL_NarP	b3314//b4265//b2840//b1748//
CRP_Cra_FNR_PdhR	b3829//
CRP_Cra_Fis	b3452//
CRP_Cra_Fis_GlcC	b1851//
CRP_Cra_Fis_MtlR	b4266//b0586//b1389//
CRP_Cra_Mlc_NagC	b3325//b1227//b0851//b1007//b0734//b1499//
CRP_Cra_PrpR	b4115//b1476//b4030//b1734//
CRP_CreB_Fis_MalT	b1747//b4323//b0759//
CRP_CsiR_H-NS_Lrp	b2913//b3274//
CRP_CsiR_H-NS_Lrp_Nac	b2341//b0896//b1615//
CRP_CspA_Fis	b0179//
CRP_CytR	b3702//b4511//b2077//
CRP_CytR_DeoR	b1421//b0116//
CRP_CytR_DeoR_Fis_ModE	b3542//b4059//b2723//b1507//
CRP_CytR_Nac	b2975//
CRP_CytR_NsrR	b0852//
CRP_DcuR_FNR_NarL	b0873//
CRP_DinJ-YafQ	b1397//
CRP_DnaA_Fis_PurR	b3165//b4154//
CRP_DpiA_ExuR	b1819//
CRP_DsdC	b2804//b2760//
CRP_EbgR	b2783//b1305//
CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_YdeO	b2202//b2486//
CRP_ExuR	b3968//
CRP_ExuR_FNR	b2094//b0311//
CRP_ExuR_OxyR_UxuR	b1535//b3578//
CRP_ExuR_UxuR	b0584//
CRP_FNR	b0978//
CRP_FNR_FhlA_HyfR	b0723//b0614//b4194//b0973//b1482//b1036//b1307//b0311//b1385//b1987//b2975//b2307//
CRP_FNR_Fis	b4457//b4029//b2994//
CRP_FNR_Fis_GlpR_IHF	b4439//b4287//
CRP_FNR_Fis_H-NS_SlyA	b0784//
CRP_FNR_GcvA_Lrp_PurR	b4266//b3035//b0167//
CRP_FNR_H-NS_NarL	b0677//
CRP_FNR_IHF_TdcA_TdcR	b3846//b2196//b1022//b3094//b3517//b2716//b3026//
CRP_FNR_NarL	b1285//b2674//b2991//
CRP_FeaR_NsrR	b2730//
CRP_Fis	b3116//b2365//b2151//b2728//b3480//
CRP_Fis_FlhDC_GalR_GalS	b0683//b2996//
CRP_Fis_FliZ_IHF_Lrp	b3904//
CRP_Fis_H-NS_HipAB_HipB_MazE_MazE-MazF	b3329//b4290//
CRP_Fis_H-NS_LeuO_RcsB-BglJ_StpA	b2799//b1415//b3603//
CRP_Fis_IHF	b3170//b4467//b1308//b0887//b0934//
CRP_Fis_NanR	b1649//b2093//b1036//b1852//b1973//
CRP_Fis_NtrC	b0572//b3851//b2499//
CRP_Fis_XylR	b1307//b3544//b2155//
CRP_FlhDC_GalR_GalS	b2679//
CRP_FucR	b0819//b1679//b2911//b3165//b3319//b2203//b0617//
CRP_Fur	b3903//b2719//b4026//b2203//b4192//b3728//b2754//b4062//b3509//
CRP_Fur_HypT_PdhR	b1021//b4288//b0043//b0197//b4312//
CRP_Fur_OxyR_SoxS	b3038//
CRP_GalR_GalS	b2756//
CRP_GalR_GalS_H-NS_HU	b3403//b4316//b3334//b3721//
CRP_GalR_GalS_NagC	b2485//
CRP_GlpR	b3223//b3091//b3578//
CRP_GntR	b2759//b3450//
CRP_GntR_IdnR	b4059//b1189//b3333//b1480//b2393//b3266//b4238//
CRP_GntR_IscR	b0805//
CRP_GutM_GutR_H-NS	b3113//b2800//b3702//b3934//b3753//b0314//b4117//
CRP_H-NS	b4367//
CRP_H-NS_HipAB_HipB_NtrC	b4194//
CRP_H-NS_LacI	b2393//b4177//b2093//
CRP_H-NS_LeuO	b2976//b0390//b2429//b2759//b0428//b1650//b3568//
CRP_H-NS_MqsA	b4314//
CRP_IHF	b0683//b1010//b2207//b0595//
CRP_IHF_MprA_OmpR	b0587//
CRP_IHF_NsrR	b0087//
CRP_IHF_PaaX	b1335//b4133//b2669//b4467//b3509//b2762//b2143//b1011//b2163//b3260//b2727//b1227//
CRP_IHF_UlaR	b1672//b3071//b1244//b3748//b1307//b3437//
CRP_IHF_YiaJ	b1297//b1038//b3566//b3113//b3332//b0928//b0390//b4133//b1243//b1818//
CRP_LexA	b3582//
CRP_Lrp	b3908//b1513//b0907//b4115//
CRP_Lrp_Mlc	b0950//
CRP_Lrp_Nac	b1732//
CRP_LsrR	b4036//b0681//b1796//b0062//b3213//b1285//b0950//b2491//b2156//
CRP_MalI	b1392//b1900//b4015//
CRP_MalT	b3318//b1136//b2552//
CRP_MalT_PhoP	b0181//
CRP_MelR	b0958//b4131//b3510//
CRP_MetJ	b2241//
