#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:14:41 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/rcomplex_bnum.txt
AccB_FadR	b3450//b3577//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	b3417//b3750//b4117//
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	b0602//b3940//
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	b2904//b4119//
AcrR_FNR_Fur_SoxR	b3071//
AcrR_FNR_Fur_SoxR_SoxS	b3417//
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	b3751//
Ada_AidB_Lrp	b2296//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	b2913//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	b0903//
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	b3528//b2979//b1334//
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	b3082//b3624//
AdiY_H-NS_IHF	b3724//
AgaR_CRP	b4040//b3172//b4400//b3961//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	b0887//b2096//b3511//b0593//b3077//b1511//
AppY_ArcA_YdeO	b0564//b0118//b3429//b0996//
AraC_CRP	b1743//b2720//b0754//b3231//b0082//b0226//b1212//b2309//b1259//
AraC_CRP_XylR	b1649//b2156//b2673//
AraC_NagC	b0337//b1748//
ArcA_BetI_Cra	b1301//b2723//b3410//b2661//
ArcA_CRP_CaiF_FNR_H-NS	b0811//b3926//b3414//b2194//b2284//b0396//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	b2760//b3601//b3325//b2729//b4059//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	b0095//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	b2923//
ArcA_CRP_Cra_FNR_NsrR_PdhR	b2369//b1015//
ArcA_CRP_Cra_Fis	b2155//
ArcA_CRP_Cra_IHF_IclR	b3135//b2996//b0116//
ArcA_CRP_DcuR	b2094//
