# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	cmoM//paaY//
Ada_neg	napB//purF//
Ada_pos	paaH//bioD//hycB//sodB//
AdiY_pos	gpmA//sucA//ldtD//malY//
AgaR_neg	fdhF//
AidB_neg	rhaB//
AlaS_neg	hemL//
AllR_neg	araD//fumC//fadI//polA//glyA//recF//
AllS_pos	aldB//argB//pdeR//
AlsR_neg	wecE//slt//dhaL//
AppY_pos	uvrB//purE//
AraC_neg	eno//cysI//aroL//phoA//xylB//
AraC_pos	arsC//phnN//mtlD//glgX//caiD//idnO//
ArcA_neg	lpxD//ldtD//cueO//kbaZ//alaA//citG//appA//fabZ//ssuD//cynS//deoD//ahpF//hyaB//dhaK//zwf//nfsA//accD//gcl//purN//talA//entB//rffG//entH//purM//alsE//paaE//pdxA//lpxC//paaC//queA//cysD//xdhA//deoC//pdeR//edd//yeaG//adhE//citE//aceB//cysH//gabD//thrS//uvrC//tynA//lysU//narI//gdhA//mngB//cysN//prpB//oxc//gltB//putA//hemL//hcaF//ppsA//deoA//citF//trmD//hycG//mpl//metH//wrbA//puuD//asnB//nagA//ilvA//fadD//gutQ//
ArcA_pos	yiaK//tnaA//trpE//hycB//ygeA//dhaM//ubiX//nadA//mnmG//dadA//rutB//gutQ//hycE//gcvH//deoA//wecC//acnA//fadA//wecE//argF//dgcN//uxaA//astA//trpB//rfe//chbF//gntK//lpxD//carA//fucU//ppc//
ArgP_neg	
ArgP_pos	fabD//dgkA//lpxD//adeD//malY//lysA//gpmA//argB//amiA//
ArgR_neg	yeaG//ppc//wzc//ychF//tdcG//paaZ//hemA//idnO//garD//wecB//grxA//xdhA//uxaB//astA//rutA//gltD//phnM//ackA//
ArgR_pos	leuC//trpE//hemF//purL//purM//
ArsR_neg	xylA//cynT//
AscG_neg	hcaF//ilvD//
AsnC_neg	araA//
AsnC_pos	accC//
AtoC_pos	purA//atoD//sdhD//
BCCP_neg	thrS//
BaeR_pos	fucO//pheT//
BasR_neg	fau//
BasR_pos	ttdA//fumC//
BetI_neg	chbF//moaA//glxK//
BirA_neg	nadA//tauD//moaE//bioB//fucI//
BluR_neg	
BolA_neg	acs//ftsI//
BolA_pos	cysK//hflX//
BtsR_pos	astB//
CRP_neg	frdC//uxuB//fucA//wzc//ubiA//gpmM//apaH//pheS//rsmA//phnI//lldD//malQ//ahpC//yeaG//argB//ilvE//lacA//serC//ulaF//oxc//moeA//codA//katG//acnB//fucI//pgk//fumB//nirB//nanM//rtcA//xdhB//ahpF//glgB//srlD//gcvP//bacA//entC//metL//allD//napG//gatY//wecB//hycF//lsrG//feaB//ilvG_1//torA//napA//garK//ynfE//argD//mazG//lysU//allD//sgbU//alaS//ada//amiA//waaY//wecC//ilvI//nanA//fau//glpQ//moaE//hmp//napG//ldtD//paaF//eno//rnpB//
