# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	lhgO//lacA//
Ada_neg	murF//hcaD//
Ada_pos	fadM//metF//accD//phr//
AdiY_pos	tktB//sucC//asnB//nrfD//
AgaR_neg	fumB//
AidB_neg	garL//
AlaS_neg	pgaB//
AllR_neg	glgP//phnP//pncB//glpD//guaB//citD//
AllS_pos	hemH//patA//nirD//
AlsR_neg	argB//chiA//putA//
AppY_pos	udp//pck//
AraC_neg	preT//araA//lysC//rtcB//napG//
AraC_pos	mtlD//malY//paaH//preT//nrfD//yqjH//
ArcA_neg	pdeF//tdcE//ybjG//nrfC//mhpE//thrS//alaS//pdeR//ddlB//dgkA//nanA//phnO//pagP//ubiC//idnO//upp//accA//mdh//glcF//psd//murE//alkA//recF//mhpF//pgpC//glyA//preA//chbF//glgP//folE//ahpC//prpE//hycD//fabD//aroA//fucU//ddlB//gcd//cheR//prpE//rutD//deoD//garL//argH//trpA//ppsA//fbaB//nanE//pheT//mngB//malP//gpmA//ldtD//ilvN//deoA//aroG//nrfA//guaB//citD//chiA//ybjG//waaY//deoB//dkgA//xapA//phnL//hycB//amiA//moeA//
ArcA_pos	rutD//argD//trpA//cysD//lacA//uxaC//napH//moeA//mhpC//lsrF//hemF//glpA//dsdA//hyaA//ruvB//nrfC//manA//dacC//glcE//fbaB//paaI//paaZ//ldtC//deoB//galM//epd//entE//aroA//edd//phoA//hyaA//
ArgP_neg	
ArgP_pos	uxaC//apaH//fabB//wecC//tyrB//rfe//xdhB//mltF//leuA//
ArgR_neg	ppiA//ilvD//fbaA//hcaB//sdhD//trpC//apaH//frdA//asnB//idnK//paaJ//araA//chiA//ilvB//argH//pdeR//purK//fumC//
ArgR_pos	serA//ilvG_1//deoD//entC//fes//
ArsR_neg	metH//gcvT//
AscG_neg	pyrC//argG//
AsnC_neg	citG//
AsnC_pos	wecB//
AtoC_pos	sdhB//prpB//argH//
BCCP_neg	mpl//
BaeR_pos	entA//serC//
BasR_neg	metE//
BasR_pos	mltF//ilvN//
BetI_neg	fabA//gpmA//ilvG_1//
BirA_neg	yiaK//ycjG//metF//torA//wecC//
BluR_neg	
BolA_neg	argI//cysC//
BolA_pos	acnA//iscS//
BtsR_pos	speB//
CRP_neg	tpiA//trpE//entF//argG//torA//sucB//moeB//glmS//nanK//mhpF//paaJ//ulaF//polB//ssuD//atoB//accC//kbaZ//paaG//yeaE//narG//idnK//ruvA//alaC//glgX//gutQ//fadB//edd//asnA//nrdA//argI//sgbH//nanE//pagP//rutA//deoC//galK//glxR//glcE//caiC//sucC//napA//torA//prpD//dgcZ//tyrA//sufS//galE//prpC//fau//wecE//fadE//cynT//ada//mhpB//bioC//dapB//gcvH//moaD//glpC//entE//mpaA//nfsA//tnaA//astB//hyaA//allE//fadE//cysM//phnL//adhE//metA//
