# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	nfsB//xdhC//
Ada_neg	sodB//puuB//
Ada_pos	acnA//glgC//uxuA//fadE//
AdiY_pos	katG//ampD//tdcD//tdcE//
AgaR_neg	sodA//
AidB_neg	ilvC//
AlaS_neg	hycG//
AllR_neg	xdhC//bioD//prpE//ldtB//ubiG//gor//
AllS_pos	malY//hcp//allD//
AlsR_neg	lysA//lpxA//ilvD//
AppY_pos	narI//nanK//
AraC_neg	paaC//acs//hycD//mpl//ugpQ//
AraC_pos	xapA//tyrA//pfkA//hflX//guaB//napA//
ArcA_neg	nadA//speB//fucO//paaB//wecC//caiD//gutQ//napG//lpxC//hycF//moaE//iscS//yqjH//iscS//alkA//mhpD//acs//allD//metB//lpxC//paaG//gapA//pncB//prpB//nanE//glpK//dhaL//wecC//ruvB//ssuD//dgcN//cyaA//cysK//fadH//uxuA//citC//gatZ//wzb//eda//metA//nrfD//glk//aroH//ldtC//ybjG//uvrB//gpsA//cysI//prs//trpE//nrdA//oxc//nirD//ilvB//hycB//apaH//prmC//phnG//wecB//ulaG//ynfF//metB//nrfD//garR//dmsA//accD//mpl//wrbA//rffG//
ArcA_pos	sbcD//idnK//ynfF//tyrA//ttdB//glcB//malY//hflX//xdhA//fumC//paaK//ilvM//paaA//putA//frc//dacC//cpdB//ssuE//trpB//narI//hyaC//udp//ung//moaE//glk//hycB//galM//pck//torA//sbcC//deoA//
ArgP_neg	
ArgP_pos	uvrA//astE//yqhD//entB//ung//aldA//pykF//fadD//ahpF//
ArgR_neg	paaY//codA//dgcC//patA//hypB//ravA//rsmA//fbaA//fadM//citE//tktB//citG//murC//sucC//uxuB//rfe//hflX//fbaB//
ArgR_pos	sdhA//paaJ//glpQ//phoA//deoB//
ArsR_neg	ilvE//bioA//
AscG_neg	truB//hemH//
AsnC_neg	prpD//
AsnC_pos	prpE//
AtoC_pos	dgcN//glpC//phnJ//
BCCP_neg	mhpE//
BaeR_pos	rutA//bacA//
BasR_neg	ygeA//
BasR_pos	sodB//speA//
BetI_neg	fumB//gudD//mhpC//
BirA_neg	adeD//speA//glmS//rtcB//ldtC//
BluR_neg	
BolA_neg	astC//pnp//
BolA_pos	cyaA//sufS//
BtsR_pos	ubiX//
CRP_neg	carA//sdaA//fadH//glmU//carB//moaD//ascB//recF//leuB//psd//cysI//dmsB//speA//metH//hmp//nagB//oxc//cysM//fruK//ycjG//mhpF//dgkA//glgX//rutC//ogt//ttdB//fabD//moeA//sucB//cysH//bglB//asnB//uxaC//ynfE//alkA//rfe//murC//recB//ynfE//pgaC//fucI//xdhA//ubiA//gltD//prs//phnI//ldtB//cysD//aroG//fucU//glmU//carB//dgcN//rpiB//ddlB//ulaG//bioC//eno//ldtB//leuA//sucD//sbcC//rffT//mpaA//metH//argF//frdB//ybjG//cadA//psd//iscS//
CRP_pos	ulaG//citF//ulaD//srlD//nadC//phnH//iscS//wzc//galK//caiC//aldB//ilvE//pfkA//sucC//galE//chbG//cmoM//glpQ//fadA//uvrC//pgaD//hyaC//glpA//gloA//glpX//prpB//cmoM//lysC//gcvP//lpxD//nirD//fadD//ulaE//ada//ldtD//metE//narI//rpiB//chbG//mhpA//gabD//ynfE//speC//cysN//sdhB//hyaB//paaY//glk//gudD//betB//paaZ//fabD//glgC//ychF//phnI//umuD//fabH//mraY//eno//ubiC//ldtD//napB//aceF//ftsI//purB//torA//patA//acs//astA//pdeH//asnA//argB//grxA//ulaE//argH//moaD//ilvC//sdhD//glcD//nagA//gatD//glxK//moeB//fabH//phoA//sodA//acnB//pgaC//phnL//amn//nagA//napA//ttdA//speC//aroL//codA//napG//uvrB//uxuA//alaA//alaA//ruvB//aceE//paaF//lyxK//yfdE//fabZ//patA//malS//nirD//aroG//rimK//trpC//ilvI//fbaA//feaB//purF//bioC//fdhF//aldB//pgaC//galT//lsrK//rsmA//nadB//fbaB//fbaA//pgpC//cysG//wrbA//mhpD//paaK//xdhA//pck//oxc//trmD//nadB//fabZ//tdh//uxuA//entA//cmoM//uxuB//cysN//putA//kbl//purC//phnG//atoD//adhE//trmA//rffG//sbcC//ravA//fucU//rpiB//glpK//serC//metK//leuB//rffH//adhE//cyoE//fucI//fadE//add//thrS//gudD//katE//fruK//gpmA//caiB//garR//xdhB//nrdB//gnd//pheS//mazG//fadJ//lsrK//glcD//ulaE//nadC//uidA//fucA//sdhB//deoB//dhaK//frdD//rutB//hyaC//metL//yiaK//phnH//patD//fucA//pspE//rnpB//folE//nirD//xdhC//metC//bcsB//upp//sdhC//araD//ccp//ynfG//dmsC//rutB//upp//fadD//argG//ulaD//garR//hyaA//gabT//dgcC//rfe//chbF//recD//rpiB//yeaG//purN//fadI//phnH//xdhA//nagB//tdcD//trpB//hypF//frdB//hycG//entC//umpH//gntK//citC//rffM//ynfG//araB//cynS//paaY//sgbE//asnB//cysN//sdhB//prpB//puuA//astC//
CadC_pos	lysC//purB//lyxK//
CaiF_pos	rbsD//dapB//fau//alsE//ubiC//
Cbl_pos	carB//lacA//gltX//deoB//nagB//
CdaR_pos	ssuD//puuA//pagP//hmp//hemL//fabH//pyrC//gadB//torA//
CecR_neg	metH//
ChbR_neg	melA//hyaA//waaH//
ChbR_pos	manA//sgbE//pdeF//
ComR_neg	
CpxR_neg	tehB//yeaE//atoD//
CpxR_pos	paaJ//gadA//cheR//phnG//polA//fabG//serA//apaH//argF//ung//paaH//ravA//purB//ldtB//rsmH//ubiC//sdhA//eda//
Cra_neg	nanA//agp//dadX//phoA//ilvH//gatY//idnO//frdC//gor//dmsA//rsmA//astE//malP//astD//betB//amiA//wzb//deoD//cadA//yqhD//mazG//murQ//argG//mhpA//katG//garR//mpaA//nrdF//araA//metE//fabZ//ttdB//astD//fadA//fabD//ubiA//aspA//ynfF//tauD//metF//ansB//slt//rffT//ccp//nemA//
Cra_pos	hemL//deoC//frdD//cdd//bglB//mhpD//lysA//uxaA//paaK//entB//hemF//dkgA//hemA//astE//idnO//pgaC//nrfC//
CreB_neg	dgcC//
CreB_pos	atoA//
CsgD_neg	gabT//xylB//
CsgD_pos	wzc//lsrK//polB//
CsiR_neg	garD//cdd//xdhB//caiC//
CspA_pos	gatD//
CueR_neg	nfsA//glpE//trpD//
CueR_pos	srkA//fucI//
CusR_pos	pgaC//cmoM//murE//sgbU//
CynR_neg	
CynR_pos	aceF//pgaC//bcsB//
CysB_neg	katE//tktB//cynT//
CysB_pos	trpA//xdhC//acs//cysM//hcaE//pdeR//phoA//upp//ugpQ//ascB//tauD//sufS//tdcG//alsE//
CytR_neg	pgpC//cpdB//adeD//astB//tdcB//dacC//glpE//fucK//fucA//hycF//
DcuR_pos	hchA//phnO//adiA//yfdE//
DeoR_neg	glgC//mhpA//fucA//atoA//napG//purB//
DhaR_neg	
DhaR_pos	ascB//
DicA_neg	
DinJ-YafQ_neg	prmC//
DnaA_neg	cmoM//bioC//pdeR//nrdB//phnI//
DnaA_pos	aceE//rffT//yqhD//
DpiA_neg	
DpiA_pos	rimK//acs//mhpA//glxR//argB//
DsdC_neg	
DsdC_pos	phnI//deoA//
EbgR_neg	
EnvR_neg	trmA//yedX//
EnvY_pos	wecB//narI//
EvgA_pos	purM//garL//lacA//glgP//cysK//ttdB//
ExuR_neg	ruvB//glpE//nanK//paaA//entE//pagP//
