# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	dinB//acnB//
Ada_neg	aldA//aroA//
Ada_pos	pgm//nrfD//napB//rffH//
AdiY_pos	allC//pnp//tpiA//truB//
AgaR_neg	kbl//
AidB_neg	ulaF//
AlaS_neg	rnpB//
AllR_neg	phnG//bioF//hyi//metA//frdD//phnO//
AllS_pos	cysK//fabG//galE//
AlsR_neg	pheS//accD//gcvH//
AppY_pos	hchA//glyA//
AraC_neg	paaK//lldD//lpxC//pyrD//rffG//
AraC_pos	metL//metA//asnA//alaS//argG//cadA//
ArcA_neg	udp//ugpQ//argH//add//paaG//ldtB//ydcS//lldD//sdhC//sodA//trmA//astB//sgbU//purD//gabT//tdcB//frdB//yeaG//katE//napG//pflB//avtA//ycjG//wecB//tynA//sbcC//moaE//glcD//cynT//hcaF//srkA//adiA//rnpB//gloA//cysK//hcaD//entE//pncB//fabA//sucB//glmU//uvrB//hcp//moaC//rutE//adhE//uxaC//allB//gpmA//phnI//ttdA//prpE//ldtD//hpt//argG//frdA//ssuD//uxaA//rutC//idnK//puuC//gcd//alaS//purE//oxc//eda//bacA//paaE//aspA//
ArcA_pos	cyoE//ttdA//fadI//metK//frdC//guaB//fabI//bacA//kbl//wecB//cysG//dmsB//aspA//fabI//atoA//ruvB//thrS//cysM//dmsC//icd//puuE//glpB//argE//dgcN//ubiC//glgA//cysG//fadM//nrfC//hypB//ilvM//
ArgP_neg	
ArgP_pos	dmsA//pncB//srkA//umpH//cysH//murC//garR//ynfG//glpD//
ArgR_neg	ybjG//hcaB//ychF//pyrD//ygeA//dapB//hycC//ugpQ//gabD//napG//aroL//rtcB//xdhA//dsdA//hycE//ttdA//ygeA//oxc//
ArgR_pos	ssuE//glxR//cynT//cpdB//tdcB//
ArsR_neg	prpD//metB//
AscG_neg	hyaC//malY//
AsnC_neg	glpK//
AsnC_pos	ilvD//
AtoC_pos	ilvE//phnM//aceB//
BCCP_neg	ada//
BaeR_pos	glpA//katE//
BasR_neg	murD//
BasR_pos	allE//ilvE//
BetI_neg	nrdE//glpC//gpmM//
BirA_neg	serA//astA//bioA//pgi//ugpQ//
BluR_neg	
BolA_neg	purN//deoB//
BolA_pos	sdhB//argC//
BtsR_pos	phoA//
CRP_neg	bioA//guaB//argC//cysM//garK//glmU//gabD//ilvH//rutE//talA//tyrB//gcl//dadX//cheR//aceE//putA//sucA//mhpF//tehB//hemF//lsrF//gcd//cheR//glyA//hchA//ssuD//entE//glgB//rimK//lpxD//glgB//murC//ulaE//waaZ//lysC//nanA//lhgO//tdcB//citD//fruK//hypF//puuE//trmA//mnmG//ilvH//tadA//astC//paaK//umuC//metH//nagA//paaG//glpX//moaA//ndh//metL//lpxA//bcsB//srlD//tadA//ttdA//nadB//glpA//sucB//moeA//allB//sgbE//nrdE//glpX//pgm//melA//
CRP_pos	prs//cysE//argH//idnO//guaA//malY//bglB//hcaD//glxK//feaB//alaC//yqhD//ulaD//ygeA//aldB//sgbH//uxaA//tdh//sodA//asnA//rutB//glgB//purC//entB//manA//cmoM//wzb//hemL//cyaA//metB//ascB//ulaF//ruvA//appA//sodA//ruvA//hyaC//mhpC//feaB//gcl//prs//ulaE//bcsZ//frdA//aceF//sodB//hycD//uxuB//speB//upp//prmC//sodB//phr//ilvG_1//alaA//alaA//zwf//hycD//purD//accA//guaA//glpB//rutE//nirD//gnd//waaH//galE//gudD//avtA//nrdD//purE//truB//ybjG//ilvI//pdeF//ubiG//preA//fucU//glpQ//citF//accA//araB//wzb//cysN//uvrB//trmA//ugpQ//aceB//aroG//alkA//mhpC//dmsB//phnH//sodA//glpA//entA//nfsB//sbcD//paaF//gutQ//fadM//purN//zwf//dhaK//gdhA//rsmH//hyi//gntK//fbaA//alkB//uvrB//serC//gadB//rtcA//deoC//ilvG_1//puuA//cheB//lysU//ravA//uvrA//hemL//gatZ//wecE//prpC//lysU//amiA//nrdB//dkgA//allA//entF//luxS//mhpF//cyaA//nagB//ogt//glmU//psd//allC//pyrD//mngB//polB//garL//gatZ//lpxC//ldtC//cueO//asnB//fau//pgk//uvrA//eno//betA//ruvA//trpA//prpE//dmsB//paaB//preT//xdhA//dhaK//citC//moaD//edd//napG//ubiX//entD//hyaA//araA//aceA//cadA//treC//murQ//pdeF//bacA//mdh//glgC//trpA//rnpB//yeaG//fadH//preA//malQ//ampD//glpC//cheB//yeaG//rimK//murG//fadA//ugpQ//wrbA//yiaK//moeB//malZ//hycB//murG//pykF//cdd//hemL//caiB//murD//codA//paaA//citF//uxaC//argG//sgbE//prpD//hpt//purB//rbsD//rhaD//trpB//purH//napG//mpaA//lacZ//malZ//bcsB//speC//phnL//wecB//entB//pdeH//betA//yedX//fadB//pyrD//malY//araA//gapA//dmsA//nadB//gor//acs//gapA//paaH//deoB//galK//glcD//garK//glpB//entC//gabT//appA//umuD//ubiG//gntK//
CadC_pos	alaA//gltD//gatZ//
CaiF_pos	rffM//argA//phoA//sdhB//sdhB//
Cbl_pos	rffC//moeA//cysC//sbcC//trpC//
CdaR_pos	accC//phnH//cysJ//ygeA//glyA//nanE//murD//gltA//yfdE//
CecR_neg	fau//
ChbR_neg	gltD//carA//metH//
ChbR_pos	aroL//garR//tynA//
ComR_neg	
CpxR_neg	ilvD//pnp//frdD//
CpxR_pos	hyaB//fadE//glpX//hycF//cadA//aceF//edd//leuD//rbsD//guaB//pheT//xylA//rffT//polA//xdhC//relA//guaA//uvrC//
Cra_neg	idnD//entE//paaE//ynfH//alsE//bioF//paaB//dgcN//hchA//tdcE//cysM//ynfH//ung//uvrC//tdcE//cynT//dmsC//cmoM//kbl//rhaB//cadA//ruvB//dinB//rffH//ahpF//mhpC//rfe//uxaC//purA//mhpF//lpxC//srkA//hcp//ccp//aldB//dadX//preT//ribA//fadM//moaE//argC//dapD//hcaF//ldtB//avtA//
Cra_pos	nfsB//xylB//moeB//ilvG_1//slt//glgC//citE//prpD//ilvH//ubiA//ppc//mhpC//paaH//sucD//hyaC//narG//rutE//
CreB_neg	galE//
CreB_pos	sdhA//
CsgD_neg	moaA//phnG//
CsgD_pos	dgcN//puuA//gudD//
CsiR_neg	ahpF//glcF//thrS//cysI//
CspA_pos	entF//
CueR_neg	mltF//astC//dadA//
CueR_pos	betB//rffM//
CusR_pos	dkgA//pepD//sdhC//napG//
CynR_neg	
CynR_pos	kbl//gpsA//adhE//
CysB_neg	lpxD//gcl//astB//
CysB_pos	prpD//fabB//mpaA//hcaF//rffM//alaA//rffG//ilvA//acs//accA//araD//puuA//hflX//rutC//
CytR_neg	ldtD//hycG//speB//prpB//metA//atoB//bcsZ//nanM//phnO//gpmM//
DcuR_pos	metE//narI//napG//bcsB//
DeoR_neg	phnN//ychF//prmC//gcd//aceE//ada//
DhaR_neg	
DhaR_pos	metF//
DicA_neg	
DinJ-YafQ_neg	nrdE//
DnaA_neg	gatZ//hyi//gadB//dadA//fucA//
DnaA_pos	uvrB//hcaF//moaD//
DpiA_neg	
DpiA_pos	bioB//glxK//amn//sucD//ribA//
DsdC_neg	
DsdC_pos	metK//malZ//
EbgR_neg	
EnvR_neg	ulaE//idnK//
EnvY_pos	citC//phnP//
EvgA_pos	garL//deoC//ilvM//edd//sdhC//rutD//
ExuR_neg	pheT//mhpE//paaZ//trpE//fruK//sbcD//
FNR_neg	paaC//ubiX//aspC//alaA//hchA//dhaL//pepD//alkB//rutC//glcB//oxc//cysD//alkB//tehB//glgX//gadB//mdh//lpxA//katG//fucO//leuB//yqhD//fabG//sbcC//araB//pdxA//ccp//tpiA//rimK//paaZ//rnpB//wecC//purK//pck//puuB//galK//glgP//glgB//accD//narG//malP//serC//ssuE//hycB//
FNR_pos	srlD//araB//dgcZ//tdcB//xapA//ilvN//lyxK//malZ//edd//purN//xylA//ynfH//alkA//hcaB//tdcE//murC//gabD//nanA//tdcG//nrdD//paaJ//poxB//hemL//aroL//dgcN//araB//uxaA//deoA//aroF//nrfA//argF//glcD//rutE//murD//glpC//ldtC//mdh//lldD//gpsA//folE//ascB//fabI//ampC//wzb//cysC//dhaM//phnO//purD//aspC//fadI//glgX//purA//hchA//chbG//metL//fbaB//hyaB//wrbA//moeA//araA//fadJ//katG//fumC//galT//yedX//glpX//deoA//malQ//frdC//hemL//glpK//leuC//sdhC//nanE//ilvI//gcvP//bacA//gcd//pheS//frdD//trpD//ppiA//allA//yqjH//epd//ampD//pgaB//chbF//sgbH//fruK//prs//wzb//rbsK//cysH//ulaF//yqhD//
FabR_neg	idnD//cysC//gltB//
FadR_neg	sucB//ilvI//ddlB//ogt//prmC//rhaB//argH//metK//argC//
FadR_pos	rutB//mhpD//malS//umuC//alsE//lysC//cysG//ppc//treC//katE//
FeaR_pos	pdxA//ilvN//
FhlA_pos	serA//sucC//waaZ//alaC//mpaA//grxA//ubiX//pflB//
