# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	umuD//ppc//
Ada_neg	relA//cysJ//
Ada_pos	rutA//ssuD//yqhD//patA//
AdiY_pos	hcp//kbaZ//dgkA//ascB//
AgaR_neg	metA//
AidB_neg	yfdE//
AlaS_neg	fadD//
AllR_neg	pheT//ogt//araD//argI//glsA//yqhD//
AllS_pos	nrdD//phnJ//accD//
AlsR_neg	gltX//hemA//ccp//
AppY_pos	cysD//gatZ//
AraC_neg	mdh//mhpF//nemA//hycG//fabA//
AraC_pos	gcvH//citF//glpE//ilvN//paaC//hmp//
ArcA_neg	tyrB//nrdA//lysC//gcd//prpE//dadA//pdeH//metB//fabH//aroG//prpB//glxK//lsrG//ahpC//xapA//entB//purA//zwf//phoA//dadA//udp//purC//hyaA//hycG//nirB//cysC//metE//rsmA//nrfD//purA//accC//putA//rutB//dinB//narG//tehB//galE//ilvM//ulaF//gabD//purE//pck//fadD//ilvH//leuB//murI//betA//aceA//rpiB//hyaB//phr//mhpE//kbaY//napG//murE//glpD//prmC//accA//cpdB//bioD//caiB//gpmM//yfdE//astA//rtcA//phnL//aldB//sdhA//nadA//
ArcA_pos	fadA//pheT//metE//rsmA//gudD//bioD//uvrA//gpsA//pnp//yfdE//purM//rutE//frc//hycC//pspE//deoD//codA//pdxA//dsdA//ilvD//ung//sucD//astA//fucI//rutD//adiA//atoB//xylB//pflB//puuB//cysK//
ArgP_neg	
ArgP_pos	astB//ppsA//phoA//puuA//malQ//gapA//uxaA//appA//trpD//
ArgR_neg	astD//rffG//alkA//carA//deoB//cysE//ung//polA//cheR//nanK//caiD//tdh//hemL//puuE//speB//rffG//nrdB//rpiB//
ArgR_pos	tehB//argB//glgP//sbcC//ackA//
ArsR_neg	rffC//poxB//
AscG_neg	dgcZ//argH//
AsnC_neg	alkA//
AsnC_pos	aroH//
AtoC_pos	fadH//gntK//metH//
