# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	aceB//wecC//
Ada_neg	ilvM//glgX//
Ada_pos	lpxD//leuB//uvrC//chiA//
AdiY_pos	napH//aceB//argF//dhaM//
AgaR_neg	rutC//
AidB_neg	phoA//
AlaS_neg	bacA//
AllR_neg	glgA//ulaD//mnmG//ruvB//aceE//fdhF//
AllS_pos	purN//hycB//rutA//
AlsR_neg	garR//ldtB//aceE//
AppY_pos	glmS//asnA//
AraC_neg	cheR//rhaD//lacZ//gpsA//tdcE//
AraC_pos	aceB//purA//phnJ//carA//dkgA//tyrA//
ArcA_neg	tdh//treC//argA//paaK//asnA//gcvT//astD//citF//rffH//aroL//xdhA//kbl//ilvN//araB//entC//ldtB//rbsD//nrdE//rtcA//aceB//paaY//pfkA//nanM//fabI//dhaL//accC//wrbA//paaJ//ribA//araD//icd//apaH//eda//nrfA//metB//yfdE//hcaC//entE//bacA//gudD//sgbE//ssuD//katE//yqhD//manA//talA//pgk//torA//aroL//glcE//icd//gatZ//sbcC//ilvA//fucO//manA//atoA//umuD//srlD//lsrG//ssuE//purC//hemF//murD//yqhD//garD//guaA//garK//nagB//
ArcA_pos	mpaA//fucI//nadB//recD//fumC//dsdA//leuA//entF//hyi//speA//pdeL//lysC//arsC//paaG//deoA//entB//trpE//speC//metC//ubiG//lhgO//ulaG//idnO//narG//torC//chbF//nrdE//rffC//cysE//aroL//wrbA//
ArgP_neg	
ArgP_pos	rhaB//citF//aspC//phnL//ahpF//asnB//ssuD//dadA//sufS//
ArgR_neg	fabG//argF//galM//bcsZ//allA//aroH//glgX//glcB//bcsB//dmsB//nagB//metK//aroG//narH//gadA//argB//hypB//fabH//
ArgR_pos	glcB//iscS//entC//glmU//xapA//
ArsR_neg	acnB//tnaA//
AscG_neg	icd//uvrA//
AsnC_neg	uvrB//
AsnC_pos	cynS//
AtoC_pos	relA//murF//paaY//
BCCP_neg	rtcB//
BaeR_pos	metL//udp//
BasR_neg	dmsC//
BasR_pos	cmoM//ilvG_1//
BetI_neg	lhgO//leuD//murG//
BirA_neg	lpd//gltB//moeA//caiD//rhaB//
BluR_neg	
BolA_neg	katE//araD//
BolA_pos	fucK//hycC//
BtsR_pos	lacZ//
CRP_neg	fruK//sbcC//fadB//waaY//ilvG_1//argA//upp//lysC//nrfC//glpK//ulaG//adhE//moeA//rimK//ttdB//ubiA//nanM//ygeA//nrdF//gltD//thrS//kbaZ//leuB//ilvB//paaH//cysI//tdcE//hemL//tnaA//bcsZ//aroH//sdhD//sucC//nfsA//sbcD//carB//sbcD//aldA//tam//dgcZ//argD//prs//paaH//pykF//puuD//aceE//umpH//dapB//ubiA//alaA//tam//glgX//kbaZ//citF//xdhB//fadJ//fabA//tynA//yfdE//ilvB//glgB//bioD//argA//mpl//phnO//hmp//ndh//aldB//aroG//narG//prpE//
CRP_pos	chiA//moaC//nirD//sdhC//ahpC//sucC//mhpC//atoA//mtlD//hycE//fabI//torA//chiA//gor//pgaB//nadB//rutB//ackA//dusB//oxc//aspC//prpB//napA//gdhA//hypB//hycC//lysU//pgk//tpiA//hcaE//fadD//gadA//leuD//glpQ//paaY//acnA//fabZ//malY//cmoM//rbsK//astB//purM//cyaA//dhaK//ulaG//ubiC//rpiB//ilvA//tehB//ruvB//sucC//xylB//tynA//murD//fucA//bioF//umuC//aceE//accA//ubiX//fumB//ilvG_1//deoC//trpE//arsC//rhaD//glpB//garK//cysK//waaY//frdB//nfsA//rffH//hchA//pncB//mhpA//gloA//mhpA//gudD//mngB//dapD//glk//frdA//citE//wrbA//mngB//fabI//citF//nemA//chiA//pgpC//patA//lysC//sucB//alsE//fucU//waaH//metK//bioD//dmsA//guaB//tadA//umuC//lysC//phnL//wrbA//patA//pgaD//putA//fadE//purC//yiaK//glgB//sdhD//manA//dapD//relA//mdh//rffM//ubiA//nadB//pdeL//guaB//nrdA//ulaD//nfsA//cpdB//citF//ravA//epd//recD//rbsD//glgP//glpC//ftsI//ilvI//manA//yqhD//hycG//avtA//aroF//ilvC//fbaA//aroA//sdhA//gadB//sucC//galM//fdhF//glpK//gltD//napB//ldtB//ubiX//atoD//ahpF//rhaB//argH//umpH//bioA//ampD//hflX//gadB//tyrA//katE//fruK//narH//alaS//ruvA//pncB//entE//ruvA//hyi//fes//dsdA//glmS//ssuE//paaB//aspA//cueO//galT//polB//gltB//recF//yedX//dgcN//torA//malS//ilvE//rtcB//rutE//fadD//gcvH//gcd//atoD//acnA//moeB//rffG//betB//srkA//glgC//cysM//folE//dgcN//folE//atoD//metF//fucO//avtA//pykF//phnP//fes//rutE//lsrF//lysA//phnJ//pdxA//paaH//sucB//chbG//citX//mhpC//pfkA//entF//ldtC//pgk//metC//nadC//cysH//alaS//frdA//glmS//thrS//chbG//tpiA//waaH//phr//yqjH//paaE//ubiC//rffH//pheT//purH//pflB//prpE//aldA//mpl//pgaB//hycG//
CadC_pos	malS//katG//lpxD//
CaiF_pos	paaZ//gapA//ruvA//metK//purL//
Cbl_pos	glpB//gabD//idnD//nadC//murG//
CdaR_pos	lhgO//mdh//nanA//hcaF//rffT//glgP//dusB//ppsA//rutC//
CecR_neg	citE//
ChbR_neg	luxS//gapA//rhaB//
ChbR_pos	araD//dhaK//dgcC//
ComR_neg	
CpxR_neg	rhaD//rimK//prmC//
CpxR_pos	acnA//phnN//prmC//aceA//frdA//gltX//umuC//queA//glsA//argI//fdhF//pdxA//dmsA//pfkA//prs//fadB//araA//gadB//
Cra_neg	mraY//allB//ulaF//fabA//galM//pyrC//murC//ilvM//pflB//sucA//bglB//sucD//betB//dapD//hemL//cdd//hpt//upp//nfsA//pheS//rpiB//paaY//ynfF//accD//napA//sdhC//hycB//polA//recD//galK//ndh//ldtD//ttdA//fucU//apaH//wecB//aceF//sucC//entA//aceF//gltD//puuB//nanM//argA//deoD//
Cra_pos	pncB//murF//dmsB//uvrC//folE//mpl//ccp//purN//cysK//gpsA//adiA//malQ//cyoE//gabT//gcvH//cysG//tehB//
CreB_neg	dsdA//
CreB_pos	aspA//
CsgD_neg	rbsD//cheB//
CsgD_pos	galM//uxaC//narI//
CsiR_neg	astB//cdd//glcE//mdh//
CspA_pos	dinB//
CueR_neg	rsmH//phoA//hcaB//
CueR_pos	ulaD//iscS//
CusR_pos	cynS//nanA//adhE//aceA//
CynR_neg	
CynR_pos	dgcC//torC//glxR//
CysB_neg	murG//entC//pck//
CysB_pos	xylB//dadX//dinB//chiA//hypF//cheB//metF//trpE//pflB//ansB//hypB//ulaD//carB//thrS//
CytR_neg	purC//mngB//dinB//tdcD//recB//pheS//adiA//rbsK//sucD//patD//
DcuR_pos	prpD//murG//sucA//argC//
DeoR_neg	entB//cheB//ascB//ribA//speC//chbG//
DhaR_neg	
DhaR_pos	alaS//
DicA_neg	
DinJ-YafQ_neg	kbaZ//
DnaA_neg	caiA//talA//nagB//nemA//ldtC//
DnaA_pos	tdcG//hycE//galM//
DpiA_neg	
DpiA_pos	ugpQ//phnG//sgbH//cysK//fumC//
DsdC_neg	
DsdC_pos	waaH//cysM//
EbgR_neg	
EnvR_neg	ilvB//glpB//
EnvY_pos	ilvN//gntK//
EvgA_pos	aceE//napH//sgbU//epd//rffM//kbl//
ExuR_neg	waaH//treC//wzb//sbcC//ilvI//hmp//
FNR_neg	entB//garR//phnM//gpmM//nrdE//ppc//xylA//lsrG//tdh//moaD//ribA//gltB//cysN//ampD//ulaG//galE//moeB//purL//hypF//ubiA//argA//fadJ//uxaA//recD//napB//sgbE//dapB//aroH//recD//hflX//yfdE//phnO//tktB//manA//trpC//ribA//trmD//moeB//folA//rutA//idnK//hchA//tpiA//waaY//
FNR_pos	fumA//murC//ilvD//phnM//fbaA//tyrA//acnA//yqhD//tam//garR//glmS//idnK//speB//pdeH//ldtC//fadD//truB//sucC//dgcZ//metC//moaC//grxA//ilvD//asnB//paaE//puuA//deoA//narI//galK//fadH//cueO//nirD//phnI//aceE//leuC//glpC//polB//gltX//phnM//gcvH//lpxC//ribA//rtcB//garL//patZ//bglB//puuA//nagB//fabH//lsrF//kbaY//sdhA//nrdA//aroA//fabH//tynA//yqhD//glxK//rhaB//acnA//gabD//hcaB//pykF//purN//dgcN//thrS//deoB//metH//cynS//bioA//nanK//rutB//moaC//dadA//udp//gabD//glcF//recD//gor//pheT//murI//phnN//aldA//mazG//prpE//polA//ppsA//aroL//purD//glpE//narI//galM//paaC//paaZ//lsrF//gatY//
FabR_neg	hypB//acnA//ynfE//
FadR_neg	glpQ//purH//lysU//glcB//appA//arsC//sbcC//patA//paaF//
FadR_pos	fabZ//fbaA//codA//ccp//nagA//gloA//dacC//tyrB//cheR//napA//
FeaR_pos	alkB//purL//
FhlA_pos	entE//yqhD//pdeL//lsrF//purD//ftsI//cyoE//ldtB//
Fis_neg	phnJ//galE//phoA//moaC//fabG//ftnA//deoB//caiD//srlD//rutC//tadA//hcaC//astE//aroL//garR//mnmG//pnp//gltD//cysJ//uxaA//prmC//gcvH//sodB//rhaD//rtcB//srlD//ynfE//sdhD//fau//dmsB//gcvP//dmsA//ppc//waaY//fucO//grxA//feaB//patZ//atoB//ydcS//ynfG//moaA//hycG//fucK//trpD//gcvT//
Fis_pos	narI//phnH//deoB//pnp//frc//uxuA//yqhD//aroF//prs//murQ//betB//fabA//dgkA//ugpQ//uidA//puuE//amn//yqhD//galT//ygeA//murC//dmsA//pdxA//rutC//waaY//speC//bacA//hemL//bglB//xylB//aceE//tynA//gatZ//rffM//cysG//ilvB//purB//
FlhDC_neg	rutE//moaE//
FlhDC_pos	waaY//uxuB//uxaA//deoD//argC//paaY//dadA//nagB//ansB//ilvB//udp//xdhB//
FliZ_neg	prpD//fadE//glgP//uxaA//metA//
FucR_pos	trmD//aspC//alaA//pdeL//pncB//fabG//
Fur_neg	gpmM//mhpE//pgaC//lacA//dacC//caiA//zwf//metK//lsrK//alsE//rfe//metF//gpsA//paaI//hyi//pheT//tynA//oxc//pdxA//araD//paaH//rffH//lpd//metF//rffM//fadE//fadH//thrS//araD//speC//metB//nanE//frdA//pdeH//ulaD//puuE//paaI//glmU//ftsI//glpK//malY//ulaD//aroG//serA//alkB//manA//mhpC//glsA//patD//glpA//fabH//paaI//tadA//
Fur_pos	hemH//ilvD//ppsA//fdhF//serC//yeaE//asnB//lyxK//mdh//dadA//frdA//ascB//betA//gabT//rutD//gudD//
GadE-RcsB_pos	nagB//argC//tehB//mltF//hyaB//
GadE_pos	lyxK//rutC//nrdA//moeA//citD//fucO//fadB//add//citD//lpxD//
GadW_neg	speC//uvrA//fabZ//
GadW_pos	cysH//rtcA//ilvC//sucD//
GadX_neg	hcaE//prmC//
GadX_pos	psd//lacA//rhaD//fau//sbcC//fabA//iscS//murI//cysJ//glpD//ruvB//
GalR_neg	glpX//prmC//metA//deoA//ldtC//dapB//
GalR_pos	hycG//argB//lpxD//aroG//
GalS_neg	phnN//umuD//mraY//dhaM//phnG//recD//
GalS_pos	sucB//pncB//citE//pgaB//
GatR_neg	glk//mtlD//ccp//
GcvA_neg	ychF//bioD//purK//
GcvA_pos	aroH//ulaD//purH//
GlcC_neg	
GlcC_pos	galM//metF//hycC//
GlpR_neg	edd//ppsA//oxc//hcaE//ilvD//preT//glxK//
GlrR_pos	
GntR_neg	murQ//ogt//glpK//purL//pagP//prpC//ogt//argD//allB//
GutM_pos	cdd//dhaK//sufS//
H-NS_neg	gltX//amn//rfe//paaC//caiD//ttdB//narI//putA//oxc//ampC//katG//hflX//mraY//mraY//hyaC//glgB//glpD//gor//entB//upp//ansB//fadD//pgaD//gatY//caiD//asnA//phnH//nrdA//glgP//cysE//paaH//sdhB//nrfC//leuD//epd//alkA//appA//gcvT//metC//serA//purC//betB//kbaZ//tdcE//cyoE//glpE//wecC//sdhB//phnL//glgC//glpK//
H-NS_pos	accD//uvrB//nirB//glpE//ynfF//accA//fabH//tdcD//tehB//ynfH//ampC//ilvC//xylB//bioF//hypF//
HU_neg	gltD//tadA//glxR//deoC//alaC//sucC//ydcS//
HU_pos	
HcaR_neg	
HcaR_pos	ubiC//aroG//
HdfR_neg	
HdfR_pos	
HigA_neg	fabD//
HigB-HigA_neg	lpxA//
HipAB_neg	sucC//deoC//
HipB_neg	fdhF//mdh//arsC//
HprR_neg	relA//sdhC//
HprR_pos	gnd//araA//
HyfR_pos	paaK//
HypT_neg	rhaD//speC//
HypT_pos	polA//gcd//pspE//gpmM//purC//
IHF_neg	frdD//frc//fruK//ung//gltB//metL//ahpF//recF//wecE//ogt//sbcC//glpQ//argE//yeaE//murF//pdeF//aroA//cynS//fabZ//sbcD//lpxD//ugpQ//fucO//umuD//ravA//ndh//galT//glpX//paaG//caiB//glpK//prpD//yeaE//galK//ubiG//preA//nemA//moaC//tam//srlD//prpE//rffG//gcvH//
IHF_pos	glgC//ilvB//glcD//citG//paaF//fabG//alkA//cysJ//murI//cadA//fumC//hcaE//argF//rsmA//rsmA//rfe//recF//gdhA//glgC//cdd//mngB//pgk//recB//lysA//hycB//galE//uvrC//amiA//ahpF//ilvD//ugpQ//glpX//uxuB//ynfH//nfsA//ada//ftnA//allA//truB//bioC//fadJ//kbaY//rsmH//gnd//asnA//sodB//metE//hyaA//ulaF//deoC//dgcC//prpD//purC//ansB//metA//moaE//ulaE//fes//ybjG//ftnA//nagA//ogt//puuE//nirD//hflX//gltX//ftnA//metF//ftsI//tdcB//hyaA//
IclR_neg	polB//wecB//purC//
IdnR_neg	puuD//sucA//
IdnR_pos	gapA//amn//poxB//sdhD//
IlvY_neg	
IlvY_pos	glpB//
IscR_neg	umuD//purE//deoA//gadA//yqjH//gnd//
IscR_pos	pspE//galE//
KdgR_neg	glpE//pdxA//
KdpE_pos	sdhB//
LacI_neg	gcd//lpxA//glxR//
LeuO_neg	
LeuO_pos	kbaY//hpt//ilvN//ldtD//udp//murD//
LexA_neg	galK//hyaA//rutA//speC//uvrC//fabD//allC//yqjH//moaC//rfe//putA//garR//galT//tyrA//pepD//murG//truB//srlD//astC//speC//rutE//entC//glgB//
LldR_neg	adeD//glpK//
LldR_pos	cysG//citF//
LrhA_neg	
LrhA_pos	
Lrp_neg	rutB//fbaB//sucC//idnO//cysJ//bioF//asnA//luxS//purC//dsdA//ascB//phr//murG//hyaA//malP//hemL//sodA//phnM//metB//paaG//metE//glpE//frdB//
Lrp_pos	fucA//gntK//ubiC//lacZ//murG//uxaB//ynfF//purM//dmsA//glcD//araB//chbG//gcvP//aldB//ulaE//alkB//ynfF//fau//aroA//argI//
LsrR_neg	fau//araD//hcaC//nirB//cysN//
LysR_neg	
LysR_pos	pdxA//
MalI_neg	ynfH//waaZ//
MalT_pos	recD//murD//adeD//gcvT//udp//entC//
MarA_neg	waaZ//
MarA_pos	lsrF//cysE//pgk//acs//purL//hemH//mtlD//tyrB//argA//puuA//ilvC//dkgA//sdhB//garK//glgP//pgaC//dmsC//oxc//treC//paaC//bioC//arsC//dgkA//
MarR_neg	
MatA_neg	bioC//
MatA_pos	
MazE-MazF_neg	waaY//
MazE_neg	ruvA//
McbR_neg	
McbR_pos	
MelR_neg	gltA//nrdB//
MelR_pos	nfsA//ahpF//
MetJ_neg	codA//paaC//kbl//uvrB//accD//fucA//chbG//hypB//phnO//gatD//
MetR_neg	ribA//
MetR_pos	pgk//paaH//udp//moaE//
MhpR_pos	paaG//hcaE//fucI//pgaD//carA//phnL//
Mlc_neg	aceF//glpQ//epd//gor//
MlrA_pos	hemA//
MngR_neg	ttdB//mhpE//
MntR_neg	dkgA//
MntR_pos	rhaB//
ModE_neg	trpC//glpD//citE//preT//uvrA//ynfF//wecC//pheS//
ModE_pos	phnO//nrdE//cysI//gudD//cheB//trmA//hcp//phnH//ulaE//
MprA_neg	fucO//puuC//narH//
MqsA_neg	hemF//gudD//
MraZ_neg	aroA//rhaD//araD//paaI//asnB//amiA//caiA//glgC//tauD//purK//
MurR_neg	gloA//aroA//icd//
MurR_pos	
Nac_neg	mhpB//nfsB//cysK//
Nac_pos	xdhC//argE//rffH//tdh//ilvH//dgcN//melA//sdhA//
NadR_neg	araD//bioF//sdhC//entE//
