# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	frdC//gabT//
Ada_neg	hycD//atoB//
Ada_pos	tehB//hycB//pyrC//trmD//
AdiY_pos	fes//nrdA//thrS//ssuE//
AgaR_neg	fabA//
AidB_neg	rsmA//
AlaS_neg	dgcC//
AllR_neg	hpt//ruvB//entA//dhaL//nanA//ubiG//
AllS_pos	prs//phoA//chiA//
AlsR_neg	pagP//ascB//puuE//
AppY_pos	napA//moaE//
AraC_neg	nrfA//nfsB//puuD//luxS//lacZ//
AraC_pos	citD//hyaA//galK//nfsA//ravA//trmD//
ArcA_neg	deoD//truB//mdh//gcvT//sdhB//fadE//pdeH//sdhC//ribA//argD//bcsB//ung//luxS//hcaC//carA//aceB//dapB//adiA//cpdB//frdC//galT//gabT//ascB//alaS//murF//bioB//sufS//trmD//entB//ynfH//pgpC//nanM//moaA//mltF//glpQ//ldtB//cysE//fes//dsdA//uxaC//polB//umpH//ilvD//aldB//udp//glxK//iscS//ada//uvrC//astB//ulaF//add//argH//lsrF//hycD//caiA//atoB//agp//moaE//purN//nrfD//dapD//pheT//aroG//arsC//aroF//tktB//gcvH//adeD//
ArcA_pos	metC//caiD//rutE//phnP//ttdB//adeD//recB//gatY//tdcG//hypB//dinB//pgaB//grxA//pgaB//sdaA//lysU//gltB//pyrD//gabD//galK//deoC//leuC//rpiB//pspE//speB//araB//astB//astB//cysI//bacA//purH//
ArgP_neg	
ArgP_pos	icd//gadB//rtcA//aroH//cyaA//guaA//hycD//caiD//ilvN//
ArgR_neg	bioF//araD//patD//truB//dadX//dhaL//pdeL//entF//trmD//murE//mhpC//poxB//ftsI//fruK//dgcZ//metK//garR//dsdA//
ArgR_pos	ycjG//caiD//gudD//citX//dkgA//
ArsR_neg	codA//ssuD//
AscG_neg	manA//speA//
AsnC_neg	hmp//
AsnC_pos	nemA//
AtoC_pos	phnP//fumA//pyrD//
BCCP_neg	ssuE//
BaeR_pos	pdeF//pgaC//
BasR_neg	citG//
BasR_pos	glcB//polB//
BetI_neg	bioB//purA//puuE//
BirA_neg	paaA//phnJ//accD//astC//mhpC//
BluR_neg	
BolA_neg	hmp//atoD//
BolA_pos	trpC//paaA//
BtsR_pos	dmsA//
CRP_neg	wzb//fabD//lysU//fadD//moeA//ugpQ//mnmG//phr//malS//sbcD//mraY//ribA//fau//astA//ynfG//dmsA//phnG//ubiG//xdhA//fabB//purC//manA//rfe//moaE//adhE//oxc//relA//ruvA//aroA//narG//nrfD//bioB//nadA//phnG//eno//tpiA//tdh//uxuA//fumB//pdeL//folA//yfdE//betB//rnpB//hycF//hcaB//fes//pfkA//cueO//fadD//ynfE//dapB//cysD//purE//ynfF//yfdE//rtcB//ssuE//eda//ndh//nrfD//gcvT//katE//umuC//idnO//ilvH//citD//gcd//nanA//ilvC//cynT//
