# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	gadB//galK//
Ada_neg	pdeR//phr//
Ada_pos	moeA//galM//moeB//dacC//
AdiY_pos	uvrC//bioB//dusB//purK//
AgaR_neg	hemF//
AidB_neg	moeB//
AlaS_neg	idnO//
AllR_neg	polA//nrdA//glgB//trpD//speA//cysH//
AllS_pos	ndh//trpE//araD//
AlsR_neg	tdcD//paaB//cueO//
AppY_pos	nrdE//entD//
AraC_neg	feaB//cysJ//alsE//ilvI//pgaD//
AraC_pos	srkA//galM//alaS//garR//pheS//glmU//
ArcA_neg	atoD//gpmM//uxuB//avtA//paaE//gltA//ttdA//gabD//dacC//glgP//purC//metK//dmsC//cysE//tnaA//cyoE//atoB//argH//mngB//frc//gloA//yeaE//gltA//paaI//argA//glgB//rpiB//ahpC//nirB//nadA//waaZ//phnH//argF//nrdE//paaJ//manA//garD//uvrA//tdcB//hemF//sodA//ilvD//xdhC//sodA//rhaD//sucD//mhpB//paaA//uvrA//paaZ//dhaM//lsrF//uxaB//atoA//glpX//rtcA//gloA//moaA//aldA//metL//kbaZ//torC//polA//asnB//puuB//paaG//cyoE//avtA//caiC//
ArcA_pos	hycE//glnA//hyi//purK//aspA//cynS//hycF//ribA//hycE//uxuA//sgbU//patZ//cysN//caiC//sgbE//trmA//speA//metF//phnJ//tdcD//ppiA//purK//melA//gpsA//alkA//wecB//metF//sdhC//hchA//paaK//xdhC//
ArgP_neg	
ArgP_pos	narG//astE//deoC//xdhB//grxA//dadA//rbsD//cysC//cysN//
ArgR_neg	purE//glxK//waaY//nfsB//ansB//caiC//glgB//puuC//ahpF//frdB//lldD//ackA//ulaG//sufS//nanA//trpE//folE//galK//
ArgR_pos	metE//nrdB//lacZ//melA//hflX//
ArsR_neg	adhE//argI//
AscG_neg	metH//paaI//
AsnC_neg	leuC//
AsnC_pos	araA//
AtoC_pos	entC//bioA//gltA//
BCCP_neg	ycjG//
BaeR_pos	idnO//alkB//
BasR_neg	chbG//
BasR_pos	hyi//mhpD//
BetI_neg	nadC//treC//cysH//
BirA_neg	acnA//sucB//paaH//sodA//glpK//
BluR_neg	
BolA_neg	astD//katG//
BolA_pos	pnp//nfsA//
BtsR_pos	sodA//
CRP_neg	glpX//napA//yiaK//patZ//guaB//purN//tdcB//glpE//rffG//eda//ldtB//moaD//mhpD//rutA//aceF//paaF//aroG//recD//galM//argD//polA//atoB//entH//galK//fucO//torC//uxaB//ilvA//trpA//fdhF//cysH//garL//deoA//metL//wrbA//atoD//pagP//nadA//ubiC//astD//aldA//fadH//lhgO//ilvA//phnG//entA//trmD//deoA//speC//narG//bcsB//fbaB//gabD//glpE//dhaM//glgA//dmsA//hyaA//gatZ//rsmA//ynfF//kbaZ//malP//cmoM//betB//epd//nadC//lpxA//hyaA//katG//gnd//
