# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	truB//lacZ//
Ada_neg	citC//frdA//
Ada_pos	moeB//ilvD//cynT//sucB//
AdiY_pos	phr//dinB//upp//tadA//
AgaR_neg	nrdE//
AidB_neg	cysK//
AlaS_neg	ldtD//
AllR_neg	cadA//xdhC//fruK//iscS//bglB//puuC//
AllS_pos	pagP//yqhD//yiaK//
AlsR_neg	frdD//ttdA//rutB//
AppY_pos	phnH//aspC//
AraC_neg	paaJ//dacC//cpdB//kbaY//fadM//
AraC_pos	astB//gatZ//dgkA//waaY//tyrB//argC//
ArcA_neg	arsC//prs//guaA//hyaA//adiA//sucA//metK//entD//lpxA//metC//purA//gatZ//ynfH//metB//rffT//eda//wrbA//tynA//fdhF//nanM//umpH//bacA//deoD//purB//nanE//cmoM//cysM//waaY//entE//dmsB//nanE//trpA//wzc//add//lpxD//hypB//rutE//paaG//entE//cueO//tauD//sdhA//ulaE//ldtB//pheT//trmD//pyrD//sgbU//queA//glcF//hycF//alaA//codA//nrfA//citD//ldtB//glgC//rpiB//tnaA//asnB//pepD//sbcC//ulaG//caiC//dgkA//metA//ynfH//glmS//metE//
ArcA_pos	frdB//rpiB//gltX//uxaC//pyrD//mpl//lysU//rffG//glyA//garD//codA//aspC//cheB//cysG//yqjH//metL//lacA//pdeF//mhpB//ampD//xdhA//hycD//pheT//glpC//alaC//dgcC//pgm//alaC//puuC//alkA//wzb//
ArgP_neg	
ArgP_pos	moeA//chiA//glk//ugpQ//murF//rsmH//metL//epd//ampC//
ArgR_neg	garL//rtcB//aspC//sdhA//gpmA//aroF//allC//dmsB//hycD//recB//gpmA//alsE//paaK//moaE//glgC//uvrC//frdC//uxaA//
ArgR_pos	ulaE//aldB//glyA//glgX//purL//
ArsR_neg	purE//sdhC//
AscG_neg	metH//murG//
AsnC_neg	rpiB//
AsnC_pos	fabB//
AtoC_pos	dhaM//argF//betB//
BCCP_neg	metL//
BaeR_pos	purA//dgkA//
BasR_neg	ycjG//
BasR_pos	chbF//hcaC//
BetI_neg	polB//fadM//moaC//
BirA_neg	bcsB//betA//fadJ//uidA//murQ//
BluR_neg	
BolA_neg	paaJ//pepD//
BolA_pos	ynfG//gltA//
BtsR_pos	feaB//
CRP_neg	rimK//ilvC//cysG//pdeL//moaE//rnpB//pyrD//queA//icd//glnA//dmsC//phnN//leuA//cysJ//nrfD//metH//edd//sgbU//rutA//amn//napA//uxaA//yfdE//gloA//glmS//fes//ahpC//ugpQ//nadB//yqjH//dsdA//glyA//ilvD//pykF//tdcE//pgaC//pnp//ubiG//lpxC//uxaC//ogt//iscS//ftsI//serC//acs//wzb//speB//fes//argB//galT//manA//tdh//metC//ubiA//sucB//mhpF//tktB//fadI//sbcD//garK//iscS//glpC//nadA//glpB//deoC//rhaD//yqhD//preT//paaH//accC//glk//
