# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	ahpC//sodB//
Ada_neg	pheS//sgbE//
Ada_pos	hemL//moaD//gatD//mhpC//
AdiY_pos	lpxD//dinB//galM//ccp//
AgaR_neg	sgbH//
AidB_neg	nirD//
AlaS_neg	luxS//
AllR_neg	queA//rutD//mhpF//glpD//astE//gabT//
AllS_pos	gcvH//tnaA//glnA//
AlsR_neg	icd//glnA//dgcZ//
AppY_pos	lsrF//hcaF//
AraC_neg	araB//malP//trpB//tyrA//ynfE//
AraC_pos	murG//amiA//nrdE//psd//entH//cadA//
ArcA_neg	glsA//rffH//murF//moaC//pspE//paaE//lsrF//luxS//fadJ//hcaB//moaA//mhpF//mngB//glgX//glxR//napA//codA//sdhD//alaA//frdB//fucI//argA//pyrD//pgpC//deoB//glgC//accC//katG//ydcS//atoA//nrfD//sufS//kbaZ//araB//phnL//fucA//fucK//glgB//trpA//sucC//arsC//rffG//pykF//paaK//mpaA//nfsB//ynfG//cysJ//atoA//paaZ//cysM//ynfH//pagP//hypB//mpl//nemA//truB//prpB//lpd//moaA//hcaB//pgk//speC//moaD//glmS//ftsI//dgcN//sgbU//ppsA//
ArcA_pos	nanA//sgbU//glpQ//ilvE//fadB//umuC//gadA//icd//aroH//edd//galE//zwf//srlD//pdeR//phnJ//cheB//sdhC//sufS//ubiA//argG//aceF//cynS//ccp//eno//fadE//recB//paaG//araB//bioF//allA//luxS//
ArgP_neg	
ArgP_pos	rutA//recF//uvrC//rtcA//nfsA//metF//katE//lsrK//ampD//
ArgR_neg	hchA//murF//nfsB//dhaL//metK//gpmA//avtA//mngB//sodA//ydcS//avtA//caiA//chbF//umuD//argI//cyaA//hyaC//purF//
ArgR_pos	lpxC//garD//aroF//lysU//sbcC//
ArsR_neg	acs//hycC//
AscG_neg	adiA//dapD//
AsnC_neg	mltF//
AsnC_pos	trmD//
AtoC_pos	psd//tdcE//cyaA//
BCCP_neg	napH//
BaeR_pos	malQ//udp//
BasR_neg	frdC//
BasR_pos	paaI//gcvH//
BetI_neg	hycD//udp//metK//
BirA_neg	uvrB//nrfD//ackA//paaC//bioF//
BluR_neg	
BolA_neg	agp//glpC//
BolA_pos	agp//folA//
BtsR_pos	amiA//
CRP_neg	nadA//relA//allD//murF//gdhA//puuD//speA//ugpQ//nrfC//sucB//ubiC//gor//rhaB//rffM//sdhB//aroG//pepD//lyxK//folA//gadB//udp//purB//fadB//phnG//aspC//truB//ilvI//ldtC//hycG//uxaA//ampC//tnaA//ansB//rsmA//torC//argB//fadH//adeD//rimK//recF//bcsZ//lpxC//metA//fucA//phnM//lysU//betA//dhaK//tauD//hcaE//ackA//sodA//metK//gudD//araB//sdhC//guaA//ybjG//leuD//phnP//thrS//polA//agp//zwf//cynT//accD//nfsA//accC//kbaY//xdhC//ung//
CRP_pos	relA//gltB//rutA//paaK//metB//pdeL//ilvI//yeaE//cysE//purK//purL//glsA//codA//allD//rtcA//adiA//bglB//fabB//fes//ndh//sdaA//ftnA//puuB//fadA//chbF//aceA//pepD//xapA//rbsD//moeB//puuC//aroF//amn//apaH//bcsB//serA//cynT//allD//pgaD//metH//yqjH//metF//sdhC//dacC//hpt//ilvC//gpmA//cynS//malS//mhpF//sdhD//allA//tdcE//ygeA//asnB//torC//dmsC//hcp//ynfE//entE//sdhC//yqjH//gutQ//deoD//nemA//trpA//yqjH//nrfA//ubiX//allA//cheR//metB//trmA//argE//bcsZ//moeB//argF//metF//recB//leuC//yiaK//rhaB//argI//serC//pheT//sdhD//leuD//narG//ilvC//yqhD//napH//pdeF//patD//katE//fumB//katG//napH//rutE//ftsI//ldtD//umuC//fadE//upp//gntK//rbsK//rhaB//moeA//ccp//argI//frc//garD//nadC//lpxA//fabH//alaS//alaA//folE//trmA//ung//yedX//mnmG//tyrA//gapA//yiaK//fadM//ulaF//recD//chiA//galM//slt//allB//pflB//rsmA//allA//dacC//argE//hmp//mhpB//rutD//edd//moaE//relA//fes//tdcD//truB//yqjH//pflB//caiC//hycG//glsA//astC//cysM//mngB//nanK//torA//amn//phr//fadH//speB//rutB//fbaB//dmsB//umpH//frc//aroH//rtcA//argF//lysU//gltB//dkgB//paaJ//umuD//xylA//accA//fadA//fadD//ada//fucU//fbaA//galE//ybjG//gcvH//fucU//fabZ//phnL//frdC//allC//agp//nirB//gabD//uxaB//dgcC//pgaB//fbaB//hemH//acs//nanK//upp//nadA//hycD//lysA//betA//sucB//aroH//sgbH//bioA//bioF//uxuB//ldtD//ndh//edd//fbaA//accA//metK//ilvG_1//trpC//mltF//moaE//hcp//trpE//rutE//purH//lysA//glgA//pyrC//moeA//frdD//ilvN//fucU//glpX//argF//dadX//prmC//gcvP//gltD//araA//ravA//dusB//puuC//hemH//prmC//ogt//glnA//aldA//napB//garR//malS//lpxD//mhpD//
CadC_pos	gcvT//gutQ//patZ//
CaiF_pos	dhaK//ydcS//phnL//fes//leuB//
Cbl_pos	hemH//hycD//cysJ//paaG//ilvB//
CdaR_pos	phnP//purM//moaA//phnM//nadC//lpxA//fabB//prpE//ychF//
CecR_neg	mazG//
ChbR_neg	dadX//leuB//murQ//
ChbR_pos	asnB//gabD//kbaZ//
ComR_neg	
CpxR_neg	purA//cysI//accD//
CpxR_pos	rutB//sgbE//hycE//relA//luxS//gapA//araD//dmsB//paaG//nanA//fabD//xdhB//murQ//patZ//grxA//alaC//hypF//allB//
Cra_neg	hemL//nrdB//murE//fabA//entD//idnK//caiB//pflB//citC//rffC//gltB//pyrD//hyaB//rhaD//idnO//icd//deoC//yqjH//ubiC//fau//cynS//carB//hemF//idnO//citF//dgcN//atoB//paaI//accD//ulaE//puuA//wecE//phnJ//aspC//ddlB//murI//sgbE//uidA//paaA//pheT//fadD//caiD//purN//fadB//allB//
Cra_pos	entF//dadX//dgkA//dgcN//moeA//fucO//lldD//dhaM//ynfG//srlD//ulaD//phr//yqhD//sgbU//guaA//pyrD//pdeF//
CreB_neg	lldD//
CreB_pos	lhgO//
CsgD_neg	atoA//fabI//
CsgD_pos	glyA//mraY//hpt//
CsiR_neg	nanM//ubiG//sufS//entA//
CspA_pos	purM//
CueR_neg	recF//ftnA//tktB//
CueR_pos	atoA//mhpB//
CusR_pos	uxuB//metE//uxuB//tnaA//
CynR_neg	
CynR_pos	cueO//gltB//lysU//
CysB_neg	luxS//glpX//waaZ//
CysB_pos	patZ//gadB//umpH//tadA//avtA//dmsC//phnH//prpC//hcaD//hyaC//cysI//idnD//pgaB//fabD//
CytR_neg	fruK//pgaD//metL//ldtD//hflX//rimK//frdA//hyaC//cdd//bioD//
DcuR_pos	lsrG//uvrB//caiC//leuC//
DeoR_neg	astE//argE//metE//pgpC//alaS//mhpB//
DhaR_neg	
DhaR_pos	argE//
DicA_neg	
DinJ-YafQ_neg	sodB//
DnaA_neg	rutE//lysC//leuC//oxc//rbsK//
DnaA_pos	amn//wecC//glcD//
DpiA_neg	
DpiA_pos	murQ//narH//bioD//rutB//yeaG//
DsdC_neg	
DsdC_pos	chbF//asnB//
EbgR_neg	
EnvR_neg	galE//tdcD//
EnvY_pos	lldD//pgm//
EvgA_pos	pspE//bioB//mltF//ssuE//hypB//truB//
ExuR_neg	tadA//prpE//rbsK//lacZ//umuD//umuC//
FNR_neg	pdeR//rtcB//ackA//nanK//tpiA//argB//rtcB//xdhC//ycjG//murQ//paaE//rfe//recF//carB//chiA//nadB//manA//torC//pdeF//mhpC//speC//srkA//hemA//folE//glgX//garD//gcvP//glpE//pgaD//treC//phnL//deoD//astD//fruK//thrS//prpD//puuD//rutE//wzc//gdhA//gcvH//gatY//gapA//ampD//
FNR_pos	deoA//ogt//gdhA//gloA//citC//cdd//accD//gcvT//deoC//astC//psd//cyoE//cysN//ynfF//prpC//murQ//rsmH//idnK//leuD//fadJ//phr//fabA//folA//pspE//dkgB//paaG//hycE//sdhC//ravA//fadB//xapA//amiA//ynfH//deoB//galM//appA//srlD//edd//ilvE//rutD//malP//rfe//dadA//trpD//srkA//fadB//apaH//rhaA//ilvA//frdC//fabZ//rfe//allE//aldA//rnpB//mhpD//alaA//garL//dmsA//mazG//puuA//tyrB//xdhC//cheB//nrfC//caiD//folA//lsrG//pheT//trmA//wzc//pyrD//puuD//gntK//uxuA//rutD//bcsB//mltF//adiA//pgaB//betA//gabD//moeB//glpX//gatZ//bioD//glcB//glmU//pgaC//hycG//alaS//pdeF//phnO//uxaA//rhaA//lpxC//
FabR_neg	hmp//cynS//atoA//
FadR_neg	metK//puuC//deoD//rffM//gpmA//trpA//frc//sodB//paaA//
FadR_pos	carA//galM//gabD//phnN//dhaM//purB//pgaC//dgcC//adhE//mnmG//
FeaR_pos	moaA//accA//
FhlA_pos	caiC//trpC//rutD//atoB//fabD//rtcA//aldA//phnI//
Fis_neg	lpd//tauD//ttdB//fdhF//entH//sbcD//nadC//gor//ilvM//wrbA//glcB//gdhA//dmsB//atoB//truB//uxuB//treC//folA//tdh//dacC//sdaA//citF//carB//guaA//phnN//fbaB//fabD//murG//hemH//dkgB//alaC//cyoE//rutC//accC//cysC//xylA//fabD//atoD//mraY//cheB//rffC//gcvP//uvrB//hemA//sufS//dinB//
Fis_pos	treC//nanA//murC//purH//mhpE//allC//recB//ydcS//pgm//relA//appA//xylB//glpQ//garL//ddlB//adhE//dhaK//fucK//murG//fabG//sucA//argH//nrdF//fabZ//prpB//pgi//pyrC//ascB//rutE//lpxC//gltD//fabZ//lysC//accA//aceA//ravA//ynfG//
FlhDC_neg	pyrD//dmsB//
FlhDC_pos	gudD//gadB//adiA//waaY//ilvE//idnK//putA//dapD//hcp//rnpB//guaA//leuC//
FliZ_neg	dgkA//lsrK//metK//dhaL//puuC//
FucR_pos	nirB//fbaB//cyoE//ilvD//amn//tnaA//
Fur_neg	sbcD//preT//araB//mtlD//lldD//argD//ubiX//argH//phnN//gudD//paaI//hcaF//epd//purD//glgC//entB//bioB//glpK//arsC//uxuA//phnN//ftsI//fadJ//fucK//ubiC//umuC//napH//yedX//gapA//tdcG//metB//kbl//rsmH//mhpD//pdeL//entE//hycD//dadX//metL//bioC//ilvC//appA//ilvA//srkA//dkgB//puuD//murD//glk//nanK//rffG//deoC//cynT//malS//
Fur_pos	hcaD//sdhA//phnP//pheS//purH//ilvD//avtA//patZ//polB//mtlD//aceB//melA//moaC//sucC//asnB//fadA//
GadE-RcsB_pos	gadA//citC//kbl//sgbU//nadB//
GadE_pos	galK//paaF//alaA//iscS//cueO//carB//ogt//aceF//gnd//dgcC//
GadW_neg	ilvG_1//alaS//hemF//
GadW_pos	rsmH//alaA//caiC//gabD//
GadX_neg	alkA//argF//
GadX_pos	allD//nfsA//guaA//fadM//cysD//cyaA//rffH//cadA//sbcD//araA//fabD//
GalR_neg	ubiC//wrbA//tnaA//cadA//fadA//bioF//
GalR_pos	pspE//nrfC//yeaE//dmsB//
GalS_neg	phnP//tdh//tdcB//hmp//nfsB//mazG//
GalS_pos	sucC//nrfD//amn//gntK//
GatR_neg	atoB//dhaK//pck//
GcvA_neg	lsrG//leuC//deoD//
GcvA_pos	ubiA//ansB//manA//
GlcC_neg	
