# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	mhpA//hycF//
Ada_neg	tyrB//atoD//
Ada_pos	trmA//cynS//dhaM//gltD//
AdiY_pos	argF//phnN//cysE//puuA//
AgaR_neg	epd//
AidB_neg	ldtB//
AlaS_neg	betB//
AllR_neg	eda//paaI//trpE//paaF//betB//glpB//
AllS_pos	ybjG//betB//leuC//
AlsR_neg	cyoE//hcp//pgi//
AppY_pos	astE//iscS//
AraC_neg	glcD//ahpF//mhpA//tnaA//icd//
AraC_pos	pykF//avtA//malZ//ilvA//mpl//metF//
ArcA_neg	glgB//lsrG//ackA//metC//kbl//metC//lyxK//tnaA//fabH//allE//paaK//citC//paaI//ygeA//phnG//acs//aceA//mhpA//luxS//fadD//yqjH//sgbU//sucB//purD//dhaK//rutD//ynfH//folA//accA//cysK//tehB//gcd//tdcD//ppiA//sgbH//feaB//betB//fadM//aroH//caiD//araB//dusB//uvrA//rbsD//gcvT//frdB//queA//fabB//caiB//metF//napH//dacC//aroG//phnN//chbG//pepD//paaH//gadB//nanM//cysI//gltA//astA//metK//fadE//yedX//rutC//sodA//glpK//astD//
ArcA_pos	nfsA//add//treC//alaC//bcsB//gpsA//argB//glpB//pagP//aceB//paaI//katE//pagP//ccp//xylB//rutB//uidA//speB//cysI//citG//prpC//hflX//lyxK//purA//accC//accD//lldD//ugpQ//sbcD//metK//dkgA//
ArgP_neg	
ArgP_pos	pyrC//hyaC//pyrC//edd//uxuA//ilvA//fabB//ybjG//araB//
ArgR_neg	narG//ahpF//rffH//allD//queA//fabG//wecC//oxc//astA//rnpB//purC//ruvB//narI//ugpQ//gnd//rimK//oxc//argI//
ArgR_pos	nadB//gcvP//lacZ//rtcB//lsrK//
ArsR_neg	ilvN//edd//
AscG_neg	yeaG//ilvA//
AsnC_neg	hemA//
AsnC_pos	accD//
AtoC_pos	rfe//rbsK//rhaD//
BCCP_neg	ddlB//
BaeR_pos	hmp//pepD//
BasR_neg	hyaB//
BasR_pos	cheR//pdeH//
BetI_neg	preT//pepD//hycF//
BirA_neg	leuC//sbcC//gdhA//moaA//glmS//
BluR_neg	
BolA_neg	aceE//puuB//
BolA_pos	nrdA//glcD//
BtsR_pos	ilvB//
CRP_neg	rnpB//dkgA//galM//wecC//recF//murG//metF//napB//moaD//hmp//bioA//gatD//agp//citF//trpD//glcE//hmp//sucD//glcD//bacA//lsrF//nrdB//citX//mraY//gutQ//paaH//hypF//moaA//metB//lhgO//serC//srlD//cysC//gutQ//lpxC//uxaA//rtcA//dapD//moaE//rffT//nanE//galT//cheR//melA//sdaA//gcl//mngB//moaC//gcvT//phnN//thrS//metB//fucO//fadM//nanA//leuD//dkgA//fadH//trmD//gudD//agp//nagA//entH//dapB//cysM//phoA//cueO//phnG//hflX//dhaK//paaF//
