# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	gudD//truB//
Ada_neg	yeaE//rbsD//
Ada_pos	fumB//hcp//araD//bioC//
AdiY_pos	gpmM//ulaD//murD//patD//
AgaR_neg	rtcA//
AidB_neg	bioA//
AlaS_neg	guaB//
AllR_neg	prpB//hcaF//yfdE//tdcE//adhE//phnL//
AllS_pos	metH//trpC//wrbA//
AlsR_neg	amiA//mraY//aroA//
AppY_pos	betA//torC//
AraC_neg	fucK//glpE//ubiX//gor//ulaE//
AraC_pos	ldtB//nrdA//fadH//hycE//fumC//ndh//
ArcA_neg	amn//argI//hemA//metC//citE//deoB//rffT//alaS//nrfD//glgX//carB//patD//allE//napB//ravA//hemF//prs//alkA//paaJ//patA//hycG//pnp//murE//moeB//rutE//alaS//fumC//glsA//gltX//nadC//prpE//murQ//cysE//nfsB//dgkA//mltF//astC//ribA//entA//glgA//leuD//uxaC//waaZ//sucA//phnO//galM//glpC//argE//pnp//ruvA//dapB//hcaC//dapD//hycC//nadA//puuB//tauD//gcvH//lpxD//ubiA//nrdD//glyA//glnA//glgC//umuC//ulaE//purB//dapD//hcaD//
ArcA_pos	nanM//cdd//adiA//trpE//ilvH//dgkA//garK//rutC//lsrG//gcvH//hchA//gatY//xdhA//phnI//glpX//garK//tnaA//rffT//purD//rffH//galM//sgbH//luxS//fbaB//citC//fadD//napG//luxS//lsrF//cpdB//ftsI//
ArgP_neg	
ArgP_pos	garD//alkB//aceA//arsC//uvrA//murC//dacC//lpd//hypB//
ArgR_neg	glgA//sbcD//sdaA//nirD//ppc//cynT//icd//ldtD//tam//ychF//talA//uxuB//uvrC//glxR//nirB//hycE//gatZ//rfe//
ArgR_pos	amiA//accA//chbG//ampC//bglB//
ArsR_neg	fadE//sucA//
AscG_neg	nirD//caiA//
AsnC_neg	rutD//
AsnC_pos	wrbA//
AtoC_pos	purD//uidA//betA//
BCCP_neg	ndh//
BaeR_pos	ahpC//pflB//
BasR_neg	acnB//
BasR_pos	iscS//paaY//
BetI_neg	gltD//mnmG//dsdA//
BirA_neg	murD//mtlD//mnmG//trmD//adhE//
BluR_neg	
BolA_neg	uidA//nrdE//
BolA_pos	fadM//oxc//
BtsR_pos	pgaB//
