# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	dkgA//tyrB//
Ada_neg	rtcB//cysN//
Ada_pos	pnp//gor//tdh//puuE//
AdiY_pos	glgP//cysK//idnO//rtcB//
AgaR_neg	patD//
AidB_neg	argB//
AlaS_neg	nadC//
AllR_neg	metE//phnJ//idnD//phnP//nagA//relA//
AllS_pos	umpH//agp//cheB//
AlsR_neg	pdeR//purA//waaZ//
AppY_pos	purA//astC//
AraC_neg	chiA//glgX//recB//tehB//mhpC//
AraC_pos	argB//yeaE//phnP//glxK//wrbA//hcaC//
ArcA_neg	glk//ahpC//wzc//glmS//entE//hemL//icd//purC//glpQ//bioD//pheT//yfdE//ygeA//luxS//malQ//guaA//fruK//xylA//patZ//hyi//bioF//napG//ulaG//mhpF//moaA//pgaC//pflB//tadA//pheT//glpQ//udp//frdA//hemL//gadA//folA//tam//paaZ//ppsA//lysC//pspE//hchA//tadA//dmsC//ahpC//hflX//leuD//pheT//bcsZ//argD//acs//ilvG_1//uxuA//adhE//pgaD//melA//fadA//uvrC//cysE//leuC//fadB//gcvP//puuE//rhaA//nagA//fabI//cysC//lpxD//fes//kbl//
ArcA_pos	phnJ//folE//gutQ//xdhA//citG//ascB//alaA//cysC//deoD//gdhA//fucA//fumA//mngB//feaB//cysH//lysC//hemF//trpE//wecB//cueO//tdh//dmsC//hycC//xylB//dhaM//ackA//argA//napA//cysG//epd//napH//
ArgP_neg	
ArgP_pos	hycF//adeD//nagB//ilvE//dhaK//argC//dusB//rutE//rimK//
ArgR_neg	paaY//glxR//nadA//kbaY//apaH//gor//fbaA//napH//pheS//gudD//alsE//glpB//gpmM//rhaB//ilvC//entA//murI//accC//
ArgR_pos	dadA//waaZ//alaC//nrfD//fruK//
ArsR_neg	metA//yedX//
AscG_neg	glpB//rbsD//
AsnC_neg	entH//
AsnC_pos	sucD//
AtoC_pos	glcE//phnH//alaA//
BCCP_neg	ampD//
BaeR_pos	relA//fau//
BasR_neg	murF//
BasR_pos	sbcD//dhaL//
BetI_neg	ldtC//yfdE//aceB//
BirA_neg	ynfH//zwf//cheR//phnN//purK//
BluR_neg	
BolA_neg	phoA//pgaC//
BolA_pos	pdeR//malZ//
BtsR_pos	metK//
CRP_neg	purA//yqjH//allA//phnP//paaC//pyrD//murE//rsmH//dgkA//rbsD//purN//edd//xdhC//pyrD//sdaA//metA//citC//moaC//hemF//dgcC//phnH//rtcB//wrbA//preA//entF//hyaC//mhpC//ttdA//xapA//allA//srlD//lldD//fadE//mdh//fruK//dgcZ//ascB//citC//nanK//cyoE//idnD//rtcB//uxaC//argH//puuB//pdxA//asnA//sgbH//deoA//rpiB//fabH//katE//gpmM//deoA//yiaK//lysU//glxR//feaB//purH//tynA//nagA//purA//argE//yiaK//murC//xdhB//gatD//lysU//glpB//nadA//uvrB//
CRP_pos	serC//nrfD//paaC//nanM//yedX//relA//malQ//hyaC//pgi//wecE//alaC//fbaA//hycE//fucO//gcvH//ahpF//nanM//idnK//hyaA//glgC//betA//garL//dgkA//glpC//lysU//moaE//deoD//rffH//prpD//hycB//nanK//garD//malS//sucB//paaE//rutB//paaF//hyaB//paaA//ribA//nadA//fumC//rffC//metE//yqhD//entD//bioB//galM//murG//xylB//ynfG//icd//tehB//lpxD//lpd//tktB//nrfA//ppc//cheB//wecC//mhpE//speB//aroH//citD//amn//fadE//sodA//hyaC//ogt//ybjG//bcsB//glpC//ychF//kbaZ//puuD//cyoE//ssuE//ttdA//deoD//narG//deoC//gapA//appA//paaK//dgcZ//queA//preA//glk//mraY//xapA//fucI//bioD//paaE//ssuD//paaE//leuB//fucK//arsC//paaJ//entD//dmsC//arsC//queA//grxA//cysK//cysK//entB//mpaA//alaS//gpmA//metF//tnaA//truB//aspA//gcvH//glxK//atoB//glgP//ydcS//lsrF//murD//ribA//ycjG//truB//fruK//purK//gpmA//rutE//gltA//frdA//accD//rhaB//rffM//glpC//frc//astC//srlD//aroL//gcd//paaC//ilvA//hmp//fucI//acs//ung//lsrK//tadA//metH//luxS//hcaC//guaA//acs//ilvB//cysK//waaZ//luxS//rffM//tpiA//nanM//uvrC//pflB//nrdE//ilvB//uvrA//pgm//cysN//murG//hypB//bcsZ//manA//ampD//malY//pgaD//mdh//uvrC//aroA//hcaC//paaF//glmS//ilvG_1//pdeL//hemA//mtlD//paaJ//mhpD//pdeF//umuC//argG//ubiC//treC//hyaC//agp//napA//nagA//katG//gcvT//dkgA//glgC//pdeH//glgA//ppiA//fadE//idnK//yeaE//aldB//glmS//entC//sgbU//cheR//purL//cynS//fadB//dkgB//fucO//alaA//prpB//ilvE//rutD//phnI//recD//hemF//pck//mazG//paaI//ugpQ//pdeF//napG//argA//acnB//aroF//gadB//aceA//rsmH//trmD//paaE//ruvB//adiA//glgB//fdhF//appA//ldtB//uxaC//aceA//alaC//pck//acs//hycC//fadJ//glxR//
CadC_pos	ruvA//aceF//accD//
CaiF_pos	bacA//hemL//ampD//phnI//ppc//
Cbl_pos	purC//tadA//gpmA//recB//amn//
CdaR_pos	uxaA//nrdA//trmA//hypF//polB//acnB//ybjG//fucO//idnO//
CecR_neg	waaZ//
ChbR_neg	dapB//purD//glcD//
ChbR_pos	pgi//avtA//paaE//
ComR_neg	
CpxR_neg	fucA//dmsA//add//
CpxR_pos	umpH//aldB//argE//fadE//fadA//atoD//dkgA//hcaB//dusB//leuD//fucO//tdcG//glgX//frdA//prmC//uxaC//pykF//araA//
Cra_neg	fbaB//sdhC//slt//ynfE//recD//rsmH//ubiX//pgaB//purD//pflB//hypF//wzc//citE//idnO//purB//adhE//araB//pyrD//hycB//gcvP//nanE//cdd//gltD//chbG//tynA//rtcA//ilvE//lacZ//mdh//fucA//yfdE//gadA//metH//accC//hyaC//ampD//paaF//purL//hycE//murI//prs//rpiB//ynfE//uxuB//nrdA//
Cra_pos	napG//nanA//sodB//malZ//glgP//metB//purE//hemA//frc//aroL//sdhB//lacZ//ppc//prpC//garR//napH//puuC//
CreB_neg	alaA//
CreB_pos	edd//
CsgD_neg	katE//paaY//
CsgD_pos	pgk//fadJ//pheT//
CsiR_neg	trmD//murG//ung//frc//
