# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	fumC//wecE//
Ada_neg	glcB//amiA//
Ada_pos	dkgA//purE//glgB//tnaA//
AdiY_pos	caiD//fadE//dhaK//malZ//
AgaR_neg	alkB//
AidB_neg	bioA//
AlaS_neg	nrdE//
AllR_neg	alaA//wecB//mhpE//araA//fucI//uvrB//
AllS_pos	puuD//sdhA//bacA//
AlsR_neg	deoC//glpE//wecB//
AppY_pos	bioD//trpD//
AraC_neg	ahpF//rbsD//fbaB//uxuB//puuD//
AraC_pos	wecB//rutB//gnd//mhpB//fadH//aceF//
ArcA_neg	wecC//nanA//nrfC//ddlB//metC//ycjG//dgkA//fumB//napH//preT//metE//galT//metF//lyxK//ugpQ//mazG//fadE//pykF//murE//polA//cynS//alaS//serA//paaF//sdhA//citE//ldtC//ahpF//carA//malQ//purL//gloA//rimK//aceA//ansB//mnmG//prpD//metK//napH//rtcA//luxS//tynA//citX//bioD//cyoE//ahpF//citD//metB//ldtB//dkgB//nrdB//dadX//allC//metA//glmU//ulaG//glgA//hyi//purF//patA//tehB//ada//tktB//glnA//ugpQ//sucC//bioF//bioA//cysG//
ArcA_pos	argC//cyaA//puuC//queA//tdcB//citE//rhaB//ssuE//malQ//lpd//ilvD//paaA//ddlB//glcF//fadJ//tadA//araD//dgcZ//glpX//truB//tyrB//rutD//ppiA//gatY//araD//frdB//hyaA//lsrK//tam//purH//murG//
ArgP_neg	
ArgP_pos	eno//glcE//gudD//tauD//rhaD//uxaA//hycE//fadD//ycjG//
ArgR_neg	leuD//aroA//ynfF//prs//purH//appA//hypB//ulaF//appA//nirD//preA//argF//malQ//glpD//glpK//phnM//ynfG//glgA//
ArgR_pos	narH//relA//fadM//murI//umuC//
ArsR_neg	ilvE//torC//
AscG_neg	fabH//napG//
AsnC_neg	hypF//
AsnC_pos	glgC//
AtoC_pos	tdcE//adhE//glcF//
BCCP_neg	alkA//
BaeR_pos	prpC//fucK//
BasR_neg	citC//
BasR_pos	nrfC//fumA//
BetI_neg	cyoE//hemL//cysM//
BirA_neg	gltB//mhpD//srlD//ttdB//frdB//
BluR_neg	
BolA_neg	gatD//rutC//
BolA_pos	gabT//gltB//
BtsR_pos	ilvA//
CRP_neg	entB//purM//galT//adhE//uvrC//iscS//napH//sdhA//mpl//hycE//uxaB//grxA//gloA//galT//deoA//ldtD//lpxA//alaC//leuB//agp//garL//mtlD//frdC//sgbE//cysI//sufS//caiC//asnA//narG//tauD//fadI//rutD//fabA//pncB//fabD//acnB//hemA//leuB//guaA//waaZ//aspC//sdhB//gadA//astB//narI//uxuB//ttdA//pspE//aldA//hypF//malQ//pepD//fau//nrfA//ilvI//rffT//chbF//cysH//entD//ftnA//aldA//dmsB//galT//napG//trmD//uvrB//talA//lysU//pagP//moeA//dkgA//
CRP_pos	ldtB//cueO//aceF//ybjG//dgcC//ycjG//melA//malQ//ldtD//hcaF//leuC//polA//acnA//moeA//ackA//tdcG//mazG//glgB//cysM//cysC//cyaA//gpsA//rnpB//fbaA//entD//ahpC//fadJ//glk//aceF//pagP//idnD//gloA//xapA//trpC//agp//glpB//srlD//argI//nadA//ahpC//cysJ//nanM//chbG//add//ccp//adeD//sodB//fucO//accC//deoC//fbaA//caiA//paaJ//murE//srlD//leuC//sucD//ygeA//xylB//puuD//cheB//mpl//murF//tpiA//mhpE//speC//phnN//adhE//pdxA//ftnA//sgbU//purK//entH//amiA//rhaA//deoB//glsA//uvrB//folE//idnO//glgC//recF//fau//trmD//gcvP//recF//patA//idnK//gatZ//trpD//allD//moaC//pgi//chbF//ilvH//ahpC//acs//patZ//rhaD//glyA//gapA//ndh//pncB//asnA//cysK//ybjG//gabD//bcsB//pykF//nrdB//murI//cysG//patA//pflB//poxB//cysH//add//glpK//codA//guaA//citD//ahpC//cheB//ravA//rnpB//phnN//speC//hcaF//lysC//cheR//purF//tdcE//allA//pyrC//cysN//codA//ubiA//ubiX//hcaB//mpaA//cadA//melA//dadX//malS//ackA//ppiA//ssuD//bioD//purK//speB//prpE//aceB//ftsI//fabA//aroA//glxK//melA//citF//speA//pdeH//hycB//ilvM//glyA//glpA//rhaB//araD//pheS//glk//accD//glgB//gltB//pncB//paaC//ppsA//tdcE//malP//sgbE//sgbU//gltB//purF//hflX//fabZ//araB//puuB//purF//ynfE//prpE//carA//galK//hypB//luxS//hycD//ychF//sucD//fucU//glpB//frc//purB//metF//mraY//fadD//mhpD//ulaE//aroA//leuA//hcaE//ilvM//phnH//ccp//hyaB//aldA//mhpB//xylB//paaA//aroH//gcvH//rnpB//gcvP//ssuD//sgbU//fabG//lhgO//purE//aspC//dadA//speB//wecC//apaH//napG//oxc//bioC//ruvB//gatY//paaH//caiA//manA//citG//recB//amn//cynT//ttdA//ttdB//ogt//argB//accC//ampC//hpt//fadB//hmp//
CadC_pos	astB//fruK//uidA//
CaiF_pos	gcvT//paaZ//fucK//napA//tehB//
Cbl_pos	ddlB//hcaF//asnB//ilvB//yeaE//
CdaR_pos	paaE//glpA//glpC//patA//murG//xdhC//umuC//gltX//add//
CecR_neg	purL//
ChbR_neg	glpC//glpE//gltD//
ChbR_pos	uxuB//gloA//fucU//
ComR_neg	
CpxR_neg	paaZ//sdhD//trpE//
CpxR_pos	paaI//glpB//pdxA//dgkA//prpD//tehB//frc//lacA//mazG//ilvE//dmsC//xylA//malZ//fadD//lacA//trpB//fadA//argB//
Cra_neg	paaF//hemA//waaY//aroH//yiaK//garR//paaC//murC//alaS//gltB//citE//rffC//tdcB//mhpD//aceE//pyrD//feaB//purB//nfsA//gntK//ynfF//hchA//murI//pheT//atoB//puuE//ampD//accD//glpE//caiB//waaY//rutD//ddlB//frdB//pgpC//moaC//dadX//gcl//uxuA//entH//deoA//uidA//yeaE//dinB//mngB//
Cra_pos	recB//ampD//glcE//cmoM//wrbA//queA//xylA//ansB//yedX//rtcB//argA//ttdA//gcd//deoB//ilvI//allA//accD//
CreB_neg	phnO//
CreB_pos	hcaC//
CsgD_neg	purE//phoA//
CsgD_pos	ulaE//carA//ilvI//
CsiR_neg	phoA//cadA//fabH//mhpE//
CspA_pos	garK//
CueR_neg	nfsB//lacA//pflB//
CueR_pos	aroG//ubiX//
CusR_pos	deoB//phnO//alkA//chbG//
CynR_neg	
CynR_pos	pyrD//cueO//lysC//
CysB_neg	metL//dapB//slt//
CysB_pos	eno//feaB//cysD//codA//dhaL//thrS//cadA//ruvB//nrdF//glk//mraY//patA//ppiA//nirD//
CytR_neg	sucC//bioA//nfsA//phnM//ogt//xdhB//paaE//pdeF//rhaB//pdxA//
DcuR_pos	puuC//malZ//uxaB//pykF//
DeoR_neg	xdhB//luxS//aceE//fumB//ubiA//ftsI//
DhaR_neg	
DhaR_pos	ilvA//
DicA_neg	
DinJ-YafQ_neg	fadB//
DnaA_neg	citD//ilvI//entB//alkB//metF//
DnaA_pos	pheT//gloA//nrfC//
DpiA_neg	
DpiA_pos	pepD//patD//codA//caiD//mazG//
DsdC_neg	
DsdC_pos	ilvC//kbaY//
EbgR_neg	
EnvR_neg	puuC//pheT//
EnvY_pos	uxaB//glpC//
EvgA_pos	accA//glpC//glmS//glmU//chiA//purA//
ExuR_neg	frdB//nanE//rutD//phnJ//xylA//allA//
FNR_neg	umuD//ppsA//pdxA//entB//ftnA//aroA//purL//arsC//glxR//umuD//phnM//pdeF//gcvT//sgbU//bacA//sdhC//aroF//purM//gabD//katE//narH//entB//moeB//gcvH//hycB//glmU//trmD//ilvH//queA//ribA//hflX//purH//aroG//melA//bioF//nrdF//xdhA//appA//avtA//ubiC//ribA//cysC//atoA//fbaB//
FNR_pos	xdhA//ogt//ychF//nadA//tktB//yqhD//adiA//hyaC//asnA//grxA//fumB//alsE//gcl//paaY//mhpC//galM//rhaA//aldA//adeD//gcvT//alkA//pdeH//malS//sucB//cysG//ada//ahpC//ubiG//glgB//aldB//gatY//hcp//astA//prpD//tam//nrfA//yqhD//dacC//yfdE//nadB//fabI//allC//hemL//fadA//adiA//alkA//malZ//rtcA//narH//murE//entF//preA//ruvA//lsrG//pdeH//queA//yiaK//fbaB//katG//cynT//aceF//ada//bioF//citE//glnA//relA//wecB//yeaE//gdhA//rnpB//allA//kbaY//betA//nadA//malS//kbaZ//pdeF//moeA//fabI//upp//amn//astE//xdhA//ybjG//adhE//metH//gcl//ynfF//deoD//relA//bioD//phnL//uxuA//ilvN//puuE//dmsA//
FabR_neg	carB//rsmA//citD//
FadR_neg	xylB//fabA//gpsA//nrdB//cysN//paaC//speB//waaY//apaH//
FadR_pos	glcE//glyA//dgkA//argG//tktB//dacC//allE//gdhA//gltA//paaK//
FeaR_pos	phoA//ilvM//
FhlA_pos	metE//citF//napA//tadA//eno//fumC//ampD//dacC//
Fis_neg	ulaD//sucB//lpxC//argE//cynS//leuD//lpd//moeB//rimK//frdD//murG//puuB//garD//adeD//paaA//mdh//entA//mhpD//gcd//nadB//guaB//apaH//sucB//ahpF//glk//chbG//accC//arsC//puuB//rffH//lyxK//lhgO//murD//sodA//aldB//glpQ//umpH//sgbH//srkA//hyaA//lacA//rimK//cynS//ndh//glpC//accD//
Fis_pos	lpxC//hpt//talA//uxuA//tyrA//ruvB//deoB//galK//ampD//gpsA//glpB//argB//waaH//dacC//tnaA//recF//ampD//argG//dsdA//ansB//speB//eno//bioA//pgm//polA//citC//napB//citF//fdhF//allD//betB//allC//tauD//ttdB//pnp//ravA//eno//
FlhDC_neg	garK//upp//
FlhDC_pos	srkA//bcsZ//trpE//alsE//epd//nfsA//entF//ilvA//glcE//katG//asnA//pyrD//
FliZ_neg	glgB//pflB//xapA//ada//fadA//
FucR_pos	avtA//glsA//tyrB//ilvM//sufS//polA//
Fur_neg	nrdA//pgaC//galE//malS//cueO//aroF//wecE//glnA//purL//mhpC//gltB//glgC//hflX//araA//araA//accD//hycE//fumC//glgC//iscS//caiC//paaJ//gltA//aceF//gatY//murQ//dadA//mhpD//tpiA//tadA//kbaY//mltF//ttdB//dsdA//mhpD//mhpB//fadI//nrfD//trmA//glcE//alkA//hemH//puuC//frdC//mhpD//ilvC//purN//carB//serC//fadM//cysI//sdaA//gadA//
Fur_pos	glpQ//frc//preT//luxS//tauD//tyrB//fabG//leuB//uidA//mngB//fabB//amn//adiA//nrdB//ilvN//cadA//
GadE-RcsB_pos	adiA//nrfD//trpC//glpE//tyrA//
GadE_pos	sbcD//sbcD//argE//malQ//alkB//purK//pykF//nfsA//gatD//bcsZ//
GadW_neg	ubiC//aroG//tdcG//
GadW_pos	hcaE//sgbH//alaS//yqhD//
GadX_neg	paaA//malS//
GadX_pos	araD//gor//aspC//cysD//trpB//nagA//ppiA//hcp//guaB//ynfG//murI//
GalR_neg	hcaE//patZ//metE//edd//xdhC//carA//
GalR_pos	alsE//atoA//moaE//astB//
GalS_neg	rsmA//pdeH//astB//lsrK//chbG//rsmH//
GalS_pos	cysM//dusB//puuB//nanA//
GatR_neg	tdcE//allC//nrdB//
GcvA_neg	feaB//lysU//galT//
GcvA_pos	feaB//fadI//cysI//
GlcC_neg	
GlcC_pos	glpD//metK//metL//
GlpR_neg	paaE//phnP//mtlD//hemL//caiA//puuD//preT//
GlrR_pos	
GntR_neg	dadX//sdhB//bcsZ//murQ//citF//atoA//dinB//ttdA//malZ//
GutM_pos	argB//allC//glgA//
H-NS_neg	glpE//nrdF//ynfG//moaD//narI//atoB//alaC//feaB//metE//entA//glgP//cynS//lyxK//moeA//add//mtlD//iscS//ugpQ//ugpQ//wzb//serA//gabD//acs//cyoE//argI//galK//purN//gabT//nrdD//cdd//srkA//udp//hycD//fabA//phnO//paaJ//gltB//nrdA//cyaA//edd//hcp//fumA//entE//rtcB//ygeA//frdC//nfsA//pncB//ulaG//adeD//cysN//
