# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	oxc//alaA//
Ada_neg	rffC//hcaE//
Ada_pos	prmC//galT//puuB//lsrF//
AdiY_pos	polB//sodA//paaI//ftnA//
AgaR_neg	galM//
AidB_neg	ubiA//
AlaS_neg	glcD//
AllR_neg	argD//bioB//tauD//sdhA//galE//hyi//
AllS_pos	idnD//allD//alkA//
AlsR_neg	wrbA//tpiA//purC//
AppY_pos	frdD//ppc//
AraC_neg	argC//carA//nanM//folA//aceE//
AraC_pos	pgk//mhpB//nrfD//deoA//fbaA//entC//
ArcA_neg	argD//astB//pgpC//glpX//lpxA//polA//guaA//queA//hcaD//trpE//trpD//aceA//pepD//fabB//pykF//mazG//rffG//yqjH//trpC//uxaA//ldtC//uvrC//yeaG//tynA//argH//ilvC//moaC//glxR//betA//ddlB//moeB//ddlB//entD//srkA//nanE//cysG//cadA//nrfA//rffM//dsdA//prmC//garD//glmS//paaJ//ilvB//glxR//pepD//ppc//rhaB//nrdB//katG//paaE//glpC//paaF//glcB//caiA//fruK//prmC//allB//wecC//hycC//aldA//mhpF//rtcB//nirB//tyrB//fabG//frdA//napG//
ArcA_pos	purL//puuB//ung//galM//talA//pdeL//gdhA//fabG//nfsB//ubiG//hchA//tadA//fadD//atoD//aldB//cysK//malQ//caiC//nadC//pgi//tdcD//rhaD//moaD//fes//bioD//paaY//bcsZ//bioF//gcl//yeaE//fucI//
ArgP_neg	
ArgP_pos	metC//rbsD//torA//hcaF//pfkA//glyA//yfdE//cynS//dmsB//
ArgR_neg	yfdE//ilvG_1//gltB//dsdA//frc//betB//fadB//sodB//ldtB//glgP//aceE//katE//purC//udp//ppsA//xdhB//dgcN//napG//
ArgR_pos	rsmA//pfkA//gltA//alaC//tdcD//
ArsR_neg	citC//glpD//
AscG_neg	arsC//pdeL//
AsnC_neg	glgA//
AsnC_pos	moeA//
AtoC_pos	astB//fabI//fadE//
BCCP_neg	pdeH//
BaeR_pos	puuC//speC//
BasR_neg	yqhD//
BasR_pos	ndh//folE//
BetI_neg	kbl//carB//galM//
BirA_neg	nrfD//deoD//queA//fumA//aldA//
BluR_neg	
BolA_neg	fucO//paaI//
BolA_pos	glgA//phnL//
BtsR_pos	pyrC//
