# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	paaJ//citX//
Ada_neg	ppc//galK//
Ada_pos	sbcC//fadD//citE//talA//
AdiY_pos	hycF//sbcD//carA//araD//
AgaR_neg	hycC//
AidB_neg	purL//
AlaS_neg	metL//
AllR_neg	fadD//chbG//malQ//dusB//trpB//citD//
AllS_pos	narG//tdh//ascB//
AlsR_neg	rhaA//gatY//cadA//
AppY_pos	ssuD//narG//
AraC_neg	malS//serC//trpA//paaY//mraY//
AraC_pos	napA//dmsA//ttdB//gpmA//fadB//adeD//
ArcA_neg	lysA//moaA//ugpQ//citC//xylA//treC//rhaD//aroF//gpsA//metC//trmD//ulaD//pflB//cynS//paaE//fadB//dsdA//rffC//rutD//adhE//srkA//rutE//cysD//trmD//glnA//manA//hycD//pepD//cheB//frdC//pgm//uidA//ilvC//nrdB//ampC//napG//nrdE//moaD//glyA//glgA//hemH//caiA//paaB//metF//hycE//ulaF//speA//glgC//astC//aceF//xylA//kbl//sucC//dinB//pdeF//nadC//prpB//chiA//hyaC//gatY//mpl//lyxK//dmsC//lldD//alaS//ilvE//sucD//chbF//gpmA//
ArcA_pos	malS//kbl//pdeR//trpC//preT//ugpQ//melA//psd//glsA//fucO//malZ//pdeH//truB//aspC//ftnA//allC//yfdE//purK//nrdD//fucI//alkA//xapA//waaH//allE//fucI//psd//ynfH//entF//cysE//uxaC//cysG//
ArgP_neg	
ArgP_pos	glpD//allB//folE//sgbE//purF//ynfG//fbaB//astA//fadE//
ArgR_neg	glgB//tehB//eno//hycF//ruvB//sdhC//nadB//phnM//ycjG//aceF//wecB//treC//fau//dmsA//nrdA//paaY//yeaG//ruvB//
ArgR_pos	nadB//tktB//ldtD//entD//pdeH//
ArsR_neg	fabA//truB//
AscG_neg	tdcD//ilvB//
AsnC_neg	ampD//
AsnC_pos	sgbU//
AtoC_pos	fabG//dinB//gapA//
BCCP_neg	murF//
BaeR_pos	acnB//dhaL//
BasR_neg	pnp//
BasR_pos	cadA//fadD//
BetI_neg	gpmA//atoB//tnaA//
BirA_neg	phr//torA//ampC//sucB//aldA//
BluR_neg	
BolA_neg	purB//trpA//
BolA_pos	pgm//bacA//
BtsR_pos	murE//
CRP_neg	tnaA//ttdB//yqjH//wzb//ychF//poxB//dapB//hflX//narG//polB//cysJ//nrdB//galT//nirB//nrdF//lacZ//gdhA//galM//ruvB//nemA//wecC//ubiG//galK//paaA//entE//trpA//cynT//ahpC//garR//patZ//entB//sucA//acs//cueO//malY//ampD//idnO//glpK//sodA//rhaD//hyaA//cysM//alaC//lysA//pdeL//ttdB//frc//ulaF//pgi//cysI//yeaE//paaY//gor//alaC//moaD//astB//ulaF//citE//umuD//pyrC//gltD//hypF//queA//hyaC//fadA//gatD//glcE//moaC//paaB//fucA//betA//
