# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	gudD//argF//
Ada_neg	umpH//edd//
Ada_pos	mazG//adiA//metL//metA//
AdiY_pos	ubiG//sbcC//fabA//phnP//
AgaR_neg	napG//
AidB_neg	rimK//
AlaS_neg	glcF//
AllR_neg	bioC//gatY//glpK//wecC//prpD//ftsI//
AllS_pos	cysH//araD//cysC//
AlsR_neg	waaZ//caiC//fadD//
AppY_pos	gabD//fbaB//
AraC_neg	ugpQ//fabD//pflB//dacC//aceF//
AraC_pos	betA//paaE//citE//pagP//preT//rsmH//
ArcA_neg	hemL//ansB//add//uvrC//chbG//metK//poxB//bioA//fdhF//entC//allA//prpD//phoA//glpC//pyrC//bioB//nanA//uxaB//hycF//cynT//moeB//atoD//torA//aceE//astA//gcvH//phnJ//rutA//deoB//yeaE//aldA//argI//hemF//glnA//cysC//aceB//xylA//rutD//bioC//gdhA//aroF//leuD//dapB//dapB//dgcC//bcsB//cadA//ftsI//fbaB//ssuD//glmU//argD//fadA//astD//mraY//ldtC//fdhF//entE//paaA//accA//prpC//paaY//uvrC//allD//lacZ//gdhA//polB//gcvH//mraY//
ArcA_pos	glmU//dinB//chbG//paaI//serC//dapD//acs//ychF//glcE//cysC//relA//phr//ribA//rutC//rbsK//hyi//gabD//fadM//codA//cynT//tadA//lsrK//umpH//phnP//puuD//gatD//dgcN//truB//glpB//mpaA//malQ//
ArgP_neg	
ArgP_pos	fadD//trpB//nemA//epd//metA//fadM//rffC//fadE//cpdB//
ArgR_neg	nanE//trmA//glgA//katE//paaE//hcaD//lyxK//pgpC//glpX//asnB//wrbA//dhaM//glmS//cysJ//gcvP//arsC//hycF//entD//
ArgR_pos	paaB//mpl//nrdF//araD//metE//
ArsR_neg	gdhA//tauD//
AscG_neg	glpQ//cysD//
AsnC_neg	aroG//
AsnC_pos	lsrK//
AtoC_pos	allD//allD//argA//
BCCP_neg	dadA//
BaeR_pos	rhaD//carA//
BasR_neg	srlD//
BasR_pos	murE//ynfF//
BetI_neg	gcvH//katG//gcvP//
BirA_neg	mraY//napA//frdC//rhaA//glpE//
BluR_neg	
BolA_neg	ogt//malZ//
BolA_pos	ssuE//galE//
BtsR_pos	cyoE//
CRP_neg	fadM//fucK//talA//yeaG//pdxA//glpC//slt//hycB//codA//xdhB//araB//dadA//pdeF//purM//trmD//hcp//hcaD//paaH//ada//rsmA//aceA//tdcB//xdhC//hemF//ygeA//recF//pnp//entH//ulaG//sdhA//nadC//ndh//glpB//alkA//acnB//gpsA//cysC//metF//glpA//tadA//tyrB//cmoM//moaE//kbaY//prpB//paaZ//xylA//gabD//lysU//hchA//acnA//rffM//folA//gcl//pdxA//pgpC//lsrF//aroG//nanK//fadE//yqhD//prs//caiB//glpB//pncB//lpxD//pck//aroF//nirD//gltX//pfkA//
