# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	wecC//nrdD//
Ada_neg	rffG//caiC//
Ada_pos	pncB//carA//gdhA//ubiG//
AdiY_pos	tyrA//hcaF//tnaA//argH//
AgaR_neg	rhaD//
AidB_neg	hyaC//
AlaS_neg	ppsA//
AllR_neg	galT//rsmH//atoD//dmsB//srkA//paaZ//
AllS_pos	lpxA//preA//phnM//
AlsR_neg	ddlB//glcD//gadA//
AppY_pos	thrS//srlD//
AraC_neg	fbaB//aldA//hpt//ppsA//hycE//
AraC_pos	ubiC//amn//cysI//bioA//ndh//gatZ//
ArcA_neg	phoA//dadX//rffT//speB//argH//malS//cyaA//prpB//trpE//fabG//tdh//dacC//katG//hflX//trpE//atoD//tyrA//rbsD//bacA//lysU//srlD//caiB//speC//xylA//ybjG//glk//fadD//gabD//xylB//murE//truB//pgm//pgaC//accA//truB//acnB//purA//fadD//entB//umuC//frdD//mhpD//leuC//ulaD//umuC//polA//bioA//chbF//galT//bioC//ybjG//bioF//psd//paaA//dmsA//gdhA//allC//dacC//tktB//caiC//malZ//rbsD//nagA//tdcD//tktB//purE//leuD//rffC//rsmH//
ArcA_pos	rhaD//nanE//nagB//cdd//cysG//fucI//mpl//glgC//bcsB//paaG//lldD//pyrD//rhaD//allC//fabH//poxB//fabA//cadA//phnL//entC//ubiX//cpdB//ilvA//ychF//dmsA//murC//frdD//glxR//trpD//fruK//ubiC//
ArgP_neg	
ArgP_pos	speB//phnG//rffG//thrS//trmA//fruK//dadA//murQ//leuA//
ArgR_neg	citE//lhgO//garL//nirD//ygeA//lhgO//ugpQ//pepD//polA//umpH//dapD//cmoM//glcE//sucC//dinB//murQ//xylA//arsC//
ArgR_pos	araA//adiA//glpE//paaJ//phnN//
ArsR_neg	malY//purF//
AscG_neg	metF//tyrA//
AsnC_neg	ldtC//
AsnC_pos	gltD//
AtoC_pos	chiA//hcaD//wecC//
BCCP_neg	pgaB//
BaeR_pos	hchA//lyxK//
BasR_neg	fadD//
BasR_pos	paaH//rffT//
BetI_neg	srkA//bioC//entF//
BirA_neg	yeaG//rffM//carA//argH//rffM//
BluR_neg	
BolA_neg	preT//ssuE//
BolA_pos	ftsI//fumB//
BtsR_pos	tdh//
CRP_neg	wecC//glsA//nrdD//katE//allD//cadA//caiD//allC//katG//argD//glnA//idnK//caiB//pyrD//sdhB//hypF//waaY//katE//gadA//gltD//yqjH//nrfA//tktB//yfdE//melA//gatY//rpiB//aceB//hcaC//ychF//serA//moaC//metC//umpH//pykF//umpH//ilvM//rffG//fabZ//frc//asnA//prpE//lyxK//prs//napB//dgkA//garD//accA//dgcZ//ulaE//poxB//serC//ppsA//nadA//gpsA//carB//ascB//pspE//ydcS//hemF//citX//aspA//apaH//asnB//garL//nfsB//bglB//citE//astC//prmC//aldA//
CRP_pos	moaA//mhpF//nrdD//asnA//metL//nemA//napG//tyrA//cysC//mhpA//pfkA//tdcD//wecE//fadD//phnL//hemA//zwf//dgcN//nadA//pheS//entF//waaY//ynfE//aceB//tyrA//kbaY//napA//ppsA//mtlD//glpD//hycE//dhaL//oxc//ansB//torC//mltF//nrdA//dgcZ//glpC//caiD//amiA//truB//gloA//prmC//rutC//pyrC//hycF//bacA//entA//paaB//paaE//pgk//gudD//pdeH//argC//manA//metB//ccp//mpaA//tehB//aldB//fabI//nrfC//entC//gcl//nrdA//ulaF//gutQ//prpC//ilvI//leuD//torA//ribA//ilvG_1//uvrA//pdeR//amn//paaI//folA//gabT//waaH//pdeL//lysU//glgC//cyoE//gabT//ycjG//srkA//aspC//lpxD//glpC//trpB//argC//amn//bioB//malY//hyaA//ilvI//wecC//manA//phnN//ruvB//chbF//murG//acnB//phnO//bacA//srlD//dadA//gltD//iscS//ssuE//recB//ahpF//epd//polB//moeB//thrS//metL//polB//pncB//cysI//tpiA//ung//cysE//uvrC//mpl//umuC//moaA//idnK//relA//ilvC//umuC//lacA//glmS//fadJ//deoD//fumC//gcd//dadX//fabA//prpD//fadI//adiA//tdcG//aceF//prmC//iscS//lpxD//phnJ//moaE//cmoM//narG//cysC//rutB//carB//idnK//gcvT//deoA//ruvB//adiA//pepD//paaY//appA//gltA//prs//umpH//caiD//nrdE//cysM//ynfH//gcvH//edd//putA//sdhA//melA//murE//cysD//citE//mpaA//gcvT//fucU//pgk//ung//aceA//adhE//paaH//fabI//narG//glk//ilvD//amn//eno//idnK//preT//prmC//cheR//argI//narG//ubiA//nrdE//uvrA//purH//fabH//puuD//xylB//poxB//glpE//xapA//phnN//tyrA//fabD//phr//carB//lyxK//napB//tehB//ndh//pncB//pgaC//gatZ//lyxK//ugpQ//queA//ppc//malS//gntK//pgpC//dkgB//galM//pgaB//lsrF//mpl//sodB//hemH//pgpC//ilvG_1//accD//dkgB//manA//ygeA//ubiA//ppiA//pspE//alaC//nrdB//amn//bioC//ruvA//
CadC_pos	metC//ung//gadA//
CaiF_pos	cdd//ttdA//hyaC//glpD//umpH//
Cbl_pos	fucA//ppiA//fadJ//cyoE//betB//
CdaR_pos	nanM//cysE//nanK//sucC//deoD//gloA//nrfC//lldD//cysK//
CecR_neg	astE//
ChbR_neg	adhE//ruvB//wecC//
ChbR_pos	gatZ//ybjG//prmC//
ComR_neg	
CpxR_neg	astE//lhgO//prpE//
CpxR_pos	fbaB//nfsB//allD//lsrK//nanK//rnpB//narG//ycjG//pgk//cysN//ilvN//galE//lysA//aspC//pdeR//patA//aceB//gcvP//
Cra_neg	folE//paaC//fadJ//allA//upp//chiA//cysI//aroA//glpD//alaC//sdhB//hcaC//sucA//ubiA//arsC//cysH//cadA//rimK//ynfE//sdhC//hyaB//tnaA//murE//dacC//preA//dsdA//ansB//entH//sbcC//gdhA//dkgB//feaB//sgbE//tyrB//murC//ccp//gcd//hycB//galK//purL//bcsZ//caiB//accC//avtA//cysJ//
Cra_pos	ruvB//rsmA//rimK//fadB//fabH//citG//glpC//metE//cysG//preT//fbaB//folA//atoA//frdD//rbsD//yqhD//trmA//
CreB_neg	mhpD//
CreB_pos	pgi//
CsgD_neg	phnP//prmC//
CsgD_pos	moaD//gatZ//hyaC//
CsiR_neg	glpC//araD//ruvB//trpC//
CspA_pos	pheS//
