# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	mhpA//trpC//
Ada_neg	paaC//hycG//
Ada_pos	nadC//narG//preA//ubiX//
AdiY_pos	rffH//paaJ//grxA//lysU//
AgaR_neg	ogt//
AidB_neg	alaC//
AlaS_neg	tnaA//
AllR_neg	pdeH//guaB//uxaA//yfdE//glpD//upp//
AllS_pos	zwf//mhpF//fabZ//
AlsR_neg	rffT//purB//yiaK//
AppY_pos	tauD//feaB//
AraC_neg	waaZ//bioA//gabT//metL//pgk//
AraC_pos	uxuB//nrdA//ynfE//argA//dmsA//ilvC//
ArcA_neg	metA//glgB//manA//garL//dgcZ//nirD//ackA//dsdA//sgbE//astB//preA//polA//aldB//cynT//torC//pgaB//entH//zwf//cysM//garR//pgaB//mhpB//paaI//alsE//garD//sgbU//trpE//ynfE//phnM//idnK//tadA//apaH//agp//umuC//wecE//ynfG//ubiX//cheB//prpD//puuC//asnB//polA//citC//allD//phnI//ldtD//gatY//ynfH//caiD//rnpB//glpC//gltB//ruvB//apaH//tnaA//ccp//pagP//deoB//gadA//wrbA//tynA//uvrC//gatZ//glpK//leuD//rfe//rhaB//galE//phnP//
ArcA_pos	caiB//ascB//ndh//mhpB//zwf//hycE//ynfE//uvrC//pagP//paaI//lpd//glgC//uvrA//ubiX//glgP//lpxC//srkA//ubiA//folA//mpaA//phnH//hypF//paaJ//ftsI//aroG//chbF//cueO//fadI//nemA//hyaB//paaG//
ArgP_neg	
ArgP_pos	rffG//purN//gloA//malQ//glpX//glgX//agp//sbcD//dapB//
ArgR_neg	fadI//guaA//frdB//allA//paaJ//paaG//yedX//eda//malZ//manA//fabB//bcsZ//pyrD//yqjH//rhaA//yeaG//cysN//rsmA//
ArgR_pos	dapD//acs//entD//hcaC//sdhA//
ArsR_neg	malY//frdA//
AscG_neg	alaS//pyrC//
AsnC_neg	cheR//
AsnC_pos	gltA//
AtoC_pos	paaC//chbG//prpB//
BCCP_neg	ilvM//
BaeR_pos	gcvP//cysH//
BasR_neg	fadB//
BasR_pos	ahpF//gapA//
BetI_neg	nfsB//hyaA//aroH//
BirA_neg	ssuE//patZ//glgA//hycB//hpt//
BluR_neg	
BolA_neg	rsmH//purB//
BolA_pos	aroF//aroG//
BtsR_pos	sodB//
CRP_neg	wzb//bacA//prmC//mhpE//napA//glmS//ftnA//phnN//rhaB//ynfE//rhaB//cysK//rimK//wecB//argC//chbG//tdcB//waaY//hyaA//hypB//fbaB//tadA//rhaA//carA//sdhC//pgaD//ybjG//srlD//napG//fadH//frdD//gcvP//garR//allC//ssuE//mhpB//lpxD//mhpD//trmD//gltA//rbsK//sgbH//ubiX//guaB//yeaG//waaZ//cysK//malZ//ilvN//phnP//hcaD//hyaA//ilvE//mhpE//glpK//phnO//betA//metL//atoB//tnaA//leuA//oxc//moeB//pdeR//purM//aroA//ilvA//purL//gatZ//ruvA//glgP//
