# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Sat Nov 24 09:20:05 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/strict_regulons//analysis/all_enzymes_in_set.txt
AcrR_neg	ubiG//dgcC//
Ada_neg	argC//tdcD//
Ada_pos	speB//acs//dhaL//nirD//
AdiY_pos	trpD//ycjG//rutB//lpd//
AgaR_neg	fucU//
AidB_neg	accA//
AlaS_neg	hycD//
AllR_neg	caiA//gltD//feaB//lhgO//uidA//pgm//
AllS_pos	galM//nirD//ada//
AlsR_neg	lysU//rbsK//tdcD//
AppY_pos	fadH//eno//
AraC_neg	rsmA//sgbH//patZ//acnB//fadM//
AraC_pos	hmp//ddlB//cheR//mhpF//ravA//idnD//
ArcA_neg	glpE//nrdB//rffH//ilvG_1//ldtC//prmC//alaS//rhaB//ampC//idnO//glmU//asnB//metE//leuA//lysC//sodB//tpiA//nemA//bioB//hpt//nadA//chiA//astC//ada//argA//prpE//accC//bglB//nanM//fruK//dhaK//ubiA//moeA//cysN//tdh//gcvH//bglB//citX//napB//ybjG//treC//rhaD//lpxD//rffM//nrfC//ulaE//pykF//narG//uvrA//gltD//agp//metE//sbcC//ahpC//ubiG//fbaA//recB//udp//nrdF//glcB//metH//rpiB//fbaB//ilvB//wzc//iscS//pheT//hemA//hycE//
ArcA_pos	hycD//fucU//deoB//allB//ldtD//metH//ldtB//tam//gcl//rhaB//cysE//dkgB//betB//leuA//hchA//pck//fruK//rhaD//glcE//aldA//galT//fadH//adiA//putA//tdcG//alaS//fumC//pspE//narI//mnmG//trpC//
ArgP_neg	
ArgP_pos	argB//cadA//aspA//glgB//rhaB//ung//pheS//cadA//hpt//
ArgR_neg	cysN//ulaE//pdeF//deoC//nirD//dmsC//ygeA//cysN//hyaA//yqjH//murI//moaA//speA//gntK//pyrD//ldtC//xdhC//hcaF//
ArgR_pos	rhaD//pgk//aceA//puuE//ravA//
ArsR_neg	fumB//napH//
AscG_neg	frdD//fabI//
AsnC_neg	gatY//
AsnC_pos	nirD//
AtoC_pos	frc//hcp//add//
BCCP_neg	gcvP//
BaeR_pos	wzb//hchA//
BasR_neg	fadJ//
BasR_pos	paaY//citX//
BetI_neg	ynfE//cpdB//gatY//
BirA_neg	gor//udp//bcsZ//tdh//glk//
BluR_neg	
BolA_neg	fdhF//xdhA//
BolA_pos	uidA//mnmG//
BtsR_pos	yeaG//
CRP_neg	entA//appA//ubiC//cysE//deoC//tam//lysU//alaS//garK//ydcS//dgcN//glcB//paaA//dgcC//cysJ//asnA//dgcC//argD//tdcG//tnaA//fruK//moaC//sodA//glyA//ubiX//phr//glpA//uxaC//moaD//fabB//lysC//gltX//lacA//ahpC//thrS//accC//cynS//torA//murD//dmsB//srlD//paaA//tynA//uvrC//lysA//dhaM//sdhA//ulaG//paaA//purD//pgk//lpxC//sgbE//fumC//pdeL//glpK//citG//glpD//alsE//moeA//frdA//hyaB//chiA//aceB//asnA//cysD//pspE//lldD//dhaM//moaA//lysU//
CRP_pos	mraY//ubiC//appA//cysN//ribA//acnB//citE//recD//mpaA//folA//pdeH//phnN//malS//cysH//speB//ynfF//rfe//nfsB//nrfC//purB//gcvP//fabH//fes//mhpE//fadA//cdd//pgaC//rutE//cheR//mnmG//yqhD//mdh//gcvP//ndh//phnM//ampD//glpK//paaK//alkA//chbG//gadB//nirD//cmoM//hypF//dgcC//glpK//caiA//dgcN//lysA//lpxC//dgcZ//edd//fabB//ttdA//adeD//ansB//dgcC//luxS//ulaG//bioC//garK//kbl//ahpF//araB//hcaE//hemF//truB//preT//aldB//dhaL//caiB//glpA//pnp//nrdD//serC//aroH//atoD//cysH//hemL//bcsZ//ulaE//fabG//rimK//gatY//aceA//fabD//pflB//treC//carB//ppsA//iscS//lacA//lacA//ackA//sbcC//pnp//nrfC//sgbE//caiD//deoA//recF//metB//slt//phnJ//appA//murE//betB//relA//acnA//bcsB//aroL//waaH//ilvM//prpB//slt//rhaD//puuB//entB//tauD//fadH//dhaL//napG//aroA//cysH//alaA//ruvB//murQ//argE//argG//ndh//puuD//wecC//rhaA//pdeR//cysD//narH//trpD//napA//polB//dkgB//sdhB//moaD//phnN//hcp//sbcC//ruvB//nfsA//leuA//tyrA//gor//dsdA//sbcC//bcsZ//puuA//aroA//katE//cysG//rutB//puuB//citE//ogt//hpt//narG//fucO//pheS//glpA//cysN//hemL//hycD//ruvB//mnmG//cheB//uvrB//hemL//pdeF//mnmG//ascB//nrfD//tynA//sdaA//tauD//tadA//thrS//ubiC//aldB//sodB//uvrC//pepD//metC//gntK//eno//leuB//ilvD//astE//entE//nirD//metB//gcl//paaH//rffH//xdhC//ybjG//nfsB//lacZ//metC//iscS//bioA//metB//cysD//ahpF//metH//umpH//atoB//rhaB//dmsC//nrdD//ilvE//glmU//nadB//prs//sbcD//glgB//moaE//nrdE//bglB//carA//talA//idnK//ychF//purF//ascB//mhpD//fdhF//cadA//phnH//katE//wrbA//cheB//murG//fumA//yqjH//nanK//uvrA//prpD//iscS//ubiX//yqhD//nrdF//purN//
CadC_pos	adhE//lhgO//sodA//
CaiF_pos	recF//hycC//nemA//rutD//sucB//
Cbl_pos	argC//nrdD//deoC//fes//murC//
CdaR_pos	phr//cueO//accC//waaY//trpE//malZ//fabI//wzc//bioB//
CecR_neg	hyaA//
ChbR_neg	dadA//feaB//speA//
ChbR_pos	cadA//uxaA//aroL//
ComR_neg	
CpxR_neg	uxuA//tdcE//hypB//
CpxR_pos	astE//rtcB//glmU//alsE//narI//fucK//mpl//uvrC//yqhD//gcvP//glnA//purA//aroH//hemF//moaD//ftsI//trpE//asnA//
Cra_neg	betB//hflX//gltX//trpD//ilvE//accA//ulaE//paaJ//entB//cysE//purF//ampC//icd//fadA//iscS//fadB//cyoE//phr//rutA//gabD//hcaE//nagB//idnK//fdhF//glxK//entB//pyrD//dkgB//hmp//nagB//ychF//cysE//cheB//hycC//mhpF//murC//wecE//polA//metK//gdhA//tadA//ynfH//dgcZ//garR//nagB//
Cra_pos	fbaB//ogt//ynfG//dmsA//pheT//ilvH//prs//fadM//gudD//rffH//recF//tauD//mhpD//waaZ//ung//sodA//aceE//
CreB_neg	pgpC//
CreB_pos	pheS//
CsgD_neg	dmsC//deoD//
CsgD_pos	cheB//gcvH//nirB//
CsiR_neg	amn//purB//ddlB//fadE//
CspA_pos	metE//
CueR_neg	fadH//dsdA//moaC//
CueR_pos	hmp//agp//
CusR_pos	lacA//pykF//gcvH//pgaC//
CynR_neg	
CynR_pos	lysC//rhaD//hycG//
CysB_neg	dapB//purB//glk//
CysB_pos	ppsA//mngB//chbG//ilvI//tauD//aldA//ansB//nrdA//fabI//guaB//rhaA//narH//poxB//allE//
CytR_neg	glcF//bcsZ//uxuB//sdhB//aceB//rhaD//purB//hcp//hemL//bioF//
DcuR_pos	purH//prpD//rbsD//rbsK//
DeoR_neg	pgk//ascB//trmD//fabH//pheS//tdcG//
DhaR_neg	
DhaR_pos	murI//
DicA_neg	
DinJ-YafQ_neg	paaE//
DnaA_neg	luxS//nrdE//argG//hemF//rsmA//
DnaA_pos	sdhA//rutA//metH//
DpiA_neg	
DpiA_pos	mpl//metB//cysD//cueO//frc//
DsdC_neg	
DsdC_pos	aroG//hycB//
EbgR_neg	
EnvR_neg	napB//glgA//
EnvY_pos	phnP//speB//
EvgA_pos	ravA//galT//gloA//deoD//aldB//ubiG//
ExuR_neg	mhpA//yiaK//ilvA//fumB//cyoE//purK//
FNR_neg	citX//uvrC//mnmG//galT//entE//mpaA//nanA//frc//folA//ackA//cdd//talA//tauD//relA//ttdB//fau//glcB//sbcD//appA//hycC//ccp//umuC//dkgB//sucC//fabB//waaH//xylA//katG//cysI//rhaD//glgP//grxA//tdcE//hcaB//sodB//serA//tdcD//bglB//mpaA//ubiG//katE//torC//hcaF//sdhB//
FNR_pos	eno//glpD//uxaA//cysC//hycD//alsE//ascB//fadB//garR//betA//ampC//mdh//ldtD//dmsC//cadA//nrdE//purC//ahpC//prmC//ldtB//pgpC//ubiA//paaG//argG//fabH//rutA//entF//malQ//sdaA//nrdB//nanM//metA//xylB//nirD//astC//avtA//fucA//entE//ilvG_1//prpD//caiB//waaY//moeB//fadH//gltX//astB//patA//nadA//hyaB//glpQ//iscS//argF//ftsI//polB//malS//paaE//hemH//cdd//alkA//hchA//citC//rffG//waaY//glcE//fadD//argC//moaA//udp//cysD//ubiX//tauD//ung//add//thrS//rhaD//xdhB//murC//xdhB//prpC//prpD//recB//pfkA//pflB//gatD//nagB//trpD//bioA//nrfD//entC//paaB//mhpC//atoD//psd//phnI//phnO//ubiG//
FabR_neg	narH//sucC//argB//
FadR_neg	phnI//tpiA//fadM//sodB//garR//malQ//moaC//paaH//ogt//
FadR_pos	deoB//yfdE//eda//pdeR//cynT//ilvG_1//argI//hchA//lhgO//ddlB//
FeaR_pos	adeD//paaI//
FhlA_pos	prpE//citF//astE//glxK//glmU//argA//glpD//polA//
Fis_neg	adeD//napG//prpE//narG//gltX//thrS//oxc//garD//hyaC//cdd//queA//phnO//frdC//yiaK//garL//amn//ansB//astE//ndh//ndh//edd//katG//nadB//nrdE//alkA//speC//rutB//glcD//atoB//tyrB//phr//idnD//hypB//fumB//dhaK//phoA//aroA//puuC//gudD//alaC//ruvB//acnA//patZ//entD//aroA//trpD//
Fis_pos	cysK//agp//ddlB//allE//phnJ//accD//gltB//alsE//cysJ//arsC//rpiB//deoB//ubiG//ddlB//torA//hcp//mpl//cysE//alaC//garK//pgk//sbcD//lsrF//mhpD//purF//astE//ldtD//xdhB//caiD//hycD//galE//tynA//ulaE//nagB//dgkA//hycE//hchA//
FlhDC_neg	rutA//phnO//
FlhDC_pos	fucU//nagB//psd//dmsC//rtcA//dadX//astB//puuB//glmU//hycG//nanE//citX//
FliZ_neg	glnA//treC//glpK//alkB//aroA//
FucR_pos	pdxA//adeD//nfsB//araD//nanM//phnO//
Fur_neg	ulaE//xapA//uxaA//xdhC//mngB//fadI//ung//manA//oxc//rfe//xdhC//rbsD//glcD//gcvP//lyxK//acnB//waaH//ilvC//leuA//purM//phnP//rpiB//agp//xylA//garD//ubiA//guaA//rffH//cysG//ampC//cysJ//avtA//queA//nirB//ftnA//aceF//acs//ilvN//dhaL//citX//uxuB//nrfA//cynS//gntK//gabT//bcsB//purC//tdcB//dmsC//glpX//narG//cmoM//serA//
Fur_pos	paaJ//astD//ppc//garK//ilvB//folE//fumC//hmp//xylA//pgaC//hcaD//fadD//acs//rfe//katE//dacC//
GadE-RcsB_pos	caiA//glpB//araA//srlD//acnA//
GadE_pos	purE//ansB//folE//murC//hcp//rhaA//carB//arsC//fabD//narH//
GadW_neg	rbsK//nadB//allE//
GadW_pos	folA//glgX//rimK//katG//
GadX_neg	hemL//srkA//
GadX_pos	nrdB//aroH//truB//fucI//murE//hemF//deoC//uvrA//prpE//mhpC//nfsA//
GalR_neg	purM//nanA//mhpD//cdd//gpmM//nfsA//
GalR_pos	astA//adiA//gcl//trmD//
GalS_neg	hcaD//rutC//hmp//dapD//fabI//prpC//
GalS_pos	pspE//phr//hyaA//tadA//
GatR_neg	malS//hcaD//rbsD//
GcvA_neg	betA//nirD//rffH//
GcvA_pos	paaG//fabI//fabD//
GlcC_neg	
GlcC_pos	leuA//hemA//pgi//
GlpR_neg	alaS//lsrK//astD//deoA//nadB//arsC//purE//
GlrR_pos	
GntR_neg	galK//katG//sgbE//ada//ilvI//cysH//phnN//treC//glgC//
GutM_pos	waaY//ppiA//metE//
H-NS_neg	citC//slt//glxR//mdh//acnB//deoD//sucD//gnd//prmC//paaJ//glpK//prpC//rbsD//rffH//fabA//gadB//pagP//xdhA//aspA//purH//zwf//yiaK//moaE//waaH//tauD//mhpB//hemL//waaZ//prpC//gntK//pdeR//lldD//tam//ynfF//glcF//icd//malS//tauD//betB//gpmA//lysC//gltD//tdcB//trmD//leuB//glcF//astD//alsE//hemL//nrfA//phnP//
H-NS_pos	chbG//idnK//fabA//dmsB//fabB//ttdB//astA//gadB//ampD//rhaB//dhaM//citF//cheB//prpB//tauD//
HU_neg	hcaF//katG//narH//thrS//murD//cyaA//idnK//
HU_pos	
HcaR_neg	
HcaR_pos	paaF//hcaC//
HdfR_neg	
HdfR_pos	
HigA_neg	glpE//
HigB-HigA_neg	appA//
HipAB_neg	allA//serA//
HipB_neg	glmS//hyaB//lysU//
HprR_neg	tauD//alsE//
HprR_pos	paaE//edd//
HyfR_pos	nirD//
HypT_neg	pnp//rtcA//
HypT_pos	preT//uxaC//ftsI//bioC//argD//
IHF_neg	entH//acs//atoB//acs//hcp//cysH//ampD//acnA//hcaB//galE//rutB//trpC//entB//puuE//alsE//phnN//lyxK//ynfG//lpxA//rsmH//nrfA//glxR//sgbU//argI//deoD//slt//xdhB//yqjH//aldB//cynT//metB//mhpF//sodA//alaS//paaZ//ttdA//xylA//dmsB//thrS//wrbA//yeaG//fadM//fadD//
