# From /Users/Daniela/Documents/CCG/GU_art_2/GO_levels_extended/scripts/extend_go_genes.pl on Mon Oct  1 12:06:18 2018
# Input = /Users/Daniela/Documents/CCG/datasets/GOs/gos_complete_table_BPonly.txt
# Filtered with: grep -v "GO:0008150" /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/genes_gos_extended.txt | grep -v "GO:0001906" | grep -v "GO:0002376" | grep -v "GO:0006791"| grep -v "GO:0008152"| grep -v "GO:0009758"| grep -v "GO:0009987"| grep -v "GO:0015976"| grep -v "GO:0019740"| grep -v "GO:0022414"| grep -v "GO:0022610"| grep -v "GO:0023052"| grep -v "GO:0032502"| grep -v "GO:0040011"| grep -v "GO:0050896"| grep -v "GO:0051179"| grep -v "GO:0051704"| grep -v "GO:0065007"| grep -v "GO:0071840"| grep -v "GO:0098754" > /Users/Daniela/Documents/CCG/datasets/GOs/extended_GOs/genes_gos_extended_no12.txt 
# Genes	GO	GO branch  
mutH	GO:0000018	P
mutL	GO:0000018	P
mutS	GO:0000018	P
rdgC	GO:0000018	P
malQ	GO:0000023	P
malQ	GO:0000025	P
bipA	GO:0000027	P
dbpA	GO:0000027	P
deaD	GO:0000027	P
der	GO:0000027	P
rlmE	GO:0000027	P
rluD	GO:0000027	P
rplE	GO:0000027	P
rplF	GO:0000027	P
rplK	GO:0000027	P
rplT	GO:0000027	P
rplW	GO:0000027	P
srmB	GO:0000027	P
yhbY	GO:0000027	P
era	GO:0000028	P
rimM	GO:0000028	P
rimP	GO:0000028	P
rpsG	GO:0000028	P
rpsK	GO:0000028	P
rpsP	GO:0000028	P
rpsS	GO:0000028	P
rsmA	GO:0000028	P
yhbY	GO:0000028	P
manA	GO:0000032	P
afuC	GO:0000041	P
copA	GO:0000041	P
corA	GO:0000041	P
cusA	GO:0000041	P
cusB	GO:0000041	P
cusC	GO:0000041	P
exbB	GO:0000041	P
fecA	GO:0000041	P
feoA	GO:0000041	P
feoB	GO:0000041	P
fepA	GO:0000041	P
fepB	GO:0000041	P
fepC	GO:0000041	P
fepD	GO:0000041	P
fepE	GO:0000041	P
fepG	GO:0000041	P
fhuB	GO:0000041	P
fhuC	GO:0000041	P
fhuD	GO:0000041	P
fieF	GO:0000041	P
mntH	GO:0000041	P
mntP	GO:0000041	P
modC	GO:0000041	P
nikA	GO:0000041	P
nikB	GO:0000041	P
nikC	GO:0000041	P
nikD	GO:0000041	P
nikE	GO:0000041	P
pitA	GO:0000041	P
rcnA	GO:0000041	P
ydaN	GO:0000041	P
yebZ	GO:0000041	P
yobA	GO:0000041	P
zitB	GO:0000041	P
zntA	GO:0000041	P
znuA	GO:0000041	P
znuB	GO:0000041	P
znuC	GO:0000041	P
zupT	GO:0000041	P
argF	GO:0000050	P
argG	GO:0000050	P
argI	GO:0000050	P
carA	GO:0000050	P
carB	GO:0000050	P
pyrB	GO:0000050	P
ygeW	GO:0000050	P
argG	GO:0000053	P
csdA	GO:0000096	P
cysE	GO:0000096	P
cysK	GO:0000096	P
