# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	entA//nfsB//
Ada	napA//dapB//sucD//nrdF//
AdiY	napB//ubiX//mdh//wecE//
AgaR	moaE//
AidB	gltB//
AlaS	ubiA//
AllR	avtA//araA//hycF//gnd//dkgA//aceF//
AllS	wzc//ttdA//alkB//
AlsR	pgaD//bglB//argC//
AppY	fumC//idnO//
AraC	nirB//nrfA//xapA//pepD//nrdA//citX//wecE//glgA//
ArgP	gdhA//pnp//glnA//sdhA//udp//citD//aroA//astE//eno//
ArgR	gpmM//tktB//murQ//entB//tdh//tktB//ilvD//glmU//dgcN//ulaG//citX//sdhB//aroF//entD//ychF//oxc//gltD//paaJ//ynfG//ruvB//murG//sucC//glpQ//
ArsR	tyrB//nrfD//
AscG	caiD//gcvH//
AsnC	katE//bioC//
AtoC	fbaA//aroG//ppsA//
BCCP	entF//
BaeR	tdcB//hycG//
BasR	alsE//ynfF//allE//
BetI	gatD//phnO//wecC//
BirA	ynfF//speB//purF//ynfE//narI//
BluR	
BolA	katG//slt//
BtsR	fadB//
CadC	hycF//ldtC//nanE//
CaiF	phnI//nrdE//carA//bacA//metE//
Cbl	nirD//hmp//nanA//nfsA//wecB//
CdaR	mhpD//yfdE//cyoE//ybjG//pnp//nemA//aroG//mazG//pdeR//
CecR	purD//
ChbR	idnD//murG//paaK//
ComR	
CpxR	fucO//kbaY//nanA//ssuE//aroA//uxaB//xylB//hcaB//glcB//bglB//cynS//ilvD//wecE//fadI//ulaD//fumB//bioC//purA//kbl//garD//nfsB//
Cra	serC//bacA//lyxK//bioB//fumB//xylA//purL//citG//fadB//malQ//paaK//alsE//betB//ogt//recB//bioA//dsdA//gpmA//cysJ//chbF//fadB//galE//phnJ//glcF//paaJ//torA//ulaE//fes//fadD//phnN//dgcN//ilvE//yqjH//luxS//tnaA//katE//purC//entA//dadX//citF//ynfE//tktB//add//atoD//ybjG//talA//gltD//puuC//ttdA//metH//truB//yeaG//wecC//paaH//melA//ilvI//tdcB//nadA//fdhF//
CreB	waaY//rhaB//
CsgD	glk//astA//garL//cysN//uvrA//
CsiR	rutB//asnA//pdeH//argI//
CspA	puuA//
CueR	wecE//moaE//aceB//glcF//uvrA//
CusR	mhpC//aroA//rimK//puuA//
CynR	mtlD//pflB//araB//
CysB	glpA//nanA//caiA//murI//rffC//glnA//astA//malY//chbG//ulaG//luxS//murC//dmsC//fau//patA//bioB//sgbU//
CytR	narI//patD//galT//ilvI//purH//ttdA//uvrA//idnK//moeB//dmsB//
DcuR	gcvT//rutC//frdC//udp//
DeoR	glyA//puuA//purL//entF//garK//paaE//
DhaR	aspC//
DicA	
DinJ-YafQ	talA//
DnaA	nirB//ppc//paaA//narI//lyxK//paaA//
DpiA	purD//fucI//bioF//hypF//hycC//
DsdC	paaJ//fabA//
EbgR	
EnvR	uxaA//entE//
EnvY	paaE//nadA//
EvgA	waaZ//ubiC//aroH//srkA//uxaA//rpiB//
ExuR	fabZ//hycB//adiA//carA//aceF//ssuE//
FabR	sodA//rffT//gltB//
FadR	chbG//purA//ldtB//garK//ilvI//ydcS//gpmM//hcaD//galT//ung//yeaG//ldtC//lpd//uxuB//yqjH//paaZ//xylB//udp//glcB//
FeaR	ung//cysH//
FhlA	frdD//nfsA//tdcE//moeB//astB//rffC//glpK//argA//
FlhDC	recD//treC//glmS//hycC//alaC//tam//narH//citF//prs//tehB//pagP//nirD//nrdD//narI//
FliZ	uxaA//ribA//glcD//sgbU//nrdF//
FucR	sbcD//yedX//waaZ//tdcG//cysN//tdcE//
Fur	treC//rtcB//purE//phnJ//dgcN//gpmM//dmsA//dadX//hycF//entA//pflB//mraY//pflB//wecC//glxR//purE//ilvD//dkgA//uvrB//uvrB//uxaA//fadM//purA//pdeL//glpB//moaD//citG//kbaY//hcaB//gcvH//pncB//lacZ//recF//pagP//paaG//sucC//paaA//truB//mngB//folA//ydcS//gatD//uxaB//nanM//uxuB//amn//atoD//pncB//bioF//uxaA//nanA//aceA//arsC//ahpC//nrdA//bioA//lpd//narH//fabH//fadE//cysN//ruvA//
GadE	melA//cynS//araB//recD//betA//accC//nemA//ftnA//fabI//allC//
GadE-RcsB	fadJ//napA//murQ//polB//purE//
GadW	moaC//xylA//nirD//fadJ//
GadX	malS//murE//ilvE//asnA//rbsD//dhaL//wecB//hypB//tyrB//alkB//purC//paaZ//betA//
GalR	adhE//uxuB//metK//rffC//pgaC//gatZ//
GalS	ttdA//sucA//rhaA//yfdE//idnD//galE//
GatR	nagB//dmsB//moaE//
GcvA	cynS//tyrB//sucB//
GlcC	idnD//lacA//lpxA//
GlpR	astE//pykF//glpC//murE//yfdE//lpxA//puuD//
GlrR	
GntR	paaE//rbsD//nrfD//xapA//gadA//tynA//glsA//ppsA//dkgB//
GutM	phnG//udp//trpC//
HU	paaJ//prpD//ldtC//sgbE//epd//sodA//nrdE//
HcaR	pnp//poxB//
HdfR	
HigA	ulaD//
HigB-HigA	carA//
HipAB	hcaD//prpB//
HipB	acnB//pgm//yfdE//
HprR	cysN//sdhC//narI//fabG//
HyfR	pfkA//
HypT	deoB//cysN//tdcE//serC//ssuE//sbcD//ogt//
IclR	nanE//idnD//yedX//
IdnR	nrfC//hypF//ulaF//glpD//waaH//codA//
IlvY	nanM//
IscR	glpC//metB//rbsK//mpl//ada//fau//ldtD//glyA//
KdgR	ynfH//metH//
KdpE	ybjG//
LacI	dhaL//hyaA//glcF//
LeuO	glcB//fadA//glmU//mltF//pgpC//paaH//
LexA	glmS//ruvA//pagP//phr//sucA//torA//phnO//allB//aldA//nanK//ycjG//paaJ//kbl//cysE//bioD//lsrF//ulaD//betA//purK//ychF//lhgO//pheT//glgB//
LldR	kbaY//metA//
LrhA	
Lrp	avtA//fabA//uvrC//caiC//fadD//nagA//glmU//oxc//tdcB//tpiA//purF//alkB//ahpF//ynfE//argI//ygeA//dmsB//umuD//waaH//lysA//fabI//sucB//paaG//fumB//ugpQ//pgaC//phnI//mhpC//hycD//torA//lysA//torA//ilvC//bioB//srkA//purE//ssuE//paaA//ccp//dhaL//
LsrR	alkA//edd//accC//gapA//phnP//
LysR	ilvM//
MalI	lysC//dgcN//
MalT	ssuE//tdcG//hyaC//rffM//cynT//argD//
MarA	moaA//nrdF//moeA//pfkA//hycB//nrfD//arsC//pagP//carA//lhgO//moaC//hypF//fbaB//fadH//metL//alsE//mpl//lhgO//rhaD//fucI//nagA//katE//dkgA//cysI//
MarR	
MatA	nemA//
MazE	hycC//
MazE-MazF	bioF//
McbR	
MelR	rtcA//hcp//
MetJ	bacA//cysE//glpA//dhaK//psd//pdeH//eno//nrdE//deoC//ynfE//
MetR	gadA//moaD//hmp//fes//
MhpR	rutC//alkB//cynT//accC//gltD//gadA//
Mlc	fumB//waaY//speA//nrfA//
MlrA	ulaG//
MngR	uvrC//metH//
MntR	lpxD//cueO//
ModE	gltB//feaB//guaB//nirD//phnH//glpD//sucB//sucD//allE//recB//carB//mhpC//polA//dgcN//glgB//uvrA//recD//
MprA	sgbH//hypB//speB//
MqsA	phnM//malP//
MraZ	dapB//rtcB//appA//aroL//phnJ//mnmG//caiA//pyrC//leuC//rhaD//
MurR	hemL//oxc//lyxK//
Nac	cysK//yqhD//ycjG//dadA//gatD//murG//ubiX//dadA//leuC//alkB//moaE//
NadR	glxK//sgbH//rbsD//fbaA//
NagC	ung//rffG//wecC//purC//alkA//ftnA//zwf//gcvP//pgk//ogt//hcaB//tam//gcl//argB//gatY//fadA//guaB//yqjH//fabD//
NanR	gapA//avtA//dgcC//astC//sucB//garD//
NarL	fabZ//fucK//purL//ubiC//puuE//gudD//yedX//ttdA//fadA//pspE//pflB//mpaA//alkB//glgC//fes//paaK//dadA//arsC//polB//carB//argA//ruvA//garK//trpC//ndh//sufS//murE//talA//glmS//uxaA//cysN//puuD//psd//recD//metC//hycG//ruvA//pgpC//ulaG//hemH//ssuE//
NarP	lyxK//phnM//mraY//gutQ//speB//glpA//allC//nanA//tdcB//rimK//umuC//serC//deoB//phnL//gntK//
NemR	entF//ilvI//
NhaR	gcvT//hycD//gatZ//trpA//glcD//
NikR	glcD//
NimR	putA//
NorR	hycE//
NrdR	carB//ynfF//malQ//bioC//
NsrR	rutC//lysC//leuC//ulaD//glgB//paaZ//pspE//ulaF//appA//tyrA//sdhB//dgcC//gcvH//metL//gabD//mhpD//glgX//gutQ//ssuD//rffG//galK//araB//argI//speB//pncB//talA//cynT//alaC//umuC//ilvD//lacA//mhpF//grxA//wecB//umuC//tdcB//citG//tktB//cysK//dadA//
NtrC	frdD//betA//moeB//rtcB//ldtC//pdeH//mhpF//glnA//caiA//rutA//aceB//gltD//ilvD//murQ//xylB//alkA//nirB//lsrK//aceA//eda//paaJ//
OmpR	dgcZ//gntK//ulaD//ybjG//deoC//tdcG//yiaK//aroL//
OxyR	purH//murI//accA//gatZ//allA//fabB//napH//bglB//glpC//hyaA//ldtD//ulaF//polA//phnP//purK//lacA//gcl//
PaaX	recD//gcl//pncB//napA//ychF//murG//argC//nrdB//puuA//
PdeL	metE//
PdhR	sufS//fabA//rhaB//uxuB//caiB//rffT//gpmM//ung//lpd//epd//kbl//napA//glmS//ruvB//murI//phnM//metB//glmU//allA//srlD//lacZ//pck//talA//leuC//hypF//
PepA	fumC//ddlB//
PgrR	aroH//uvrB//
PhoB	fucU//melA//cysE//tktB//dapD//argE//pyrC//pfkA//accC//galT//purA//wecE//mazG//lldD//deoC//betA//ubiX//rhaA//ldtD//entF//
PhoP	sbcC//paaH//udp//cysN//mhpE//nrfA//ttdA//hcaE//yqjH//tam//yqjH//nanM//lacZ//hycF//fadH//phnP//moaA//trpD//dapD//tpiA//hyi//hcaF//melA//pgk//xylA//cysC//phnO//lacA//purN//dgcC//pykF//umpH//
PrpR	prpB//srlD//glgC//malP//
PspF	nagA//
PurR	sgbU//uxuB//aroF//trpC//gltB//codA//tam//wecC//nrdF//glpK//codA//fabI//cysK//phnM//entH//recB//argF//gudD//rffC//nrdE//cysH//nirB//leuD//chbG//tktB//fadB//
PutA	dadA//citX//
PuuR	amn//gudD//ubiC//purH//glpC//purC//
QseB	
RbsR	purM//pagP//sodA//puuA//lysA//dmsC//
RcdA	ilvH//
RclR	
RcnR	ynfE//
RcsAB	pagP//paaE//sbcC//
RcsB	rbsK//wecE//ilvA//entC//
RcsB-BglJ	napH//malY//
RelB	ychF//
RelB-RelE	dgcZ//
RhaR	
RhaS	fumB//speA//fucK//rutE//
Rob	bioF//alaC//lldD//lsrG//puuC//pspE//sucB//rffG//sgbE//uidA//yqhD//rffH//ldtC//glpC//allA//fumC//paaF//cysG//argI//
RstA	rhaA//gudD//paaE//
RtcR	uvrA//phnI//
RutR	recF//gnd//rffT//alaC//dapD//ndh//nrdA//betB//aceE//entE//trpA//
SdiA	
SgrR	atoB//hemL//entE//
SlyA	sucB//glpK//caiB//atoD//fadB//fucO//wecB//purK//tnaA//
SoxR	hycF//
SoxS	lysU//moaC//ascB//citF//betA//amn//idnD//garR//nrfC//torC//rhaB//fucI//ndh//paaY//rutA//ruvA//aceE//dmsA//galE//ftsI//dgcZ//cysK//murF//katG//ilvH//murQ//
SrlR	fucA//fucA//add//
StpA	pgpC//paaK//phnL//
SutR	waaH//rsmH//
TdcA	astE//serA//leuD//moaA//ldtC//
TdcR	paaZ//phnP//puuC//caiC//paaA//
TorR	ruvA//dapB//hcaF//napB//adhE//
TreR	gabD//sgbH//
TrpR	astA//dmsA//lsrF//yiaK//paaB//ilvD//ppsA//pgpC//ybjG//
TtdR	ddlB//ycjG//
TyrR	ung//purA//idnO//lsrG//eno//betB//dgcN//gntK//paaH//
UhpA	torC//
UidR	accD//idnO//
