# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	rbsD//citD//
Ada	moaD//dkgA//recD//ttdA//
AdiY	bioA//lsrG//deoD//malP//
AgaR	treC//
AidB	glcF//
AlaS	dsdA//
AllR	ynfG//umuC//trpB//hmp//hcaE//sdhD//
AllS	mpaA//fdhF//cysD//
AlsR	hemH//narG//hycD//
AppY	treC//glxR//
AraC	cysE//cueO//moaD//pgi//dhaK//kbaZ//purB//fadA//
ArgP	garL//puuC//fadB//acnA//frdA//nanK//alsE//puuE//leuC//
ArgR	tyrB//nirD//fadE//napB//phnJ//ccp//entF//gapA//waaY//rutC//caiD//pgpC//malY//frdA//deoD//rhaB//aceA//tdcD//hypF//poxB//nagA//murQ//deoB//
ArsR	relA//nrfC//
AscG	fabG//ilvE//
AsnC	pheS//eda//
AtoC	ddlB//ogt//ldtD//
BCCP	allC//
BaeR	rtcA//hyi//
BasR	citC//mhpA//murF//
BetI	ulaF//pdeR//malQ//
BirA	fabG//treC//phnG//paaZ//gcl//
BluR	
BolA	glcB//moaE//
BtsR	bioA//
CadC	tyrB//caiC//aspC//
CaiF	polB//malQ//dkgB//patA//lacZ//
Cbl	glgA//fadM//glxK//patA//ssuE//
CdaR	ilvH//ppc//glpC//idnK//galK//pgaC//sgbH//pfkA//ilvG_1//
CecR	glgC//
ChbR	frc//ruvB//nanK//
ComR	
CpxR	rimK//iscS//paaZ//cysN//fbaB//metL//trpB//wecE//galT//ahpC//argI//cyoE//mpl//wecE//gatD//entE//murD//murG//lysU//moaA//purH//
Cra	uidA//allB//mngB//gudD//pncB//fadM//poxB//moaC//dmsB//appA//icd//wecB//murI//ppsA//alaS//dhaL//gcl//citD//allA//nfsB//gadB//nanA//trpD//fabZ//purH//fabG//ygeA//rsmH//uxaA//cdd//puuE//aceF//guaB//xylB//moaD//fau//murG//yiaK//amn//glcB//fucA//rhaA//pdeL//rhaB//citF//nfsB//bioD//tktB//aldA//cysH//icd//rhaA//purH//lpxC//gcl//cueO//metK//leuD//paaE//
CreB	narG//fucO//
CsgD	rutC//pdeR//phnM//glgA//ubiC//
CsiR	wzb//eno//appA//caiA//
CspA	fumB//
CueR	umpH//dadA//prpE//gdhA//yqhD//
CusR	accC//ung//prs//nrfA//
CynR	tdcD//fabA//narI//
CysB	mtlD//dinB//aspC//moaD//mpl//kbaZ//leuC//dmsB//carA//leuA//rffM//glxK//glpK//phoA//sgbH//phoA//metC//
CytR	ilvI//glxK//hcaD//epd//rpiB//gatY//dkgA//pyrD//kbaY//rhaA//
DcuR	glcE//leuB//fabB//aceF//
DeoR	cysJ//fdhF//treC//gatZ//cysJ//asnB//
DhaR	paaZ//
DicA	
DinJ-YafQ	serA//
DnaA	paaY//tdcE//tdcE//napG//dkgA//uvrA//
DpiA	carA//lpxD//paaY//alkB//gudD//
DsdC	mpl//chbG//
EbgR	
EnvR	ubiA//uvrA//
EnvY	allE//frdB//
EvgA	lpxC//paaA//cysH//caiA//ilvC//rnpB//
ExuR	galT//narH//pgaB//fdhF//malQ//accD//
FabR	astE//nagB//adhE//
FadR	argI//epd//rnpB//fumB//melA//ilvG_1//mhpE//polB//trpD//uxuA//glsA//fabZ//hycD//fabZ//purD//gpmM//mraY//nrdA//nadA//
FeaR	paaY//ttdB//
FhlA	murQ//aceA//serC//ccp//fabI//psd//pfkA//ppiA//
FlhDC	ssuE//fadJ//nfsB//murE//ldtC//rffM//astB//trpC//sucC//xylA//caiB//avtA//gabD//srlD//
FliZ	wecE//tyrB//ndh//aldA//narG//
FucR	glmU//tdh//napH//glyA//rtcA//paaF//
