# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	nanK//ulaG//
Ada	fabD//serC//nrdD//prpB//
AdiY	trpE//fumC//ogt//umuC//
AgaR	lysC//
AidB	glyA//
AlaS	hyaA//
AllR	fruK//bioF//pyrD//aceF//cysJ//moeA//
AllS	entF//atoA//adiA//
AlsR	hcaC//malZ//prpB//
AppY	tadA//leuC//
AraC	yeaE//prpD//metH//nadA//fabI//astC//alaC//fucO//
ArgP	pgaB//puuE//glpA//cysK//glmS//recD//katE//gloA//ascB//
ArgR	dhaK//argC//pheT//ahpF//atoA//mhpA//ulaG//alkA//rutA//pgi//lysU//fucI//dkgA//gdhA//cynS//ampC//hyaB//pgi//glpC//nadB//lysC//murF//trpD//
ArsR	glxR//nrfA//
AscG	ubiC//frc//
AsnC	ldtB//malZ//
AtoC	tktB//murF//sucB//
BCCP	talA//
BaeR	alsE//glpC//
BasR	deoB//recF//napA//
BetI	purH//ada//argH//
BirA	metL//cueO//rffG//entA//rtcB//
BluR	
BolA	puuE//ilvC//
BtsR	metK//
CadC	bioA//gloA//umuD//
CaiF	pnp//srkA//alaC//codA//dgcN//
Cbl	tnaA//glpK//ilvI//dadA//aroH//
CdaR	mazG//paaJ//idnD//glxR//nrdB//cysM//ribA//eno//waaY//
CecR	nemA//
ChbR	dadX//citG//ilvE//
ComR	
CpxR	uxaA//idnO//hypF//tyrB//ahpC//adiA//ribA//pck//nrdD//lldD//folE//narH//umuD//ccp//glmU//metC//ilvA//polB//gabD//nadA//slt//
Cra	ilvE//nrfC//phr//nrdD//uxaA//gutQ//rfe//psd//puuD//pncB//pdeH//purK//moaD//ynfH//nrfC//serA//tyrA//srlD//entE//hyaB//pdeH//moaE//nirB//serC//lyxK//caiB//uvrC//cadA//puuB//moaD//entH//ybjG//rutD//cysC//sbcC//sbcC//paaE//cysG//aspA//chbF//paaB//citE//murF//nanA//glxR//hycD//pheS//uxuA//argE//nemA//pdeH//nrdE//torA//metB//frc//recD//purN//pck//paaK//
CreB	hcaD//ddlB//
CsgD	ybjG//speA//gdhA//purN//appA//
CsiR	sgbU//argF//fadH//hycG//
CspA	gcl//
CueR	cyoE//fadD//cysE//sgbE//fumB//
CusR	bglB//paaG//lacA//mhpD//
CynR	atoD//pdeL//fabG//
CysB	tyrB//nemA//betA//pepD//gcvT//glyA//nrfD//hmp//phnG//ilvE//ahpC//nirB//rimK//araB//cysM//prs//cueO//
CytR	ccp//kbl//rutA//dkgA//leuB//mhpB//gltB//ybjG//paaY//uxaB//
DcuR	ycjG//ulaG//paaY//nirD//
DeoR	paaH//ynfH//acnB//frdD//fumB//rffT//
DhaR	fabI//
DicA	
DinJ-YafQ	rbsD//
DnaA	glgC//purB//ilvE//polB//ygeA//mhpC//
DpiA	hcaC//fadI//cyoE//fadA//ccp//
DsdC	sdaA//paaG//
EbgR	
EnvR	puuC//cysI//
EnvY	hycD//oxc//
EvgA	bioA//srlD//tyrA//cdd//lpd//lldD//
ExuR	glpK//ppiA//sucC//ogt//hcaF//nrdE//
FabR	truB//fabZ//gapA//
FadR	aspA//nadA//gcvP//lhgO//yedX//dkgB//yiaK//wrbA//fabA//mhpA//recB//atoA//fau//fadB//pepD//cysG//dhaL//phnO//lpxD//
FeaR	betA//alaC//
FhlA	wecB//entA//gcvT//glsA//adiA//glgC//dgkA//melA//
FlhDC	ssuD//nrdB//hemH//idnD//sdhA//gcvT//dapB//astB//purL//fruK//lacZ//alaA//lysC//appA//
FliZ	fabA//speA//nrfD//glnA//udp//
