# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	pgm//kbl//
Ada	sbcC//pykF//frc//tdcD//
AdiY	rfe//glgB//umpH//nrdD//
AgaR	sodA//
AidB	hycE//
AlaS	sdhB//
AllR	cdd//entH//idnK//mhpA//narI//garR//
AllS	eda//iscS//yeaE//
AlsR	tauD//ynfG//glpQ//
AppY	alaA//puuB//
AraC	katE//dmsB//glsA//malZ//kbaZ//pyrC//gcl//glgB//
ArgP	phnO//nfsB//patD//deoD//xylA//ulaE//gabD//alkB//dmsB//
ArgR	gdhA//pgaD//paaA//fruK//recD//appA//sgbE//frdB//paaF//rffC//paaI//tdcB//ilvI//moeB//mazG//murE//deoC//sucA//nagB//ttdA//metE//ahpC//mhpC//
ArsR	ssuD//uxaC//
AscG	purL//tyrB//
AsnC	cysJ//metC//
AtoC	ogt//cysE//treC//
BCCP	rpiB//
BaeR	yqjH//galM//
BasR	ulaE//ynfE//cysH//
BetI	idnO//fabH//rtcA//
BirA	icd//ulaD//talA//galK//mraY//
BluR	
BolA	astC//trpD//
BtsR	citF//
CadC	ilvD//metL//ppc//
CaiF	wecB//ssuD//malS//metB//cysG//
Cbl	alsE//leuD//ftsI//sdaA//dgkA//
CdaR	wecC//cueO//pgaB//nfsB//ynfE//paaB//nfsA//astA//nrfC//
CecR	trpB//
ChbR	garR//ampC//fau//
ComR	
CpxR	phnP//purD//pck//glnA//dgcN//bioD//cysH//gatY//glpA//uidA//sgbH//mhpE//tadA//accA//ttdB//folA//dhaM//ogt//purF//rffG//srlD//
Cra	srkA//leuA//patD//hcaD//uxaC//malZ//sdaA//glpC//fadJ//prpD//deoD//ascB//astB//acnB//dhaL//cysC//cysD//icd//recD//alkB//garL//appA//dkgA//frdC//pheT//srlD//prs//lpd//sucA//gpmA//astC//sgbE//relA//betB//entF//citD//fucI//hmp//sgbH//cysJ//uvrC//ttdB//aceF//umpH//uxaB//dacC//hyi//fucI//glpB//dgkA//paaB//uxaB//nagB//cadA//sbcC//glcE//oxc//ulaE//paaA//
CreB	glcB//ndh//
CsgD	tadA//argC//arsC//fadJ//ada//
CsiR	eno//ppiA//udp//fadA//
CspA	lsrG//
CueR	uvrA//aceE//argE//accA//glyA//
CusR	ilvA//mpaA//ppiA//talA//
CynR	ftnA//tdh//idnD//
CysB	glgB//melA//gadA//moaD//mraY//gor//phoA//narG//ttdB//treC//fes//mpl//metE//napH//ynfG//allE//fadA//
CytR	rutC//gatY//ung//hycG//gntK//pspE//hemH//astA//trpB//glcB//
DcuR	atoD//mazG//frdA//phnG//
DeoR	ogt//fabD//fucU//ilvE//leuA//wecB//
DhaR	glk//
DicA	
DinJ-YafQ	putA//
DnaA	yeaE//atoA//patD//sbcC//pgaC//tehB//
DpiA	fumB//gudD//nemA//tdh//sucA//
DsdC	hcaE//aceB//
EbgR	
EnvR	fabD//relA//
EnvY	idnD//galE//
EvgA	asnB//sdhA//gabT//yeaE//fucO//rtcA//
ExuR	ada//appA//chbF//glgA//entC//speB//
FabR	glcE//galM//mhpD//
FadR	lldD//kbaY//tdcB//cysG//mhpA//uxuA//nanM//aldA//leuB//aceB//metF//tam//mhpB//mtlD//gudD//ubiC//moeB//rhaD//rffM//
FeaR	fes//paaZ//
FhlA	citX//fucO//glsA//mpaA//pdeL//dgcC//speB//polB//
FlhDC	phnH//leuD//hyi//trpD//ssuD//betB//uxaB//pgaB//ilvH//dkgA//entH//pepD//uxuB//ygeA//
FliZ	recF//citD//hemH//araD//hcaC//
FucR	dgcC//codA//gntK//fucO//cynS//fadJ//
