# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	dinB//lpxC//
Ada	atoA//ada//hmp//feaB//
AdiY	mdh//ynfF//gor//nrdD//
AgaR	dacC//
AidB	gltB//
AlaS	galT//
AllR	narI//frc//phnL//yqhD//aspA//mazG//
AllS	paaH//serC//thrS//
AlsR	dsdA//ilvG_1//rutB//
AppY	glpQ//accD//
AraC	bioB//metA//argC//gntK//waaH//glmS//bglB//trpA//
ArgP	argD//purN//gadB//alaS//yfdE//fbaA//fabG//guaB//speB//
ArgR	mngB//puuA//hcp//glpK//fdhF//gltB//nrdB//wecB//pck//fabI//chbF//metE//sdhD//edd//ubiX//torC//ruvA//dacC//moeA//nadA//lysA//purK//polA//
ArsR	murF//mhpE//
AscG	hyaC//pgpC//
AsnC	pgi//alaA//
AtoC	pck//cueO//ydcS//
BCCP	rffG//
BaeR	uxaC//rffT//
BasR	napH//aroA//purC//
BetI	eda//ynfG//argB//
BirA	phr//prpD//narH//fbaA//cysM//
BluR	
BolA	ulaF//phnG//
BtsR	galM//
CadC	glk//hypB//pspE//
CaiF	fadD//phnP//hcaF//astE//malQ//
Cbl	dmsA//ychF//dapD//ruvA//ppiA//
CdaR	aceE//tehB//phnP//fucU//bioC//nrfA//nanE//cysG//speB//
CecR	glyA//
ChbR	nadA//ppiA//speA//
ComR	
CpxR	paaJ//argB//pgi//prpB//nrfA//luxS//wecC//nanE//ppsA//rnpB//prpD//cynS//ugpQ//bioF//rtcA//fau//rffC//polA//hycC//wrbA//glmS//
