# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	bioD//murC//
Ada	fadE//ynfH//icd//ppc//
AdiY	rbsD//cysK//dinB//ldtB//
AgaR	psd//
AidB	caiD//
AlaS	feaB//
AllR	uxaA//nrfA//metL//deoC//malP//hypF//
AllS	ttdB//pagP//fadA//
AlsR	rutA//uvrB//glmS//
AppY	fumC//aceA//
AraC	phnJ//sodA//ldtD//citD//ndh//rutA//rpiB//alkB//
ArgP	tyrA//ilvE//araB//rutC//iscS//torA//tktB//uvrB//metC//
ArgR	fabD//pdeR//lysA//ulaG//phnG//metC//ubiA//katG//gabT//ilvH//glgA//glcB//sgbH//murG//sucD//prs//glnA//aceE//garL//uvrC//deoB//betA//serA//
ArsR	ulaE//rpiB//
AscG	tdcD//truB//
AsnC	gadA//fes//
AtoC	dinB//fumB//ribA//
BCCP	umpH//
BaeR	phnL//rutB//
BasR	tadA//nanA//allD//
BetI	accA//lsrF//paaY//
BirA	hycG//galK//paaG//mhpC//accA//
BluR	
BolA	paaG//murD//
BtsR	metB//
CadC	mtlD//dhaK//murF//
CaiF	fucI//pnp//glyA//adiA//lpxA//
Cbl	ulaE//fucK//fabB//cueO//fadE//
CdaR	mpl//dkgB//torA//sgbU//accD//argF//cdd//yqjH//accD//
CecR	putA//
ChbR	hyaA//cueO//dhaM//
ComR	
CpxR	entA//prpD//paaJ//yqjH//malS//nrfD//chbF//hemH//alaC//phnN//allC//dhaK//dadA//nrdF//nanA//hyaB//lpxD//mhpC//phnN//hyaA//lsrG//
Cra	rutD//ascB//astC//gntK//sufS//idnK//pheS//ahpC//mhpA//paaY//prpC//glyA//tpiA//ascB//gntK//phnM//hyaC//glgC//gcvH//fucO//lpxC//pgaC//gcvP//fumC//entA//aceF//rtcA//citF//tdcG//glmS//aceB//grxA//dsdA//aroH//allA//glmU//nrfD//tdh//gcl//leuC//leuA//pnp//pyrD//putA//tehB//nanA//dhaL//fabZ//mtlD//gcl//dmsA//lacA//glcE//recB//feaB//allD//polB//accD//torA//
CreB	mazG//puuC//
CsgD	pgaC//trpE//sodA//malS//yfdE//
CsiR	nanE//aroF//glpB//ycjG//
CspA	glgP//
CueR	glk//phnL//nrfD//pagP//prs//
CusR	gpmM//astB//pgpC//gpmM//
CynR	gutQ//idnD//cynT//
CysB	eno//idnK//glmS//nrdB//galE//astE//fadE//glk//wecC//paaY//paaG//murC//fabB//napG//hcp//nrdF//astA//
CytR	rsmH//bglB//yqhD//aroG//fadA//ilvM//asnB//edd//nrdE//ygeA//
DcuR	rutD//pheS//gcvP//galM//
DeoR	fumC//glcE//murE//ascB//tpiA//napA//
DhaR	rutE//
DicA	
DinJ-YafQ	oxc//
DnaA	mhpF//argB//ugpQ//allB//slt//deoB//
DpiA	tyrB//paaK//ahpF//codA//ilvM//
DsdC	uxaB//purK//
EbgR	
EnvR	deoB//glpD//
EnvY	argF//katG//
EvgA	deoB//alkA//paaE//hcaE//dkgB//uxuB//
ExuR	gcvT//phnO//serC//dhaL//argD//yiaK//
FabR	araB//mhpD//nrfA//
FadR	mazG//aroF//lhgO//dapB//ynfE//citF//ulaF//appA//glxR//lacA//bglB//fadH//alaC//thrS//atoD//nadB//citF//udp//hcaF//
FeaR	acnA//cysI//
FhlA	bacA//purF//malY//lsrK//malS//srkA//accC//gudD//
FlhDC	aspA//aroG//cynS//cueO//uxuB//waaH//aceB//recF//entE//yiaK//lsrK//folE//ldtB//recB//
FliZ	cysI//astA//pgpC//dkgA//hcaC//
FucR	metH//dsdA//uvrB//gudD//rhaA//malP//
Fur	nfsA//purB//tyrB//glgX//cysN//iscS//dsdA//malZ//fes//fadH//fabZ//leuB//ilvD//deoB//hycD//pdeR//udp//ssuD//cysN//add//pgaB//narI//dkgA//aceA//paaG//dgcZ//phnJ//nirB//entA//gabD//mraY//waaH//rhaB//araD//ampC//ruvB//allD//nrfA//glpD//alkB//gcvH//tynA//zwf//entH//purD//galE//gatZ//atoB//glcB//allC//gntK//nfsA//malP//tehB//hyi//sufS//sbcC//kbaZ//uxuA//hcaE//gudD//aroH//
GadE	fadJ//mltF//aceF//rffH//rutD//puuB//lysA//fabA//recB//talA//
GadE-RcsB	hemL//phnP//avtA//malY//lhgO//
GadW	guaB//moaA//dgcN//bioC//
GadX	lpxC//dhaM//metK//pncB//luxS//ldtB//prpB//fucK//sdhD//tnaA//gpmM//sbcD//cysG//
GalR	rpiB//glcF//argG//ftsI//eno//fadI//
GalS	rffM//accA//cdd//fabH//alsE//ruvB//
GatR	gatY//sucC//alsE//
GcvA	ogt//gdhA//phnO//
GlcC	astC//murG//cueO//
GlpR	umuC//lsrF//sdhA//uxuA//mhpF//tdcE//tam//
GlrR	
GntR	nrdA//pyrD//galM//ttdA//hycF//leuB//avtA//edd//paaH//
GutM	puuA//argH//aroH//
HU	citF//purF//hmp//lldD//glcE//pdeH//purE//
HcaR	mhpC//lysC//
HdfR	
HigA	cysG//
HigB-HigA	feaB//
HipAB	ilvD//astE//
HipB	ybjG//mdh//patD//
HprR	sdhB//paaB//lpxD//napB//
HyfR	sdhB//
HypT	fadI//argE//galE//mtlD//fucU//hycG//hmp//
