# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ddlB//lysA//
Ada	sodB//carA//cueO//tehB//
AdiY	rnpB//putA//gabT//malP//
AgaR	trpA//
AidB	metH//
AlaS	hyaA//
AllR	metL//xylA//kbaY//garL//glpC//ilvD//
AllS	metL//trpD//citX//
AlsR	tktB//eda//pdeH//
AppY	tpiA//bioF//
AraC	cysD//gcvP//cynS//alaS//allD//thrS//astC//ulaG//
ArgP	bioF//fbaA//mhpF//fabI//frdC//nrdB//ahpC//moeA//metA//
ArgR	deoA//rutB//rbsK//rutC//ulaD//fucA//malS//yqhD//dsdA//leuB//galT//dhaL//ahpC//fadB//hypB//nrfA//metF//lsrF//entC//sufS//gabT//malP//phr//
ArsR	garR//treC//
AscG	kbaZ//fes//
AsnC	sgbH//ahpC//
AtoC	tam//slt//waaZ//
BCCP	dkgB//
BaeR	tdh//frdB//
BasR	fabA//dkgA//nanK//
BetI	yeaG//paaE//cysM//
BirA	fabD//rutC//pgaB//slt//leuD//
BluR	
BolA	nrfD//citG//
BtsR	folE//
CadC	cynT//hemL//lpd//
CaiF	pnp//pheT//paaZ//rsmH//caiD//
Cbl	pgi//glgX//pyrD//hcp//srlD//
CdaR	rffC//malY//fadI//purK//tehB//aspA//frdA//moaE//ilvC//
CecR	sbcC//
ChbR	glcD//nrdA//nirD//
ComR	
CpxR	fdhF//guaB//xylB//wecB//glpX//ychF//nfsA//nanE//trpD//uidA//astC//dsdA//fes//paaB//pagP//allC//purE//rbsK//hcaC//astE//citD//
Cra	ndh//rutA//paaZ//wecB//hcp//ssuD//nanE//mhpB//galM//hemH//paaK//paaB//glgC//paaA//gapA//puuA//deoB//hycC//hyaC//mngB//cysN//hyi//dhaK//ychF//tadA//metC//accC//hcaF//wecC//guaA//rsmH//metC//rffM//dsdA//nanK//fabG//cysH//ilvE//lsrF//gor//hyaB//ilvI//rbsD//astC//murI//rhaB//murE//pgpC//sdaA//dadX//tdh//yeaE//gabD//gapA//phnL//pheS//dgkA//metH//ndh//
CreB	fau//paaA//
CsgD	frdD//lyxK//sbcD//pgm//cynT//
CsiR	tehB//frc//hmp//oxc//
CspA	fumB//
CueR	rhaD//wzc//yeaE//ilvE//metL//
CusR	argA//mpaA//bacA//recB//
CynR	nrdB//purD//hcaE//
CysB	aroL//cdd//cysG//astE//bioD//ubiX//pnp//dacC//ilvM//ulaD//wecE//gutQ//idnD//yfdE//rtcA//uxaA//nadA//
CytR	murI//cdd//ftsI//prpE//accA//dsdA//umpH//cysJ//paaH//lacZ//
DcuR	nrfC//bacA//puuB//ldtC//
DeoR	serA//sufS//tdh//waaY//prpC//ilvG_1//
DhaR	torA//
DicA	
DinJ-YafQ	garD//
DnaA	fes//allB//nanM//paaH//garL//cysE//
DpiA	sgbH//ynfH//uxuA//gnd//relA//
DsdC	cysD//gatZ//
EbgR	
EnvR	mpl//gutQ//
EnvY	lysA//murF//
EvgA	uxaB//tdcG//adiA//ogt//narG//trpB//
ExuR	glpA//nadA//purN//moaC//fadE//lpxC//
FabR	fumB//nagA//sdhB//
