# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	mtlD//ogt//
Ada	ychF//pdeR//fabZ//nfsB//
AdiY	waaZ//puuA//malY//entB//
AgaR	gadB//
AidB	rutD//
AlaS	cysD//
AllR	argB//leuC//napB//moaE//pyrD//glnA//
AllS	ftsI//tnaA//rbsD//
AlsR	xylB//astD//poxB//
AppY	murF//murG//
AraC	metE//dacC//idnK//cueO//recD//ppiA//ddlB//sbcC//
ArgP	aroL//glpQ//trpB//citC//glcB//ynfE//hycC//cyoE//ynfE//
ArgR	galM//alsE//ldtC//malS//metH//bioD//sodA//purN//chbG//phoA//hycE//waaZ//pgi//dhaL//luxS//ynfH//ilvM//glmU//cysI//entB//hyi//cysK//gabD//
ArsR	glpA//ppc//
AscG	argD//mhpE//
AsnC	cysK//ttdA//
AtoC	dmsA//trpB//uxaA//
BCCP	lysA//
BaeR	ribA//ruvB//
BasR	pgk//entF//paaK//
BetI	appA//tauD//nrdE//
BirA	ycjG//cueO//fadA//glpX//idnK//
BluR	
BolA	ychF//sucC//
BtsR	rimK//
CadC	araA//accC//gpmM//
CaiF	hycG//dkgA//ssuD//glmU//yedX//
Cbl	lpxC//ubiX//araA//aceF//zwf//
CdaR	entA//galE//prpB//dapB//ruvA//alaS//umuD//arsC//malS//
CecR	waaH//
ChbR	add//acnB//moaD//
ComR	
CpxR	ychF//ppsA//glpK//cysH//fabD//uidA//fadD//mhpA//tyrB//metC//malP//sdhB//aspA//fes//yfdE//uxaA//metH//argF//pncB//gpmA//gltB//
Cra	tktB//hypB//alaC//dapB//wecC//argC//umuC//fadM//mhpD//hcaD//deoA//gdhA//rsmH//pagP//pagP//nadA//tdcE//metF//waaZ//moeA//metF//metC//srlD//ldtB//bioD//rbsK//garD//umuC//alkB//sufS//paaK//hcaD//chbG//fadM//citX//sodB//ahpC//sgbU//uvrB//relA//polA//relA//ldtB//fucI//metC//alaS//murQ//dhaK//mnmG//dmsA//caiA//pfkA//aceF//tdcB//argB//cysC//hemH//aroL//mhpD//
CreB	dinB//cyoE//
CsgD	metA//waaZ//hcp//gadA//rutA//
CsiR	ycjG//fucK//tadA//atoD//
CspA	sdhB//
CueR	arsC//nrdB//sodB//hycF//mhpD//
CusR	paaE//deoA//ubiX//fumC//
CynR	hyaB//ndh//nagA//
