# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	pgpC//dhaL//
Ada	gcvP//nagB//fadB//murI//
AdiY	glnA//moeB//dhaK//cadA//
AgaR	uidA//
AidB	folA//
AlaS	uvrC//
AllR	citE//pgm//astC//lpxD//lsrK//allE//
AllS	paaY//waaY//tam//
AlsR	putA//ydcS//puuD//
AppY	yfdE//tdcE//
AraC	bioB//murQ//waaH//rsmH//ogt//sucC//leuD//puuA//
ArgP	bacA//frdB//garD//ogt//glnA//prpE//ychF//asnB//glxK//
ArgR	yeaE//cdd//lpxC//galE//cysH//feaB//betA//gapA//nrdA//tnaA//nrdF//puuA//xylA//mhpB//waaY//ybjG//rhaA//prpE//prs//bioB//pepD//glpA//mtlD//
ArsR	fadH//umpH//
AscG	citX//moeB//
AsnC	glxK//rhaD//
AtoC	bioC//aceB//ssuE//
BCCP	napG//
BaeR	ubiA//lpxA//
BasR	dsdA//ogt//nrdD//
BetI	moeB//murG//paaY//
BirA	putA//moaE//trpB//hycC//trpC//
BluR	
BolA	nfsA//malZ//
BtsR	lpxD//
CadC	torC//glpD//bioF//
CaiF	prpC//glcD//purD//metB//accC//
Cbl	fbaB//tam//alkB//mpl//appA//
CdaR	gntK//mraY//ulaE//glcD//purH//astA//pgk//icd//tyrA//
CecR	mhpC//
ChbR	paaK//tdcD//rtcA//
ComR	
CpxR	putA//xapA//tadA//nrdD//metL//cynS//tehB//moeB//guaB//fdhF//waaY//purL//fdhF//paaJ//ilvE//phnM//purC//galT//phnI//yfdE//chbG//
Cra	gadA//dmsA//torC//speA//hycC//pgm//srkA//cysM//hcaB//torA//pepD//phoA//tehB//glk//cadA//accA//cysE//metF//sucD//lhgO//murF//cysC//tdcB//nfsA//gcl//xylA//rffM//dhaL//tadA//rutC//fabZ//hcaF//ybjG//xylA//hycF//malZ//prpD//fbaB//guaB//hycD//malQ//murD//glpQ//recD//garL//amn//ilvI//rffC//trpE//glpC//mngB//argC//trpA//bioA//atoB//patA//entE//edd//dacC//
CreB	phnO//dapB//
CsgD	fau//atoD//entE//moeB//pyrC//
CsiR	hmp//sdhB//murG//gntK//
CspA	gltB//
CueR	phnJ//prpC//aceB//pgaC//prpB//
CusR	deoB//nadA//galE//xylB//
CynR	alkA//glk//paaH//
CysB	epd//yqjH//fucI//tpiA//cysN//hycE//phnJ//speA//mdh//glgP//sufS//ttdB//nrdE//fucK//cysD//cysG//kbl//
CytR	paaF//mtlD//sufS//wecB//fbaB//ung//gapA//trpC//entH//hcp//
DcuR	ulaG//cdd//aldA//rutD//
DeoR	aceA//rhaB//cdd//glcE//puuA//dacC//
DhaR	dacC//
DicA	
DinJ-YafQ	metL//
DnaA	prpD//fabI//deoA//moeB//fbaA//rffG//
DpiA	deoD//accC//ftsI//tyrB//galE//
DsdC	ogt//pgaD//
EbgR	
EnvR	relA//ulaD//
EnvY	glpQ//caiC//
EvgA	yqjH//aroG//ahpC//frdD//ynfG//nirB//
ExuR	gcvH//araA//acnA//ldtC//fruK//nrfA//
FabR	purN//nanM//sodA//
FadR	allB//puuC//tdcG//dgcC//entD//narH//codA//phnM//poxB//alaA//lsrF//mhpC//idnD//nagA//fabA//fumB//lysC//asnB//ynfG//
FeaR	fabZ//murQ//
FhlA	iscS//lpxA//murD//malP//nadB//paaH//icd//dmsB//
FlhDC	nagB//glpK//cysI//sbcD//tadA//pgk//malS//srkA//phnI//fumC//icd//umuC//gor//hemL//
FliZ	dmsC//cysG//ttdB//frdD//luxS//
FucR	aceF//argA//citD//pgaB//napG//ttdB//
Fur	ampC//phnP//pepD//phnH//cysC//tktB//slt//pgk//glnA//pfkA//rbsD//argD//cysI//feaB//tam//ilvM//dmsB//gdhA//gatZ//rsmH//ilvM//allD//gpmM//aspA//ilvM//caiD//pgpC//rffG//poxB//fabB//araD//narG//waaH//uidA//dacC//frc//folE//fumB//entB//purD//mazG//nrdE//paaJ//arsC//aroH//prpC//gdhA//rhaB//pfkA//recD//ahpC//cysM//eda//ppsA//xylA//glmU//phnL//pyrD//fdhF//ppiA//astB//glxR//
GadE	malY//murG//glpQ//nfsA//glmU//allC//rnpB//moeB//ppiA//aroH//
GadE-RcsB	narI//grxA//dsdA//aceA//gatD//
GadW	rutE//rimK//sodA//ynfH//
GadX	moeB//sdaA//sucC//pepD//wecE//lsrK//ulaF//dmsA//pnp//kbl//hcaB//frc//napB//
GalR	kbl//cysN//hyaB//ilvM//glxK//napH//
GalS	cynT//purH//malY//gabD//purK//talA//
GatR	dhaL//ampC//allE//
GcvA	glpX//umuD//gcvP//
GlcC	tadA//rffT//citE//
GlpR	purC//hycE//eno//lsrG//tauD//galM//cyoE//
GlrR	
GntR	fucA//glcD//mhpA//luxS//ilvA//cysI//metC//mtlD//serC//
GutM	argD//purN//rtcB//
HU	ldtB//moaA//ynfG//argH//oxc//glcE//fucK//
HcaR	metH//rffG//
HdfR	
HigA	aceA//
HigB-HigA	betB//
HipAB	glgC//mngB//
HipB	glxR//ogt//nfsB//
HprR	paaB//lacZ//purK//hemL//
HyfR	bioB//
HypT	caiB//tehB//ilvC//uxuB//ftnA//gadA//araA//
IclR	uidA//dinB//garK//
IdnR	rpiB//rffT//torA//nanE//hcaB//astD//
IlvY	uxaA//
IscR	caiB//alkA//ynfG//prpD//tadA//ilvH//aroA//cueO//
KdgR	tyrA//trpA//
KdpE	pykF//
LacI	metC//ugpQ//pgm//
LeuO	codA//arsC//cysD//ssuE//nanM//speA//
LexA	asnA//murE//ynfF//purN//rtcA//phnH//fucA//carA//ung//glcF//yeaG//glxK//katE//tam//hcaD//dacC//uxuA//kbaZ//prpD//carB//ilvH//ftsI//ycjG//
LldR	accC//hypF//
LrhA	
Lrp	gpmM//lysC//astD//frc//yeaE//fbaA//gloA//dmsC//glcB//yeaE//purK//lsrF//hycF//nanA//aroH//recF//srlD//fruK//galK//aroH//rnpB//cysM//purN//rffC//purM//rutE//ada//gatD//pheS//paaG//nirD//paaC//citC//arsC//ulaD//sdhB//glnA//moaE//glsA//entA//
LsrR	dhaM//aceF//nrdD//dadA//ilvE//
LysR	rffG//
MalI	pspE//deoD//
MalT	aspC//gntK//ftnA//puuC//gadB//aroF//
MarA	ascB//tadA//chbG//malY//bioB//malQ//metL//pgaC//entE//mhpB//hycE//citF//pdeH//pheT//purK//fabD//torA//sbcD//deoB//yfdE//ilvA//nirB//prpE//hcaC//
MarR	
MatA	purN//
MazE	malQ//
MazE-MazF	argA//
McbR	
MelR	moaC//gutQ//
