# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	rutE//fruK//
Ada	phnG//ygeA//sbcC//murD//
AdiY	nrdA//eno//mtlD//glsA//
AgaR	wecC//
AidB	grxA//
AlaS	uvrB//
AllR	gcvT//leuA//metA//adhE//argA//galE//
AllS	bioF//glpA//garL//
AlsR	phnG//glcF//hycG//
AppY	umpH//bioA//
AraC	cysH//yedX//glpK//fadD//glpB//aroF//glcD//puuE//
ArgP	dgcZ//ruvA//ubiX//nrdF//eda//yiaK//entC//amn//citC//
ArgR	paaK//acnB//aceF//nrfC//leuC//treC//galM//srlD//phnH//hyi//paaF//recB//paaI//alaC//ldtB//patD//aroG//pgaC//sodA//leuD//frdD//ldtC//rffC//
ArsR	ttdA//glcF//
AscG	alsE//frdC//
AsnC	deoD//dkgB//
AtoC	allC//dkgB//purK//
BCCP	citF//
BaeR	accD//ppsA//
BasR	uxaA//glgB//lsrF//
BetI	purF//gntK//moaC//
BirA	hycB//alaC//ruvB//allE//rbsD//
BluR	
BolA	tdcB//rtcB//
BtsR	rsmH//
CadC	murC//gadB//rbsK//
CaiF	ppc//aroG//alsE//yeaE//ybjG//
Cbl	deoC//lsrG//dinB//paaK//aspA//
CdaR	asnA//glpA//rffH//eda//dkgB//hypF//nagB//hypF//ldtD//
CecR	fabI//
ChbR	rhaD//rffM//moaC//
ComR	
CpxR	dhaM//garK//bioF//umuC//hcaC//hycD//fabH//leuA//allE//astC//ssuD//ilvG_1//metK//sucB//cysM//lacZ//ttdA//glgB//aceF//gapA//hcp//
Cra	gcl//paaZ//araD//tdcB//waaH//luxS//dhaL//bacA//hyaB//trpB//ccp//codA//katG//gpmA//ynfH//rhaB//nirD//purM//phnM//xylA//citX//purL//aroF//amn//gntK//cysH//ynfF//ilvC//arsC//umuD//grxA//fau//malY//leuC//hycE//accC//puuA//trpB//rffT//argE//purD//hcaD//idnO//napA//slt//galM//fabH//nfsA//xylA//trpB//melA//ttdB//cysE//leuD//alaC//paaH//rimK//sdhB//ssuD//
CreB	mhpC//ybjG//
CsgD	lpxD//fdhF//metB//caiC//ubiC//
CsiR	mnmG//pgaC//mhpD//pgm//
CspA	sbcD//
CueR	speB//ppc//fabA//paaE//moaA//
CusR	murG//pgk//malS//fadI//
CynR	codA//cysI//metB//
CysB	serC//leuD//astD//gatZ//glpQ//sdhD//gatZ//pncB//pgi//mhpD//feaB//pck//slt//lpd//narG//ftnA//ssuE//
CytR	hemL//uxaA//murI//dmsB//citF//purD//ycjG//truB//folE//sdhC//
DcuR	trpB//sgbH//asnA//nanK//
DeoR	accA//dgcN//fbaB//nrdD//narH//ldtC//
DhaR	pheS//
DicA	
DinJ-YafQ	kbaY//
DnaA	metF//yqhD//pheT//wecC//metB//metH//
DpiA	puuA//galK//srlD//tadA//recD//
DsdC	aroG//ampC//
EbgR	
EnvR	dinB//epd//
EnvY	deoD//purH//
EvgA	paaA//sgbH//pgk//hcp//frdC//narH//
ExuR	metF//gor//nanK//purF//ftnA//accD//
FabR	gdhA//allB//alsE//
FadR	kbl//argC//cynT//gabT//umpH//aspC//murD//fucI//speB//alkB//allB//paaJ//entC//alaC//aroL//rfe//trpE//glpX//paaZ//
FeaR	uxaB//aroA//
FhlA	alaA//fadI//rsmH//argC//glgX//mhpF//glpX//betB//
FlhDC	tauD//uxaB//recD//atoA//kbaY//hcaE//nirB//prpD//argA//lldD//hypF//kbl//fadI//tyrB//
FliZ	kbl//sgbE//galT//citG//entB//
FucR	rutB//ftsI//amn//fucA//moaE//ynfH//
Fur	uvrB//glmS//nirB//bioB//aroG//caiA//sdhD//lpxA//paaB//hyi//galE//accA//allC//frdA//mdh//rpiB//gntK//citE//lpxA//lpxC//alaC//rutE//sgbE//murQ//rtcA//gabT//metH//wzb//napA//nrdF//hmp//mhpE//gltD//ilvD//uidA//sbcC//mpl//glgX//leuC//prpC//lldD//ilvC//mazG//lacZ//ampC//nrfA//sufS//hcaE//citX//paaH//allD//ynfG//nfsA//puuB//ttdB//astE//nagA//gcvT//rsmH//nirB//wecC//udp//
GadE	bioC//metK//chbF//dacC//sufS//lysC//mazG//eda//fadB//fadD//
GadE-RcsB	frdA//phnH//dsdA//napG//ccp//
GadW	truB//uvrA//purN//gapA//
GadX	aceB//paaY//nrdA//idnD//gcvT//uxaA//metE//purH//entD//gadB//phr//yedX//fdhF//
GalR	rbsD//gpmA//xylA//tehB//epd//dgkA//
GalS	napA//fadH//serA//hcaF//umpH//betA//
GatR	malQ//puuB//garL//
GcvA	ruvB//ahpF//prpE//
GlcC	chbF//aroL//paaB//
GlpR	ynfH//ilvC//moaA//guaA//asnB//napB//ynfF//
GlrR	
GntR	bioF//glxK//tyrA//yiaK//glpX//ycjG//waaH//gnd//nagA//
GutM	lpxC//araB//rffC//
HU	fucI//argH//frdA//sucD//narI//aldA//rutE//
HcaR	fumC//atoB//
HdfR	
HigA	trpA//
HigB-HigA	citD//
HipAB	mltF//patA//
HipB	gabD//aspC//argB//
HprR	sodA//araA//malQ//sodA//
HyfR	ccp//
HypT	fumC//uxuA//rsmH//glpQ//argH//hmp//alaS//
IclR	sgbU//nemA//citC//
IdnR	feaB//dgcN//gatZ//ddlB//tdcE//umpH//
IlvY	lsrG//
IscR	murC//glpX//folA//gpmM//recB//cysI//metB//alaA//
KdgR	mdh//purE//
KdpE	metC//
LacI	rffC//ulaF//recF//
LeuO	ynfH//cueO//entH//mnmG//ilvC//ubiA//
LexA	atoA//rtcA//aldA//dgkA//yedX//dapD//citC//rffG//oxc//caiB//tauD//tauD//argI//fruK//lsrK//hemL//fadH//phnJ//idnK//prpB//mazG//nanK//entB//
LldR	glpB//uxaB//
LrhA	
Lrp	amn//mngB//pgaD//lpxA//uxuB//hyi//cynS//ubiA//sucB//sdhC//pheT//allE//rbsK//kbaY//glnA//nadB//arsC//rbsK//fadA//moaC//hycG//wecE//phnJ//ssuD//nrdF//fes//deoB//pdeR//mhpA//fadB//sgbE//feaB//phnI//ugpQ//fabZ//glcB//tam//paaH//ampC//argD//
LsrR	mhpE//argG//icd//hyaA//glmS//
LysR	alaS//
MalI	purD//fdhF//
MalT	fabA//rimK//phr//ldtD//ilvI//murG//
MarA	moaD//ubiC//purK//asnB//hmp//metA//recF//dadA//uxaC//ada//paaG//deoB//purN//ruvA//glpK//ynfH//yeaE//leuB//lpd//fbaA//ynfH//pgaD//codA//yeaG//
MarR	
MatA	hycB//
MazE	mhpD//
MazE-MazF	fadB//
McbR	
MelR	rfe//ada//
MetJ	lysA//mhpD//pgk//entB//ycjG//deoA//moeA//carB//rutA//murD//
MetR	hemL//mhpA//ttdB//ung//
MhpR	lysC//murI//folA//glpC//appA//metE//
Mlc	wecC//pnp//glgA//bioF//
MlrA	pyrD//
MngR	nrdA//galM//
MntR	gatZ//pyrD//
ModE	fadJ//mazG//gltD//cysD//alaC//deoC//napH//xylB//putA//torC//tynA//puuC//fadH//fabB//nrdD//leuB//argE//
MprA	dgcC//caiA//sdhD//
MqsA	acnB//pdeH//
MraZ	ssuE//hemL//ulaG//narG//trpC//gatD//tadA//wrbA//cysE//sdhB//
MurR	dkgA//glxR//garL//
Nac	zwf//gudD//dhaL//glgP//glpX//ilvE//araA//garR//cyoE//mhpC//waaH//
NadR	allC//dgcN//sdhC//wecE//
NagC	frdA//fabB//uxuA//rffM//tdcG//ilvM//alsE//dgcC//ampC//ulaF//rffT//tnaA//mpaA//thrS//arsC//nirB//glgP//mdh//mdh//
