# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	yeaE//astC//
Ada	uxaC//speA//nrdD//tyrB//
AdiY	pyrD//gadB//pyrD//tyrB//
AgaR	idnO//
AidB	glgB//
AlaS	fucU//
AllR	idnK//purM//dgcZ//argI//umpH//alaS//
AllS	cysC//phnI//aceA//
AlsR	phr//wecC//moaA//
AppY	glgB//ycjG//
AraC	cysC//glpA//ribA//argH//dadX//gabD//trpE//glpX//
ArgP	carA//torC//bioF//phnP//glmS//lysU//napB//metA//srlD//
ArgR	bioF//argH//napH//murC//paaB//sufS//relA//tyrB//pnp//ttdB//kbaZ//folE//purC//argE//ilvE//malQ//truB//sucA//alkB//fabD//tyrB//argB//hcaD//
ArsR	uxaB//aroF//
AscG	dgcN//malZ//
AsnC	fabG//gatD//
AtoC	oxc//cadA//astD//
BCCP	ampC//
BaeR	leuA//mpaA//
BasR	narG//murG//iscS//
BetI	yiaK//ilvH//paaG//
BirA	ppiA//prpC//gltB//chbG//araA//
BluR	
BolA	atoD//astA//
BtsR	codA//
CadC	napA//fabG//dhaL//
CaiF	hycG//atoA//fucA//paaB//gor//
Cbl	paaG//bglB//ynfF//wzb//gadB//
CdaR	ynfE//glxK//ulaD//idnK//mhpB//nadB//glxR//eno//ndh//
CecR	hemL//
ChbR	allC//tdcE//bioD//
ComR	
CpxR	gudD//hycD//tam//rutC//mhpB//ftnA//ruvB//avtA//phnH//sbcD//ilvG_1//purH//ung//citG//dkgA//sdaA//pgaD//hmp//ahpF//purN//waaY//
Cra	mnmG//betB//lacZ//caiA//glmU//hyaC//sucC//argD//pdeH//glgP//hycC//kbaY//ugpQ//srlD//hypF//glgX//lpxC//murG//add//idnD//gcl//caiD//fbaB//acnB//rbsD//prs//cysE//dadX//glpX//gloA//rtcB//leuB//udp//hypF//argH//hcaB//ygeA//ilvA//gpmM//mtlD//serA//aroA//cysN//pgaD//pnp//aroA//ftnA//glgB//metL//paaK//lyxK//metL//uxuB//idnK//ttdB//lysA//wecB//astC//hycD//
CreB	accD//glgC//
CsgD	yeaG//gcvH//argC//mdh//folE//
CsiR	pck//gabD//kbaY//ydcS//
CspA	fes//
