# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	phnP//yeaG//
Ada	ulaD//tdcG//aceA//hycG//
AdiY	idnD//glpD//glpX//lyxK//
AgaR	glpQ//
AidB	rffC//
AlaS	malS//
AllR	sdhC//tehB//ugpQ//yeaE//ulaG//sdaA//
AllS	fadE//amn//srkA//
AlsR	sdhC//mdh//sdhD//
AppY	ruvA//uxaA//
AraC	malP//puuD//ada//pgaC//nrdB//kbaZ//mhpC//mngB//
ArgP	rutD//epd//rbsD//rutA//paaY//frc//phnN//deoA//glgP//
ArgR	grxA//nrdA//cysC//cysK//psd//glpK//patA//dgcC//cdd//malP//gabT//deoC//wecB//purF//ppc//phnL//dsdA//idnK//purH//moeA//ssuD//dmsA//thrS//
ArsR	paaY//melA//
AscG	dsdA//trpC//
AsnC	rpiB//lldD//
AtoC	hcaD//lsrF//rffG//
BCCP	fabB//
BaeR	idnK//dinB//
BasR	pgaC//gadA//hyi//
BetI	yfdE//sbcD//dapD//
BirA	ssuE//caiD//glnA//truB//adhE//
BluR	
BolA	fucI//gltD//
BtsR	ttdA//
CadC	prs//ilvE//guaA//
CaiF	phnN//sdhC//tehB//phnL//alaA//
Cbl	astA//fumC//alaC//cysJ//tehB//
CdaR	rtcA//asnB//cysK//gltB//ssuE//malQ//appA//ynfH//mhpC//
CecR	rutA//
ChbR	caiD//hypB//ruvB//
ComR	
CpxR	purM//phnM//glpX//fadM//glyA//uxaA//mraY//moaA//pyrD//glcF//pgaC//eno//lldD//kbaY//bioA//pck//frdA//accC//add//paaJ//ahpF//
Cra	yqjH//astC//eda//metA//pepD//moeB//rtcB//rtcA//avtA//polB//astC//betB//nadA//lysC//paaF//rutE//rnpB//cynS//nrfA//ndh//purL//ogt//nanM//ilvH//malP//amn//dsdA//malY//iscS//ilvE//uvrA//uidA//frdA//adhE//wrbA//fadD//lpxC//mhpC//bioB//dkgB//lacZ//nrfD//glpD//aldA//melA//fabG//fucU//rffG//nrdB//nemA//phnG//sodB//cdd//prpE//cdd//sgbU//fucU//purL//uxaA//
CreB	nanE//gcvH//
CsgD	gadA//tauD//ssuD//aceF//folA//
CsiR	uxaB//tyrA//glgB//lpxD//
CspA	sdhA//
CueR	cynS//phr//ynfH//aceA//metK//
CusR	frdD//glpB//gabT//ubiA//
CynR	hycE//pykF//hcaD//
CysB	metF//wzc//cysD//pgaD//cysC//gltB//fbaB//caiA//bioF//pgk//allB//moeA//murD//lsrK//glnA//rutD//atoB//
CytR	nfsA//wzb//paaB//fabZ//garL//xapA//metB//gor//murF//phnI//
DcuR	mhpE//nirB//uxuA//fucU//
DeoR	sdhB//asnA//galT//nrfD//moaC//glgA//
DhaR	ftsI//
DicA	
DinJ-YafQ	moaD//
DnaA	narH//argC//citD//bioC//malP//purE//
DpiA	tnaA//nfsA//gltB//glpQ//ribA//
DsdC	mhpF//ftsI//
EbgR	
EnvR	lpd//phnL//
EnvY	araB//bacA//
EvgA	yfdE//psd//hycB//gapA//glgA//mhpC//
ExuR	pykF//tyrB//dhaM//fdhF//nadA//fabI//
FabR	paaE//talA//trpC//
FadR	trpC//tpiA//glgP//tyrB//recB//recD//napH//adhE//mpl//truB//nanE//atoD//cynS//murI//ilvD//aceA//cadA//udp//napH//
FeaR	hycB//hcaE//
FhlA	mltF//argB//pgm//puuA//deoC//tadA//dadA//lysC//
FlhDC	glcF//torA//fadB//ppiA//ynfG//ilvI//murF//hycD//pagP//aspA//puuC//ttdB//leuA//pdeR//
FliZ	mdh//poxB//eno//entD//paaF//
FucR	ldtD//gudD//uxaB//fabA//astC//rutC//
Fur	dinB//fadA//fruK//gntK//sdhA//ppsA//betA//sucD//ruvB//ilvI//hcaB//ndh//glnA//gcvH//puuC//thrS//ldtC//argI//cysJ//malZ//gcvP//icd//glgC//hycG//gadA//dhaM//ynfE//waaH//dgkA//citE//gpmA//glgX//xylA//ugpQ//phnH//fadH//srlD//gabT//nadA//astB//mltF//cynS//xapA//sbcD//nrdB//cueO//gadA//ulaD//leuD//argB//nemA//moeB//torC//nagA//ruvA//gcvP//citD//malZ//dhaL//sgbH//hypF//cysC//
GadE	aldA//deoD//nrfD//trpB//dhaL//udp//bioF//nrdD//umuC//uvrA//
GadE-RcsB	chbG//gltB//galK//ascB//mdh//
GadW	galM//alaA//alkB//sbcD//
GadX	murC//nanK//chbF//ppc//dapD//purA//metH//caiB//ilvI//phnH//citF//uvrB//kbaY//
