# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	sucC//fucU//
Ada	mpl//metE//tdcD//metB//
AdiY	fadE//paaH//ubiX//ttdB//
AgaR	tdcG//
AidB	rfe//
AlaS	napH//
AllR	pgaB//hemL//murE//glxR//citD//glnA//
AllS	ubiX//murQ//puuC//
AlsR	gatZ//yeaG//gatD//
AppY	ssuD//gutQ//
AraC	murC//guaA//mpaA//sodA//edd//dhaL//wzb//citD//
ArgP	pncB//ndh//mhpD//murD//uxuB//murD//nanK//ftsI//ynfE//
ArgR	aroH//asnB//hycE//guaA//nanE//nagB//caiA//glgP//nagA//citE//murE//sucA//allA//phnH//torC//gcl//narH//gltB//lldD//hemH//recB//rsmH//nrdA//
ArsR	cysC//argF//
AscG	gntK//dhaM//
AsnC	fabH//ygeA//
AtoC	mhpF//phnL//xapA//
BCCP	gutQ//
BaeR	rutE//mraY//
BasR	nirD//fucU//glgA//
BetI	pgk//glcB//tdcE//
BirA	hcaB//glgA//rpiB//aceB//murQ//
BluR	
BolA	ygeA//prpC//
BtsR	uvrB//
CadC	araD//argH//paaI//
CaiF	nemA//leuD//waaY//speB//glgC//
Cbl	udp//rfe//hcaB//ppc//mazG//
CdaR	caiD//glgP//amn//frc//mngB//napG//hmp//pflB//ulaD//
CecR	dhaM//
ChbR	metH//fbaB//patD//
ComR	
CpxR	dgcC//puuE//gudD//amn//icd//rffH//sdhC//fadJ//glyA//fabI//fbaB//srlD//accD//tnaA//umpH//fdhF//mtlD//purB//mdh//umpH//accD//
Cra	trpA//nfsA//lacA//psd//wecB//ada//dhaK//ygeA//gatD//alsE//ubiC//torA//rtcB//nrdE//hyi//hcaB//entF//ftsI//hcaB//gltB//paaK//gloA//malY//amn//metH//hcaB//yeaE//fes//glpX//dgkA//puuC//malZ//trpA//melA//gadA//metF//phnP//hcaB//narH//uxaA//fruK//gcl//gutQ//hcaC//hemH//nadB//hemH//leuD//purN//entD//fabZ//mraY//hycG//murG//deoB//relA//argI//frdC//dgcZ//
CreB	entB//fau//
CsgD	fabB//gntK//srlD//aroH//nrdB//
CsiR	phnL//pheT//hycD//mnmG//
CspA	pgk//
CueR	glgA//malZ//glpX//fumB//fadA//
CusR	phnM//fadI//gltD//metH//
CynR	cysM//ogt//luxS//
CysB	pgpC//gcvH//allE//wecE//paaB//purA//lysA//gatZ//lysA//paaJ//aldA//hcp//phoA//metC//dgcC//allC//araD//
CytR	ulaE//eno//puuB//fabH//avtA//caiC//fes//hcp//hypF//trpC//
DcuR	uxuB//ynfF//cadA//fadI//
DeoR	hcaE//leuD//ftsI//folA//accC//fabB//
DhaR	hycC//
DicA	
DinJ-YafQ	nirB//
DnaA	alkA//lysU//glgA//paaY//phnM//mdh//
DpiA	lacZ//mhpC//astA//tehB//argB//
DsdC	nrfA//hemL//
EbgR	
EnvR	dmsA//gadB//
EnvY	rutE//murG//
EvgA	caiA//rffG//mdh//aceA//nirB//wzb//
ExuR	amn//pyrC//umuD//argI//serA//chbG//
FabR	murF//hyi//garR//
FadR	purD//caiB//entD//tynA//ynfG//add//frdC//caiB//icd//pfkA//ulaE//nrfD//mnmG//caiC//cdd//dhaL//pdeL//rutD//phnP//
FeaR	nanK//cadA//
FhlA	napG//paaK//guaB//yfdE//hyaA//sgbU//deoD//malS//
FlhDC	aroF//cdd//phnO//purK//lacZ//acnB//tam//katE//rutC//purB//ttdA//ppsA//aceB//uxaB//
FliZ	nrdB//patD//katG//icd//purC//
FucR	ilvC//gatD//ddlB//arsC//ttdA//entB//
Fur	ilvH//truB//cynS//nrfD//waaZ//asnB//citE//ppc//xylB//luxS//deoA//rutC//fabA//lpxA//accA//ribA//leuD//mhpC//puuB//paaA//tktB//pgaD//putA//citE//katG//waaY//caiA//recD//tktB//entE//nadA//astB//kbl//mdh//fes//ilvD//metE//sgbU//ftnA//lpd//argD//hyaC//deoA//argA//rutC//ubiA//fabB//speA//ftsI//udp//araB//speA//purL//fucU//hemH//fabB//allA//entA//bioF//sbcC//lhgO//fabD//
GadE	fabI//fadH//ynfH//pykF//nirB//phnM//aroL//phnJ//argH//fumC//
GadE-RcsB	tam//wecE//ycjG//ynfH//wecB//
GadW	aspA//prpE//uidA//rutA//
GadX	moaE//fabZ//phnJ//pheT//gadA//aroL//fadH//entH//gcvT//ftnA//lacZ//rtcA//hypB//
GalR	recF//nanK//sdhD//srkA//wrbA//idnO//
GalS	moaE//glpK//gatY//sgbH//paaB//eda//
GatR	nadA//cysH//nrfD//
GcvA	accD//citC//ldtB//
GlcC	nrdD//gltB//bglB//
GlpR	astE//frc//fucO//aroA//ada//nanA//gpmM//
GlrR	
GntR	zwf//torC//phnP//argA//ynfH//nrdF//aroA//idnK//waaH//
GutM	hycD//hycD//puuB//
HU	napA//patD//metC//fucK//ada//purH//katE//
HcaR	garK//aceB//
HdfR	
HigA	tdcG//
HigB-HigA	sdhA//
HipAB	moaA//nirD//
HipB	trpA//ampC//yeaG//
HprR	argA//waaH//galK//araD//
HyfR	ubiC//
HypT	fabA//acnB//speA//recF//frdC//lhgO//glpD//
IclR	leuC//moeB//ynfH//
IdnR	rimK//uxuA//pfkA//frdA//nirB//arsC//
IlvY	aroF//
IscR	ulaE//accD//pagP//deoB//waaZ//fabZ//acnB//ccp//
KdgR	lpd//pdeL//
KdpE	garL//
LacI	truB//gadA//nrdF//
LeuO	paaI//araD//nrdA//sucA//pykF//rfe//
LexA	polA//pyrD//uvrB//aroF//umuD//ycjG//ybjG//guaB//tpiA//argF//dgcN//gapA//purC//mhpE//prpD//aceA//fadD//pgpC//rffT//hycG//rffM//tpiA//glyA//
LldR	ruvA//bioD//
LrhA	
Lrp	ldtC//hcaD//phnI//truB//allD//sufS//araB//glcB//hcaF//tdcG//murF//rutD//argF//lacA//ubiA//gcvH//argH//putA//sdhA//citG//katG//argD//acnA//umpH//aroG//phnJ//hycF//astA//purH//folA//nadA//nadB//tdcE//uvrB//appA//mhpE//glnA//nemA//argC//fabZ//
LsrR	leuA//bacA//cysG//fumC//prpB//
LysR	chbF//
MalI	aldA//uidA//
MalT	ahpC//gltB//phnJ//purE//murG//luxS//
MarA	argC//frdB//sgbU//ruvA//kbaZ//aceF//moaD//bacA//rffG//cysN//speB//cynS//lyxK//sdhD//gltB//glcB//pgk//ubiX//alsE//nrdE//allC//tdcB//yqjH//zwf//
MarR	
MatA	pyrD//
MazE	gudD//
MazE-MazF	rffT//
McbR	
MelR	fadM//aceA//
MetJ	ilvD//nemA//srlD//leuB//rhaD//nirD//slt//garR//prpE//metK//
MetR	kbl//nrdD//malZ//entB//
