# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	araB//entC//
Ada	kbaZ//torA//adhE//caiB//
AdiY	ada//caiC//wzc//moaA//
AgaR	fbaA//
AidB	hyi//
AlaS	yfdE//
AllR	pepD//gapA//prpC//recD//ulaF//uvrB//
AllS	prs//caiC//rffH//
AlsR	hypB//ldtB//astB//
AppY	ygeA//putA//
AraC	murI//lsrF//fadM//phnI//fadJ//ddlB//lldD//chbG//
ArgP	epd//codA//yedX//accC//paaI//srlD//bioB//rbsK//fadI//
ArgR	nirD//rutC//rffH//gabD//bioC//cysJ//atoB//dadX//yedX//bioA//tyrB//allE//sgbH//purF//narG//dmsB//hcaE//hemH//bglB//mhpF//bioB//astE//ada//
ArsR	argG//hemL//
AscG	rutB//phnJ//
AsnC	tnaA//appA//
AtoC	argG//paaH//metF//
BCCP	sucC//
BaeR	dhaK//feaB//
BasR	gudD//deoC//trpB//
BetI	purA//narI//ppiA//
BirA	metK//ulaD//sdhC//recB//puuD//
BluR	
BolA	ddlB//hyaB//
BtsR	fucO//
CadC	rbsK//ruvB//narH//
CaiF	bioB//pykF//tadA//hcaE//glcD//
Cbl	ulaE//ychF//fumC//dgcN//nagB//
CdaR	atoB//psd//slt//carA//rutA//relA//ilvG_1//xylA//rsmH//
CecR	epd//
ChbR	tdh//purC//metB//
ComR	
CpxR	ada//nfsA//cysI//sbcD//phnM//fabZ//prpD//alaA//argE//paaK//idnK//rffC//tktB//metL//argH//hyi//murG//idnD//galE//citD//moaC//
Cra	uxaA//paaF//glgP//fadE//gutQ//phnN//caiC//hcaC//hcaD//malS//paaK//tynA//ahpF//moaD//murE//aceE//accC//napH//yiaK//pyrC//nagB//ilvD//mhpE//atoB//phnI//argB//hcaF//fes//cysD//ndh//garR//acnB//yiaK//cysJ//leuC//ahpF//pgi//mdh//uxaB//gcvH//cysI//nanM//fabA//dmsB//paaE//thrS//fadB//pagP//patD//rbsD//grxA//udp//ndh//cysN//garR//entD//gatZ//uvrB//cysK//
CreB	tktB//uvrA//
CsgD	paaY//hcp//nrdB//murG//argI//
CsiR	lysA//moaE//cueO//glpA//
CspA	ubiA//
CueR	yiaK//mpl//pyrD//glgP//icd//
CusR	fadM//pgpC//bacA//moeA//
CynR	aceA//pagP//fabI//
CysB	treC//uvrB//garL//fadA//dgcN//srlD//gabD//pgk//nanM//ahpC//glpX//nrdF//sufS//gpmA//ynfG//pdeR//pflB//
CytR	frdB//patA//lysU//hypF//ruvB//cysK//lacZ//puuE//citE//ldtD//
DcuR	ulaG//bioD//folE//cysG//
DeoR	narG//ilvD//rhaD//kbl//phr//nadB//
DhaR	aspA//
DicA	
DinJ-YafQ	ubiC//
DnaA	speA//lsrF//alsE//caiD//kbaZ//guaA//
DpiA	kbaY//entF//recF//srlD//entD//
DsdC	alaS//cysI//
EbgR	
EnvR	cueO//cysI//
EnvY	ppc//glgX//
EvgA	citE//rffG//ppsA//putA//astD//paaB//
ExuR	astE//adiA//fbaA//cysK//pykF//leuA//
FabR	dinB//pnp//ogt//
FadR	leuC//phnG//caiB//cysM//mpaA//cysC//fadM//gcvT//tnaA//hycF//guaA//dsdA//dgcC//pdeL//frdB//galK//nagB//entA//nrdD//
FeaR	recB//trpA//
FhlA	murI//lpxD//torA//argG//metA//metA//paaE//garR//
FlhDC	prpE//yiaK//citG//galT//malS//citF//sgbU//nanK//yfdE//lysU//arsC//dacC//hcaE//tdh//
FliZ	ilvI//glmS//pflB//pdeR//purN//
FucR	leuB//purN//metB//entE//fabI//grxA//
Fur	recD//recD//frc//astC//lpxD//aroH//cynS//tauD//fadJ//fabG//fadJ//yeaG//aroA//paaK//hmp//rimK//rutD//mhpB//nrdD//glgX//metA//garD//argG//purL//hcaD//uxaA//gltD//phnP//pheT//glgA//ahpC//dadX//fes//paaG//dapD//pheT//nanM//trpC//frc//fucO//leuD//cysD//sdhB//purM//rfe//sodB//folA//rutE//pgpC//mhpD//rimK//prs//glgA//aceB//ada//ynfE//fadA//rpiB//kbaZ//truB//atoB//prpE//
GadE	luxS//eda//malS//ldtC//pepD//bioA//fucI//wzb//xylB//fumB//
GadE-RcsB	puuE//caiC//purM//purK//yqjH//
GadW	fabH//frdD//fabI//nrdA//
GadX	fbaB//tyrB//aldA//puuA//ndh//udp//alaS//nrdB//gapA//malQ//ahpC//ycjG//nfsB//
GalR	araA//nadB//fadI//codA//accA//ycjG//
GalS	asnB//ppsA//aspA//mazG//argC//ilvH//
GatR	frdC//pflB//purK//
GcvA	allE//accD//atoA//
GlcC	glpC//add//mdh//
GlpR	guaA//fabA//sgbH//sufS//entD//ppsA//fruK//
GlrR	
GntR	astA//phnN//glmU//sdhA//fabG//moaE//ilvA//adiA//tyrB//
GutM	gadB//cysC//ychF//
HU	mhpA//amn//metE//folE//purL//dadA//gpmM//
HcaR	rfe//cysJ//
HdfR	
HigA	paaZ//
HigB-HigA	serC//
HipAB	puuE//moeA//
HipB	galK//nrfD//cysM//
HprR	ppsA//fucU//glpX//fadD//
HyfR	bioD//
HypT	hyaC//aceF//umuC//glcE//melA//recB//metB//
IclR	ppsA//hyaA//paaG//
IdnR	lhgO//grxA//torA//glxR//cynS//narH//
IlvY	napH//
IscR	tauD//galE//rtcB//fau//glgP//recB//fucK//ddlB//
KdgR	sucB//moaA//
KdpE	galK//
LacI	purL//serC//ubiX//
LeuO	rhaB//fadI//wecC//ppc//nrfA//yeaG//
LexA	ldtB//hypF//rhaB//lpxA//cysK//argH//eda//sdhD//fabZ//tyrA//hemH//icd//betB//malQ//alaA//betB//nadB//fumB//ftnA//tam//purH//wecE//ruvB//
LldR	nrdF//purC//
LrhA	
Lrp	metC//glpB//argE//hcaC//aceB//ydcS//fabI//prs//avtA//glk//malQ//glcF//ydcS//ugpQ//aroH//umuC//trpC//prs//sucD//entH//sgbE//phr//gntK//slt//gatZ//galM//sdhB//metK//mhpF//glcB//hycD//sgbU//asnA//pheS//glpQ//nagA//nadB//srkA//ubiX//ftsI//
LsrR	paaH//pyrD//phnN//atoA//thrS//
LysR	pykF//
MalI	argG//ahpC//
MalT	dadA//glyA//gor//phnI//phoA//fadB//
MarA	paaA//recF//cysN//hcaF//dkgB//patA//phnJ//purF//ydcS//prpB//ilvM//hycD//metF//ubiX//pykF//gatZ//chbG//dmsC//rimK//fadE//glyA//gutQ//gntK//gpmA//
MarR	
MatA	rbsK//
MazE	rffM//
MazE-MazF	nrdE//
McbR	
MelR	fucK//dadX//
MetJ	gnd//accC//bioF//nfsB//fabB//bioD//dhaM//trpD//hypB//nrdE//
MetR	ulaD//napH//umuD//mhpA//
MhpR	gadB//aspA//mpaA//cysM//trpD//hycD//
Mlc	uvrC//dmsB//glpQ//rhaD//
MlrA	glgC//
MngR	astC//caiD//
MntR	ccp//malY//
ModE	acnA//phoA//aceF//garL//glcF//citD//ruvB//phnG//bioC//fabD//allD//argG//nanA//mhpB//lacA//lpxD//ppsA//
MprA	dadX//xapA//murD//
MqsA	fabG//putA//
MraZ	prpE//psd//cysJ//trpC//dinB//leuB//ttdA//hyi//ilvH//rhaA//
MurR	rimK//rhaD//rimK//
Nac	wecB//avtA//gloA//leuB//ttdA//paaJ//kbl//alkA//napG//ubiX//aroL//
NadR	yqjH//leuB//glgA//metK//
NagC	ybjG//lysC//uvrA//rtcA//fucK//atoA//fumB//uidA//ldtD//sucB//nanA//cueO//garL//umuC//aceB//fumC//dhaK//phnJ//sufS//
NanR	glpD//argI//glgC//puuA//folE//ccp//
NarL	prpD//ilvA//fucA//uvrA//pgi//entD//hycE//nemA//fabB//cysN//gloA//serC//eda//iscS//napG//torA//argE//gntK//leuD//wecB//rhaA//yedX//bioF//acnB//dadA//gntK//phnO//glmS//pyrD//uxaC//lsrG//glcD//gdhA//ldtD//pagP//fruK//fucK//glcF//dgcZ//hycD//sgbU//
NarP	purN//bioA//tadA//ilvI//ogt//tdcB//rbsD//dhaL//ttdB//sdhA//purK//gabT//acnA//bglB//nfsB//
NemR	hycB//glcD//
NhaR	uidA//uxuB//malP//frc//rfe//
NikR	tauD//
NimR	mraY//
NorR	dmsA//
NrdR	citX//purL//ampC//dkgB//
NsrR	ascB//sgbE//fruK//ldtB//alaC//argA//paaA//hemL//rutE//epd//deoB//trpE//deoB//phnH//ugpQ//pgk//ndh//pgm//phnM//hcaD//arsC//entH//prs//dinB//rffH//ynfG//argC//cysI//uvrC//rimK//entF//puuD//guaB//narI//codA//ubiA//rhaB//ldtB//gnd//uxaA//
NtrC	ulaE//fucK//ung//glmU//aceF//relA//araA//ldtD//purD//gdhA//luxS//mhpB//dinB//rutD//mpaA//wecB//entA//nemA//yiaK//leuA//treC//
OmpR	ahpC//paaZ//dapB//dgkA//lpxA//icd//ddlB//aldA//
OxyR	citE//napH//gltB//idnD//lpxC//sucC//aroA//lsrG//ulaF//paaE//pyrC//puuA//dhaM//gntK//carB//paaK//garR//
PaaX	bioB//entE//glpK//bioF//waaY//lldD//nrfC//entE//fucA//
PdeL	hcaD//
PdhR	puuA//malY//ssuE//frdC//entC//eno//dadA//eda//ndh//hcaF//hmp//treC//narG//hemL//phnO//rtcA//astD//nrfC//mhpD//ppc//pgi//ppsA//dgcN//garR//rbsD//
PepA	ulaF//mhpC//
PgrR	ttdA//relA//
PhoB	puuC//paaB//pck//asnA//nrdB//hycG//wrbA//garK//gudD//argF//gapA//pgaB//rffC//entC//gltD//metL//paaK//aceF//murG//speB//
PhoP	glgC//sbcC//phr//prpE//gloA//ahpC//deoC//ubiX//garK//fdhF//torA//entA//tdh//purC//citX//argF//ugpQ//fabB//purC//mhpB//uxaA//purL//ldtD//glpQ//fadB//ilvM//paaK//tpiA//hemL//fucO//idnK//metH//
PrpR	glpK//ssuE//paaE//nanE//
PspF	mltF//
PurR	lsrK//ugpQ//gloA//glnA//polB//aspA//ldtC//glgB//katE//fadI//pck//sucD//zwf//hcaE//leuA//glpK//bioB//nirB//narH//atoB//glgB//fucO//gloA//hemL//cynS//murQ//
PutA	caiA//prpC//
PuuR	kbaY//hcp//puuB//bioB//garL//ybjG//
QseB	
RbsR	katG//ldtC//gloA//citF//aceE//udp//
RcdA	tyrB//
RclR	
RcnR	uxaA//
RcsAB	cysH//tynA//dhaL//
RcsB	mhpF//lsrF//katE//ilvE//
RcsB-BglJ	dhaL//metC//
RelB	truB//
RelB-RelE	gpmA//
RhaR	
RhaS	galT//argA//ynfE//pspE//
Rob	trpB//aroA//glgC//frdA//fabI//nagA//phnI//gutQ//cysG//xapA//ybjG//feaB//idnK//ruvB//astB//fadB//tnaA//murF//pagP//
RstA	hyi//codA//citX//
RtcR	mtlD//fucK//
RutR	fadI//metB//frdD//hcaF//astB//purE//chbG//bioB//metB//allD//bioA//
SdiA	
SgrR	aroA//pdeH//fdhF//
SlyA	nadA//narG//ahpC//hcaE//rtcB//fbaA//sdhC//treC//mtlD//
SoxR	glsA//
SoxS	ynfF//guaB//uvrA//ulaD//ubiC//yfdE//chbG//umuC//nemA//purK//purL//malP//lysC//atoD//puuA//pykF//poxB//uidA//ycjG//glmU//rsmH//cynS//ulaD//malQ//murC//pheS//
SrlR	napH//narH//murF//
StpA	fbaA//torC//paaJ//
SutR	edd//tadA//
TdcA	gpmM//trpB//lsrF//tktB//frc//
TdcR	puuB//ubiC//gcl//hemL//cysE//
TorR	ulaG//rfe//metL//fruK//metB//
TreR	sodA//metK//
TrpR	hmp//polB//metB//paaB//rsmH//garR//moaE//alsE//relA//
TtdR	gapA//eda//
TyrR	fucU//entF//phnN//lhgO//murQ//fbaA//paaB//gcl//asnA//
UhpA	purA//
UidR	cysJ//yedX//
UlaR	aceE//murQ//malZ//entF//nrfA//
UvrY	eno//sucC//
UxuR	trpC//glnA//mpl//cysC//wecB//
XapR	rhaB//paaZ//
XylR	mazG//gabT//nanK//
YdeO	citC//sucA//sufS//
YefM	glcB//
YefM-YoeB	hycC//
YeiL	
YhaJ	
YiaJ	fabA//pflB//alkA//citX//carB//feaB//
YjjQ	puuD//yqjH//
YpdB	
YqhC	tynA//fabI//
YqjI	katE//
ZntR	paaH//
ZraR	
Zur	pykF//
