# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	ilvC//malQ//
Ada	pgaB//murG//puuA//mhpF//
AdiY	alkA//dhaK//umuC//ftnA//
AgaR	serC//
AidB	glcE//
AlaS	fadA//
AllR	paaY//phnI//ruvB//alaC//pfkA//bglB//
AllS	gatZ//deoD//ahpC//
AlsR	deoC//tdcE//glsA//
AppY	ybjG//purA//
AraC	dapB//folE//pgk//aceA//dinB//gatD//fadD//ssuD//
ArgP	tktB//fau//pgpC//recF//betA//rhaB//sdhB//caiC//deoB//
ArgR	gadB//hemH//aroA//trpB//prpC//lldD//mpl//putA//rbsK//fabA//glgX//torA//dmsC//glgP//pgaC//accA//mhpF//mtlD//moaD//moaC//pgpC//cysD//ycjG//
ArsR	nrdE//gpmA//
AscG	umpH//gutQ//
AsnC	waaY//aceF//
AtoC	truB//prpD//pyrD//
BCCP	atoB//
BaeR	lsrF//ftsI//
BasR	adhE//cysK//metA//
BetI	lsrF//murI//cysJ//
BirA	ldtC//umpH//malY//cynS//ugpQ//
BluR	
BolA	gcl//mhpA//
BtsR	murD//
CadC	truB//gloA//galM//
CaiF	fumC//galE//waaZ//frc//phnJ//
Cbl	moaC//uvrC//sodA//xylA//cysN//
CdaR	entC//lsrG//guaB//ftsI//cadA//cynS//glcB//deoA//trpA//
CecR	argF//
ChbR	gatY//rtcA//gpmA//
ComR	
CpxR	metC//ilvC//glk//metA//citC//rffG//appA//gnd//ftnA//paaC//relA//paaC//nrdB//ampC//ldtC//rffG//prpD//hypF//argA//cynT//hyaC//
Cra	ttdA//moeB//glpX//idnO//umuD//glcE//fadM//aroL//hypB//metL//luxS//tauD//mhpD//add//moeA//ilvC//caiB//metC//sucA//rnpB//trpC//glgP//astD//purA//hcaD//relA//betB//glpX//dacC//glmS//argA//hcaC//fucO//sgbE//dgcZ//relA//napA//dmsC//fes//accD//gadB//nfsB//pdeL//rffM//tynA//nanA//purF//narH//paaB//caiD//tehB//codA//hycE//pepD//purA//rffG//bioD//murF//frdB//
CreB	rimK//allC//
CsgD	paaF//chbF//fadB//astA//pncB//
CsiR	waaH//pgaD//napA//uxaB//
CspA	nadA//
CueR	gltD//phr//paaI//tdcD//zwf//
CusR	recD//srlD//araB//wecE//
CynR	dapD//astB//moeA//
CysB	rnpB//argF//pspE//tam//grxA//hycC//fadE//srkA//garR//astE//glxR//alaS//zwf//ubiA//paaC//glk//tktB//
CytR	accC//argH//moeA//araB//rutB//paaI//lhgO//citC//tdcG//alkA//
DcuR	fbaA//ada//purB//phoA//
DeoR	betA//pnp//lhgO//glpA//katG//garR//
DhaR	zwf//
DicA	
DinJ-YafQ	umuC//
DnaA	gnd//pspE//allB//gloA//dgkA//glpB//
DpiA	puuD//hcaF//fabA//aceF//nagB//
DsdC	nrdD//uxuA//
EbgR	
EnvR	nfsB//mhpE//
EnvY	ubiC//pagP//
EvgA	fadD//uvrB//ilvC//guaA//glmS//lpxC//
ExuR	phnL//rffM//eno//ttdB//hcaB//uvrB//
FabR	pfkA//eno//glcB//
FadR	ilvC//nrdF//metE//yeaE//talA//glxK//fdhF//phnO//nrfA//sucD//gpmA//glcB//allB//ubiX//nagB//citE//lysC//aroF//purN//
FeaR	entA//gcvH//
FhlA	allE//citE//guaA//dgcC//nfsB//yedX//moeB//carB//
FlhDC	idnD//dadX//paaH//aldA//nemA//caiC//patD//narG//nirD//cysK//tdcG//pdeL//ilvG_1//fucI//
FliZ	prpE//appA//purN//uxuA//uxaC//
FucR	sgbE//aceE//bglB//ulaG//hyaC//aspA//
Fur	trpC//iscS//hcaB//patA//sufS//citD//entB//glmU//dapB//galT//eno//ubiA//ppiA//rsmH//hycG//tdcB//phnO//fumC//aceF//hcp//ulaE//aceA//waaH//glgC//lsrK//nrdA//purN//cysK//purN//fabI//aceF//chbF//aceA//rffT//fau//glcE//wzc//lsrG//sucA//serA//poxB//gcvP//tnaA//purH//wzc//sdaA//glpK//galM//tdcG//katE//fumB//lpd//idnD//hcaB//citE//hyaA//gatZ//pfkA//malP//sufS//rutA//acnA//
GadE	ychF//pyrC//phnL//accC//galT//gadB//garK//glxR//puuC//galT//
GadE-RcsB	purM//lacA//fucU//ldtC//dapD//
GadW	fadE//mhpA//galK//sgbU//
GadX	hcaC//eda//ygeA//pgaD//alsE//idnO//feaB//lpd//paaY//ilvI//hyaB//glpB//accD//
GalR	pdeH//accC//ogt//hcaF//atoA//hypB//
GalS	aldA//glcF//ppc//gcvH//gadA//trpD//
GatR	gatZ//epd//glgB//
GcvA	gnd//lacZ//ilvG_1//
GlcC	aceB//rtcA//leuA//
GlpR	nfsB//mdh//accC//pgk//lysC//ynfG//pgaD//
GlrR	
GntR	fucK//purF//fabI//phnH//rutB//idnD//idnD//mhpC//cynT//
GutM	avtA//moaD//mdh//
HU	nrdF//frdD//gcvT//glpX//rffM//tpiA//uxaB//
HcaR	thrS//tnaA//
HdfR	
HigA	ubiA//
HigB-HigA	hemL//
HipAB	araB//pdeH//
HipB	waaZ//paaB//gdhA//
HprR	waaH//fucI//amn//tdcD//
HyfR	hcaB//
HypT	asnB//betB//deoB//aroG//hycD//pck//ruvB//
IclR	poxB//cdd//hmp//
IdnR	sdhB//mhpB//yqhD//fau//uvrB//citG//
IlvY	uvrB//
IscR	kbl//serC//fadM//serC//mazG//ddlB//sdhC//chbF//
KdgR	cysM//ttdB//
KdpE	ilvD//
LacI	leuA//serC//cdd//
LeuO	hemL//mhpA//pheT//mhpB//ynfE//cysK//
LexA	glcD//aroH//glxK//moaC//moeA//metE//gutQ//prs//astE//nrdD//cynS//pepD//astE//fucU//trpD//folA//glnA//glgA//rutC//gabT//nrdB//mpl//idnO//
LldR	xapA//ribA//
LrhA	
Lrp	fumC//astE//ruvA//atoD//hcp//waaY//metH//epd//yeaG//mraY//kbl//asnA//gcvH//fabD//fadH//entD//paaY//glmS//sdaA//melA//nrdD//dmsC//katG//argD//fadD//cadA//deoC//argI//allA//fumC//pgpC//citF//accD//dmsC//amn//ndh//entE//aldA//feaB//paaA//
LsrR	ftsI//asnA//mpl//patA//nrfA//
LysR	lysC//
MalI	ung//ftsI//
MalT	fabB//dmsC//truB//sdhA//rnpB//ftnA//
MarA	leuC//dkgB//glgB//fabG//nadA//galT//astB//dinB//phnM//argI//narG//uxaB//rhaD//gcl//entH//bioD//ndh//phnH//paaF//kbaZ//sdhD//cysD//tam//citE//
MarR	
MatA	oxc//
MazE	amn//
MazE-MazF	lpxA//
McbR	
MelR	metF//uxuA//
MetJ	phoA//glgB//napB//mhpE//dgcZ//rhaD//alsE//accA//gatZ//gabD//
MetR	fumC//alaS//phnH//gatZ//
MhpR	purF//icd//gntK//sgbE//ydcS//sgbH//
Mlc	asnA//pspE//rhaD//metF//
MlrA	phnJ//
MngR	sufS//accC//
