# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	aroA//phoA//
Ada	argB//fbaB//alsE//polB//
AdiY	glsA//nadA//yedX//metE//
AgaR	cynS//
AidB	dkgA//
AlaS	folA//
AllR	murD//glxR//uxaA//ftsI//rtcB//sufS//
AllS	pck//dmsC//accA//
AlsR	cysI//dmsB//wecE//
AppY	fes//fadH//
AraC	murF//torA//nrfC//rfe//fumB//tdcG//rffC//glgB//
ArgP	fadH//lhgO//ilvG_1//pdeR//yeaE//tdcB//lysU//sgbU//alaC//
ArgR	umpH//ttdA//waaH//lpxD//murC//gnd//yedX//hyaB//alaA//uxaA//yedX//leuA//murE//pheS//ilvM//fadE//paaG//murG//pgaC//malZ//napG//murF//prs//
ArsR	glxR//alaS//
AscG	eno//pagP//
AsnC	uxuA//pgaB//
AtoC	bioB//accA//cysK//
BCCP	atoD//
BaeR	phnL//grxA//
BasR	glgB//purF//garD//
BetI	hemH//waaY//cyoE//
BirA	waaH//narH//gltB//tdcE//epd//
BluR	
BolA	pheS//alkB//
BtsR	argG//
CadC	galM//nirD//gabD//
CaiF	gadA//cysH//frdC//gpmA//caiD//
Cbl	pgk//rsmH//ybjG//gatY//nrdE//
CdaR	lpxC//ada//fabB//fabZ//uvrB//glcE//ydcS//araB//fadI//
CecR	argF//
ChbR	nrfD//tyrB//paaG//
ComR	
CpxR	accA//mhpE//purM//gltB//dinB//melA//fbaA//pykF//xylA//mazG//ahpF//glgA//cysG//arsC//dacC//glpC//bioA//glmU//rffH//ada//prpB//
Cra	murG//fadD//rutE//tynA//mpaA//fabI//hycE//pagP//nrdF//phnI//moaC//carA//tdh//fes//ynfF//murI//fadM//fucI//dmsC//pheT//hcp//mhpA//aspC//cysD//nrdE//guaB//citG//rpiB//uxaC//folE//rtcA//uvrB//lsrF//malZ//glpD//moeA//glgC//nagB//entC//pagP//ynfG//dadA//metL//frdB//purC//wrbA//malP//glpQ//gcvP//malS//katE//atoD//ynfE//umuC//glpC//glgX//moaD//gabT//rnpB//
CreB	gltD//purK//
CsgD	nrdB//folE//ruvA//yqjH//argI//
CsiR	talA//hyaA//cyoE//purD//
CspA	citF//
CueR	ribA//fucI//idnD//pagP//glgX//
CusR	astE//nrfA//fumC//glgA//
CynR	zwf//dmsC//icd//
CysB	deoA//fabA//mdh//garK//prpD//gpmM//carA//phnG//alsE//fabD//narI//purE//ldtB//idnD//glgX//hcaC//purA//
CytR	sdhC//hcaD//zwf//ruvA//allB//atoA//bacA//purK//sbcC//thrS//
DcuR	yfdE//entF//gcvP//mngB//
DeoR	phoA//lyxK//araD//mraY//phnL//ppc//
DhaR	ynfH//
DicA	
DinJ-YafQ	aroG//
DnaA	fadB//uvrA//paaG//ldtC//dhaK//gcl//
DpiA	rbsK//lpd//nanE//paaY//atoB//
DsdC	hyi//hycC//
EbgR	
EnvR	ilvM//atoB//
EnvY	lsrF//fbaB//
EvgA	citC//fabI//fucU//codA//mpl//glk//
ExuR	sucD//purD//citG//gatD//poxB//phnN//
FabR	glcE//galT//bioA//
FadR	pncB//paaC//pgk//mtlD//malQ//pdeH//pgaD//sdaA//lysU//dkgA//ldtC//citF//nfsA//ascB//ahpC//truB//paaI//yqhD//ilvI//
FeaR	psd//purC//
FhlA	lsrF//ubiA//allC//mraY//uxaA//nrdF//sbcC//alkA//
FlhDC	ppiA//rutD//carA//glgC//fucI//nanM//acnB//paaE//citE//aroA//dgcN//torC//trpC//dhaL//
FliZ	paaK//cysC//glpQ//ahpF//ung//
FucR	mdh//citG//ulaF//aceB//gatY//alaS//
