# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	cysG//gloA//
Ada	fabZ//folE//sdhD//paaB//
AdiY	talA//dapB//murD//nrfC//
AgaR	trpE//
AidB	kbaY//
AlaS	sdhC//
AllR	astC//mngB//wzb//citF//leuA//nrfD//
AllS	yiaK//amn//ynfF//
AlsR	ychF//cynT//adiA//
AppY	bioC//xapA//
AraC	ychF//rhaB//nanE//cynT//gnd//pgaB//glpX//trpC//
ArgP	metF//pgi//mdh//aroA//cadA//moeA//pdeH//ychF//gltB//
ArgR	uidA//waaH//deoC//tadA//entA//nanM//nanK//speA//oxc//relA//cynS//yfdE//galK//lacZ//purF//srkA//ynfH//ubiX//citX//phoA//kbaY//entF//udp//
ArsR	fabD//nirB//
AscG	recD//uxuA//
AsnC	rffC//fucK//
AtoC	phnG//nirD//glpQ//
BCCP	dmsA//
BaeR	nrfA//glgB//
BasR	fabI//fabB//hycD//
BetI	uidA//pyrC//poxB//
BirA	slt//glgC//ftsI//ttdA//nemA//
BluR	
BolA	glpD//ttdB//
BtsR	dkgA//
CadC	pfkA//ddlB//nadA//
CaiF	entH//alsE//aceB//rffT//metL//
Cbl	ubiA//nrdF//add//nanA//narG//
CdaR	trpC//tauD//nrfD//puuA//aceB//glmS//ssuD//ynfH//rutE//
CecR	icd//
ChbR	hycE//ogt//ftsI//
ComR	
CpxR	uxuB//acnB//thrS//hycE//fadM//aroH//wzc//allC//astB//purF//fbaA//pgm//aceF//astD//gadA//cysJ//tauD//dgcZ//tauD//moeA//tdh//
Cra	metK//truB//sucD//ndh//tehB//murI//xylB//fabB//uxaA//dmsB//treC//fes//gdhA//pnp//hemH//uxuB//acnB//kbaY//murD//leuC//deoD//eno//garK//sdhC//prpB//ilvC//poxB//mdh//astC//rnpB//pncB//argG//edd//trpC//bioA//acnB//ilvE//fumB//mhpD//glgA//ndh//hyaC//idnK//leuB//glgC//murD//recF//ulaD//adiA//citD//puuB//entE//gltB//trpD//talA//citC//cadA//bioC//rnpB//
CreB	entF//araD//
CsgD	pagP//pgaD//sgbE//lpxD//hmp//
CsiR	tpiA//hyaB//lsrG//fabD//
CspA	glpA//
CueR	hycC//ndh//pepD//rutC//pyrD//
CusR	gloA//recB//hycB//hycE//
CynR	grxA//rimK//pykF//
CysB	pyrD//rfe//folA//citE//mraY//polA//argF//ynfF//nrfA//murC//moeA//caiD//gabD//dgkA//cysC//acnB//hemL//
CytR	gntK//sbcC//cdd//gpmM//allE//gltD//pdeL//fabI//mngB//cysI//
DcuR	deoD//glpD//ynfF//add//
DeoR	fadB//hypF//uvrA//yedX//ulaD//araA//
DhaR	purL//
DicA	
DinJ-YafQ	slt//
DnaA	dgcZ//glpX//metE//cysN//glmU//gabD//
DpiA	argD//narH//recF//recD//trpA//
DsdC	putA//ccp//
EbgR	
EnvR	lldD//gltB//
EnvY	ascB//trpE//
EvgA	sucC//cysI//frdD//hcaD//ahpC//paaG//
ExuR	allD//phnO//gatY//paaF//rnpB//betB//
FabR	araA//sodA//bacA//
FadR	mraY//ruvA//glgB//ampC//serC//asnA//folE//hcp//glpB//pykF//pyrC//rutB//glmS//luxS//ribA//ynfF//pflB//malZ//metB//
FeaR	argC//patD//
FhlA	lldD//purH//katE//araA//ruvB//purN//argE//cysI//
FlhDC	kbaY//phnJ//rbsD//leuA//chbG//prpD//metF//nrdE//hyaA//rbsK//ugpQ//mtlD//rfe//deoD//
FliZ	melA//xylB//narI//uidA//citF//
FucR	phnM//nfsB//ldtB//aceE//zwf//tynA//
Fur	napB//bioF//nirB//napH//rutD//pnp//sgbH//mnmG//fruK//moaA//glpB//bioF//mhpB//nanA//cynS//caiC//allC//sucA//add//pdeR//tdcE//murD//talA//katE//hypF//cysH//garD//accC//glgB//fdhF//grxA//ahpF//cynT//glk//adiA//slt//hyaC//ubiC//glgC//napB//deoA//ilvM//hycC//chbG//nrfC//hycG//glcB//gatZ//pdeH//citX//glpC//betB//rnpB//lpxC//carB//srkA//mhpA//tktB//katE//rtcA//paaG//trpA//
GadE	pgm//icd//entF//tyrA//aspC//moaE//rhaD//alaS//hcaC//fadB//
GadE-RcsB	pck//dinB//ilvM//dacC//dgkA//
GadW	melA//entC//hyi//eda//
GadX	hcp//tdcB//pgi//atoD//murE//cysD//ssuE//glgA//sucB//araB//cysE//garD//serA//
GalR	hypB//ldtC//cueO//uidA//trpE//citE//
GalS	pgk//alsE//cysM//lysC//ulaF//hycC//
GatR	ycjG//narI//avtA//
GcvA	appA//nrdA//malY//
GlcC	cadA//pdeH//hycG//
GlpR	tyrB//nanK//grxA//gloA//fadI//ulaG//sucB//
GlrR	
GntR	phnL//rsmH//fucU//pgk//ulaD//gapA//dapB//nagA//ilvC//
GutM	argD//pagP//glcD//
HU	moaA//rutE//allA//mhpF//edd//fes//astD//
HcaR	pspE//pgaD//
HdfR	
HigA	alkB//
HigB-HigA	hycG//
HipAB	prpE//phoA//
HipB	dadA//fabD//yedX//
HprR	napH//guaA//pagP//fabB//
HyfR	appA//
HypT	cysH//argB//garL//fucO//phnP//recB//ndh//
IclR	allD//tpiA//phnM//
IdnR	hycE//cyoE//dmsA//gntK//pgaB//gcvP//
IlvY	dmsA//
IscR	pspE//katE//paaH//tktB//accC//dsdA//hycD//mpaA//
KdgR	hcaD//gadA//
KdpE	metE//
LacI	rutE//xylA//lsrG//
LeuO	yeaE//dmsA//hycG//nrdF//mtlD//metK//
LexA	nanM//carB//nagA//malP//cynS//glxK//glyA//purE//gatD//glxK//lysU//tynA//sdhA//gor//astC//mhpE//pheT//fabG//fbaA//purN//bglB//udp//pgi//
LldR	yqhD//ulaD//
LrhA	
Lrp	phr//glmU//uxuB//paaK//eno//ssuD//atoB//frc//nadB//melA//aroA//kbaY//caiB//serC//paaH//glgX//pepD//fabA//gdhA//cysG//malP//mhpB//recF//trpB//citD//fbaB//betA//trpC//lacZ//ynfG//yiaK//speB//malS//phnJ//dgcZ//asnA//gcl//carB//fabG//gatY//
LsrR	amn//purM//yqjH//lpxC//speB//
LysR	fadA//
MalI	gntK//sucB//
MalT	ynfG//garR//sucC//pgaB//paaY//dacC//
MarA	paaB//wzb//lpxD//adiA//fadB//pyrD//sgbE//truB//ttdA//gnd//nrdF//bioC//uvrC//ilvI//pgm//trpE//malP//paaB//ppsA//umuD//lhgO//ynfH//alkB//asnA//
MarR	
MatA	truB//
MazE	cysK//
MazE-MazF	glpQ//
McbR	
MelR	caiB//pgaB//
MetJ	hcp//umpH//rffT//prpE//ppiA//katG//gltD//moaA//metE//udp//
MetR	malS//fabH//napA//dgcN//
MhpR	nanM//xapA//glmU//dhaL//prpB//tehB//
Mlc	gcvT//fadM//ybjG//pepD//
MlrA	fucK//
MngR	moeA//iscS//
MntR	sgbH//xylA//
ModE	guaA//ubiA//acnB//glgB//puuB//cysG//garK//sodB//citC//prpE//argB//prs//slt//caiB//puuC//gcvP//mhpC//
MprA	glcB//ulaF//astC//
MqsA	caiA//fabA//
MraZ	glpD//purM//fes//ilvD//wzb//phnH//murE//gpmM//tdcE//sufS//
MurR	serA//leuD//uxuB//
Nac	argC//putA//frdC//gpmA//pncB//nagA//metK//katG//araB//purM//lpxC//
NadR	glgB//dmsC//araA//napH//
NagC	galM//gcvH//accC//mtlD//hemH//luxS//luxS//rffT//argG//paaC//rffT//gnd//gapA//adiA//pagP//fadM//gltB//fabG//puuE//
NanR	purN//rfe//hcaE//fabH//ynfG//adiA//
NarL	eno//asnB//entB//pck//eda//glgP//folA//puuB//ynfE//ppc//phnN//fadE//fadA//fadD//tdh//gnd//cysG//fadE//hcaC//fucU//gloA//tdcE//glpD//glpD//aspC//arsC//edd//bglB//entD//glgP//argF//dapB//ilvD//fucA//talA//ilvA//glpB//betB//gcvH//xapA//sucB//
NarP	citD//puuB//hcaE//uxaB//aceF//fadI//gloA//sucB//gcvH//metH//speA//glcD//accC//leuA//entD//
NemR	hcaF//nadA//
NhaR	srkA//glcF//entB//gatY//napA//
NikR	glpA//
NimR	aceB//
NorR	phr//
NrdR	astC//luxS//ssuD//mngB//
NsrR	rhaD//glgA//araB//nagA//cdd//betB//nrfA//ilvG_1//rffC//hyaA//rbsK//trpA//tdcD//uvrC//glpQ//udp//sodB//fbaB//paaZ//paaA//nadA//paaY//poxB//glpQ//nfsA//melA//purD//pgm//eda//wrbA//dhaK//kbaY//phnL//purK//puuD//purN//icd//prs//malY//paaY//
NtrC	pspE//dhaL//ruvA//ulaF//prpB//ycjG//ccp//araD//fumB//citG//rhaA//aroL//caiB//hmp//entF//glpA//garL//nirB//metA//nrdF//lacA//
OmpR	alkA//alkB//yqhD//umuD//alkB//entC//phoA//rtcA//
OxyR	mltF//puuA//mpaA//wzc//waaZ//lyxK//lpxA//gabD//bioB//ilvH//tktB//citD//sucA//tktB//lysC//glpC//paaB//
PaaX	bioC//metK//puuE//hcaE//frdD//ynfH//entA//cysJ//mhpD//
PdeL	sucA//
PdhR	dadA//dinB//fabB//citD//argC//epd//murF//prpD//cynT//idnK//fbaB//accD//murG//argA//paaI//chbF//mhpB//tynA//deoB//mltF//nagA//pykF//yeaG//tynA//asnA//
PepA	argF//codA//
PgrR	pgaB//tyrA//
PhoB	purC//adhE//lpxA//aroF//murQ//glgC//mnmG//idnD//yiaK//mraY//puuC//narI//fes//ribA//ampC//betB//uxuA//dhaM//citX//rfe//
PhoP	ilvA//malQ//pncB//entF//glxK//gapA//glnA//narH//tpiA//fadB//metE//aceF//uvrC//idnK//entC//glgA//ubiA//patD//acnA//atoA//pgaB//glpQ//hycE//rffM//udp//moeA//metB//hypF//fumC//mltF//deoC//sgbH//
PrpR	paaK//fadE//phr//ilvH//
PspF	sucC//
PurR	ilvG_1//lpxD//purM//fdhF//glgB//cysH//xylA//leuD//sucD//tadA//pheS//cysM//puuB//sucD//garK//gcvT//prs//mhpC//folE//dgcC//entA//purN//paaJ//ydcS//entB//moaE//
PutA	cysG//folE//
PuuR	glgX//uxuA//dgcN//frdD//glpQ//asnA//
QseB	
RbsR	sucA//lsrK//nrdF//moaE//allB//tyrB//
RcdA	umuD//
RclR	
RcnR	lhgO//
RcsAB	bioA//gor//mnmG//
RcsB	prpB//garD//ilvH//glpA//
RcsB-BglJ	thrS//cysH//
RelB	rhaD//
RelB-RelE	ada//
RhaR	
RhaS	fucU//nrfA//ulaD//glk//
Rob	gltD//ruvB//uvrA//yeaE//lsrF//deoB//prpB//fbaA//araA//ruvA//tktB//rtcB//lacA//puuD//acnA//phnM//nirD//phnO//murE//
