# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Nov 23 00:39:20 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/v22/connectivity/general_regulons//analysis/all_enzymes_in_set.txt
AcrR	tauD//cdd//
Ada	relA//rffG//bioB//waaZ//
AdiY	argC//hcp//gcvH//rimK//
AgaR	avtA//
AidB	codA//
AlaS	tdcB//
AllR	eno//lpxC//icd//poxB//ilvD//trpE//
AllS	fumB//dadX//metF//
AlsR	chbF//lysC//nrfA//
AppY	lysC//epd//
AraC	fumC//puuE//lpxA//cadA//glxR//cysN//guaA//deoC//
ArgP	rffH//nadB//codA//fucU//eno//yeaE//nrdF//frdD//araB//
ArgR	malZ//garK//frdD//pgi//lsrF//sdhD//mltF//gatZ//gcvT//betA//fabG//lhgO//ung//prpB//nrdA//caiA//caiC//chbF//hyaA//bioD//astA//paaY//fdhF//
ArsR	metA//ampC//
AscG	mhpB//aroL//
AsnC	rutC//yedX//
AtoC	rtcA//ulaD//putA//
BCCP	nrfA//
BaeR	asnA//fumC//
BasR	glgC//pfkA//amn//
BetI	gdhA//lsrG//napB//
BirA	aroH//nirD//fdhF//pyrC//truB//
BluR	
BolA	purM//eda//
BtsR	rhaA//
CadC	caiA//pheS//tehB//
CaiF	dgcZ//rffC//glcF//fadE//glxR//
Cbl	udp//gpmA//rhaD//ppiA//recD//
CdaR	torC//relA//glpD//tdcE//dgcC//gudD//gadB//phnN//astB//
CecR	aspA//
ChbR	pyrD//tdcD//prpD//
ComR	
CpxR	rnpB//araB//rtcA//acnA//araD//alaC//rutB//fdhF//bacA//prs//glnA//alkA//wrbA//bioF//pyrD//tauD//phnN//purE//paaB//wzb//metB//
Cra	araD//citX//glcD//tehB//fabG//glpA//cdd//tauD//fabH//pagP//garR//ilvI//add//dgkA//gltB//fabI//mtlD//paaF//lyxK//gloA//bacA//pagP//atoB//nagB//rffG//ahpC//mhpF//paaF//pspE//frdB//dacC//ung//caiC//lsrG//pck//guaA//nrdD//pyrC//araD//fucI//ychF//metB//mhpF//sucD//entC//purM//mdh//citF//aroL//malQ//glmU//feaB//rutA//purL//ydcS//rhaB//citE//glcF//eda//
CreB	glnA//glyA//
CsgD	aceF//purK//narG//cysG//glpD//
CsiR	poxB//fabG//glxR//trpD//
CspA	yeaG//
CueR	fucI//caiB//fucU//metL//truB//
CusR	glgX//nirB//metC//hycB//
CynR	sucA//uxuB//gpmM//
CysB	melA//poxB//serC//nrfD//hyaB//sucC//cysN//argI//aspC//dgcZ//tam//ulaD//ilvA//thrS//gabD//lyxK//uxaA//
CytR	pyrD//ulaE//purL//trpC//nagA//glsA//cysD//pgpC//dgcZ//rbsK//
DcuR	putA//tdcE//allD//ppsA//
DeoR	murF//rffH//atoB//lysC//lysA//cysG//
DhaR	avtA//
DicA	
DinJ-YafQ	murC//
DnaA	allA//ubiC//rhaA//ribA//aceF//ycjG//
DpiA	rnpB//pdeR//gutQ//kbaZ//tadA//
DsdC	nagB//purC//
EbgR	
EnvR	citE//ssuD//
EnvY	cysM//trpB//
EvgA	mraY//nagB//gatZ//xylA//bacA//moaC//
ExuR	leuB//add//udp//pspE//slt//deoA//
FabR	talA//tdcE//yqjH//
FadR	rnpB//allA//hemL//ycjG//garR//katG//mdh//katE//entH//glyA//galE//puuD//gadB//citC//nirD//polB//citG//dapD//hycD//
FeaR	trpA//entH//
FhlA	ruvA//deoD//tpiA//phnP//galT//slt//acnB//guaB//
FlhDC	puuB//glcE//fucU//ychF//trpB//allB//caiC//phnG//rffH//katG//iscS//murQ//ulaF//dgcN//
FliZ	cysH//phnN//gadA//frdB//accC//
FucR	ydcS//alkB//narG//polA//appA//fabA//
Fur	pdeH//tyrA//ynfG//nfsA//ada//hypF//sgbE//moeB//deoC//mnmG//trpD//entC//sbcD//argC//ilvC//purL//puuE//napH//nrdB//hyaB//fabI//ycjG//hyi//alaC//mdh//ftsI//phr//nagA//napB//pagP//entF//bioA//purN//rtcB//dhaM//garK//paaB//ulaF//cadA//uvrA//hmp//idnK//fbaA//uxaB//galK//lpd//paaE//lldD//deoD//tdcG//phnM//ahpF//glk//uvrA//sdhD//xylB//glk//katG//pagP//uvrB//sgbE//avtA//
GadE	fadE//cysN//malY//glgB//alkB//paaH//glgX//trpD//wecE//polB//
GadE-RcsB	entE//pncB//glgP//phr//rfe//
GadW	entE//tdcG//allD//ccp//
GadX	dhaM//metK//argF//lldD//fabA//fadE//moeA//serA//hypB//mhpD//uvrA//gadB//wzb//
GalR	uxaB//mltF//nadB//napA//carA//fabZ//
GalS	galK//mltF//glpB//cysM//glpD//aldA//
GatR	prs//gpmA//ogt//
GcvA	sdhA//mhpE//zwf//
GlcC	aceB//recB//hcp//
GlpR	hcaC//fabB//metH//fabD//fdhF//ada//moaD//
GlrR	
GntR	ynfF//dkgA//psd//mngB//ygeA//fabA//ldtC//ppsA//pyrD//
GutM	cysI//nirD//ftnA//
HU	frc//paaB//ruvB//purF//umuD//pgk//nrfA//
HcaR	gloA//ada//
HdfR	
HigA	metC//
HigB-HigA	gcvT//
HipAB	trpC//garL//
HipB	ruvA//phnM//cysH//
HprR	rimK//epd//mazG//uxaC//
HyfR	pgk//
HypT	fucA//lsrG//guaB//phnN//pspE//tktB//gatY//
IclR	waaZ//oxc//metE//
IdnR	wrbA//cysH//rtcB//lysA//sufS//lysA//
IlvY	dgcC//
IscR	sgbU//citG//chbG//lhgO//eda//bacA//phnM//glcE//
KdgR	ldtC//melA//
KdpE	argH//
LacI	tnaA//speA//gabT//
LeuO	ascB//nirB//fabD//phnM//aroA//murE//
LexA	accA//waaH//argA//mnmG//xapA//cysH//serC//relA//rutD//gcvT//dapB//betA//narG//hemH//argC//ydcS//ttdA//mnmG//pncB//mhpD//hcaF//sbcC//tynA//
LldR	ndh//prs//
LrhA	
Lrp	dgcN//caiC//rtcA//epd//ynfE//fbaB//ldtB//nrdA//alaS//bioA//torC//glgB//ilvH//astC//metK//ydcS//dgkA//aroG//nrfD//polB//ssuD//grxA//nanK//gnd//ynfH//hmp//cdd//aroF//dmsB//mngB//acnA//allE//nrfA//astA//mhpA//uxaB//nirD//purD//hycC//ogt//
LsrR	hypF//gdhA//phnG//hcaF//entB//
LysR	phnG//
MalI	wecE//dhaL//
MalT	entC//yqjH//purK//lsrG//dgcC//cynS//
MarA	astA//mnmG//atoB//rhaB//nrfC//nrdD//purB//mngB//aceA//puuC//cysI//tdcG//gpmM//pncB//polB//hyaB//astD//citD//purH//katE//rpiB//hypB//katG//deoB//
MarR	
MatA	fadB//
MazE	dmsA//
MazE-MazF	umuD//
McbR	
MelR	sucB//ynfH//
MetJ	hycE//torC//murF//citD//paaA//yiaK//gloA//fadE//ftsI//araA//
MetR	phnP//ogt//rbsK//frdB//
MhpR	sufS//cysE//nrdA//uvrC//chbG//phoA//
Mlc	hycE//betB//cysH//gcvT//
MlrA	gapA//
MngR	wrbA//ampC//
MntR	pnp//argH//
ModE	rutA//uxuA//hyaC//glgC//rbsK//mltF//cysM//melA//dadX//fadH//rffT//aroH//ribA//cueO//uidA//ahpF//dapB//
MprA	rffC//nadA//glgC//
MqsA	trpB//metB//
MraZ	cysH//asnB//rutB//hycD//moeA//slt//tdcG//sucA//purA//puuD//
MurR	pyrC//glpK//fabG//
Nac	grxA//sucB//pncB//sodA//glmU//rutB//rutD//tpiA//paaH//hypB//serC//
NadR	malQ//fdhF//folA//bioF//
NagC	kbaZ//waaY//nirB//rhaA//bioF//ppc//rbsD//deoC//yfdE//narH//alaC//galT//ynfG//murD//cadA//puuC//fabD//bglB//fucI//
NanR	ldtC//glyA//napH//entA//purE//hycB//
NarL	paaA//caiA//citG//argG//puuC//nrdA//mdh//gdhA//bacA//aroH//ruvA//allC//gor//mhpB//rutB//gabD//aldA//aspA//waaZ//eda//yedX//pck//paaA//nrdF//glcB//citC//dkgA//ppiA//glxR//waaZ//ynfE//garR//speB//nadB//aroA//ubiC//nrfD//epd//hcp//nanA//prpE//
NarP	glgX//ftnA//alsE//puuD//ubiA//allC//sdhB//citG//glcD//nemA//uxuA//moaA//glgB//napA//glpK//
NemR	ulaF//sdhC//
NhaR	wzc//rutA//pepD//folA//appA//
NikR	glk//
NimR	aspA//
NorR	moeA//
NrdR	paaK//deoD//xylB//ubiA//
NsrR	speA//hycD//aceF//ulaF//puuE//pgpC//tauD//mhpA//ychF//talA//alkB//dacC//phnO//ynfE//deoC//glpA//hcp//ynfE//tdcB//eno//rtcB//murG//fabG//lysU//gabD//rbsK//dadX//hcaD//ulaF//ftsI//astE//ulaG//entE//entA//lacA//glgP//cysI//hycE//puuA//araA//
NtrC	nfsB//ilvH//bioD//rbsD//narI//garR//lysU//adhE//tyrA//aspC//argF//gcvH//mnmG//uidA//garD//pgaC//ynfF//uvrA//araA//hemL//galK//
OmpR	sdhC//ychF//pck//rhaB//hcaB//rffM//pck//nanE//
OxyR	hypF//acnA//carB//pck//phnO//malZ//ldtC//fbaA//fucO//aceB//hcaC//ada//sodA//cysH//hcaF//lldD//moaE//
PaaX	leuB//accC//speA//nagA//xapA//bioF//aroL//pfkA//phnH//
PdeL	gcl//
PdhR	hcaC//hcaC//trpA//mtlD//nrfC//recF//alaA//rutB//ppiA//gnd//ppsA//recB//nagA//dinB//allC//sdhA//hypB//purH//purN//tdcD//nfsA//fabH//nrdD//rutD//trpB//
PepA	chbG//phnG//
PgrR	ddlB//umuD//
PhoB	wecC//glk//gcvP//dkgA//aldA//paaG//puuA//entD//sdhD//tadA//pgpC//wecE//mraY//prpE//dapB//ynfE//lsrG//dgkA//kbl//glpK//
PhoP	ruvB//murE//gdhA//ygeA//nrdE//polB//hypF//katE//murQ//hypF//galM//lysA//ynfH//ruvB//accC//mdh//psd//alsE//frdB//caiD//udp//codA//uidA//ilvM//murE//tdh//allE//ynfG//nirB//metH//appA//paaH//
PrpR	gltB//fucA//purH//metK//
PspF	mngB//
PurR	purB//glpA//hycF//sucC//nagA//fumB//murE//paaC//xylA//hmp//paaZ//moaA//eda//entH//pyrD//mraY//pgpC//citD//mhpF//pheT//pheT//murC//hycE//rhaD//metL//phnP//
PutA	lpd//rpiB//
PuuR	hycC//bioA//glk//argA//yiaK//bioF//
QseB	
RbsR	tehB//lsrK//trpE//fadA//ychF//deoA//
RcdA	fabB//
RclR	
RcnR	xapA//
RcsAB	eda//fadB//rbsK//
RcsB	malQ//fadH//murF//sucD//
RcsB-BglJ	galK//nrfC//
RelB	trpD//
RelB-RelE	argB//
RhaR	
RhaS	adiA//mhpE//murI//cysD//
Rob	ubiA//garD//alaA//uxaC//murI//rutE//edd//purD//adiA//entF//tam//wecC//fabH//astC//mltF//hypB//tpiA//dhaK//aceB//
RstA	cadA//paaC//glxK//
RtcR	alsE//argH//
RutR	metK//trpC//chbF//nanK//puuC//sucB//cysD//purE//hcaE//treC//entH//
SdiA	
SgrR	gntK//rffM//uxuA//
SlyA	paaJ//polA//sgbE//guaB//glsA//puuC//ilvH//fabH//phr//
SoxR	hycB//
SoxS	metE//entB//ung//uxaA//umuD//uxaA//metC//gatY//idnO//iscS//tpiA//poxB//sgbE//ilvE//nanM//entA//purF//umuD//gdhA//kbaY//trpC//napH//lyxK//speB//garK//citC//
SrlR	malY//metH//galT//
StpA	hyi//gatD//ogt//
SutR	betB//treC//
TdcA	eda//lysU//relA//hemH//allD//
TdcR	dmsB//galK//frdB//nrfD//prs//
TorR	gadA//pgm//cdd//rbsD//umuC//
TreR	uvrA//truB//
TrpR	gudD//narG//sucC//lpd//metK//lpxA//napB//polB//tdcE//
TtdR	mhpC//fruK//
TyrR	acnB//allD//garL//prs//fadH//murF//chbG//hycG//ada//
UhpA	glsA//
UidR	trpA//galM//
UlaR	rffG//gabT//atoD//mhpF//glmS//
UvrY	phnL//hyaC//
UxuR	pyrC//galM//paaY//ydcS//chbF//
XapR	cysH//ynfH//
XylR	gatD//accC//gatD//
YdeO	entD//deoB//lacA//
YefM	mpaA//
YefM-YoeB	sdhC//
YeiL	
YhaJ	
YiaJ	dhaM//tam//purM//deoC//tdcE//rtcA//
YjjQ	cyoE//kbaY//
YpdB	
YqhC	rimK//citD//
YqjI	tdh//
ZntR	paaI//
ZraR	
Zur	epd//
