#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b3405//b4406//
Ada-Methylated_pos	b4314//b1500//b3212//b2312//
AlaS-L-alanine_neg	b1043//
AllS-allantoin_pos	b1322//b0975//b0998//
AraC-L-arabinose_neg	b0970//b2764//b1591//b4059//b4323//b2721//b1889//b3728//
AraC-L-arabinose_pos	b0460//b4398//b3404//b4289//b4099//b0587//b3509//b0440//b2370//b3532//
ArcA-Phosphorylated_neg	b3240//b3567//b3118//b2923//b1022//b1393//b1430//b2866//b0048//b3363//b3417//b0343//b4321//b4072//b0460//b4471//b3437//b4194//b4249//b4471//b2961//b0721//b3230//b3860//b3600//b1136//b3934//b1714//b0241//b3478//b3829//b1620//b4153//b4032//b1207//b3460//b1337//b0154//b3453//b3332//b3588//b3414//b2486//b1621//b3327//b3599//b0039//b3368//b0038//b4321//b0349//b3266//b2991//b3940//b3600//b1323//b4398//b3672//b2674//b0874//b4383//b0995//b0606//b2554//b1851//b1594//b3356//b2143//b1672//b3428//b2241//b2029//b0553//b0724//b0895//b3781//b1590//b2961//b0596//b3458//b2307//b2156//b2205//b3853//b2663//b2485//b0431//b2597//b4399//b3771//b0936//b0605//b2424//b2206//b4124//b0585//b0429//b0937//b2488//b4019//b3863//b4354//b3317//b1680//b0972//b1706//b1037//b0125//b2980//b2912//b2286//b1272//b2373//b0894//b0347//b0681//b1826//b3912//b3072//b2572//b1713//b2937//b2528//b3868//b1852//b2276//b0341//
ArcA-Phosphorylated_pos	b2942//b0936//b0596//b3404//b1540//b4160//b2631//b0429//b3423//b1612//b3771//b4460//b3521//b0383//b4132//b1042//b0312//b0384//sroD//b1516//b0781//b1322//b0721//b2213//b3478//b0586//b3543//b4240//b2751//b0592//b1321//b1736//b0933//b2726//b1656//b3781//b4663//b4637//b2287//b2570//b4071//b3510//b2912//b4401//b3035//b3518//b2415//b3127//b4104//b2669//b4111//b0125//b1243//b3942//b4039//b3476//b3368//b2429//
ArgP-L-arginine_neg	b0398//
ArgP-L-arginine_pos	b0980//b3752//b4309//b3123//b2742//b3036//b2151//b0041//b1890//b0681//b2674//b2464//b0353//b1982//b1922//
ArgR-L-arginine_neg	b2236//b3970//b0116//b3325//b0107//b0619//b3722//b4003//b2486//b3851//b3212//b3335//b4400//b1336//b1421//b4315//b3540//b2975//b4010//b2702//b0583//b0044//b0345//b1532//b2499//b3829//b4171//b3005//b2750//b2852//b3853//b3959//b0154//b2758//
ArgR-L-arginine_pos	b3115//b3568//b0977//b2926//b3320//
AtoC-phosphorylated_pos	b3212//b3037//b4671//b0064//
BaeR-Phosphorylated_pos	b2943//b0040//b3533//b3521//b2490//b3458//b3035//b2277//
BirA-bio-5-AMP_neg	b0758//b1393//b2729//b1482//b2077//
CRP-cAMP_neg	b4310//b1987//b1732//b1588//b0451//b1609//b4441//b1781//b4014//b3169//b2926//b3604//b0623//b3721//b2801//b3326//b2721//b4567//b1736//b0970//b2421//b1719//b3328//b2590//b2476//b0933//b2926//b0344//b3859//b4326//b4241//b1336//b2675//b2282//b4039//b1160//b4058//b3335//b1987//b1616//b2147//b2926//b1211//b3608//b2484//b3852//b1674//b2912//b1499//b1516//b2752//b3165//b3666//b3037//b1817//b3231//b0678//b4268//b1970//b4168//b4003//b2754//b3438//b2606//b3332//b2669//b0347//b3853//b0333//b0181//b2151//b2221//b2975//b4059//b3934//b4154//b4316//b0032//b3753//b1492//b3968//b2422//b1243//b0114//b0400//b2508//b2075//b3393//b3532//b1743//b4322//b0312//b4072//b2243//b1609//b2553//b3124//b2428//b3959//b0337//b2675//b1900//b3574//b2588//b0819//b3829//b2243//b1260//b3165//b4318//b2554//b2310//b2572//b1190//b0197//b2222//b2720//b1781//b2979//b3273//b1733//b4096//b1389//b4106//b3605//b2499//b1540//b0763//b1704//b3569//b4468//b3321//b2482//
CRP-cAMP_pos	b3231//b0313//b0684//b0622//b4105//b1387//b0440//b4105//b0620//b4037//b1970//b3961//b0724//b2925//b2584//b0460//b4324//b2551//b2469//b4093//b2903//b3533//b3599//b2194//b1389//b0403//b4034//b2759//b0959//b1530//b1513//b0178//b3668//b1713//b3437//b3425//b3508//b4202//b4062//b3133//b0727//b1738//b4035//b4138//b4016//b1881//b0063//b3926//b1673//b0335//b3363//b1718//b0432//b4400//b1852//b3709//b3242//b3608//b3939//b2239//b4237//b2341//b2607//b3667//b4202//b3851//b2198//b0976//b4376//b3231//b3511//b2206//b0775//b3476//b2962//b4187//b3426//b0400//b4233//b2204//b1858//b1671//b0907//b3727//b4129//b0613//b2284//b3008//b4311//b0998//b2276//b3666//b2994//b0765//b3615//b1182//b0755//b3845//b1546//b2712//b4009//b2416//b2212//b2487//b3166//b2752//b2725//b3072//b2313//b4036//b4095//b3766//b0570//b0775//b4393//b4169//b1335//b2234//b0827//b2149//b1594//b1973//b1246//b3316//b4120//b1612//b0411//b2239//b0042//b2091//b4159//b2721//b3414//b2311//b0880//b1008//b2589//b2196//b2662//b1518//b0678//b3906//b3368//b4324//b3531//b0933//b3769//b2614//b1782//b4249//b2288//b0347//b4197//b1407//b0432//b1189//b2756//b0333//b0759//b0462//b4392//b4194//b4095//b0996//b1264//b4398//b2369//b3334//b0116//b3567//b1748//b0860//b4040//b2708//b0296//b1335//b2151//b2232//b2997//b2171//b1796//b1223//b0345//b2277//b0044//b1857//b0273//b3441//b4171//b4289//b2802//b3455//b0366//b3605//b0778//b0031//b4019//b1858//b3688//b1009//b0450//b4241//b1852//b3418//b1010//b0995//b3603//b4291//b0754//b3855//b3600//b4249//b4198//b3509//b1884//b3588//b0116//b1384//b0592//b2661//b0596//b2465//b1247//b3758//b2416//b2224//b0588//b1797//b0566//b0116//b1613//b4132//b3970//b0384//b3430//b0977//ilvG_2//b1516//b3451//b4451//b2584//b2943//b1016//b1532//b4170//b4292//b3708//b2200//b2762//b3908//b4076//b3403//b0826//b4637//b3125//b1714//b2163//b0977//b2470//b2720//b3426//b1493//b2204//b4151//b2149//b4036//b2286//b2415//b0383//b2716//b0114//b1042//b2597//b2284//b0997//b4153//b0431//b4502//b2923//b1611//b2152//b4393//b2151//b4195//b2911//b1669//b1590//b0113//ilvG_1//b3615//b0366//b3312//b3449//b2224//b2662//b1039//b0383//b3829//b4202//b1512//b1679//b1886//b2074//b1882//b4460//b0903//b4063//b1857//b3423//b4040//b1881//b0557//b0937//b2503//b3852//b2107//b2341//b3460//b4663//b3452//b3566//b1716//b0516//b0411//b3609//b0107//b3927//b4288//b2224//b1222//b3970//b1336//b1296//b3688//b2722//b4382//b2756//b0348//b4318//b0221//b3911//b0677//b4169//b3609//b0585//b4254//b3958//b2715//b3230//b0572//b3118//b1036//b2208//b1922//b4071//b1511//b3392//b1528//b3035//b2421//b0880//b0895//b0161//b2705//b3532//b4073//b3601//b3236//b3207//b0197//b0040//b2093//b3134//b0606//b4105//b4241//b2429//b4233//b1260//b3906//b4174//b3115//b1109//b0618//b3213//b2560//b0778//b3616//b3172//b3449//b1516//b3853//b4511//b1321//b0484//b3036//b1736//b3854//b1532//b1719//b3751//b3430//b3611//b3265//b3668//b3971//b3574//b0064//b2094//b1129//b1826//b2904//b2803//b0598//b3477//b2706//b4320//b4288//b0933//b0620//b2231//b2155//b1733//b0197//b4120//b2597//b2492//b1611//b0583//
ChbR-Monoacetylchitobiose-6P_neg	b1616//b1593//b1334//b3757//b0907//b2840//
ChbR-Monoacetylchitobiose-6P_pos	b3077//b0864//b1498//b0605//b3241//b3907//
CpxR-Phosphorylated_neg	b4015//b4035//b0622//b2148//b4392//b2925//b1493//b3615//b2912//b4019//b1501//b0399//b2392//b1673//b4079//b4170//b1130//b2146//b0349//b3859//b3261//b3543//b3702//b1036//
CpxR-Phosphorylated_pos	b2234//b0931//b0720//b4506//b0460//b3363//b3542//b3564//b1717//b3236//b3368//b1518//b2373//b1613//b1521//b2079//b4076//b3314//b3224//b2916//b1247//b4476//b1859//b0384//b0335//b3076//b3599//b0035//b2719//b1263//b4174//b0841//b2975//b4067//b0400//b1224//b1613//b3461//b1732//b1706//b2583//b1300//b4671//b0037//b1334//
CreB-Phosphorylated_neg	b1654//b0728//b0720//
CreB-Phosphorylated_pos	b3725//b2107//b0908//b3409//b2617//b3476//
CueR-Ag_neg	b3569//b0156//b3404//b1889//b1885//
CueR-Ag_pos	b3769//b1540//
CueR-Cu+_neg	b2726//b2312//b0953//b4382//b1002//
CueR-Cu+_pos	b3911//b1016//
CuerR-Au_neg	b4401//b4317//b2706//b3125//b2669//
CuerR-Au_pos	b4151//b3172//
CusR-Pasp_pos	b1113//b2912//b3751//b2609//b3123//b1591//b0441//b4074//b0622//b3359//b3864//b1859//
CynR-Cyanate_neg	b3236//
CynR-Cyanate_pos	b3828//b1900//b1797//
CysB-N-acetyl-L-serine_neg	b4392//b4264//b0974//b0460//b4506//b0928//b3428//
CysB-N-acetyl-L-serine_pos	b1131//b2963//b0032//b3510//b1907//b1272//b2703//b1717//b0033//b0349//b3700//b2614//b1679//b1814//b1002//b2992//b3164//b4054//b0350//b4007//b1394//b4599//b2372//
CysB-O-acetyl-L-serine_neg	b1987//b1501//b1397//b3769//b0177//b1704//b2278//
CysB-O-acetyl-L-serine_pos	sroD//b4138//b2068//b0124//b1852//b4097//b3275//b0928//b0733//b1324//b2469//b1901//b0389//b0785//b3319//b2573//b2075//b3276//b2205//b3829//b0620//b1241//b0522//b3324//
DcuR-Phosphorylated_pos	b1547//b2198//b3367//b2486//b4097//b3458//b3311//b4131//b1738//
DnaA-ATP_neg	b2725//b1272//b3605//b4233//b2728//b2212//b1160//b1205//b0201//b3418//b3221//
DnaA-ATP_pos	b1905//b2597//b3241//b1589//b0365//b0112//b3172//
DpiA-Pasp_neg	b1680//
DpiA-Pasp_pos	b1265//b4316//b2509//b4384//b0460//b0980//b0403//b3429//b2490//b0557//
DsdC-D-serine_neg	b3846//
DsdC-D-serine_pos	b3166//b0396//
EvgA-Phosphorylated_pos	b2372//b0114//b4131//b2392//b3757//b3312//b3415//b0353//b4698//b2312//b3971//b3025//b2465//b0733//b3940//
FNR-Fe_neg	b2286//b1590//b0864//b2990//b2425//b1002//b4094//b0032//b1718//b2288//b3008//b0595//b3313//b0593//b0934//b2278//b1182//b0273//b1131//b3437//b0598//b3533//b1519//b0734//b4291//b3854//b4076//b3600//b3493//b0953//b0125//b1738//b3911//b4124//b2630//b3329//b4015//b4416//b2485//b1713//b4035//b3415//b3725//b2091//b2916//b1011//b1885//b4187//b1498//b0038//b2310//b1683//b1207//b2313//b3855//b1246//b3772//b0191//b3533//b4034//b2661//b1260//b1012//b3124//b3124//b1182//b3096//b3026//b1062//b4102//b3171//b2531//b0872//b4076//b2392//b2995//b3424//b4016//b1883//b1738//b0153//b2589//b0679//b2818//b1641//b1616//b4310//b2194//b2313//b4093//b4097//b0996//b2660//b2754//b0774//b1252//b4367//b4195//b1608//b1337//b0583//b4241//b1224//b1287//b0340//b2938//b4592//b3453//b2075//b3860//b0390//b1102//b1901//b1265//b1612//b2481//b0874//b4079//b0583//b1548//
FNR-Fe_pos	b0388//b2725//b2283//b4397//b0591//b2464//b3115//b1252//b0995//b2674//b4040//b2282//b0042//b2663//b0341//b0350//b1622//b3688//b2307//b3770//b1130//b3260//b4321//b3864//b3123//b2607//b4209//b0366//b3325//b1612//b4054//b1814//b4005//b1988//b4202//b0973//b0860//b1036//b4037//b0617//b0432//b0039//b2589//b0557//b1006//b2669//b0978//b0450//b3603//b0606//b4074//b2311//b1900//b0178//b2937//b0398//b1814//b3134//b0334//b3959//b3318//b2728//b2153//b0754//b3759//b4093//b2199//b0168//b2312//b2764//b2704//b1513//b1429//b2759//b3911//b3413//b2146//b0365//b3476//b4213//b0240//b0782//b4406//b1514//b3404//b0861//b4153//b3127//b1548//b3942//b0617//b2194//b0597//b0684//b0553//b0116//b0676//b0862//b0036//b0814//b0365//b3567//b0192//b1781//b3096//b0038//b0928//b3049//b0179//b1587//b0597//b2309//b0622//b0184//b2965//b2703//b2866//b0973//b4267//b4314//b3037//b0764//b4196//b2207//b3911//b0336//b2207//b4254//b4036//b0814//b1521//b1429//b1518//b2107//b3326//b2762//b1672//b1517//b0572//b1265//b1706//b2554//b1620//b4317//b3702//b3509//b4506//b1681//b4032//b3960//b1852//b2290//b3230//b1024//b1512//b1622//b3319//b0903//b2207//b4067//b3057//b1530//b0273//b4062//b1531//sroD//b4132//b0044//b4592//b0977//b1905//b0613//b0734//b0572//b1302//b0461//b1805//b0726//b3724//b2729//b3460//b4506//b2927//b0350//b1719//b0389//b4079//b2469//b1905//b2207//b4070//b3123//b3671//b0166//b0365//b1988//b1641//b0874//b3025//b0935//b2942//b2470//
FhlA-Formate_pos	b0203//b1324//b1209//b2430//b4016//b3854//b0347//b2663//b0335//b0062//b3569//b1674//b0564//b3071//b2150//b3326//b2730//b1597//b0411//b1673//b1973//b4431//b3333//b4502//b1252//b1421//b1127//b2236//b1227//b0428//
FucR-L-fuculose-1-phosphate_pos	b4316//b4169//b1532//b2717//b1252//b1389//b1190//
Fur-Fe2+_neg	b0677//b0975//b4169//b3611//b3855//b1321//b0980//b1392//b0192//b3456//b0594//b3531//b4316//b3571//b4102//b3722//b1738//b4431//b2528//b3670//b2529//b2367//b3968//b0907//b1890//b1394//b2697//b3275//b3095//b2552//b3480//b0908//b1617//b1020//b0588//b0937//b1888//b4171//b2146//b3332//b4093//b4195//b4154//b4058//b3320//b4431//b2750//b1429//b0344//b2730//b1537//b3035//b2205//b0167//b2201//b0907//b2868//b4637//b4196//b1324//b4076//b2866//b2937//b0202//b4070//b1518//b0463//b2392//b3414//b3096//b0431//b0734//b3113//b3008//b4151//b0516//b0734//b4067//b0775//b2755//b4007//b4125//b1797//b0367//b2923//b1261//b2711//b4406//b2992//b0937//b1113//b4159//b3756//b0894//b4355//b0595//b0384//b3223//b4171//b3275//b4451//b4416//b0727//b3363//b1713//b4398//b4287//b0390//b0241//b0389//b3757//b0432//b3960//b2497//b1244//b0192//b4152//b3599//b2498//b2609//b3115//b2279//b1746//b4194//
Fur-Fe2+_pos	b1679//b2993//b1324//b1887//b0784//b2800//b2904//b3451//b3902//b0383//b0156//b1852//b0035//b1334//b3544//b3321//b4096//b4169//b0397//b3049//b3905//b0805//b3324//b0431//b3864//
Fur-Mn2+_neg	b3364//b0330//b0889//b4154//b2195//b2310//b0864//b4321//b1021//b3478//b2366//b4187//b0202//b0440//b2476//b4032//b3701//b4002//sroD//b0311//b3413//b3315//b2365//b3431//b0341//b4187//b1608//b4249//b2280//b3773//b3275//b2760//b0198//b2234//b3518//b2840//b4439//b0959//b0461//b0602//b2584//b0613//b4073//b2719//b1322//b1616//b4637//b0936//b1907//b1224//b1474//b1920//b4382//b3574//b2211//b3272//b3478//b0929//b0462//b2719//b4209//b4317//b0684//b0461//b3221//b3213//b1859//b2724//b4069//b0617//b4326//b2531//b3265//b3408//b3242//b3224//b0584//b3478//b1335//b2297//b1112//b2573//b3453//b0605//b1322//b2705//b3753//b2205//b0441//b4174//b2560//b2194//b3242//b2476//b3260//b4367//b0337//b3481//b3321//b2107//b1886//b0684//b0331//b0677//b0774//b4138//b2838//b1621//b2571//b0167//b4239//b4037//b4502//b3480//b4290//b1275//b0167//b2762//b0190//b4102//b1516//b0945//b1500//b2803//
Fur-Mn2+_pos	b0192//b3971//b2559//b3320//b2224//b0896//b1922//b1796//b2977//b2535//b2307//b0995//b3530//b1532//b1673//b1501//b4102//b4170//b4169//b0896//b0116//b2730//b0346//b3424//b4034//
GlcC-Acetate_neg	b0904//
GlcC-Acetate_pos	b3541//b3057//b0759//b3405//b3429//b2469//
GlcC-Glycolate_neg	b2730//
GlcC-Glycolate_pos	b3781//b1392//b4599//b3970//b2278//b4154//
GlrR-Pasp56_pos	b2993//
IclR-pyruvate_neg	b1337//b3927//b1851//b0110//
IdnR-5-ketogluconate_neg	b1323//b0273//b3852//
IdnR-5-ketogluconate_pos	b0894//b3035//b1713//b0572//b1475//
IdnR-Idonate_neg	b2800//b3329//b4450//
IdnR-Idonate_pos	b1300//b3870//b3870//b4310//b3367//
IlvY-2-acetolactate_neg	b0034//
IlvY-2-acetolactate_pos	b0907//
IlvY-Alfa-acetohydroxybutirate_neg	b0590//
IlvY-Alfa-acetohydroxybutirate_pos	b0613//
IscR-2Fe_neg	b0350//b3036//b2278//yegZ//b3707//b1622//b1673//b3518//b3409//b3326//b0312//b3037//b0036//b3668//b0198//b1272//b1673//b3240//b1102//b3574//b1391//b1002//b3168//b3356//b2840//b2551//b0428//b4123//b1656//b1817//
IscR-2Fe_pos	b4254//b2962//b1261//b0440//b3610//b4062//b0204//b0585//b0064//b1852//b4441//
LldR-L-lactate_neg	b2092//b1209//b3806//
LldR-L-lactate_pos	b2609//b3605//b2482//
Lrp-Leucine_neg	b2717//b2994//b1261//b2421//b3327//b0113//b2107//b3455//b3781//b2234//b3430//b2150//b2913//b4174//b1615//b0341//b1681//b2997//b2671//b3071//b0368//b2601//b2707//sroD//b1613//b0345//b2742//b1132//b2719//b4111//b0590//b2421//b2708//b2483//b0945//b3236//b0205//b1261//b1882//b4291//b3428//b4074//b2095//b4203//b0154//b3925//b0980//b2277//b3363//b0199//b0929//b4097//b3165//b3169//b1682//b3939//b4037//b0681//b4197//b2600//b1387//b0296//b0107//b3416//b3274//b1548//b4399//b2368//b3604//b0587//b2763//b3564//b2212//b0517//ilvG_2//
Lrp-Leucine_pos	b3275//b0038//b0221//b1392//b2727//b3908//b1846//b1127//b0996//b2531//b1732//b2571//b0389//b3212//b1395//b2750//b0733//b4663//b0606//b2705//b1890//b0035//b4311//b2414//b3959//b3904//b3272//b1612//b1010//b0935//b4095//b4016//b0042//b3749//b2484//
LsrR_neg	b1397//b3766//b1672//b2551//b2243//b4670//b3672//b4005//b0484//
MalT-ADP-Maltotriose_pos	b1008//b0564//b1222//b4120//b2588//b0440//b1324//b1819//b3036//b0959//
MalT-Maltotriose-ATP_pos	b3324//b2711//b3334//b2464//b4139//b3272//b4319//b2203//b1323//b0726//
MelR-Melibiose_neg	b0156//b2465//b2204//
MelR-Melibiose_pos	b2716//b4196//b4009//
MetJ-S-adenosylmethionine_neg	b3530//b1905//b0034//b3169//b0957//b1111//b0953//b2754//b4292//b0400//b3846//b4268//b2957//b2957//b1475//
MetR-L-homocysteine_neg	b0403//b3114//
MetR-L-homocysteine_pos	b3528//b1885//b0979//b3035//
MhpR-3-DHPP_pos	b4233//b4076//b3164//b3854//b0564//b0933//
MhpR-3HPP_pos	b4101//b3006//b0583//b3942//b4324//b1256//
MntR-Cd2+_neg	b2762//b4320//b3449//b2281//
MntR-Cd2+_pos	b3939//
ModE-MoO42-_neg	b3125//b0928//b2728//b0754//b2276//b0313//b1891//b2994//b1593//b1744//b0957//b1886//b0775//b2106//b0589//
ModE-MoO42-_pos	b1821//b3854//b0334//b2707//b3172//b4004//b0125//b3670//b1970//b0038//b1207//b1252//b3417//b2212//b4160//b1421//b2483//b0862//b1287//b3432//b0908//b2306//b2196//b2868//b2925//b1796//b1287//b3132//b1482//b1608//b3038//
NarL-Phosphorylated_neg	b1891//b3469//b4320//b3417//b2991//b1136//b3572//b2068//b0722//b3769//b0602//b2730//b3438//b2344//b4316//b1615//b3521//b2728//b1246//b0314//b3275//b3334//b4104//b4000//b2483//b3770//b2146//b1497//b0617//b2937//b0347//b1547//b2720//b4393//b4233//b2987//b3316//b3408//b3161//b1718//b0183//b3831//b2866//b0975//b1022//b1846//b1384//b2076//b2590//b0820//b0048//b3528//b0616//b1221//b1826//b2659//b3312//b0523//b2937//b4322//b1884//b4016//b3721//b1036//b4076//b3005//b0904//b4139//b1886//b1011//b0566//b1224//b2965//b3008//b3368//b2152//b4468//b1589//b3926//b4292//b1735//b2551//b3759//b3071//b0903//b4426//
NarL-Phosphorylated_pos	b3774//b1886//b3038//b3408//b2703//b0203//b4592//b4381//b3329//b4068//b1588//b3906//b4073//b2609//b0778//b1036//b0887//b0107//b3942//b3334//b2344//b1882//b2484//b4097//b2557//b1205//b1846//b4268//b3532//b3750//b3610//b0156//b4194//b0273//b0774//b4106//b0343//b0333//b2279//b4397//b0619//b3409//b3274//b3532//b2742//b0935//
