#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b2492//b0400//
Ada-Methylated_pos	b3941//b4068//b4167//b4075//
AlaS-L-alanine_neg	b3479//
AllS-allantoin_pos	b0933//b0572//b2481//
AraC-L-arabinose_neg	b3441//b0205//b0312//b2663//b3113//b4592//b2430//b3077//
AraC-L-arabinose_pos	b2093//b4177//b4125//b1002//b3410//b1501//efeU_2//b2987//b3905//b4138//
ArcA-Phosphorylated_neg	b3845//b1205//b2584//b1670//b0114//b2306//b0996//b0296//b1109//b3709//b1901//b1497//b1002//b2239//b3478//b4105//b2306//b3076//b2366//b1747//b0819//b3166//b0593//b3568//b4398//b4092//b3940//b2231//b3335//b1109//b4139//b0677//b4073//b0617//b2754//b3449//b1334//b2068//b1528//b1244//b3769//b4153//b2215//b1587//b0411//b3869//b1658//b2710//b2241//b1611//b2573//b3511//b0595//b3315//b0116//b0591//b0450//b2079//b4125//b2231//b3132//b0198//b3133//b4115//b4171//b0931//b1852//b2009//b3118//b1247//b0168//b4187//b2430//b1907//b3476//b3451//b0451//b2077//b3925//b2980//b2866//b1512//b0681//b2068//b3214//b1622//b0754//b3450//b0463//b2310//b0593//b0864//b4035//b0341//b1182//b3429//b3416//b4200//b0675//b3241//b2077//b0125//b4384//b2406//b1023//b2963//b2554//b3132//b4592//b2286//b0675//b2708//b2711//b2756//b1987//b0880//b1474//b1474//b4194//b3971//b3212//b2199//b2725//b3230//b1736//b2704//b1296//
ArcA-Phosphorylated_pos	b0605//b0350//b4154//b2759//b2529//b3566//b1734//b4439//b1885//b0590//b2311//b0189//b0338//b2096//b0517//b2234//b0929//b2758//b1671//b4154//b0759//b3357//b1620//b1111//b2484//b1805//b0970//b0724//b1190//b3167//b2369//b1515//b3568//b3671//b1717//b0388//b0182//b4671//b0241//b1379//b2583//b3134//b1012//b2722//b1612//b0937//b3006//b3260//b0759//b4072//b4268//b4202//b3424//b1670//b1518//b0570//b2096//b1883//
ArgP-L-arginine_neg	b0724//
ArgP-L-arginine_pos	b3601//b1016//b4450//b4322//b2407//b0078//b3721//b0077//b3588//b0037//b2498//b1535//b3124//b4431//b1884//
ArgR-L-arginine_neg	b1684//b3854//b3905//b4209//b2297//b0570//b0108//b0929//b4441//b3311//b2804//b0675//b3118//b2754//b3324//b4671//b3908//b4169//b0202//b1390//b2171//b3025//b2156//b2143//b2155//b4292//b4567//b2926//b0598//b3528//b3311//ilvG_2//b2926//b3726//
ArgR-L-arginine_pos	b2074//b1515//b2608//b1921//b0523//
AtoC-phosphorylated_pos	b1262//b3854//b2297//b0602//
BaeR-Phosphorylated_pos	b2723//b4111//b1615//b0450//b2979//b1746//b2415//b2676//
BirA-bio-5-AMP_neg	b3828//b1887//b2841//b2290//b1531//
CRP-cAMP_neg	b2484//b3333//b4099//b0428//b3006//b2732//b4406//b0033//b2423//b2196//b3528//b4101//b2579//b4160//b0596//b3670//b2374//b2407//b0872//b0337//b2423//b4383//b0048//b0517//b1388//b4032//b0776//b4123//b1732//b3092//b3261//b3425//b3770//b0586//b4024//b0517//b3438//b3225//b3164//b1889//b1037//b1782//b2499//b0589//b3723//b2531//b1712//b2756//b4265//b4010//b1810//b2557//b0383//b3315//b2393//b4094//b1590//b1297//b0240//b2719//b3025//b3437//b0344//b0733//b1498//b2205//b3748//b4193//b3542//b4008//b0861//b2716//b2720//b4167//b1227//b2867//b3864//b1222//b1389//sroD//b3521//b1683//b0573//b0972//b1101//b0035//b1887//b3828//b3531//b4193//b2760//b4079//b0679//b3617//b4320//b3572//b2198//b2750//b0586//b4016//b2075//b2093//b0596//b0344//b2804//b2609//b2367//b2492//b0189//b3603//b2242//b1797//b0589//b0933//b0617//b3970//b4122//b1713//b4175//b0077//b4174//b2716//b3759//b2713//b2927//b0587//b1858//b3938//b3438//b0036//b2600//b0970//b2280//
