#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b3214//b1397//
Ada-Methylated_pos	b1746//b3423//b0574//b1611//
AlaS-L-alanine_neg	b3170//
AllS-allantoin_pos	b3278//b1891//b0040//
AraC-L-arabinose_neg	b1011//b4416//b3415//b0044//b0907//b0118//b4093//b0440//
AraC-L-arabinose_pos	b4139//b1613//b3671//b1102//b3117//b3418//b4070//b0782//b3480//b0606//
ArcA-Phosphorylated_neg	b0463//b0313//b2375//b1617//b4195//b4209//b2751//b0031//b4105//b0684//b2975//b1388//b2465//b3260//b1024//b0597//b2730//b1275//b2916//b4266//b0862//b0573//b0758//b3275//b0588//b0970//b3113//b2151//b2107//b3770//b0595//b3161//b2838//b1390//b1590//b4254//b2503//b0677//b3240//b4264//b3611//b3038//b0383//b2669//b0032//b0152//b4008//b0864//b0571//b3530//b4323//b3721//b1683//b0592//b1514//b1887//b4006//b2231//b1684//b4397//b3126//b1008//b4068//b3327//b1015//b0388//b1745//b1654//b2727//b2374//b1718//b1021//b0113//b2296//b3414//b2417//b1622//b0400//b0970//b1779//b3904//b2368//b4123//b0240//b2068//b2221//b4326//b0972//b3831//b2371//b4254//b2571//b4033//b3478//b1474//b0384//b2155//b2497//b1131//b2280//b4196//b3568//b3227//b4093//b0336//b0205//b3616//b2492//b1038//b2201//b2091//b0150//b3123//b3214//b0314//b0183//b1747//b1022//b1379//b2979//b1826//b0605//b1671//b1622//b4036//b1888//b4450//
ArcA-Phosphorylated_pos	b3213//b2490//b3863//b4070//b0756//b4293//b2913//b2470//b3611//b2291//b0977//b3957//b0590//b2723//b0203//b3237//b2093//b3359//b4292//b4268//b1015//b3969//b0998//b2528//b2579//b3424//b0945//b1016//b1519//b4393//b3480//b3328//b1821//b1706//b0311//b3315//b4175//b1512//b1262//b2085//b2660//b1226//b0682//b4426//b3572//b2290//b0153//b0061//b2706//b2674//b4238//b3260//b0936//b1713//b2614//b3418//b0152//b4074//
ArgP-L-arginine_neg	b1037//
ArgP-L-arginine_pos	b3417//b4249//b2728//b1189//b3092//b3135//b1680//b1654//b2372//b0617//b1501//b3571//b4154//b4450//b0623//
ArgR-L-arginine_neg	b2702//b4152//b4315//b3934//b3327//b2572//b2979//b3846//b1746//b1988//b4287//b0754//b1621//b0118//b0191//b0727//b1130//b4003//b0778//b3961//b3212//b1591//b1039//b0240//b3611//b2801//b1737//b4024//b2927//b3006//b3415//b3165//b3276//b0783//
ArgR-L-arginine_pos	b0724//b1846//b0400//b4450//b4123//
AtoC-phosphorylated_pos	b3926//b1131//b1826//b0114//
BaeR-Phosphorylated_pos	b2276//b1857//b2802//b4567//b0033//b1113//b4310//b1062//
BirA-bio-5-AMP_neg	b3863//b0620//b4000//b4177//b1716//
CRP-cAMP_neg	b4460//b2374//b1335//b3221//b3072//b2366//b2195//b0116//b2490//b4401//b2708//b3611//b2704//b3958//b1397//b4467//b0430//b3707//b1002//b4095//b2498//b0907//b0352//b3331//b3518//b4698//b2669//b2662//b3405//b1615//b2530//b0872//b1102//b2202//b2799//b4174//b2213//b3333//b0775//b3165//b2221//b2365//b2912//b1039//b3166//b1008//b3224//b2977//b3277//b1797//b4068//b3829//b1244//b3240//b3617//b4007//b2551//b0841//b4040//b1587//b3441//b0078//b0975//b1335//b0428//b1655//b0064//b0734//b2207//b2200//b1493//b3451//b1190//b2091//b3774//b4151//b0115//b4233//b1887//b0350//b2529//b0675//b3903//b0785//b1889//b4393//b3511//b0775//b0113//b0152//b1613//b0945//b3278//b2673//b4002//b2760//b1220//b4288//b2980//b0827//b2709//b4062//b4034//b1131//b0388//b0720//b2818//b1718//b2660//b4201//b3418//b4399//b2236//b1852//b0154//b2415//b1112//b0340//b1385//b1612//b3906//b1521//b0333//b1476//b2715//b1272//b3414//b2557//b1734//b2201//b0181//b4468//b1922//
