#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b4197//b3457//
Ada-Methylated_pos	b4096//b2560//b0957//b2710//
AlaS-L-alanine_neg	b1681//
AllS-allantoin_pos	b0108//b3829//b2720//
AraC-L-arabinose_neg	b4384//b2903//b1476//b0339//b0203//b1817//b4198//b4242//
AraC-L-arabinose_pos	b3688//b4200//b3851//b1608//b3905//b2992//b0484//b0995//b2607//b0039//
ArcA-Phosphorylated_neg	b2284//b1883//b2530//b1130//b2198//b3568//b2153//b0682//b2211//b2758//b2725//b4018//b0953//b1850//b3332//b1016//b0934//b2912//b1514//b0873//b3316//b2393//b0450//b2407//b4194//b0570//b3429//b1620//b0241//b0682//b1042//b0339//b1881//b2716//b4132//b3236//b3828//b2557//b1324//b3092//b2559//b2286//b1521//b3911//b1535//b2224//b1011//b2152//b3241//b4139//b4318//b1265//b2414//b3417//b0123//b3927//b1818//b3170//b3438//b0344//b0038//b2903//b0756//b1621//b0819//b2240//b0450//b2198//b2718//b4267//b0594//b4384//b3672//b2662//b2281//b3454//b1546//b0042//b0583//b3366//b0351//b3566//b3771//b0756//b1818//b4073//b3166//b2551//b2152//b0886//b3125//b0597//b1546//b2725//b3860//b2755//b0756//b3753//b3429//b3237//b4095//b3771//b3135//b2498//b0064//b4095//efeU_2//b0336//b1499//b1671//b0115//b0564//b2208//b2706//b0033//b3334//b1337//b2751//b0896//b3574//b1042//b0106//b4268//b1717//b4129//b2731//b1818//
ArcA-Phosphorylated_pos	b4076//b2199//b0113//b3572//b2212//b2717//b1212//b4311//b2370//b1655//b2962//b3938//b1008//b4104//b0574//b2236//b1781//b0727//b3319//b1521//b1882//b1884//b4172//b2992//b0974//b2196//b2425//b4104//b0367//b2286//b0896//b0345//b2308//b2977//b3567//b1621//b3164//b0411//b3332//b2754//b4095//b4058//b3330//b3277//b1852//b2802//b1244//b2242//b3727//b1732//b0754//b2208//b3417//b3510//b1385//b1921//b0125//b0728//
ArgP-L-arginine_neg	b0313//
ArgP-L-arginine_pos	b3133//b1682//b1002//b1781//b0679//b2414//b2079//b3493//b4355//b1920//b1221//b0341//b1746//b3430//b2710//
ArgR-L-arginine_neg	b0345//b3907//b2236//b2199//b4153//b1805//b0908//b4289//b4354//b1681//b1547//b1590//b4287//b2992//b0895//b0566//b2716//b0980//b4196//b4006//b2371//b0602//b2707//b2752//b3313//b3049//b2194//b3224//b3852//b1658//b1223//b3608//b2764//b2992//
ArgR-L-arginine_pos	b1379//b0684//b3168//b1264//b3049//
AtoC-phosphorylated_pos	b0729//b1733//b2805//b4093//
BaeR-Phosphorylated_pos	b2762//b3728//b3161//b1859//b3260//b1384//b1588//b4122//
BirA-bio-5-AMP_neg	b3869//b4096//b0204//b0584//b1608//
CRP-cAMP_neg	b2163//b4383//b1988//b0331//b0619//b3213//b3769//b1015//b1588//b2722//b4168//b1011//b4172//b3601//b2497//b2800//b4100//b0570//b3314//b0720//b0336//b4152//b2705//b2588//b3126//b2286//b2200//b2147//b0111//b1102//b4406//b0516//b1988//b1130//b1043//b3223//b2759//b0166//b0351//b2149//b1744//b4471//sroD//b3608//b4194//b4265//b0605//b3124//b2240//b3702//b3608//b2841//b0613//b2068//b1744//b4249//b1395//b2204//b1616//b3367//b3116//b2342//b0972//b0887//b3367//b2990//b4209//b3708//b3476//b1220//b3335//b4502//b0864//b0384//b1744//b3363//b1817//b4062//b1818//b1482//b0190//b0124//b0048//b1817//b2150//b3213//b2153//b2242//b3161//b2213//b2485//b0191//b0783//b2728//b2676//b2364//b1735//b1212//b0819//b0784//b2997//b3457//b2465//b1597//b3749//b2706//b3668//b3610//b2570//b3395//b0109//b4034//b1907//b1394//b3167//b0602//b0566//b1265//b3543//b1587//b2554//b4397//b2712//b0333//b2296//b3700//b3278//b4451//b1023//b2307//b2742//b3667//b2284//
CRP-cAMP_pos	b1298//b4101//b2470//b3478//b2708//b1009//b0584//b2421//b1062//b2571//b3214//b3926//b0347//b1023//b2591//b3169//b3367//b4202//b2707//b3961//b0440//b2312//b3325//b4233//b2029//b4054//b2712//b0784//b0313//b0570//b0107//b4193//b2235//b3314//b0460//b3806//b2799//b3460//b2963//b0441//b3478//b1587//b3481//b4154//b1704//b4319//b2925//b1225//b4240//b0428//b4006//b1388//b1921//b3364//b0484//b2608//b2702//b0783//b3751//b1671//b3227//b4132//b0484//b0333//b4241//b0676//b0587//b2344//b2600//b2852//b2997//b2725//b3666//b1884//b2202//b2407//b1920//b2213//b0724//b3261//b2903//b4567//b4004//b3365//b2750//b2208//b1493//b1336//b3357//b3311//b0886//b1712//b0827//b4096//b3049//b2485//b2601//b2372//b1887//b1039//b0594//b3904//b3133//b0606//b3113//b1826//b3314//b1922//b4376//b1745//b0041//b0583//b3479//b0571//b3132//b3908//b1779//b3968//b4099//b1679//b1546//b3971//b1207//b0617//b4315//b0776//b1597//b1904//b3225//b1043//b2905//b1207//b0032//b4663//b4265//b4268//b1038//b1821//b3277//b2805//b3476//b2372//b1006//b1336//b4079//b3329//b0203//b4058//b1846//b4072//b0197//b1732//b1012//b1190//b1613//b3476//b0812//b1209//b3070//b2430//b0334//b0841//b1782//b0904//b0957//b3116//b3781//b4502//b2732//b3430//b4187//b3721//b2711//b3906//b4460//b0199//b0201//b1276//b4438//b2148//b0353//b0978//b1131//b2291//b1532//b2009//b2963//b2727//b1209//b0336//b1493//b3415//b1391//b2096//b3615//b4288//b1501//b2476//b2406//b0344//b4209//b3968//b2092//b0062//b4174//b3367//b3610//b0333//b3604//b1393//b1797//b0184//b0107//b3328//b2283//b0342//b3457//b2591//b0841//b3409//b2284//b3905//b2996//b3481//b1921//b4291//b2741//b2528//b1430//b1798//b4009//b2312//b3223//b1905//b3603//b3531//b1012//b3331//b2365//b2393//b3417//b2373//b3418//b3905//b2800//b1987//b1492//b0593//b1616//b3851//b1512//b0605//b3611//b2199//b1611//b3222//b3057//b1112//b2741//b0390//b2756//b4203//b1243//b3368//b4196//b0814//b2235//b0313//b1475//b0775//b3453//b0036//b3756//b2223//b4059//b0037//b2942//b2937//b2570//b0241//b3260//b1736//b4397//b2720//b0041//b2372//b3230//b2573//b1263//b3312//b2205//b4070//b4249//b1299//b0181//b2288//b3366//b1821//b3829//b4070//b4309//b1037//b1038//b4309//b4039//b4079//b0935//b3092//b0344//b2492//b2867//b4209//b2728//b2707//b0778//b3608//b2904//b1036//b3669//b1587//b1396//b0048//b1062//b0114//b2731//b3829//b4355//b2987//b0430//b0681//b2425//b0553//b3273//b4010//b1337//b1190//b2590//b0183//b1008//b0350//b1713//b1393//b1021//b4067//b1131//b4101//b2957//b0181//b0038//b0383//b3364//b2673//b4324//b2716//b3395//b1024//b0886//b0036//b2535//b3417//b0908//b3165//b3096//b1324//b3708//b0440//b0933//b3115//b3025//b1850//b4035//b3773//b4194//b3941//b0763//b3906//b1009//b3328//b1226//b4406//b1712//b0812//b4035//b2552//b2221//b1733//b4354//b3363//b1716//b4392//b0595//b2297//b0034//b1712//b2764//b3725//b0841//b2661//b3266//b1517//b1818//b1476//b0462//b2242//b3479//b3431//b0863//b2571//b0622//b0182//b0758//b1388//b0777//b4036//b4317//b4075//b0618//b1429//b1921//b1656//b4018//b1039//b1296//b0619//b0874//b3846//b0348//b1020//b1475//
ChbR-Monoacetylchitobiose-6P_neg	b2417//b0972//b4324//b3722//b2421//b2666//
ChbR-Monoacetylchitobiose-6P_pos	b2706//b0598//b3609//b0953//b0398//b2975//
CpxR-Phosphorylated_neg	b2282//b3702//b0378//b1672//b1245//b1390//b1512//b4213//b1247//b0107//b1389//b3958//b2659//b2763//b2365//b3330//b2224//b2742//b2560//b3961//b4702//b4699//b2718//b2995//
CpxR-Phosphorylated_pos	b0108//b1252//b3093//b2212//b0587//b0388//b3968//b2943//b3480//b2488//b0183//b2551//b0557//b2719//b3868//b4196//b1246//b1272//b3311//b1299//b1859//b2279//b1262//b0976//b2367//b0598//b4030//b4476//b0596//b2669//b3332//b2995//b1043//b0754//b1039//b1012//b2206//b3588//b1748//b3424//b1493//b2152//b4392//b4062//b4125//
CreB-Phosphorylated_neg	b2868//b2106//b0403//
CreB-Phosphorylated_pos	b1717//b0583//b2430//b3771//b0192//b3749//
CueR-Ag_neg	b2818//b0199//b2421//b1886//b0182//
CueR-Ag_pos	b2223//b4671//
CueR-Cu+_neg	b2818//b2344//b1683//b0936//b1521//
CueR-Cu+_pos	b0044//b0597//
CuerR-Au_neg	b0463//b4030//b1858//b0722//b4393//
CuerR-Au_pos	b2697//b4326//
CusR-Pasp_pos	b4009//b1421//b2423//b2617//b4063//b0754//b1043//b0894//b2417//b4265//b4291//b2528//
CynR-Cyanate_neg	b3599//
CynR-Cyanate_pos	b2422//b2489//b4314//
CysB-N-acetyl-L-serine_neg	b0566//b0755//b2096//b3572//b0681//sroD//b4313//
CysB-N-acetyl-L-serine_pos	b2957//b1429//b4100//b4319//b2465//b1593//b1263//b2490//b0182//b2756//b3278//b2206//b2290//b3829//b2727//b4321//b1616//b2724//b2607//b3829//b4383//b4111//b4152//
CysB-O-acetyl-L-serine_neg	b4119//b3230//b1518//sroD//b4014//b3415//b2965//
CysB-O-acetyl-L-serine_pos	b2841//b4125//b3221//b4123//b3469//b3317//b4320//b4467//b1136//b4384//b4123//b2718//b0192//b1379//b2428//b3480//b3759//b0397//b4202//b3118//b4071//b1516//b0115//b4287//
