#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b1475//b4705//
Ada-Methylated_pos	b4098//b0312//b0570//b1987//
AlaS-L-alanine_neg	b2311//
AllS-allantoin_pos	b2938//b0575//b0572//
AraC-L-arabinose_neg	b3315//b4671//b4317//b0904//b2601//b3724//b3437//b2204//
AraC-L-arabinose_pos	b3424//b2601//b0336//b2198//b3266//b0623//b2992//b2755//b3093//b2617//
ArcA-Phosphorylated_neg	b3414//b2841//b2068//b4698//b2287//b0179//b1747//b1608//b4315//b0978//b2708//b4393//b3312//b1499//b2464//b1501//b0107//b1987//b3616//b0677//b0343//b4170//b0115//b2904//b2415//b0996//b2912//b0733//b3070//b0036//b1515//b0522//b2800//b3969//b3960//b4426//b0403//b4289//b1113//b0111//b2711//b4310//b3135//b0182//b4441//b2223//b1715//b3222//b3313//b1130//b4320//b3335//b3454//b3222//b3413//b0241//b3368//b1501//b3511//b0826//b4039//b1335//b0566//b0996//b2486//b2148//b4237//b0116//b2009//b2424//b3441//b2706//b3544//b2903//b1882//b4195//b4125//b3117//b4074//b3457//b3458//b0733//b0441//b1704//b3707//b1852//b3266//b2961//b2425//b1620//b3908//b2671//b1732//b2407//b1501//b2584//b1482//b4467//b3725//b1609//b4322//b2085//b2662//b4125//b0572//b2215//b3960//b0979//b3313//b2841//b3509//b3418//b2754//b1817//b0784//b2498//b3330//b2804//b1205//b3542//b3165//b1684//b2925//b1885//b3540//b4398//b1761//
ArcA-Phosphorylated_pos	b3429//b0683//b2803//b0273//b2149//b0368//b1882//b3161//b1262//b0367//b1887//b3672//b1656//b4074//b2661//b1901//b3431//b2661//b2976//b3456//b3242//b3070//b2277//b1129//b3057//b3357//b0782//b3852//b3326//b0368//b3457//b0722//b2961//b1798//b0378//b2208//b4174//b1006//b4393//b0041//b3726//b2312//b1987//b4315//b4125//b4068//b2424//b4035//b4115//b3748//b2407//b3971//b1264//b0198//b2529//b2804//b2913//b4120//
ArgP-L-arginine_neg	b2509//
ArgP-L-arginine_pos	b2499//b4567//b2375//b4101//b4239//b0523//b3318//b1008//b0179//b2077//b2961//b2222//b4431//b2231//b1211//
ArgR-L-arginine_neg	b3544//b4007//b0366//b4293//b0207//b0339//b1532//b0614//b2200//b3095//b2676//b1384//b0403//b1718//b2370//b0860//b2498//b3277//b2492//b4019//b4159//b2719//b0031//b2911//b0785//b2509//b1297//b1826//b0675//b3410//b0621//b2994//b3855//b0928//
ArgR-L-arginine_pos	b0903//b4476//b3864//b0553//b0721//
AtoC-phosphorylated_pos	b4288//b0861//b0342//b0676//
BaeR-Phosphorylated_pos	b3938//b1826//b2992//b0613//b3242//b4354//b0681//b2287//
BirA-bio-5-AMP_neg	b3670//b1391//b1850//b4426//b2560//
CRP-cAMP_neg	b1322//b1252//b0996//b3171//b2095//b1622//b2232//b0903//b2942//b3037//b1656//b3275//b2997//b1220//b3666//b0190//b0341//b0204//b2841//b2278//b1208//b3521//b1889//b3357//b1590//b3701//b3854//b2671//b1987//b2278//b2241//b4439//b1617//b3544//b4007//b3458//b1900//b0152//b2148//b3221//b3317//b4702//b1244//b0314//b3961//b0347//b2507//b1211//b3863//b4094//b0978//b0896//b2310//b0197//b0764//b2231//b1407//b1973//b3532//b4159//b0774//b2481//b2197//b2313//b3135//b0516//b2423//b0123//b0463//b3601//b0389//b1714//b2421//b3332//b4320//b3241//b4476//b4265//b0957//b2077//b3276//b0313//b1324//b0064//b3907//b2927//b0623//b4239//b3604//b0595//b3272//b2631//b3599//b3057//b1337//b2492//b0598//b3333//b4124//b3404//b2572//b4671//b4054//b3942//b2913//b3829//b2676//b3567//b0037//b3859//b3588//b2666//b0587//b2195//b0125//b3609//b1922//b3134//b1858//b2423//b1190//b2731//b0592//b0591//b2764//b2728//b0620//b2756//b3035//b2980//b2803//b2280//b0957//
