#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b1735//b1205//
Ada-Methylated_pos	b2676//b4058//b3723//b1589//
AlaS-L-alanine_neg	b0623//
AllS-allantoin_pos	b2508//b3531//b3071//
AraC-L-arabinose_neg	b2009//b0928//b1746//b0880//b2583//b0785//b3959//b3770//
AraC-L-arabinose_pos	b2171//b4102//b1858//b1021//b4019//b4292//b4323//b4318//b1814//b0043//
ArcA-Phosphorylated_neg	b1421//b2588//b3458//b2243//b0108//b3957//b1102//b3869//b1679//b4213//b1384//b3938//b4426//b2838//b3478//b0616//b3449//b2194//b2156//b2503//b2309//b4293//b1540//b3423//b3415//b2374//b3723//b2367//b2841//b3425//b4170//b2803//b2503//b4202//b1881//b0862//b3366//b3366//b3424//b3367//b3941//b2277//b3753//b3278//b0039//b1112//b0819//b3608//b0517//b4316//b3957//b2977//b3759//b1890//b1020//b4316//b1222//b4671//b3772//b1498//b4460//b1245//b3940//b3769//b1882//b0620//b1516//b4198//b1654//b2727//b2724//b4101//b2424//b1733//b4092//b3425//b0523//b1669//b1781//b3333//b0112//b2979//b0595//b3724//b3481//b0908//b1392//b2991//b0784//b3701//b2754//b2428//b0602//b0614//b0037//b3781//b3095//b3859//b0557//b2200//b0676//b3368//b0221//b1482//efeU_2//b4592//b4059//b2205//b3324//b0345//b2372//b3771//b2507//b0450//b1718//b2704//b3240//b1891//b3724//b3927//b3408//b0450//b1501//b0349//b3049//b0728//b1716//
ArcA-Phosphorylated_pos	b2486//b2063//b4426//b0161//b0776//b3026//b4014//b3414//b2423//b3393//b1256//b2916//b4167//b0896//b3564//b1225//b0039//b1036//b4019//b1796//b2756//b0522//b2991//b3125//b3335//b1641//b2206//b2580//b2710//b0777//b0178//b3774//b4153//b0151//b2243//b3541//b3168//b4102//b3458//b2992//b3959//b0333//b4131//efeU_2//b3424//b4175//b3169//b2551//b2171//b0757//b1796//b0461//b0515//b3753//b1043//b3394//b2417//b3452//
ArgP-L-arginine_neg	b3222//
ArgP-L-arginine_pos	b2721//b0785//b3266//b3404//b1747//b2200//b2583//b2373//b4699//b1009//b1608//b1397//b4054//b2530//b2758//
ArgR-L-arginine_neg	b2709//b0862//b2291//b2489//b1212//b4068//b2866//b1010//b4170//b3116//b1160//b0451//b2207//b0557//b2374//b3395//b0113//b4154//b2800//b2476//b3113//b3845//b1921//b0114//b2309//b2729//b2281//b3759//b4637//b4319//b3356//b2149//b0980//b3722//
ArgR-L-arginine_pos	b3476//b2422//b3566//b0378//ilvG_2//
AtoC-phosphorylated_pos	b2560//b3405//b1857//b4200//
BaeR-Phosphorylated_pos	b3476//b3328//b3123//b0615//b3118//b2393//b2077//b2704//
BirA-bio-5-AMP_neg	b2425//b0351//b2942//b0873//b0675//
