#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Fri Jun  1 22:15:30 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/bnumbers/regulons_by_conformation_effect_bnum.txt
Ada-Methylated_neg	b3166//b2552//
Ada-Methylated_pos	b4170//b1881//b1716//b3366//
AlaS-L-alanine_neg	b0048//
AllS-allantoin_pos	b4133//b1681//b2095//
AraC-L-arabinose_neg	b1712//b0342//b0978//b0334//b3567//b1475//b2206//b1612//
AraC-L-arabinose_pos	b3707//b3601//b3541//b1798//b1890//b2531//b1851//b0221//b3708//b3543//
ArcA-Phosphorylated_neg	b4450//b4238//b2762//b2194//b4398//b3035//b1885//b0344//yegZ//b3829//b3771//b1683//b4426//b3617//b4316//b4019//b2757//b3169//b3224//b4125//b2470//b4125//b3669//b1737//b0349//b0403//b3469//b4093//b0589//b0605//b3424//b2553//b3603//b4506//b3456//b3076//b0756//b3905//b4381//b0682//b0590//b1716//b4314//b1243//b4317//b4406//b3721//b1616//b2841//b4034//b2571//b0106//b3533//b2852//b1498//b4321//b4124//b1609//b2092//b3669//b3806//b4310//b4669//b0785//b3320//b4451//b4068//b4702//b1901//b2503//b3574//b4264//b2987//b3327//b0167//b0583//b0598//b1324//b3416//b1131//b4637//b3091//b2742//b0150//b2606//b0064//b3006//b0044//b3393//b2803//b2760//efeU_2//b3666//b4233//b3057//b0334//b4399//b0602//b4168//b2530//b2942//b1516//b3417//b2742//b3959//b0108//b0202//b1006//b0460//b2146//b2280//b0618//b2291//b2107//b3869//b4670//sroD//b1299//b2079//b2666//b2903//b2840//b0759//b2201//b1299//b2608//b0728//
ArcA-Phosphorylated_pos	b2149//b4035//b4175//b1398//b0862//b2608//b3940//b3327//b0116//b0124//b2213//b1396//b0296//b4016//b4099//b3688//b4154//b2296//b2283//b4062//b2838//b1384//b3571//b2838//b4441//b3227//b0571//b1852//b3603//b3853//b2584//b3725//b4131//b2198//b1681//b1736//b0366//b2482//b1608//b2476//b3126//b0035//b3569//b0161//b2367//b3828//b3072//b3569//b0396//b2429//b2092//b3911//b0936//b3123//b2297//b3748//b1732//b0679//
ArgP-L-arginine_neg	b4265//
ArgP-L-arginine_pos	b4059//b3756//b4431//b0151//b4392//b2212//b2938//b2756//b3224//b3273//b0061//b2308//b4102//b4599//b1384//
ArgR-L-arginine_neg	b0399//b3449//b1385//b0341//b0827//b3077//b1415//b3701//b0451//b1039//b0384//b4197//b3403//b3958//b0889//b0124//b0429//b3432//b1746//b0819//b3403//b3911//b4174//b2841//b2803//b0953//b4506//b0606//b1858//b1499//b2905//b0584//b0336//b4105//
ArgR-L-arginine_pos	b1337//b0726//b2916//b3221//b3393//
AtoC-phosphorylated_pos	b0676//b0342//b2306//b1891//
BaeR-Phosphorylated_pos	b3096//b2916//b1732//b4511//b0755//b3392//b1037//b0432//
BirA-bio-5-AMP_neg	b3431//b4506//b2075//b0979//b3957//
CRP-cAMP_neg	b1062//b3957//b2277//b2464//b3330//b3392//b3357//b3164//b2913//b4511//b1531//b0606//b2207//b3315//b3958//b4416//b0154//b2997//b2801//b1474//b2068//b2029//b4322//b1246//b2551//b3356//b3437//b2498//b4309//b4392//b1337//b3072//b2530//b1706//b0812//b0161//b3912//b0241//b4129//b2732//b3225//b0860//b4291//b1298//b1617//b0979//b2284//b4669//b0115//b1517//b0350//b2913//b3758//b0522//b3531//b0384//b1617//b3508//b1036//b3319//b1858//b3600//b0782//b2758//b2235//b2507//b4006//b1746//b3393//b3327//b4101//b0980//b4367//b0590//b0064//b4213//b1622//b0202//b2366//b2987//b4265//b0377//b0124//b3667//b2276//b1511//b0777//b3968//b3409//b2762//b3366//b3749//b0820//b0367//b1493//b0199//b1208//b3600//b0934//b4106//b3317//b3532//b1718//b3008//b1129//b4058//b0880//b4096//b2572//b3610//b1680//b2498//b2483//b4123//b4115//b0889//b2074//b1498//b2234//b3758//b4476//b2675//b1590//b1136//b4637//b3864//b3117//b0591//b3327//b1247//b1038//b0864//b3669//
